Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
LAA,6.3,2012,2,10,607,368449,173,29929,4,32,Los Angeles Angels,STL,30,900,154,162,23716,Albert Pujols,0.859,0.737881,1,235,10,0.285,0.08122499999999999,0.951,0.9044009999999999,DH,0.5493827160493827,105,11025,UFA,12000000,12000000,12000000,48.33,2335.7889,240000000,321150000,24000000,89,4.81,23.136099999999995,1,16.300417207752275,16.300417207752275,16.300417207752275
MIA,0.0,2012,2,6,642,412164,184,33856,6,29,Miami Marlins,NYM,11,121,160,162,25600,Jose Reyes,0.78,0.6084,2,195,2,0.287,0.08236899999999998,0.988,0.976144,3B,0.4259259259259259,57,3249,UFA,10000000,10000000,10000000,40.77,1662.1929000000002,106000000,203300000,17666667,69,2.96,8.7616,2,16.11809565095832,16.11809565095832,16.11809565095832
LAA,6.1,2012,2,5,5,25,0,0,4,31,Los Angeles Angels,TEX,0,0,34,162,1156,C.J. Wilson,0.167,0.027889000000000004,1,210,10,0.0,0.0,0.21,0.04409999999999999,SP,0.5493827160493827,0,0,UFA,10550000,10000000,10550000,15.78,249.00839999999997,77500000,321150000,15500000,89,0.98,0.9603999999999999,1,16.17163641788635,16.11809565095832,16.17163641788635
MIA,6.2,2012,2,4,67,4489,3,9,6,33,Miami Marlins,CHW,0,0,31,162,961,Mark Buehrle,0.104,0.010816,2,195,2,0.045,0.002025,0.191,0.036481,SP,0.4259259259259259,1,1,UFA,7000000,6000000,7000000,58.05,3369.8025,58000000,203300000,14500000,69,4.22,17.8084,2,15.761420707019587,15.60727002719233,15.761420707019587
MIL,6.1,2012,2,3,570,324900,171,29241,3,34,Milwaukee Brewers,CHC,27,729,149,162,22201,Aramis Ramirez,0.901,0.811801,1,215,4,0.3,0.09,0.92,0.8464,3B,0.5123456790123457,105,11025,UFA,6000000,6000000,6000000,89.82,8067.632399999999,36000000,40250000,12000000,83,5.58,31.136400000000002,0,15.60727002719233,15.60727002719233,15.60727002719233
COL,6.2,2012,2,3,358,128164,93,8649,4,33,Colorado Rockies,MIN,16,256,101,162,10201,Michael Cuddyer,0.806,0.6496360000000001,1,228,3,0.26,0.06760000000000001,0.624,0.389376,LF,0.3950617283950617,58,3364,UFA,10500000,10500000,10500000,36.45,1328.6025000000002,31500000,39900000,10500000,64,0.62,0.3844,0,16.166885815127753,16.166885815127753,16.166885815127753
STL,6.1,2012,2,2,547,299209,147,21609,5,35,St. Louis Cardinals,SF,32,1024,151,162,22801,Carlos Beltran,0.842,0.7089639999999999,23,213,26,0.269,0.07236100000000001,0.932,0.8686240000000001,DH,0.5432098765432098,97,9409,UFA,13050000,13000000,13050000,69.25,4795.5625,26000000,40850000,13000000,88,3.91,15.288100000000002,11,16.384298691732976,16.38045991542581,16.384298691732976
MIN,0.0,2012,2,3,519,269361,135,18225,4,33,Minnesota Twins,OAK,35,1225,145,162,21025,Josh Willingham,0.89,0.7921,6,0,14,0.26,0.06760000000000001,0.895,0.801025,LF,0.4074074074074074,110,12100,UFA,7000000,7000000,7000000,89.09,7937.0281,21000000,32750000,7000000,66,3.32,11.0224,3,15.761420707019587,15.761420707019587,15.761420707019587
LAD,6.7,2012,2,2,56,3136,4,16,9,34,Los Angeles Dodgers,SD,0,0,31,162,961,Aaron Harang,0.161,0.025921000000000003,25,260,26,0.071,0.0050409999999999995,0.191,0.036481,SP,0.5308641975308642,2,4,UFA,3000000,3000000,3000000,48.48,2350.3104,12000000,44651311,6000000,86,1.84,3.3856,6,14.914122846632385,14.914122846632385,14.914122846632385
WSH,0.0,2012,2,1,57,3249,13,169,6,28,Washington Nationals,STL,0,0,34,162,1156,Edwin Jackson,0.495,0.245025,1,210,2,0.228,0.051984,0.21,0.04409999999999999,SP,0.6049382716049383,0,0,UFA,11000000,11000000,11000000,35.24,1241.8576,11000000,18650000,11000000,98,2.13,4.536899999999999,0,16.213405830762646,16.213405830762646,16.213405830762646
PIT,6.1,2012,2,2,455,207025,104,10816,3,33,Pittsburgh Pirates,HOU,8,64,144,162,20736,Clint Barmes,0.593,0.351649,9,190,14,0.229,0.052441,0.889,0.790321,SS,0.4876543209876543,45,2025,UFA,5000000,5000000,5000000,4.16,17.305600000000002,10500000,14500000,5250000,79,1.19,1.4161,5,15.424948470398375,15.424948470398375,15.424948470398375
LAD,6.2,2012,2,2,54,2916,5,25,9,33,Los Angeles Dodgers,NYM,0,0,34,162,1156,Chris Capuano,0.237,0.056169,25,225,26,0.093,0.008649,0.21,0.04409999999999999,RP,0.5308641975308642,3,9,UFA,3375000,3000000,3375000,0.0,0.0,10000000,44651311,5000000,86,2.29,5.2441,6,15.031905882288767,14.914122846632385,15.031905882288767
LAD,0.0,2012,2,2,415,172225,107,11449,9,35,Los Angeles Dodgers,COL,7,49,110,162,12100,Mark Ellis,0.697,0.48580899999999994,25,0,26,0.258,0.066564,0.679,0.4610410000000001,2B,0.5308641975308642,31,961,UFA,2500000,2500000,2500000,38.36,1471.4895999999999,8750000,44651311,4375000,86,2.58,6.6564000000000005,6,14.73180128983843,14.73180128983843,14.73180128983843
TB,0.0,2012,2,1,497,247009,98,9604,4,34,Tampa Bay Rays,CHC,19,361,160,162,25600,Carlos Pena,0.684,0.46785600000000005,1,0,3,0.197,0.038809,0.988,0.976144,1B,0.5555555555555556,61,3721,UFA,7250000,7250000,7250000,18.81,353.81609999999995,7250000,15950000,7250000,90,0.62,0.3844,0,15.796512026830857,15.796512026830857,15.796512026830857
MIL,0.0,2012,2,1,81,6561,21,441,3,35,Milwaukee Brewers,ATL,4,16,24,162,576,Alex Gonzalez,0.783,0.613089,1,0,4,0.259,0.067081,0.148,0.021903999999999996,SS,0.5123456790123457,15,225,UFA,3500000,3500000,3500000,0.0,0.0,4250000,40250000,4250000,83,0.18,0.0324,0,15.068273526459642,15.068273526459642,15.068273526459642
WSH,6.4,2012,2,1,6,36,1,1,6,32,Washington Nationals,WSH,0,0,10,162,100,Chien-Ming Wang,0.619,0.383161,1,225,2,0.167,0.027889000000000004,0.062,0.0038439999999999998,RP,0.6049382716049383,0,0,UFA,4000000,4000000,4000000,0.0,0.0,4000000,18650000,4000000,98,,,0,15.201804919084164,15.201804919084164,15.201804919084164
CIN,6.2,2012,2,1,422,178084,116,13456,4,33,Cincinnati Reds,PIT,26,676,125,162,15625,Ryan Ludwick,0.877,0.769129,10,214,14,0.275,0.07562500000000001,0.772,0.5959840000000001,LF,0.5987654320987654,80,6400,UFA,2450000,2000000,2450000,76.74,5889.027599999999,3000000,5100000,3000000,97,2.26,5.107599999999999,5,14.71159858252091,14.508657738524219,14.71159858252091
MIA,0.0,2012,2,2,319,101761,91,8281,6,33,Miami Marlins,MIA,5,25,120,162,14400,Greg Dobbs,0.698,0.4872039999999999,2,0,2,0.285,0.08122499999999999,0.741,0.549081,1B,0.4259259259259259,39,1521,UFA,1400000,1400000,1400000,4.57,20.884900000000002,3000000,203300000,1500000,69,-2.01,4.040099999999999,2,14.151982794585487,14.151982794585487,14.151982794585487
TB,0.0,2012,2,1,251,63001,56,3136,4,37,Tampa Bay Rays,TOR,8,64,102,162,10404,Jose Molina,0.64,0.4096,1,0,3,0.223,0.049729,0.63,0.39690000000000003,C,0.5555555555555556,32,1024,UFA,1500000,1500000,1500000,10.7,114.48999999999998,1800000,15950000,1800000,90,1.07,1.1449,0,14.22097566607244,14.22097566607244,14.22097566607244
