Acronimo,Altura,Anio,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2
WSH,6.4,2019,6,169,28561,1,7,81,6561,73,5329,3.4,11.559999999999999,0.03850385038503851,0.00148254649447343,0.13091309130913092,0.01713823747611285,3.25,10.5625,29,Washington Nationals,ARI,Washington DC,202.0,40804.0,33,162,1089,33,1089,Patrick Corbin,7,49,1,220,6,SP,0.5740740740740741,0,0,UFA,238,56644,12916666,12500000,12916666,80.28,6444.8784000000005,140000000,184550000,23333333,93,5.66,32.0356,1.18,1.3923999999999999,1,70,4900,14,196
BOS,6.2,2019,4,72,5184,1,1,46,2116,45,2025,2.0,4.0,0.057442967339569995,0.0032996944967749052,0.11488593467913999,0.013198777987099621,5.99,35.880100000000006,29,Boston Red Sox,BOS,Massachusetts,67.7,4583.29,23,161,529,12,144,Nathan Eovaldi,1,1,14,217,24,SP,0.515527950310559,0,0,UFA,70,4900,17000000,17000000,17000000,2.23,4.9729,68000000,68000000,17000000,83,0.12,0.0144,1.58,2.4964000000000004,9,35,1225,2,4
CHC,6.0,2019,3,21,441,2,5,15,225,15,225,2.5,6.25,0.06441223832528181,0.004148936446072903,0.16103059581320453,0.025930852787955646,6.53,42.6409,31,Chicago Cubs,BOS,Illinois,20.7,428.48999999999995,23,162,529,0,0,Craig Kimbrel,4,16,17,215,20,RP/CL,0.5185185185185185,13,169,UFA,30,900,10000000,10000000,10000000,0.0,0.0,43000000,49325000,14333333,84,-0.51,0.2601,1.6,2.5600000000000005,3,12,144,0,0
NYY,6.1,2019,3,38,1444,2,5,13,169,13,169,1.65625,2.7431640625,0.05800253761102049,0.0033642943693178466,0.09606670291825269,0.00922881140958382,1.91,3.6481,31,New York Yankees,NYY,New York,61.3,3757.6899999999996,66,162,4356,0,0,Zack Britton,1,1,40,200,55,RP,0.6358024691358025,3,9,UFA,53,2809,13000000,13000000,13000000,56.15,3152.8224999999998,39000000,124555000,13000000,103,2.38,5.6644,1.14,1.2995999999999999,27,32,1024,3,9
NYY,6.5,2019,2,160,25600,2,5,88,7744,88,7744,2.857142857142857,8.16326530612245,0.03375353034373493,0.001139300810665435,0.09643865812495694,0.009300414780942325,4.91,24.1081,36,New York Yankees,NYY,New York,161.3,26017.690000000002,32,162,1024,29,841,J.A. Happ,8,64,40,205,55,SP,0.6358024691358025,0,0,UFA,140,19600,17000000,17000000,17000000,23.16,536.3856,34000000,124555000,17000000,103,1.21,1.4641,1.29,1.6641000000000001,27,49,2401,12,144
NYM,6.3,2019,3,62,3844,2,6,39,1521,38,1444,1.5,2.25,0.07777777777777778,0.006049382716049383,0.11666666666666667,0.013611111111111112,5.7,32.49,29,New York Mets,OAK,New York,60.0,3600.0,66,161,4356,0,0,Jeurys Familia,2,4,5,240,9,RP,0.5279503105590062,0,0,UFA,63,3969,6666666,6000000,6666666,1.42,2.0164,30000000,79000000,10000000,85,-0.44,0.1936,1.73,2.9929,2,42,1764,4,16
TB,6.5,2019,2,154,23716,2,2,71,5041,66,4356,4.2105263157894735,17.728531855955676,0.03252867659647321,0.0010581148011179439,0.13696284882725562,0.018758821958877677,3.05,9.302499999999998,35,Tampa Bay Rays,HOU,Florida,194.7,37908.09,33,161,1089,33,1089,Charlie Morton,6,36,1,215,5,SP,0.5962732919254659,0,0,UFA,240,57600,15000000,15000000,15000000,88.46,7825.171599999999,30000000,33500000,15000000,96,5.06,25.603599999999997,1.08,1.1664,0,57,3249,16,256
TEX,6.5,2019,3,195,38025,2,6,89,7921,85,7225,4.169491525423729,17.384659580580298,0.031471702139008906,0.0009904680355264978,0.1312209953592575,0.017218949623074277,3.67,13.4689,32,Texas Rangers,NYY,Texas,208.3,43388.89000000001,33,162,1089,33,1089,Lance Lynn,11,121,2,270,8,SP,0.4814814814814814,0,0,UFA,246,60516,9333333,8000000,9333333,94.84,8994.625600000001,30000000,47250000,10000000,78,7.61,57.9121,1.22,1.4884,0,59,3481,16,256
NYY,6.5,2019,3,47,2209,2,5,17,289,14,196,2.2,4.840000000000001,0.06703536115300822,0.004493739644914244,0.14747779453661808,0.021749699881384938,1.9,3.61,33,New York Yankees,COL,New York,66.3,4395.69,73,162,5329,0,0,Adam Ottavino,5,25,40,246,55,RP,0.6358024691358025,2,4,UFA,88,7744,9000000,8000000,9000000,56.66,3210.3555999999994,27000000,124555000,9000000,103,2.17,4.7089,1.31,1.7161000000000002,27,40,1600,6,36
LAD,6.1,2019,3,49,2401,5,3,31,961,26,676,2.8181818181818183,7.942148760330579,0.047649989170457006,0.00227052146794467,0.13428633311674248,0.018032819261940728,4.56,20.793599999999998,31,Los Angeles Dodgers,BOS,California,51.3,2631.6899999999996,55,161,3025,0,0,Joe Kelly,4,16,25,174,33,RP,0.6521739130434783,1,1,UFA,62,3844,3000000,3000000,3000000,8.68,75.3424,25000000,85000000,8333333,105,-0.53,0.28090000000000004,1.38,1.9043999999999996,6,22,484,5,25
