Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,WAR_2,TVS_2,Dominio_2,Control_2,Comando_2
Max Scherzer,2015,UFA,DET,7,210000000,30000000,Washington Nationals,8,216000000,WSH,83,161,3,1,0,0.515527950310559,SP,34,33,228.7,176,74,71,34,276,14,12,0,0.92,2.79,6.85,76.61,30,208,6.3,10000000,17317857,17317857,0.1340912403439732,0.01651848612933003,8.117647058823529,1156,1089,52303.689999999995,30976,5476,5041,1156,76176,196,144,0,0.8464,7.7841000000000005,46.92249999999999,5869.0921,0.01798046073698519,0.00027286038400486863,65.89619377162629
Jon Lester,2015,UFA,OAK,6,155000000,25833333,Chicago Cubs,13,190950000,CHC,96,161,17,17,2,0.5962732919254659,SP,32,32,205.0,183,83,76,47,207,11,12,0,1.12,3.34,2.74,38.58,31,240,6.4,15000000,20000000,20000000,0.11219512195121951,0.025474254742547425,4.404255319148936,1024,1024,42025.0,33489,6889,5776,2209,42849,121,144,0,1.2544000000000002,11.1556,7.507600000000001,1488.4163999999998,0.012587745389649019,0.0006489376546882,19.397464916251693
James Shields,2015,UFA,KC,4,75000000,18750000,San Diego Padres,8,80850000,SD,74,161,5,2,0,0.4596273291925465,SP,36,33,202.3,189,93,88,81,216,13,7,0,1.33,3.91,2.17,20.77,33,215,6.3,10000000,10000000,10000000,0.11863568956994562,0.044488383588729606,2.6666666666666665,1296,1089,40925.29000000001,35721,8649,7744,6561,46656,169,49,0,1.7689000000000001,15.288100000000002,4.7089,431.3929,0.014074426839736504,0.001979216274337946,7.111111111111111
Ervin Santana,2015,UFA,ATL,4,55000000,13750000,Minnesota Twins,4,68250000,MIN,83,161,14,6,3,0.515527950310559,SP,17,17,108.0,104,50,48,36,82,7,5,0,1.3,4.0,1.49,34.45,32,175,6.2,13500000,7598360,7598360,0.08436213991769548,0.037037037037037035,2.2777777777777777,289,289,11664.0,10816,2500,2304,1296,6724,49,25,0,1.6900000000000002,16.0,2.2201,1186.8025000000002,0.007116970651492829,0.0013717421124828531,5.188271604938271
Brandon McCarthy,2015,UFA,NYY,4,48000000,12000000,Los Angeles Dodgers,8,61257500,LAD,91,161,29,25,6,0.5652173913043478,SP,4,4,23.0,24,15,15,4,29,3,0,0,1.22,5.87,-0.32,0.0,31,225,6.7,11000000,12500000,12500000,0.14009661835748793,0.01932367149758454,7.25,16,16,529.0,576,225,225,16,841,9,0,0,1.4884,34.456900000000005,0.1024,0.0,0.019627062475203624,0.00037340428014656115,52.5625
Francisco Liriano,2015,UFA,PIT,3,39000000,13000000,Pittsburgh Pirates,4,50000000,PIT,97,161,17,9,5,0.6024844720496895,RP,31,31,186.7,155,75,70,70,205,12,7,0,1.21,3.38,2.81,69.74,31,218,6.3,11000000,11666666,11666666,0.12200202344819377,0.041659227518895434,2.9285714285714284,961,961,34856.88999999999,24025,5625,4900,4900,42025,144,49,0,1.4641,11.424399999999999,7.896100000000001,4863.667599999999,0.014884493725453623,0.0017354912374710947,8.576530612244897
Andrew Miller,2015,UFA,BAL,4,36000000,9000000,New York Yankees,7,101500000,NYY,87,161,51,40,27,0.5403726708074534,RP,60,0,61.7,33,16,14,20,100,3,2,36,0.86,2.04,2.39,87.03,30,200,6.7,9000000,9000000,9000000,0.18008283810552853,0.0360165676211057,5.0,3600,0,3806.8900000000003,1089,256,196,400,10000,9,4,1296,0.7395999999999999,4.1616,5.7121,7574.2209,0.032429828580142,0.0012971931432056796,25.0
Adam LaRoche,2015,UFA,WSH,2,25000000,12500000,Chicago White Sox,13,137000000,CHW,76,161,9,6,3,0.4720496894409938,DH,127,115,1.0,0,0,0,0,1,0,0,0,0.0,0.0,-0.81,7.54,35,205,6.2,12000000,12000000,12000000,0.1111111111111111,0.0,inf,16129,13225,1.0,0,0,0,0,1,0,0,0,0.0,0.0,0.6561000000000001,56.8516,0.012345679012345678,0.0,inf
Jake Peavy,2015,UFA,SF,2,24000000,12000000,San Francisco Giants,9,44000000,SF,84,161,25,23,8,0.5217391304347826,RP,19,19,110.7,99,45,44,25,78,8,6,0,1.12,3.58,1.63,0.0,34,180,6.1,7000000,9000000,9000000,0.07828967178560674,0.0250928435210278,3.12,361,361,12254.49,9801,2025,1936,625,6084,64,36,0,1.2544000000000002,12.8164,2.6569,0.0,0.006129272708298028,0.0006296507959707868,9.7344
Edinson Volquez,2015,UFA,PIT,2,20000000,10000000,Kansas City Royals,10,69025000,KC,94,161,9,4,2,0.5838509316770186,SP,35,34,206.0,195,94,81,74,161,13,9,0,1.31,3.54,2.58,57.09,31,220,0.0,7500000,7500000,7500000,0.08683926645091694,0.039913700107874865,2.175675675675676,1225,1156,42436.0,38025,8836,6561,5476,25921,169,81,0,1.7161000000000002,12.531600000000001,6.6564000000000005,3259.2681000000002,0.007541058197733349,0.00159310345630137,4.733564645726808
Jason Hammel,2015,UFA,OAK,2,20000000,10000000,Chicago Cubs,13,190950000,CHC,96,161,17,17,2,0.5962732919254659,SP,32,31,170.7,158,79,71,40,172,10,7,0,1.16,3.74,1.46,0.0,32,225,6.6,9000000,9000000,9000000,0.11195730000650915,0.02603658139686259,4.3,1024,961,29138.489999999994,24964,6241,5041,1600,29584,100,49,0,1.3456,13.987600000000002,2.1315999999999997,0.0,0.012534437024747493,0.0006779035708354512,18.49
Luke Gregerson,2015,UFA,OAK,3,18500000,6166667,Houston Astros,7,65600000,HOU,86,161,10,1,0,0.5341614906832298,RP,64,0,61.0,48,24,21,10,59,7,3,31,0.95,3.1,0.59,68.21,31,200,6.3,6000000,6050000,6050000,0.10746812386156648,0.018214936247723135,5.9,4096,0,3721.0,2304,576,441,100,3481,49,9,961,0.9025,9.610000000000001,0.34809999999999997,4652.6041,0.011549397646324995,0.0003317839025086181,34.81
Zach Duke,2015,UFA,MIL,3,15000000,5000000,Chicago White Sox,13,137000000,CHW,76,161,9,6,3,0.4720496894409938,RP,72,0,61.7,47,26,23,32,67,3,6,1,1.28,3.36,0.54,13.05,32,210,6.2,4500000,4500000,4500000,0.1206555015307041,0.057626508193769126,2.09375,5184,0,3806.8900000000003,2209,676,529,1024,4489,9,36,1,1.6384,11.289599999999998,0.2916,170.3025,0.01455775004962574,0.00332081444660654,4.3837890625
Francisco Rodriguez,2015,UFA,MIL,2,13000000,6500000,Milwaukee Brewers,5,17500000,MIL,68,161,4,1,0,0.422360248447205,RP,60,0,57.0,38,15,14,11,62,1,3,38,0.86,2.21,1.71,84.73,33,180,6.0,3500000,3500000,3500000,0.12085769980506822,0.021442495126705652,5.636363636363637,3600,0,3249.0,1444,225,196,121,3844,1,9,1444,0.7395999999999999,4.8841,2.9240999999999997,7179.1729000000005,0.014606583602171987,0.0004597805972587956,31.768595041322317
Pat Neshek,2015,UFA,STL,2,12500000,6250000,Houston Astros,7,65600000,HOU,86,161,10,1,0,0.5341614906832298,RP,66,0,54.7,49,25,22,12,51,3,6,1,1.12,3.62,0.18,9.4,34,220,6.3,5500000,5500000,5500000,0.10359536867763558,0.02437538086532602,4.25,4356,0,2992.09,2401,625,484,144,2601,9,36,1,1.2544000000000002,13.1044,0.0324,88.36000000000001,0.010732000411455238,0.0005941591923297019,18.0625
Luke Hochevar,2015,UFA,KC,2,10000000,5000000,Kansas City Royals,10,69025000,KC,94,161,9,4,2,0.5838509316770186,RP,50,0,50.7,49,23,21,16,49,1,1,1,1.28,3.73,0.28,9.44,31,225,6.5,4000000,4000000,4000000,0.10738549200087662,0.035064650449265836,3.0625,2500,0,2570.4900000000002,2401,529,441,256,2401,1,1,1,1.6384,13.9129,0.07840000000000001,89.11359999999999,0.011531643892270335,0.0012295297111291988,9.37890625
Brett Anderson,2015,UFA,COL,1,10000000,10000000,Los Angeles Dodgers,8,61257500,LAD,91,161,29,25,6,0.5652173913043478,SP,31,31,180.3,194,82,76,46,116,10,9,0,1.33,3.79,1.59,48.5,27,230,6.4,10000000,12400000,12400000,0.07148579527947248,0.028347815369445983,2.5217391304347827,961,961,32508.090000000004,37636,6724,5776,2116,13456,100,81,0,1.7689000000000001,14.3641,2.5281000000000002,2352.25,0.00511021892673865,0.0008035986362201978,6.359168241965974
A.J. Burnett,2015,UFA,PHI,1,8500000,8500000,Pittsburgh Pirates,4,50000000,PIT,97,161,17,9,5,0.6024844720496895,SP,26,26,164.0,174,64,58,49,143,9,7,0,1.36,3.18,2.82,67.75,38,230,6.5,8500000,8500000,8500000,0.09688346883468835,0.03319783197831978,2.9183673469387754,676,676,26896.0,30276,4096,3364,2401,20449,81,49,0,1.8496000000000004,10.112400000000001,7.952399999999999,4590.0625,0.009386406533442028,0.0011020960480607517,8.516867971678467
Jason Grilli,2015,UFA,LAA,2,8000000,4000000,Atlanta Braves,18,69107500,ATL,65,160,23,18,3,0.40625,RP,36,0,33.7,28,13,11,10,45,3,4,24,1.13,2.94,0.58,0.0,38,235,6.5,4250000,4250000,4250000,0.14836795252225518,0.03297065611605671,4.5,1296,0,1135.6900000000003,784,169,121,100,2025,9,16,576,1.2768999999999997,8.6436,0.3364,0.0,0.022013049335646167,0.0010870641647232676,20.25
Kyle Kendrick,2015,UFA,PHI,1,5500000,5500000,Colorado Rockies,9,18950000,COL,67,161,3,1,0,0.4161490683229814,SP,27,27,142.3,172,102,100,45,80,7,13,0,1.52,6.32,-0.7,4.66,30,210,6.3,5500000,5500000,5500000,0.06246583899429999,0.035137034434293744,1.7777777777777777,729,729,20249.290000000005,29584,10404,10000,2025,6400,49,169,0,2.3104,39.942400000000006,0.48999999999999994,21.715600000000002,0.0039019810412618096,0.0012346111888367442,3.1604938271604937
Chris Capuano,2015,UFA,NYY,1,5000000,5000000,New York Yankees,7,101500000,NYY,87,161,51,40,27,0.5403726708074534,RP,22,4,40.7,52,38,36,22,38,0,4,0,1.82,7.97,-1.08,0.0,36,225,6.2,5000000,5000000,5000000,0.10374010374010374,0.06006006006006006,1.7272727272727273,484,16,1656.4900000000002,2704,1444,1296,484,1444,0,16,0,3.3124000000000002,63.5209,1.1664,0.0,0.010762009124007486,0.0036072108144180218,2.9834710743801653
Casey Janssen,2015,UFA,TOR,1,5000000,5000000,Washington Nationals,8,216000000,WSH,83,161,3,1,0,0.515527950310559,RP,48,0,40.0,38,22,22,8,27,2,5,0,1.15,4.95,-0.14,0.0,33,205,6.4,3500000,3500000,3500000,0.075,0.022222222222222223,3.375,2304,0,1600.0,1444,484,484,64,729,4,25,0,1.3224999999999998,24.5025,0.019600000000000003,0.0,0.005625,0.0004938271604938272,11.390625
David Ross,2015,UFA,BOS,2,5000000,2500000,Chicago Cubs,13,190950000,CHC,96,161,17,17,2,0.5962732919254659,C,72,46,2.0,0,0,0,0,0,0,0,0,0.0,0.0,-0.07,0.0,38,230,6.2,2250000,2500000,2500000,0.0,0.0,,5184,2116,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.004900000000000001,0.0,0.0,0.0,
Aaron Harang,2015,UFA,ATL,1,5000000,5000000,Philadelphia Phillies,8,13800000,PHI,62,161,14,7,2,0.3850931677018633,SP,29,29,172.3,189,100,93,51,108,6,15,0,1.39,4.86,0.42,23.48,37,260,6.7,5000000,5000000,5000000,0.06964596633778293,0.03288837299284194,2.1176470588235294,841,841,29687.290000000005,35721,10000,8649,2601,11664,36,225,0,1.9320999999999997,23.619600000000002,0.17639999999999997,551.3104000000001,0.004850560627123593,0.0010816450781162951,4.484429065743945
Jason Motte,2015,UFA,STL,1,4500000,4500000,Chicago Cubs,13,190950000,CHC,96,161,17,17,2,0.5962732919254659,RP,57,0,48.3,48,21,21,11,34,8,1,6,1.22,3.91,0.22,29.29,33,225,6.0,4500000,4500000,4500000,0.07821486082355648,0.025304807913503567,3.090909090909091,3249,0,2332.89,2304,441,441,121,1156,64,1,36,1.4884,15.288100000000002,0.0484,857.9041,0.006117564453648311,0.0006403333035393127,9.553719008264462
