Acronimo,Altura,Anio,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2
LAD,6.1,2021,3,112,12544,5,7,53,2809,45,2025,4.388888888888889,19.26234567901235,0.03320420586607637,0.0011025192871967804,0.14572957019000185,0.021237107627762677,4.32,18.6624,29,Los Angeles Dodgers,CIN,California,180.7,32652.489999999994,28,162,784,28,784,Trevor Bauer,9,81,25,205,35,SP,0.654320987654321,0,0,UFA,237,56169,31333333,28000000,31333333,124.97,15617.5009,102000000,160320500,34000000,106,5.77,33.292899999999996,1.8,3.24,7,54,2916,13,169
CHW,6.0,2021,3,59,3481,2,2,29,841,25,625,15.0,225.0,0.011538017768547364,0.00013312585402731468,0.17307026652821048,0.02995331715614581,4.32,18.6624,32,Chicago White Sox,OAK,Illinois,96.3,9273.689999999999,93,162,8649,0,0,Liam Hendriks,4,16,6,235,11,RP/CL,0.5740740740740741,52,2704,UFA,150,22500,11333333,11000000,11333333,174.61,30488.652100000003,54000000,57000000,18000000,93,3.99,15.920100000000001,1.4,1.9599999999999997,3,10,100,11,121
HOU,6.2,2021,3,113,12769,2,5,61,3721,59,3481,2.7837837837837838,7.74945215485756,0.034751573213111675,0.001207671840786261,0.0967408659716352,0.009358795148941884,10.8,116.64000000000001,30,Houston Astros,MIN,Texas,118.3,13994.89,28,162,784,27,729,Jake Odorizzi,8,64,4,190,15,SP,0.5864197530864198,0,0,UFA,103,10609,9000000,6000000,9000000,29.63,877.9368999999999,23500000,76100000,7833333,95,0.49,0.24009999999999998,2.64,6.969600000000001,1,37,1369,6,36
NYM,6.4,2021,3,176,30976,2,9,107,11449,95,9025,2.6486486486486487,7.015339663988313,0.03872926152718899,0.0014999556984414012,0.10258020620714921,0.010522698705501253,7.17,51.408899999999996,27,New York Mets,TOR,New York,212.3,45071.29000000001,42,162,1764,40,1600,Taijuan Walker,14,196,5,235,9,SP,0.4753086419753086,0,0,UFA,196,38416,10000000,10000000,10000000,115.53,13347.1809,23000000,94150000,7666667,77,0.87,0.7569,2.35,5.522500000000001,2,74,5476,11,121
KC,6.4,2021,2,206,42436,2,5,128,16384,124,15376,3.459016393442623,11.964794410104812,0.03148062135521495,0.0009910295209104155,0.10889198534344842,0.011857464472037785,10.61,112.57209999999999,33,Kansas City Royals,OAK,Missouri,215.3,46354.090000000004,40,163,1600,39,1521,Mike Minor,18,324,4,210,9,SP,0.4601226993865031,0,0,UFA,211,44521,7000000,7000000,7000000,65.26,4258.8676000000005,18000000,41500000,9000000,75,1.17,1.3688999999999998,2.48,6.1504,2,61,3721,9,81
LAD,6.5,2021,2,69,4761,5,7,35,1225,27,729,3.242424242424242,10.51331496786042,0.03741496598639456,0.0013998796797630617,0.12131519274376418,0.014717375990456652,5.85,34.2225,33,Los Angeles Dodgers,LAD,California,98.0,9604.0,99,162,9801,0,0,Blake Treinen,8,64,25,225,35,RP/CL,0.654320987654321,8,64,UFA,107,11449,8000000,6000000,8000000,105.73,11178.832900000001,17500000,160320500,8750000,106,2.11,4.4521,2.19,4.7961,7,33,1089,9,81
NYM,6.5,2021,2,75,5625,2,9,40,1600,35,1225,3.903225806451613,15.235171696149845,0.040051679586563305,0.0016041370377047318,0.15633074935400518,0.02443930319358479,7.45,55.502500000000005,30,New York Mets,MIN,New York,86.0,7396.0,92,162,8464,0,0,Trevor May,3,9,5,240,9,RP,0.4753086419753086,6,36,UFA,121,14641,8000000,7750000,8000000,62.69,3930.0361,15500000,94150000,7750000,77,0.47,0.22089999999999999,2.42,5.8564,2,31,961,8,64
ATL,6.5,2021,1,179,32041,1,6,98,9604,89,7921,3.7941176470588234,14.395328719723182,0.033775393632344906,0.0011407772150198447,0.12814781701683803,0.016421863006181002,8.09,65.4481,36,Atlanta Braves,TB,Georgia,223.7,50041.689999999995,43,161,1849,42,1764,Charlie Morton,8,64,18,215,27,SP,0.546583850931677,0,0,UFA,258,66564,15000000,15000000,15000000,109.72,12038.4784,15000000,94240000,15000000,88,4.35,18.922499999999996,2.44,5.9536,4,68,4624,16,256
HOU,6.0,2021,2,12,144,2,5,9,81,7,49,2.25,5.0625,0.04173187271778821,0.0017415492005336756,0.09389671361502347,0.008816592827701733,5.26,27.667599999999997,33,Houston Astros,LAD,Texas,21.3,453.69000000000005,22,162,484,0,0,Pedro Baez,0,0,4,232,15,RP,0.5864197530864198,2,4,UFA,18,324,4750000,4500000,4750000,34.6,1197.16,12500000,76100000,6250000,95,0.15,0.0225,1.69,2.8560999999999996,1,8,64,0,0
OAK,6.2,2021,1,12,144,5,5,6,36,5,25,4.75,22.5625,0.03750586029067042,0.0014066895561432884,0.1781528363806845,0.03173843311048294,1.9,3.61,30,Oakland Athletics,SD,California,23.7,561.6899999999999,23,162,529,0,0,Trevor Rosenthal,0,0,15,230,29,RP,0.5308641975308642,11,121,UFA,38,1444,11000000,11000000,11000000,97.14,9436.1796,11000000,21300000,11000000,86,0.51,0.2601,0.85,0.7224999999999999,9,8,64,1,1
