Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,WAR_2,TVS_2,Dominio_2,Control_2,Comando_2
Aroldis Chapman,2017,UFA,CHC,5,86000000,17200000,New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,RP,52,0,50.3,37,20,18,20,69,4,3,22,1.13,3.22,0.96,17.75,29,218,6.4,15000000,17200000,17200000,0.15241882041086813,0.04417936823503424,3.45,2704,0,2530.0899999999997,1369,400,324,400,4761,16,9,484,1.2768999999999997,10.368400000000001,0.9216,315.0625,0.02323149681544047,0.0019518165776467524,11.902500000000002
Kenley Jansen,2017,UFA,LAD,5,80000000,16000000,Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,RP/CL,65,0,68.3,44,11,10,7,109,5,0,41,0.75,1.32,2.96,90.26,29,265,6.5,10000000,11333333,11333333,0.17732227102651701,0.011387668781519441,15.571428571428571,4225,0,4664.889999999999,1936,121,100,49,11881,25,0,1681,0.5625,1.7424000000000002,8.7616,8146.8676000000005,0.03144318780200155,0.0001296790002775925,242.46938775510202
Mark Melancon,2017,UFA,WSH,4,62000000,15500000,San Francisco Giants,3,65250000,SF,64,162,26,23,8,0.3950617283950617,RP/CL,32,0,30.0,37,16,15,6,29,1,2,11,1.43,4.5,0.12,0.0,32,215,6.1,4000000,14000000,14000000,0.10740740740740741,0.022222222222222223,4.833333333333333,1024,0,900.0,1369,256,225,36,841,1,4,121,2.0448999999999997,20.25,0.0144,0.0,0.011536351165980795,0.0004938271604938272,23.361111111111107
Rich Hill,2017,UFA,LAD,3,48000000,16000000,Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,SP,25,25,135.7,99,51,50,49,166,12,8,0,1.09,3.32,2.23,67.79,37,221,6.5,12000000,12666666,12666666,0.13592074019487432,0.040121182346679767,3.3877551020408165,625,625,18414.489999999998,9801,2601,2500,2401,27556,144,64,0,1.1881000000000002,11.0224,4.9729,4595.484100000001,0.018474447615122524,0.0016097092728955282,11.476884631403584
Brett Cecil,2017,UFA,TOR,4,30500000,7625000,St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,RP,73,0,67.3,67,31,29,16,66,2,4,1,1.23,3.88,0.5,12.34,30,235,0.0,7500000,7750000,7750000,0.1089648340762754,0.02641571735182434,4.125,5329,0,4529.29,4489,961,841,256,4356,4,16,1,1.5129,15.0544,0.25,152.2756,0.011873335065270229,0.0006977901232114735,17.015625
Ivan Nova,2017,UFA,PIT,3,26000000,8666667,Pittsburgh Pirates,2,37000000,PIT,75,162,17,9,5,0.4629629629629629,SP,31,31,187.0,203,96,86,36,131,11,14,0,1.28,4.14,2.15,53.2,30,250,6.5,7000000,8416666,8416666,0.0778371954842543,0.0213903743315508,3.638888888888889,961,961,34969.0,41209,9216,7396,1296,17161,121,196,0,1.6384,17.139599999999998,4.6225,2830.2400000000002,0.0060586290008540185,0.0004575481140438674,13.241512345679013
Edinson Volquez,2017,UFA,KC,2,22000000,11000000,Miami Marlins,6,57250000,MIA,77,162,2,2,2,0.4753086419753086,SP,17,17,92.3,78,46,43,53,81,4,8,0,1.42,4.19,0.68,37.36,33,220,0.0,9000000,9000000,9000000,0.09750812567713978,0.06380161309738774,1.528301886792453,289,289,8519.289999999999,6084,2116,1849,2809,6561,16,64,0,2.0164,17.556100000000004,0.4624000000000001,1395.7695999999999,0.009507834573068885,0.004070645833828759,2.335706657173372
Michael Dunn,2017,UFA,MIA,3,19000000,6333333,Colorado Rockies,4,97250000,COL,87,162,4,1,0,0.5370370370370371,RP,68,0,50.3,43,25,25,28,57,5,1,0,1.41,4.47,0.66,10.54,32,215,6.0,4000000,4000000,4000000,0.12591119946984758,0.061851115529047936,2.0357142857142856,4624,0,2530.0899999999997,1849,625,625,784,3249,25,1,0,1.9880999999999998,19.9809,0.43560000000000004,111.09159999999999,0.015853630151935746,0.003825560492187635,4.144132653061224
Jason Hammel,2017,UFA,CHC,2,16000000,8000000,Kansas City Royals,4,43800000,KC,80,162,9,4,2,0.4938271604938271,SP,32,32,180.3,209,109,106,48,145,8,13,0,1.42,5.29,1.41,32.19,34,225,6.6,5000000,5000000,5000000,0.08935724409934061,0.029580329081161028,3.0208333333333335,1024,1024,32508.090000000004,43681,11881,11236,2304,21025,64,169,0,2.0164,27.9841,1.9880999999999998,1036.1961,0.007984717073029142,0.0008749958685497809,9.125434027777779
Brad Ziegler,2017,UFA,BOS,2,16000000,8000000,Miami Marlins,6,57250000,MIA,77,162,2,2,2,0.4753086419753086,RP,53,0,47.0,57,29,25,16,26,1,4,10,1.55,4.79,-0.74,4.18,37,220,6.4,7000000,7000000,7000000,0.061465721040189124,0.037825059101654845,1.625,2809,0,2209.0,3249,841,625,256,676,1,16,100,2.4025000000000003,22.9441,0.5476,17.472399999999997,0.003778034862990348,0.0014307350960436822,2.640625
