Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,WAR_2,TVS_2,Dominio_2,Control_2,Comando_2
Matt Garza,2014,UFA,TEX,4,50000000,12500000,Milwaukee Brewers,7,57600000,MIL,82,162,4,1,0,0.5061728395061729,SP,27,27,163.3,143,77,66,50,126,8,8,0,1.18,3.64,1.23,35.38,30,215,6.4,12500000,12500000,12500000,0.08573178199632578,0.03402054841124039,2.52,729,729,26666.890000000003,20449,5929,4356,2500,15876,64,64,0,1.3923999999999999,13.249600000000001,1.5129,1251.7444000000003,0.007349938444265529,0.0011573977142015509,6.3504000000000005
Ricky Nolasco,2014,UFA,LAD,4,49000000,12250000,Minnesota Twins,7,97290983,MIN,70,162,14,6,3,0.4320987654320987,SP,27,27,159.0,203,96,95,38,115,6,12,0,1.52,5.38,0.24,7.18,31,215,6.2,12000000,12000000,12000000,0.0803633822501747,0.026554856743535988,3.026315789473684,729,729,25281.0,41209,9216,9025,1444,13225,36,144,0,2.3104,28.944399999999998,0.0576,51.5524,0.0064582732066876935,0.0007051604166697187,9.158587257617727
Jason Vargas,2014,UFA,LAA,4,32000000,8000000,Kansas City Royals,4,66500000,KC,89,162,8,3,1,0.5493827160493827,SP,30,30,187.0,197,82,77,41,128,11,10,0,1.27,3.71,2.49,54.15,31,215,6.0,7000000,7000000,7000000,0.07605466428995841,0.0243612596553773,3.1219512195121952,900,900,34969.0,38809,6724,5929,1681,16384,121,100,0,1.6129,13.7641,6.200100000000001,2932.2225,0.005784311960258275,0.0005934709719967137,9.746579417013683
Scott Feldman,2014,UFA,BAL,3,30000000,10000000,Houston Astros,8,43800000,HOU,70,162,9,1,0,0.4320987654320987,SP,29,29,180.3,185,86,75,50,107,8,12,0,1.3,3.74,1.76,39.15,31,225,6.6,12000000,12000000,12000000,0.06593948357675479,0.03081284279287607,2.14,841,841,32508.090000000004,34225,7396,5625,2500,11449,64,144,0,1.6900000000000002,13.987600000000002,3.0976,1532.7224999999999,0.0043480154943691144,0.0009494312809784947,4.5796
Tim Hudson,2014,UFA,ATL,3,28000000,9333333,San Francisco Giants,7,25850000,SF,87,161,25,23,8,0.5403726708074534,SP,31,31,189.3,199,86,75,34,120,9,13,0,1.23,3.57,1.2,46.83,38,174,6.1,11000000,11025000,11025000,0.07043493572812115,0.01995656512296766,3.5294117647058822,961,961,35834.490000000005,39601,7396,5625,1156,14400,81,169,0,1.5129,12.7449,1.44,2193.0489,0.004961080171024557,0.0003982644915072492,12.45674740484429
Phil Hughes,2014,UFA,NYY,3,24000000,8000000,Minnesota Twins,7,97290983,MIN,70,162,14,6,3,0.4320987654320987,RP,32,32,209.7,221,88,82,16,186,16,10,0,1.13,3.52,4.54,0.0,28,240,6.5,8000000,8500000,8500000,0.09855348911142903,0.00847771949345626,11.625,1024,1024,43974.09,48841,7744,6724,256,34596,256,100,0,1.2768999999999997,12.3904,20.6116,0.0,0.009712790216036559,7.187172780972827e-05,135.140625
Bronson Arroyo,2014,UFA,CIN,2,23500000,11750000,Arizona Diamondbacks,8,42450000,ARI,64,161,5,1,1,0.3975155279503105,SP,15,14,86.0,92,40,39,19,47,7,4,0,1.29,4.08,0.55,0.0,37,185,6.4,9500000,9500000,9500000,0.060723514211886306,0.02454780361757106,2.473684210526316,225,196,7396.0,8464,1600,1521,361,2209,49,16,0,1.6641000000000001,16.6464,0.30250000000000005,0.0,0.0036873451782411582,0.0006025946624468348,6.119113573407203
Scott Kazmir,2014,UFA,CLE,2,22000000,11000000,Oakland Athletics,5,32800000,OAK,88,162,26,15,9,0.5432098765432098,SP,32,32,190.3,171,81,75,50,164,15,9,0,1.16,3.55,1.94,48.65,30,185,6.0,7000000,9050000,9050000,0.09575524026391079,0.02919367081216792,3.28,1024,1024,36214.090000000004,29241,6561,5625,2500,26896,225,81,0,1.3456,12.6025,3.7636,2366.8224999999998,0.00916906603799928,0.0008522704154892252,10.758399999999998
Joe Nathan,2014,UFA,TEX,2,20000000,10000000,Detroit Tigers,5,33500000,DET,90,162,16,11,4,0.5555555555555556,RP,62,0,58.0,60,32,31,29,54,5,4,35,1.53,4.81,-0.31,5.91,39,230,6.4,9000000,9000000,9000000,0.10344827586206896,0.05555555555555555,1.8620689655172413,3844,0,3364.0,3600,1024,961,841,2916,25,16,1225,2.3409,23.136099999999995,0.0961,34.9281,0.01070154577883472,0.0030864197530864196,3.4673008323424495
Brian Wilson,2014,UFA,LAD,2,19000000,9500000,Los Angeles Dodgers,11,61150000,LAD,93,161,28,25,6,0.577639751552795,RP,61,0,48.3,49,26,25,29,54,2,4,1,1.61,4.66,-0.52,0.09,32,0,0.0,10000000,10000000,10000000,0.12422360248447205,0.06671267540832758,1.8620689655172413,3721,0,2332.89,2401,676,625,841,2916,4,16,1,2.5921000000000003,21.715600000000002,0.27040000000000003,0.0081,0.01543150341422013,0.004450581060136875,3.4673008323424495
Boone Logan,2014,UFA,NYY,3,16500000,5500000,Colorado Rockies,6,31250000,COL,66,161,3,1,0,0.4099378881987577,RP,35,0,25.0,31,20,19,11,32,2,3,0,1.68,6.84,-0.99,0.0,29,215,6.5,4750000,4750000,4750000,0.14222222222222222,0.04888888888888889,2.909090909090909,1225,0,625.0,961,400,361,121,1024,4,9,0,2.8223999999999996,46.785599999999995,0.9801,0.0,0.02022716049382716,0.0023901234567901236,8.462809917355372
Hiroki Kuroda,2014,UFA,NYY,1,16000000,16000000,New York Yankees,9,311500000,NYY,84,162,50,40,27,0.5185185185185185,SP,32,32,199.0,191,91,82,35,146,11,9,0,1.14,3.71,2.0,35.24,39,0,0.0,16000000,16000000,16000000,0.08151870463428253,0.01954215522054718,4.171428571428572,1024,1024,39601.0,36481,8281,6724,1225,21316,121,81,0,1.2995999999999999,13.7641,4.0,1241.8576,0.006645299205251395,0.00038189583066395937,17.400816326530613
A.J. Burnett,2014,UFA,PIT,1,16000000,16000000,Philadelphia Phillies,7,59875000,PHI,73,162,14,7,2,0.4506172839506173,SP,34,34,213.7,205,122,109,96,190,8,18,0,1.41,4.59,0.17,12.28,37,230,6.5,7500000,11250000,11250000,0.0987885405292986,0.04991420995164561,1.9791666666666667,1156,1156,45667.689999999995,42025,14884,11881,9216,36100,64,324,0,1.9880999999999998,21.068099999999998,0.028900000000000006,150.7984,0.009759175739908872,0.002491428355096958,3.9171006944444446
Joe Smith,2014,UFA,CLE,3,15750000,5250000,Los Angeles Angels,8,22100000,LAA,98,161,10,1,1,0.6086956521739131,RP,76,0,74.7,45,16,15,15,68,7,2,15,0.8,1.81,2.5,86.32,30,211,6.2,5250000,5250000,5250000,0.10114532202885615,0.022311468094600623,4.533333333333333,5776,0,5580.09,2025,256,225,225,4624,49,4,225,0.6400000000000001,3.2761,6.25,7451.142399999999,0.010230376168321013,0.0004978016085363815,20.55111111111111
Joaquin Benoit,2014,UFA,DET,2,15500000,7750000,San Diego Padres,7,25700000,SD,77,161,5,2,0,0.4782608695652174,RP,53,0,54.3,28,10,9,14,64,4,2,11,0.77,1.49,1.81,60.17,37,250,6.4,6000000,6000000,6000000,0.1309596889707387,0.02864743196234909,4.571428571428571,2809,0,2948.49,784,100,81,196,4096,16,4,121,0.5929,2.2201,3.2761,3620.4289000000003,0.01715044013531262,0.0008206753580374202,20.897959183673468
Ervin Santana,2014,UFA,KC,1,14100000,14100000,Atlanta Braves,5,47350000,ATL,79,162,23,18,3,0.4876543209876543,SP,31,31,196.0,193,90,86,63,179,14,10,0,1.31,3.95,1.3,36.43,31,175,6.2,14100000,14100000,14100000,0.10147392290249434,0.03571428571428571,2.8412698412698414,961,961,38416.0,37249,8100,7396,3969,32041,196,100,0,1.7161000000000002,15.602500000000001,1.6900000000000002,1327.1449,0.010296957029221366,0.0012755102040816326,8.07281431090955
Fernando Rodney,2014,UFA,TB,2,14000000,7000000,Seattle Mariners,8,267800000,SEA,86,161,4,0,0,0.5341614906832298,RP,69,0,66.3,61,24,21,28,76,1,6,48,1.34,2.85,0.77,55.08,37,240,0.0,7000000,7050000,7050000,0.1273671861907156,0.04692475280710575,2.7142857142857144,4761,0,4395.69,3721,576,441,784,5776,1,36,2304,1.7956000000000003,8.1225,0.5929,3033.8064,0.016222400118140416,0.002201932426007979,7.367346938775511
Javier Lopez,2014,UFA,SF,3,13000000,4333333,San Francisco Giants,7,25850000,SF,87,161,25,23,8,0.5403726708074534,RP,65,0,37.7,31,14,13,19,22,1,1,0,1.33,3.11,0.4,10.11,36,220,6.4,4000000,4000000,4000000,0.06483937518420277,0.055997642204538754,1.1578947368421053,4225,0,1421.2900000000002,961,196,169,361,484,1,1,0,1.7689000000000001,9.672099999999999,0.16000000000000003,102.21209999999999,0.00420414457427781,0.00313573593246754,1.3407202216066483
J.P. Howell,2014,UFA,LAD,2,11250000,5625000,Los Angeles Dodgers,11,61150000,LAD,93,161,28,25,6,0.577639751552795,RP,68,0,49.0,31,14,13,25,48,3,3,0,1.14,2.39,1.06,18.84,31,180,6.0,4000000,5500000,5500000,0.10884353741496598,0.05668934240362812,1.92,4624,0,2401.0,961,196,169,625,2304,9,9,0,1.2995999999999999,5.7121,1.1236000000000002,354.9456,0.011846915637003099,0.0032136815421557894,3.6864
Mike Pelfrey,2014,UFA,MIN,2,11000000,5500000,Minnesota Twins,7,97290983,MIN,70,162,14,6,3,0.4320987654320987,RP,5,5,23.7,29,23,21,18,10,0,3,0,1.99,7.99,-0.68,0.0,30,240,6.7,5500000,5500000,5500000,0.04688232536333802,0.08438818565400845,0.5555555555555556,25,25,561.6899999999999,841,529,441,324,100,0,9,0,3.9601,63.84010000000001,0.4624000000000001,0.0,0.0021979524314738874,0.007121365877975397,0.308641975308642
Brad Ziegler,2014,UFA,ARI,2,10500000,5250000,Arizona Diamondbacks,8,42450000,ARI,64,161,5,1,1,0.3975155279503105,RP,68,0,67.0,60,29,26,24,54,5,3,1,1.25,3.49,0.25,17.3,34,220,6.4,4500000,4500000,4500000,0.08955223880597014,0.03980099502487562,2.25,4624,0,4489.0,3600,841,676,576,2916,25,9,1,1.5625,12.180100000000001,0.0625,299.29,0.008019603475161506,0.001584119204970174,5.0625
Dan Haren,2014,UFA,WSH,1,10000000,10000000,Los Angeles Dodgers,11,61150000,LAD,93,161,28,25,6,0.577639751552795,SP,32,32,186.0,183,101,83,36,145,13,11,0,1.18,4.02,-0.53,36.33,33,215,6.5,10000000,11000000,11000000,0.08661887694145759,0.021505376344086023,4.027777777777778,1024,1024,34596.0,33489,10201,6889,1296,21025,169,121,0,1.3923999999999999,16.160399999999996,0.28090000000000004,1319.8689,0.007502829842599373,0.00046248121170077474,16.222993827160494
Edward Mujica,2014,UFA,STL,2,9500000,4750000,Boston Red Sox,9,56433443,BOS,71,162,21,13,8,0.4382716049382716,RP,64,0,60.0,69,28,26,14,43,2,4,8,1.38,3.9,0.04,18.0,30,225,6.3,4750000,4750000,4750000,0.07962962962962963,0.025925925925925925,3.0714285714285716,4096,0,3600.0,4761,784,676,196,1849,4,16,64,1.9043999999999996,15.209999999999999,0.0016,324.0,0.00634087791495199,0.0006721536351165981,9.433673469387756
Eric O'Flaherty,2014,UFA,ATL,2,7000000,3500000,Oakland Athletics,5,32800000,OAK,88,162,26,15,9,0.5432098765432098,RP,21,0,20.0,15,5,5,4,15,1,0,1,0.95,2.25,0.41,0.0,29,210,6.3,1500000,1500000,1500000,0.08333333333333333,0.022222222222222223,3.75,441,0,400.0,225,25,25,16,225,1,0,1,0.9025,5.0625,0.16809999999999997,0.0,0.006944444444444444,0.0004938271604938272,14.0625
Matt Thornton,2014,UFA,BOS,2,7000000,3500000,Washington Nationals,8,14150000,WSH,96,162,3,1,0,0.5925925925925926,RP,64,0,36.0,33,9,7,8,28,1,3,0,1.14,1.75,0.42,50.63,37,235,6.6,3500000,3500000,1051912,0.08641975308641975,0.024691358024691357,3.5,4096,0,1296.0,1089,81,49,64,784,1,9,0,1.2995999999999999,3.0625,0.17639999999999997,2563.3969,0.007468373723517756,0.0006096631611034902,12.25
Chad Qualls,2014,UFA,MIA,2,6000000,3000000,Houston Astros,8,43800000,HOU,70,162,9,1,0,0.4320987654320987,RP,58,0,51.3,54,22,19,5,43,1,5,19,1.15,3.33,0.44,57.82,35,245,6.4,2750000,2750000,2750000,0.09313406974225688,0.010829542993285684,8.6,3364,0,2631.6899999999996,2916,484,361,25,1849,1,25,361,1.3224999999999998,11.0889,0.1936,3343.1524,0.008673954946755569,0.00011727900144342304,73.96
Jason Hammel,2014,UFA,BAL,1,6000000,6000000,Oakland Athletics,5,32800000,OAK,88,162,26,15,9,0.5432098765432098,SP,30,29,176.3,154,70,68,44,158,10,11,0,1.12,3.47,3.21,0.0,31,225,6.6,6000000,6000000,2852459,0.09957773996344614,0.027730509863238165,3.590909090909091,900,841,31081.690000000002,23716,4900,4624,1936,24964,100,121,0,1.2544000000000002,12.0409,10.3041,0.0,0.009915726296227698,0.0007689811772751492,12.894628099173554
Manny Parra,2014,UFA,CIN,2,5500000,2750000,Cincinnati Reds,6,15125000,CIN,76,162,15,10,5,0.4691358024691358,RP,53,0,36.7,39,20,19,18,34,0,3,1,1.55,4.66,-0.51,2.73,31,215,6.3,2000000,2000000,2000000,0.10293672419013018,0.05449591280653951,1.8888888888888888,2809,0,1346.89,1521,400,361,324,1156,0,9,1,2.4025000000000003,21.715600000000002,0.2601,7.4529,0.010595969186994932,0.0029698045126179567,3.567901234567901
Ryan Vogelsong,2014,UFA,SF,1,5000000,5000000,San Francisco Giants,7,25850000,SF,87,161,25,23,8,0.5403726708074534,SP,32,32,184.7,178,86,82,58,151,8,13,0,1.28,4.0,0.96,37.82,36,215,6.4,5000000,5000000,5000000,0.09083799554833664,0.03489141550863262,2.603448275862069,1024,1024,34114.09,31684,7396,6724,3364,22801,64,169,0,1.6384,16.0,0.9216,1430.3524,0.008251541435239628,0.0012174108761960488,6.77794292508918
Edinson Volquez,2014,UFA,LAD,1,5000000,5000000,Pittsburgh Pirates,1,5000000,PIT,88,162,16,9,5,0.5432098765432098,SP,32,31,192.7,166,75,65,71,140,13,7,0,1.23,3.04,2.59,60.78,30,220,0.0,5000000,5000000,5000000,0.08072421149743413,0.040938707259413024,1.971830985915493,1024,961,37133.28999999999,27556,5625,4225,5041,19600,169,49,0,1.5129,9.2416,6.708099999999999,3694.2084,0.006516398321882476,0.0016759777520719166,3.888117437016465
Oliver Perez,2014,UFA,SEA,2,4250000,2125000,Arizona Diamondbacks,8,42450000,ARI,64,161,5,1,1,0.3975155279503105,RP,68,0,58.7,50,25,19,24,76,3,4,0,1.26,2.92,0.32,23.2,32,225,6.3,1750000,1750000,1750000,0.14385765663448796,0.04542873367404883,3.1666666666666665,4624,0,3445.6900000000005,2500,625,361,576,5776,9,16,0,1.5876000000000001,8.526399999999999,0.1024,538.24,0.020695025372366237,0.002063769843227658,10.027777777777777
Scott Downs,2014,UFA,ATL,1,4000000,4000000,Kansas City Royals,4,66500000,KC,89,162,8,3,1,0.5493827160493827,RP,55,0,38.0,36,24,21,20,25,0,4,1,1.47,4.97,-0.51,12.56,38,0,0.0,500000,500000,500000,0.07309941520467836,0.05847953216374269,1.25,3025,0,1444.0,1296,576,441,400,625,0,16,1,2.1609,24.700899999999997,0.2601,157.7536,0.0053435245032659616,0.0034198556820902153,1.5625
