Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
David Price,2016,UFA,TOR,7,217000000,31000000,SP,35,0.216,10,0,0,0,0.0,0.091,BOS,30000000,30000000,30000000,1225,0.046655999999999996,100,0,0,0,0.0,0.008281
Zack Greinke,2016,UFA,LAD,6,206500000,34416667,SP,27,0.167,52,11,0,3,0.212,0.476,ARI,31000000,34000000,34000000,729,0.027889000000000004,2704,121,0,9,0.044944,0.22657599999999997
Jason Heyward,2016,UFA,STL,8,184000000,23000000,RF,142,0.877,530,122,7,49,0.23,0.631,CHC,15000000,21666666,21666666,20164,0.769129,280900,14884,49,2401,0.0529,0.398161
Chris Davis,2016,UFA,BAL,7,161000000,23000000,1B,157,0.969,566,125,38,84,0.221,0.792,BAL,17000000,21065362,21065362,24649,0.9389609999999999,320356,15625,1444,7056,0.048841,0.627264
Justin Upton,2016,UFA,SD,6,132750000,22125000,LF,153,0.95,570,140,31,87,0.246,0.775,DET,22125000,22125000,22125000,23409,0.9025,324900,19600,961,7569,0.060516,0.6006250000000001
Johnny Cueto,2016,UFA,KC,6,130000000,21666667,SP,32,0.198,70,8,0,5,0.114,0.251,SF,15000000,17500000,17500000,1024,0.039204,4900,64,0,25,0.012996,0.063001
Jordan Zimmermann,2016,UFA,WSH,5,110000000,22000000,SP,19,0.118,4,1,0,0,0.25,0.5,DET,18000000,18000000,18000000,361,0.013923999999999999,16,1,0,0,0.0625,0.25
Jeff Samardzija,2016,UFA,CHW,5,90000000,18000000,SP,34,0.21,64,10,0,9,0.156,0.399,SF,9000000,10800000,10800000,1156,0.04409999999999999,4096,100,0,81,0.024336,0.159201
Mike Leake,2016,UFA,SF,5,80000000,16000000,SP,34,0.21,49,7,0,4,0.143,0.356,STL,12000000,12000000,12000000,1156,0.04409999999999999,2401,49,0,16,0.020448999999999995,0.126736
Wei-Yin Chen,2016,UFA,BAL,5,80000000,16000000,SP,22,0.137,44,0,0,0,0.0,0.0,MIA,6000000,12500000,12500000,484,0.018769000000000004,1936,0,0,0,0.0,0.0
Alex Gordon,2016,UFA,KC,4,72000000,18000000,LF,128,0.79,445,98,17,40,0.22,0.692,KC,12000000,12000000,12000000,16384,0.6241000000000001,198025,9604,289,1600,0.0484,0.47886399999999996
Ian Kennedy,2016,UFA,SD,5,70000000,14000000,SP,33,0.204,3,0,0,0,0.0,0.0,KC,7500000,7500000,7500000,1089,0.04161599999999999,9,0,0,0,0.0,0.0
Ben Zobrist,2016,UFA,KC,4,56000000,14000000,2B,147,0.907,523,142,18,76,0.272,0.831,CHC,10000000,10500000,10500000,21609,0.8226490000000001,273529,20164,324,5776,0.07398400000000001,0.690561
Scott Kazmir,2016,UFA,HOU,3,48000000,16000000,SP,27,0.167,43,5,0,2,0.116,0.253,LAD,11000000,12666666,12666666,729,0.027889000000000004,1849,25,0,4,0.013456000000000001,0.064009
Daniel Murphy,2016,UFA,NYM,3,37500000,12500000,2B,142,0.877,531,184,25,104,0.347,0.985,WSH,8000000,8000000,8000000,20164,0.769129,281961,33856,625,10816,0.12040899999999999,0.970225
J.A. Happ,2016,UFA,PIT,3,36000000,12000000,SP,32,0.198,7,2,0,0,0.286,0.571,TOR,10000000,10000000,10000000,1024,0.039204,49,4,0,0,0.08179599999999998,0.32604099999999997
John Lackey,2016,UFA,STL,2,32000000,16000000,SP,29,0.179,63,6,0,2,0.095,0.25,CHC,16000000,16000000,16000000,841,0.032041,3969,36,0,4,0.009025,0.0625
Denard Span,2016,UFA,WSH,3,31000000,10333333,CF,143,0.883,572,152,11,53,0.266,0.712,SF,3000000,5000000,5000000,20449,0.779689,327184,23104,121,2809,0.07075600000000001,0.506944
Gerardo Parra,2016,UFA,BAL,3,27500000,9166667,LF,102,0.63,368,93,7,39,0.253,0.673,COL,8000000,8000000,8000000,10404,0.39690000000000003,135424,8649,49,1521,0.064009,0.4529290000000001
Marco Estrada,2016,UFA,TOR,2,26000000,13000000,SP,29,0.179,5,0,0,0,0.0,0.0,TOR,11000000,11500000,11500000,841,0.032041,25,0,0,0,0.0,0.0
Yovani Gallardo,2016,UFA,TEX,2,22000000,11000000,RP,24,0.148,4,2,0,0,0.5,1.1,BAL,9000000,9000000,9000000,576,0.021903999999999996,16,4,0,0,0.25,1.2100000000000002
Ryan Madson,2016,UFA,KC,3,22000000,7333333,RP,63,0.389,1,0,0,0,0.0,0.0,OAK,6500000,7916666,7916666,3969,0.151321,1,0,0,0,0.0,0.0
Howie Kendrick,2016,UFA,LAD,2,20000000,10000000,LF,146,0.901,487,124,8,40,0.255,0.691,LAD,10000000,10000000,10000000,21316,0.811801,237169,15376,64,1600,0.065025,0.47748099999999993
Asdrubal Cabrera,2016,UFA,TB,2,18500000,9250000,2B,141,0.87,521,146,24,62,0.28,0.816,NYM,8250000,8250000,8250000,19881,0.7569,271441,21316,576,3844,0.07840000000000001,0.6658559999999999
Shawn Kelley,2016,UFA,SD,3,15000000,5000000,RP,67,0.414,1,0,0,0,0.0,0.0,WSH,4000000,4200000,4200000,4489,0.171396,1,0,0,0,0.0,0.0
Chris Young,2016,UFA,NYY,2,13000000,6500000,RF,76,0.469,203,56,9,24,0.276,0.85,BOS,6500000,6500000,6500000,5776,0.21996099999999996,41209,3136,81,576,0.07617600000000001,0.7224999999999999
Chris Young,2016,UFA,NYY,2,13000000,6500000,RF,76,0.469,203,56,9,24,0.276,0.85,KC,4250000,4500000,4500000,5776,0.21996099999999996,41209,3136,81,576,0.07617600000000001,0.7224999999999999
Chris Young,2016,UFA,NYY,2,13000000,6500000,RP,34,0.21,1,0,0,0,0.0,0.0,BOS,6500000,6500000,6500000,1156,0.04409999999999999,1,0,0,0,0.0,0.0
Chris Young,2016,UFA,NYY,2,13000000,6500000,RP,34,0.21,1,0,0,0,0.0,0.0,KC,4250000,4500000,4500000,1156,0.04409999999999999,1,0,0,0,0.0,0.0
Chris Young,2016,UFA,KC,2,11500000,5750000,RF,76,0.469,203,56,9,24,0.276,0.85,BOS,6500000,6500000,6500000,5776,0.21996099999999996,41209,3136,81,576,0.07617600000000001,0.7224999999999999
Chris Young,2016,UFA,KC,2,11500000,5750000,RF,76,0.469,203,56,9,24,0.276,0.85,KC,4250000,4500000,4500000,5776,0.21996099999999996,41209,3136,81,576,0.07617600000000001,0.7224999999999999
Chris Young,2016,UFA,KC,2,11500000,5750000,RP,34,0.21,1,0,0,0,0.0,0.0,BOS,6500000,6500000,6500000,1156,0.04409999999999999,1,0,0,0,0.0,0.0
Chris Young,2016,UFA,KC,2,11500000,5750000,RP,34,0.21,1,0,0,0,0.0,0.0,KC,4250000,4500000,4500000,1156,0.04409999999999999,1,0,0,0,0.0,0.0
Dexter Fowler,2016,UFA,CHC,1,13000000,13000000,CF,125,0.772,456,126,13,48,0.276,0.84,CHC,8000000,8000000,8000000,15625,0.5959840000000001,207936,15876,169,2304,0.07617600000000001,0.7055999999999999
Hisashi Iwakuma,2016,UFA,SEA,1,12000000,12000000,SP,33,0.204,2,0,0,0,0.0,0.0,SEA,10000000,13500000,13500000,1089,0.04161599999999999,4,0,0,0,0.0,0.0
John Jaso,2016,UFA,TB,2,8000000,4000000,RF,132,0.815,380,102,8,42,0.268,0.766,PIT,4000000,4000000,4000000,17424,0.664225,144400,10404,64,1764,0.07182400000000001,0.586756
Ian Desmond,2016,UFA,WSH,1,8000000,8000000,LF,156,0.963,625,178,22,86,0.285,0.782,TEX,8000000,8000000,8000000,24336,0.9273689999999999,390625,31684,484,7396,0.08122499999999999,0.6115240000000001
Bartolo Colon,2016,UFA,NYM,1,7250000,7250000,SP,34,0.21,60,5,1,2,0.083,0.265,NYM,7250000,7300000,7300000,1156,0.04409999999999999,3600,25,1,4,0.006889000000000001,0.07022500000000001
Doug Fister,2016,UFA,WSH,1,7000000,7000000,SP,32,0.198,5,1,0,2,0.2,0.4,HOU,7000000,11000000,11000000,1024,0.039204,25,1,0,4,0.04000000000000001,0.16000000000000003
Chase Utley,2016,UFA,LAD,1,7000000,7000000,2B,138,0.852,512,128,14,50,0.25,0.708,LAD,7000000,7000000,7000000,19044,0.725904,262144,16384,196,2500,0.0625,0.5012639999999999
Oliver Perez,2016,UFA,HOU,2,7000000,3500000,RP,64,0.395,3,2,0,0,0.667,1.667,WSH,3000000,3000000,3000000,4096,0.15602500000000002,9,4,0,0,0.44488900000000003,2.778889
Rich Hill,2016,UFA,BOS,1,6000000,6000000,SP,20,0.124,12,0,0,0,0.0,0.0,LAD,6000000,6000000,2065574,400,0.015375999999999999,144,0,0,0,0.0,0.0
Alejandro De Aza,2016,UFA,SF,1,5750000,5750000,LF,130,0.803,234,48,6,25,0.205,0.618,NYM,5750000,5750000,5750000,16900,0.6448090000000001,54756,2304,36,625,0.04202499999999999,0.381924
Pedro Alvarez,2016,UFA,PIT,1,5750000,5750000,1B,109,0.673,337,84,22,49,0.249,0.826,BAL,5750000,5950000,5950000,11881,0.4529290000000001,113569,7056,484,2401,0.062001,0.6822759999999999
Norichika Aoki,2016,UFA,SF,1,5500000,5500000,LF,118,0.728,417,118,4,28,0.283,0.738,SEA,5500000,5800000,5800000,13924,0.529984,173889,13924,16,784,0.08008899999999998,0.544644
Tyler Flowers,2016,UFA,CHW,2,5300000,2650000,C,83,0.516,281,76,8,41,0.271,0.777,ATL,2000000,2400000,2400000,6889,0.266256,78961,5776,64,1681,0.073441,0.6037290000000001
Brayan Pena,2016,UFA,CIN,2,5000000,2500000,C,9,0.056,13,2,0,0,0.154,0.445,STL,2500000,2500000,2500000,81,0.0031360000000000003,169,4,0,0,0.023716,0.198025
Austin Jackson,2016,UFA,CHC,1,5000000,5000000,CF,54,0.333,181,46,0,18,0.254,0.661,CHW,5000000,5000000,5000000,2916,0.11088900000000002,32761,2116,0,324,0.064516,0.43692100000000006
Steven Pearce,2016,UFA,BAL,1,4750000,4750000,LF,85,0.525,264,76,13,35,0.288,0.867,BAL,4750000,4750000,1635245,7225,0.275625,69696,5776,169,1225,0.08294399999999999,0.7516889999999999
Trevor Cahill,2016,UFA,CHC,1,4250000,4250000,RP,51,0.315,8,1,0,1,0.125,0.347,CHC,4250000,4250000,4250000,2601,0.09922500000000001,64,1,0,1,0.015625,0.12040899999999999
Chris Iannetta,2016,UFA,LAA,1,4250000,4250000,C,94,0.58,295,62,7,24,0.21,0.631,SEA,4250000,4550000,4550000,8836,0.3364,87025,3844,49,576,0.04409999999999999,0.398161
