Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Bryce Harper,2019,UFA,WSH,13,330000000,25384615,RF,157,0.969,573,149,35,114,0.26,0.882,PHI,10000000,11538462,11538462,24649,0.9389609999999999,328329,22201,1225,12996,0.06760000000000001,0.7779240000000001
Manny Machado,2019,UFA,LAD,10,300000000,30000000,3B,156,0.963,587,150,32,85,0.256,0.796,SD,10000000,12000000,12000000,24336,0.9273689999999999,344569,22500,1024,7225,0.065536,0.6336160000000001
Patrick Corbin,2019,UFA,ARI,6,140000000,23333333,SP,33,0.204,65,6,0,4,0.092,0.24,WSH,12500000,12916666,12916666,1089,0.04161599999999999,4225,36,0,16,0.008464,0.0576
Nathan Eovaldi,2019,UFA,BOS,4,68000000,17000000,SP,23,0.142,2,0,0,0,0.0,0.0,BOS,17000000,17000000,17000000,529,0.020163999999999998,4,0,0,0,0.0,0.0
A.J. Pollock,2019,UFA,ARI,5,60000000,12000000,CF,86,0.531,308,82,15,47,0.266,0.795,LAD,1000000,4000000,4000000,7396,0.281961,94864,6724,225,2209,0.07075600000000001,0.6320250000000001
Andrew McCutchen,2019,UFA,NYY,3,50000000,16666667,RF,59,0.364,219,56,10,29,0.256,0.834,PHI,10000000,10000000,10000000,3481,0.132496,47961,3136,100,841,0.065536,0.695556
J.A. Happ,2019,UFA,NYY,2,34000000,17000000,SP,32,0.198,3,0,0,0,0.0,0.0,NYY,17000000,17000000,17000000,1024,0.039204,9,0,0,0,0.0,0.0
Michael Brantley,2019,UFA,CLE,2,32000000,16000000,LF,148,0.914,575,179,22,90,0.311,0.875,HOU,15000000,16000000,16000000,21904,0.835396,330625,32041,484,8100,0.096721,0.765625
Charlie Morton,2019,UFA,HOU,2,30000000,15000000,SP,33,0.204,2,0,0,0,0.0,0.0,TB,15000000,15000000,15000000,1089,0.04161599999999999,4,0,0,0,0.0,0.0
Lance Lynn,2019,UFA,NYY,3,30000000,10000000,SP,33,0.204,2,0,0,0,0.0,0.0,TEX,8000000,9333333,9333333,1089,0.04161599999999999,4,0,0,0,0.0,0.0
Joe Kelly,2019,UFA,BOS,3,25000000,8333333,RP,55,0.34,2,0,0,0,0.0,0.0,LAD,3000000,3000000,3000000,3025,0.11560000000000002,4,0,0,0,0.0,0.0
Daniel Murphy,2019,UFA,CHC,2,24000000,12000000,1B,132,0.815,438,122,13,78,0.279,0.78,COL,10000000,10000000,10000000,17424,0.664225,191844,14884,169,6084,0.07784100000000002,0.6084
D.J. LeMahieu,2019,UFA,COL,2,24000000,12000000,2B,145,0.895,602,197,26,102,0.327,0.893,NYY,12000000,12000000,12000000,21025,0.801025,362404,38809,676,10404,0.10692900000000001,0.7974490000000001
Josh Donaldson,2019,UFA,CLE,1,23000000,23000000,3B,157,0.969,549,142,37,94,0.259,0.9,ATL,23000000,23000000,23000000,24649,0.9389609999999999,301401,20164,1369,8836,0.067081,0.81
Dallas Keuchel,2019,UFA,HOU,1,21210000,21210000,SP,19,0.117,38,5,0,2,0.132,0.312,ATL,21210000,21210000,13000000,361,0.013689000000000002,1444,25,0,4,0.017424000000000002,0.097344
Marwin Gonzalez,2019,UFA,HOU,2,21000000,10500000,3B,116,0.716,425,112,15,55,0.264,0.736,MIN,12000000,12000000,12000000,13456,0.512656,180625,12544,225,3025,0.06969600000000001,0.541696
Jed Lowrie,2019,UFA,OAK,2,20000000,10000000,2B,9,0.056,7,0,0,0,0.0,0.125,NYM,6000000,8500000,8500000,81,0.0031360000000000003,49,0,0,0,0.0,0.015625
Wilson Ramos,2019,UFA,PHI,2,19000000,9500000,C,142,0.877,473,136,14,72,0.288,0.768,NYM,6250000,7750000,7750000,20164,0.769129,223729,18496,196,5184,0.08294399999999999,0.589824
Anibal Sanchez,2019,UFA,ATL,2,19000000,9500000,SP,30,0.185,52,6,0,1,0.115,0.231,WSH,8000000,10000000,6000000,900,0.034225,2704,36,0,1,0.013225,0.053361000000000006
Yasmani Grandal,2019,UFA,LAD,1,18250000,18250000,C,153,0.944,513,126,28,77,0.246,0.848,MIL,16000000,16000000,16000000,23409,0.8911359999999999,263169,15876,784,5929,0.060516,0.719104
Garrett Richards,2019,UFA,LAA,2,15500000,7750000,SP,3,0.019,2,0,0,0,0.0,0.0,SD,7000000,7000000,7000000,9,0.000361,4,0,0,0,0.0,0.0
Nelson Cruz,2019,UFA,SEA,1,14300000,14300000,DH,120,0.741,454,141,41,108,0.311,1.031,MIN,14000000,14000000,14000000,14400,0.549081,206116,19881,1681,11664,0.096721,1.0629609999999998
Kurt Suzuki,2019,UFA,ATL,2,10000000,5000000,C,85,0.525,280,74,17,63,0.264,0.809,WSH,4000000,4000000,4000000,7225,0.275625,78400,5476,289,3969,0.06969600000000001,0.6544810000000001
Mike Moustakas,2019,UFA,MIL,1,10000000,10000000,3B,143,0.883,523,133,35,87,0.254,0.845,MIL,7000000,7050000,7050000,20449,0.779689,273529,17689,1225,7569,0.064516,0.7140249999999999
Brian Dozier,2019,UFA,LAD,1,9000000,9000000,2B,135,0.833,416,99,20,50,0.238,0.771,WSH,9000000,9000000,9000000,18225,0.693889,173056,9801,400,2500,0.05664399999999999,0.594441
Trevor Cahill,2019,UFA,OAK,1,9000000,9000000,RP,39,0.241,3,1,0,0,0.333,0.667,LAA,9000000,9000000,9000000,1521,0.058080999999999994,9,1,0,0,0.11088900000000002,0.44488900000000003
Ian Kinsler,2019,UFA,BOS,2,8000000,4000000,2B,87,0.537,258,56,9,22,0.217,0.646,SD,3750000,3750000,3750000,7569,0.28836900000000004,66564,3136,81,484,0.047089,0.417316
Jesse Chavez,2019,UFA,CHC,2,8000000,4000000,RP,48,0.296,2,1,0,0,0.5,1.0,TEX,4000000,4000000,4000000,2304,0.08761599999999999,4,1,0,0,0.25,1.0
Jonathan Schoop,2019,UFA,MIL,1,7500000,7500000,2B,122,0.753,433,111,23,59,0.256,0.777,MIN,7500000,7500000,7500000,14884,0.567009,187489,12321,529,3481,0.065536,0.6037290000000001
Derek Holland,2019,UFA,SF,1,7000000,7000000,RP,53,0.327,14,1,0,0,0.071,0.205,CHC,6500000,6500000,475000,2809,0.10692900000000001,196,1,0,0,0.0050409999999999995,0.04202499999999999
Nick Markakis,2019,UFA,ATL,1,6000000,6000000,RF,116,0.716,414,118,9,62,0.285,0.776,ATL,4000000,4000000,4000000,13456,0.512656,171396,13924,81,3844,0.08122499999999999,0.602176
Robinson Chirinos,2019,UFA,TEX,1,5750000,5750000,C,114,0.704,366,87,17,58,0.238,0.79,HOU,5750000,5750000,5750000,12996,0.49561599999999995,133956,7569,289,3364,0.05664399999999999,0.6241000000000001
Jordy Mercer,2019,UFA,PIT,1,5250000,5250000,SS,74,0.46,255,69,9,22,0.271,0.75,DET,5250000,5250000,5250000,5476,0.2116,65025,4761,81,484,0.073441,0.5625
Billy Hamilton,2019,UFA,CIN,1,5250000,5250000,CF,119,0.735,316,69,0,15,0.218,0.564,ATL,4250000,4450000,959658,14161,0.540225,99856,4761,0,225,0.047524,0.31809599999999993
Daniel Descalso,2019,UFA,ARI,2,5000000,2500000,2B,82,0.506,168,29,2,15,0.173,0.521,CHC,1500000,1500000,1500000,6724,0.256036,28224,841,4,225,0.029928999999999997,0.27144100000000004
Freddy Galvis,2019,UFA,SD,1,5000000,5000000,SS,148,0.914,557,145,23,70,0.26,0.734,CIN,4000000,4000000,1053745,21904,0.835396,310249,21025,529,4900,0.06760000000000001,0.538756
Wade Miley,2019,UFA,MIL,1,4500000,4500000,SP,33,0.204,4,0,0,0,0.0,0.2,HOU,4500000,5000000,5000000,1089,0.04161599999999999,16,0,0,0,0.0,0.04000000000000001
Wilmer Flores,2019,UFA,NYM,1,4250000,4250000,2B,89,0.549,265,84,9,37,0.317,0.848,ARI,3750000,3750000,3750000,7921,0.30140100000000003,70225,7056,81,1369,0.10048900000000001,0.719104
Matt Adams,2019,UFA,STL,1,4000000,4000000,1B,111,0.685,310,70,20,56,0.226,0.741,WSH,3000000,3000000,3000000,12321,0.46922500000000006,96100,4900,400,3136,0.051076,0.549081
