Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Max Scherzer,2015,UFA,DET,7,210000000,30000000,SP,34,0.21,69,15,0,0,0.217,0.457,WSH,10000000,17317857,17317857,1156,0.04409999999999999,4761,225,0,0,0.047089,0.208849
Jon Lester,2015,UFA,OAK,6,155000000,25833333,SP,32,0.198,62,4,0,0,0.065,0.172,CHC,15000000,20000000,20000000,1024,0.039204,3844,16,0,0,0.0042250000000000005,0.029583999999999996
Pablo Sandoval,2015,UFA,SF,5,95000000,19000000,3B,126,0.778,470,116,10,48,0.247,0.664,BOS,17000000,17600000,17600000,15876,0.605284,220900,13456,100,2304,0.061009,0.44089600000000007
Hanley Ramirez,2015,UFA,LAD,4,88000000,22000000,DH,105,0.648,401,100,19,53,0.249,0.717,BOS,19000000,19750000,19750000,11025,0.419904,160801,10000,361,2809,0.062001,0.5140889999999999
Russell Martin,2015,UFA,PIT,5,82000000,16400000,C,129,0.796,441,106,23,77,0.24,0.787,TOR,7000000,7000000,7000000,16641,0.6336160000000001,194481,11236,529,5929,0.0576,0.6193690000000001
James Shields,2015,UFA,KC,4,75000000,18750000,SP,36,0.222,68,9,0,2,0.132,0.307,SD,10000000,10000000,10000000,1296,0.049284,4624,81,0,4,0.017424000000000002,0.094249
Nelson Cruz,2015,UFA,BAL,4,57000000,14250000,DH,152,0.938,590,178,44,93,0.302,0.936,SEA,14000000,14375000,14375000,23104,0.8798439999999998,348100,31684,1936,8649,0.091204,0.8760960000000001
Chase Headley,2015,UFA,NYY,4,52000000,13000000,3B,156,0.963,580,150,11,62,0.259,0.693,NYY,13000000,14000000,14000000,24336,0.9273689999999999,336400,22500,121,3844,0.067081,0.4802489999999999
Brandon McCarthy,2015,UFA,NYY,4,48000000,12000000,SP,4,0.025,6,0,0,1,0.0,0.143,LAD,11000000,12500000,12500000,16,0.0006250000000000001,36,0,0,1,0.0,0.020448999999999995
Nick Markakis,2015,UFA,BAL,4,44000000,11000000,RF,156,0.963,612,181,3,53,0.296,0.746,ATL,10500000,11000000,11000000,24336,0.9273689999999999,374544,32761,9,2809,0.08761599999999999,0.556516
Melky Cabrera,2015,UFA,TOR,3,42000000,14000000,LF,158,0.975,629,172,12,76,0.273,0.71,CHW,13000000,13000000,13000000,24964,0.9506249999999999,395641,29584,144,5776,0.07452900000000001,0.5041
Francisco Liriano,2015,UFA,PIT,3,39000000,13000000,RP,31,0.191,65,11,1,7,0.169,0.415,PIT,11000000,11666666,11666666,961,0.036481,4225,121,1,49,0.028561000000000003,0.172225
Billy Butler,2015,UFA,KC,3,30000000,10000000,DH,151,0.932,538,135,15,65,0.251,0.713,OAK,5000000,6666666,6666666,22801,0.8686240000000001,289444,18225,225,4225,0.063001,0.508369
Adam LaRoche,2015,UFA,WSH,2,25000000,12500000,DH,127,0.784,429,90,12,45,0.21,0.638,CHW,12000000,12000000,12000000,16129,0.6146560000000001,184041,8100,144,2025,0.04409999999999999,0.407044
Jake Peavy,2015,UFA,SF,2,24000000,12000000,RP,19,0.117,36,7,1,3,0.194,0.55,SF,7000000,9000000,9000000,361,0.013689000000000002,1296,49,1,9,0.037636,0.30250000000000005
Jed Lowrie,2015,UFA,OAK,3,23000000,7666667,2B,69,0.426,230,51,9,30,0.222,0.712,HOU,8000000,8000000,8000000,4761,0.181476,52900,2601,81,900,0.049284,0.506944
