Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
C.J. Wilson,2012,UFA,TEX,5,77500000,15500000,SP,34,34,202.3,181,102,86,91,173,13,10,0,1.34,3.83,LAA,10000000,10550000,10550000,0.0950183995166694,0.04998077662437524,1.901098901098901,1156,1156,40925.29000000001,32761,10404,7396,8281,29929,169,100,0,1.7956000000000003,14.6689,0.002498078031975694,3.614177031759449,1336336
Mark Buehrle,2012,UFA,CHW,4,58000000,14500000,SP,31,31,202.3,197,88,84,40,125,13,13,0,1.17,3.74,MIA,6000000,7000000,7000000,0.06865491294557038,0.021969572142582522,3.125,961,961,40925.29000000001,38809,7744,7056,1600,15625,169,169,0,1.3688999999999998,13.987600000000002,0.000482662100128138,9.765625,923521
Jonathan Papelbon,2012,UFA,BOS,4,50000000,12500000,RP,70,0,70.0,56,22,19,18,92,5,6,38,1.06,2.44,PHI,11000058,11000058,11000058,0.14603174603174604,0.02857142857142857,5.111111111111111,4900,0,4900.0,3136,484,361,324,8464,25,36,1444,1.1236000000000002,5.9536,0.0008163265306122448,26.123456790123452,24010000
Heath Bell,2012,UFA,SD,3,27000000,9000000,RP,73,0,63.7,70,38,36,29,59,4,5,19,1.55,5.09,MIA,6000000,7000000,7000000,0.10291296005581718,0.05058433629862201,2.0344827586206895,5329,0,4057.6900000000005,4900,1444,1296,841,3481,16,25,361,2.4025000000000003,25.908099999999997,0.0025587750787720884,4.13912009512485,28398241
Joe Nathan,2012,UFA,MIN,2,14000000,7000000,RP,66,0,64.3,55,23,20,13,78,3,5,37,1.06,2.8,TEX,7000000,8050000,8050000,0.1347848626231208,0.022464143770520133,6.0,4356,0,4134.49,3025,529,400,169,6084,9,25,1369,1.1236000000000002,7.839999999999999,0.0005046377553425985,36.0,18974736
Aaron Harang,2012,UFA,SD,2,12000000,6000000,SP,31,31,179.7,167,85,72,85,131,10,10,0,1.4,3.61,LAD,3000000,3000000,3000000,0.08099919619118284,0.052556730353057565,1.5411764705882354,961,961,32292.089999999997,27889,7225,5184,7225,17161,100,100,0,1.9599999999999997,13.0321,0.0027622099054040025,2.37522491349481,923521
Frank Francisco,2012,UFA,TOR,2,12000000,6000000,RP,48,0,42.3,47,27,26,21,47,1,3,23,1.61,5.53,NYM,5500000,5500000,5500000,0.1234567901234568,0.055161544523246654,2.238095238095238,2304,0,1789.2899999999997,2209,729,676,441,2209,1,9,529,2.5921000000000003,30.580900000000003,0.003042795994190123,5.009070294784581,5308416
Edwin Jackson,2012,UFA,STL,1,11000000,11000000,SP,34,31,189.7,173,90,85,58,168,10,11,0,1.22,4.03,WSH,11000000,11000000,11000000,0.0984009840098401,0.03397176828911146,2.896551724137931,1156,961,35986.09,29929,8100,7225,3364,28224,100,121,0,1.4884,16.240900000000003,0.0011540810406890792,8.390011890606422,1336336
Chris Capuano,2012,UFA,NYM,2,10000000,5000000,RP,34,33,198.3,188,91,82,54,162,12,12,0,1.22,3.72,LAD,3000000,3375000,3375000,0.0907715582450832,0.030257186081694403,3.0,1156,1089,39322.89000000001,35344,8281,6724,2916,26244,144,144,0,1.4884,13.838400000000002,0.0009154973095822815,9.0,1336336
Jonathan Broxton,2012,UFA,LAD,1,4000000,4000000,RP,60,0,58.0,56,18,16,17,45,4,5,27,1.26,2.48,CIN,4000000,4000000,1420765,0.08620689655172414,0.032567049808429116,2.6470588235294117,3600,0,3364.0,3136,324,256,289,2025,16,25,729,1.5876000000000001,6.1504,0.001060612733224703,7.006920415224913,12960000
