Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Matt Garza,50000000,12500000,SP,27,27,163.3,143,77,66,50,126,8,8,0,1.18,3.64,MIL,12500000
Ricky Nolasco,49000000,12250000,SP,27,27,159.0,203,96,95,38,115,6,12,0,1.52,5.38,MIN,12000000
Jason Vargas,32000000,8000000,SP,30,30,187.0,197,82,77,41,128,11,10,0,1.27,3.71,KC,7000000
Scott Feldman,30000000,10000000,SP,29,29,180.3,185,86,75,50,107,8,12,0,1.3,3.74,HOU,12000000
Tim Hudson,28000000,9333333,SP,31,31,189.3,199,86,75,34,120,9,13,0,1.23,3.57,SF,11025000
Phil Hughes,24000000,8000000,RP,32,32,209.7,221,88,82,16,186,16,10,0,1.13,3.52,MIN,8500000
Bronson Arroyo,23500000,11750000,SP,15,14,86.0,92,40,39,19,47,7,4,0,1.29,4.08,ARI,9500000
Scott Kazmir,22000000,11000000,SP,32,32,190.3,171,81,75,50,164,15,9,0,1.16,3.55,OAK,9050000
Joe Nathan,20000000,10000000,RP,62,0,58.0,60,32,31,29,54,5,4,35,1.53,4.81,DET,9000000
Bartolo Colon,20000000,10000000,SP,31,31,202.3,218,97,92,30,151,15,13,0,1.23,4.09,NYM,9000000
Brian Wilson,19000000,9500000,RP,61,0,48.3,49,26,25,29,54,2,4,1,1.61,4.66,LAD,10000000
Boone Logan,16500000,5500000,RP,35,0,25.0,31,20,19,11,32,2,3,0,1.68,6.84,COL,4750000
Hiroki Kuroda,16000000,16000000,SP,32,32,199.0,191,91,82,35,146,11,9,0,1.14,3.71,NYY,16000000
A.J. Burnett,16000000,16000000,SP,34,34,213.7,205,122,109,96,190,8,18,0,1.41,4.59,PHI,11250000
Joe Smith,15750000,5250000,RP,76,0,74.7,45,16,15,15,68,7,2,15,0.8,1.81,LAA,5250000
Joaquin Benoit,15500000,7750000,RP,53,0,54.3,28,10,9,14,64,4,2,11,0.77,1.49,SD,6000000
Ervin Santana,14100000,14100000,SP,31,31,196.0,193,90,86,63,179,14,10,0,1.31,3.95,ATL,14100000
Fernando Rodney,14000000,7000000,RP,69,0,66.3,61,24,21,28,76,1,6,48,1.34,2.85,SEA,7050000
Javier Lopez,13000000,4333333,RP,65,0,37.7,31,14,13,19,22,1,1,0,1.33,3.11,SF,4000000
J.P. Howell,11250000,5625000,RP,68,0,49.0,31,14,13,25,48,3,3,0,1.14,2.39,LAD,5500000
Mike Pelfrey,11000000,5500000,RP,5,5,23.7,29,23,21,18,10,0,3,0,1.99,7.99,MIN,5500000
Brad Ziegler,10500000,5250000,RP,68,0,67.0,60,29,26,24,54,5,3,1,1.25,3.49,ARI,4500000
Dan Haren,10000000,10000000,SP,32,32,186.0,183,101,83,36,145,13,11,0,1.18,4.02,LAD,11000000
