Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Carlos Villanueva,1500000,1500000,RP,51,0,74.0,89,50,49,14,61,2,2,1,1.39,5.96,SD,1500000
Matt Belisle,1250000,1250000,RP,40,0,45.8,43,13,9,7,32,0,0,0,1.09,1.77,WSH,1250000
Jhoulys Chacin,1100000,1100000,SP,34,22,144.0,153,81,77,55,119,6,8,0,1.44,4.81,LAA,1100000
Gavin Floyd,1000000,1000000,RP,28,0,31.0,23,14,14,8,30,2,4,0,1.0,4.07,TOR,1000000
Carlos Torres,950000,950000,RP,72,0,82.3,65,26,25,30,78,3,3,2,1.15,2.73,MIL,950000
Blaine Boyer,950000,950000,RP,61,0,66.0,80,30,29,17,26,2,4,1,1.47,3.96,MIL,950000
Louis Coleman,750000,750000,RP,61,0,48.0,45,27,25,24,45,2,1,0,1.44,4.69,LAD,750000
Blake Wood,600000,600000,RP,70,0,76.2,72,38,34,38,81,6,5,1,1.44,4.02,CIN,600000
Ryan Buchter,520000,520000,RP,67,0,63.0,34,20,20,31,78,3,0,1,1.03,2.86,SD,520000
Edwin Jackson,507500,507500,SP,24,13,84.0,92,56,55,41,61,5,7,0,1.58,5.89,SD,507500
Joe Nathan,507500,507500,RP,10,0,6.3,5,0,0,4,9,2,0,0,1.42,0.0,SF,507500
A.J. Griffin,507500,507500,RP,23,23,119.0,116,68,67,46,107,7,4,0,1.36,5.07,TEX,507500
Kevin Jepsen,0,0,RP,58,0,49.7,62,35,33,21,35,2,6,7,1.67,5.98,TB,507500
Mat Latos,0,0,SP,17,12,70.0,74,40,38,30,42,7,3,0,1.49,4.89,WSH,507500
Ross Ohlendorf,0,0,RP,64,0,65.7,59,35,34,32,68,5,7,2,1.39,4.66,CIN,800000
Josh Collmenter,0,0,RP,18,3,41.3,36,17,17,16,33,3,0,0,1.26,3.7,ATL,507500
Brandon Morrow,0,0,RP,18,0,16.0,19,4,3,3,8,1,0,0,1.38,1.69,SD,607500
Brian Duensing,0,0,RP,14,0,13.3,13,6,6,3,10,1,0,0,1.2,4.05,BAL,507500
Fernando Abad,0,0,RP,57,0,46.7,40,20,19,22,41,1,6,1,1.33,3.66,BOS,507500
Christian Friedrich,0,0,SP,24,23,129.3,131,74,69,52,100,5,12,0,1.41,4.8,SD,507500
Jim Henderson,0,0,RP,44,0,35.0,35,17,17,14,40,2,2,0,1.4,4.37,NYM,507500
Miguel Gonzalez,0,0,SP,24,23,135.0,132,61,55,35,95,5,8,0,1.24,3.67,CHW,507500
Dustin McGowan,0,0,RP,55,0,67.0,49,26,21,33,63,1,3,1,1.22,2.82,MIA,1000000
