Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Jon Jay,2017,UFA,SD,1,8000000,8000000,CF,141,87,1.0,1,0,0,0,0,0,0,0,1.0,0.0,CHC,8000000,8000000,8000000,0.0,0.0,,19881,7569,1.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,,395254161
R.A. Dickey,2017,UFA,TOR,1,8000000,8000000,SP,31,31,190.0,193,99,91,67,136,10,10,0,1.37,4.31,ATL,7500000,7500000,7500000,0.07953216374269007,0.0391812865497076,2.029850746268657,961,961,36100.0,37249,9801,8281,4489,18496,100,100,0,1.8769000000000002,18.576099999999997,0.0015351732156902978,4.120294052127423,923521
Joaquin Benoit,2017,UFA,TOR,1,7500000,7500000,RP,52,0,50.3,43,28,26,22,46,1,6,2,1.29,4.65,PIT,7500000,7500000,2581992,0.10161254694057875,0.04859730505853766,2.090909090909091,2704,0,2530.0899999999997,1849,784,676,484,2116,1,36,4,1.6641000000000001,21.622500000000002,0.00236169805895257,4.37190082644628,7311616
Greg Holland,2017,UFA,KC,1,7000000,7000000,RP,62,0,57.3,40,24,23,26,70,3,6,41,1.15,3.61,COL,6000000,13000000,13000000,0.13573783207291062,0.05041690905565252,2.6923076923076925,3844,0,3283.2899999999995,1600,576,529,676,4900,9,36,1681,1.3224999999999998,13.0321,0.0025418647187259373,7.248520710059172,14776336
Jerry Blevins,2017,UFA,NYM,1,6500000,6500000,RP,75,0,49.0,43,16,16,24,69,6,0,1,1.37,2.94,NYM,5500000,5500000,5500000,0.1564625850340136,0.05442176870748299,2.875,5625,0,2401.0,1849,256,256,576,4761,36,0,1,1.8769000000000002,8.6436,0.0029617289092507748,8.265625,31640625
Koji Uehara,2017,UFA,BOS,1,6000000,6000000,RP,49,0,43.0,38,21,19,12,50,3,4,2,1.16,3.98,CHC,6000000,6000000,6000000,0.12919896640826872,0.031007751937984496,4.166666666666667,2401,0,1849.0,1444,441,361,144,2500,9,16,4,1.3456,15.8404,0.0009614806802475813,17.361111111111114,5764801
Jesse Chavez,2017,UFA,LAD,1,5750000,5750000,RP,38,21,138.0,148,83,82,45,119,7,11,0,1.4,5.35,LAA,5750000,6550000,6550000,0.09581320450885668,0.036231884057971016,2.6444444444444444,1444,441,19044.0,21904,6889,6724,2025,14161,49,121,0,1.9599999999999997,28.622499999999995,0.0013127494223902543,6.993086419753086,2085136
Mitch Moreland,2017,UFA,TEX,1,5500000,5500000,1B,149,127,1.0,2,0,0,0,1,0,0,0,2.0,0.0,BOS,5500000,5500000,5500000,0.1111111111111111,0.0,inf,22201,16129,1.0,4,0,0,0,1,0,0,0,4.0,0.0,0.0,inf,492884401
Joe Blanton,2017,UFA,LAD,1,4000000,4000000,RP,51,0,44.3,52,29,28,13,39,2,4,0,1.47,5.68,WSH,4000000,4000000,4000000,0.09781790820165538,0.03260596940055179,3.0,2601,0,1962.4899999999998,2704,841,784,169,1521,4,16,0,2.1609,32.2624,0.0010631492405497197,9.0,6765201
Drew Storen,2017,UFA,SEA,1,3000000,3000000,RP,58,0,54.7,57,32,27,23,48,4,2,1,1.46,4.45,CIN,3000000,3150000,3150000,0.09750152346130408,0.046719479991874875,2.0869565217391304,3364,0,2992.09,3249,1024,729,529,2304,16,4,1,2.1315999999999997,19.802500000000002,0.0021827098107111967,4.355387523629489,11316496
