Jugador,Valor_contrato,Valor_promedio_contrato,Juegos,Wins,Saves,WHIP,ERA,Equipo,Sueldo
Zack Greinke,147000000,24500000,29,15,0,1.11,2.63,LAD,19000000
Anibal Sanchez,80000000,16000000,29,14,0,1.15,2.57,DET,8800000
Edwin Jackson,52000000,13000000,31,8,0,1.46,4.98,CHC,13000000
Kyle Lohse,33000000,11000000,33,11,0,1.17,3.35,MIL,4350000
Rafael Soriano,28000000,14000000,68,3,43,1.23,3.11,WSH,11000000
Jeremy Guthrie,25000000,8333333,33,15,0,1.39,4.04,KC,5000000
Jonathan Broxton,21000000,7000000,34,2,0,1.27,4.11,CIN,4000000
Jeremy Affeldt,18000000,6000000,39,1,0,1.31,3.74,SF,6000000
Brandon McCarthy,15500000,7750000,22,5,0,1.35,4.53,ARI,5250000
Joe Blanton,15000000,7500000,28,2,0,1.61,6.04,LAA,6500000
Hiroki Kuroda,15000000,15000000,32,11,0,1.16,3.31,NYY,15000000
Hisashi Iwakuma,14000000,7000000,33,14,0,1.01,2.66,SEA,6550000
Dan Haren,13000000,13000000,31,10,1,1.24,4.67,WSH,13000000
Mike Adams,12000000,6000000,28,1,0,1.36,3.96,PHI,5000000
Kevin Correia,10000000,5000000,32,9,0,1.42,4.18,MIN,4500000
Carlos Villanueva,10000000,5000000,47,7,0,1.22,4.06,CHC,5000000
Joakim Soria,8000000,4000000,26,1,0,1.35,3.8,TEX,2000000
Sean Burnett,8000000,4000000,13,0,0,1.35,0.93,LAA,3625000
Randy Choate,7500000,2500000,64,2,0,1.05,2.29,STL,1500000
Jason Grilli,6750000,3375000,54,0,33,1.06,2.7,PIT,2500000
Joe Saunders,6500000,6500000,33,11,0,1.6,5.26,SEA,6500000
Joel Peralta,6000000,3000000,80,3,1,1.14,3.41,TB,3000000
Scott Feldman,6000000,6000000,31,12,0,1.18,3.86,BAL,6000000
Tom Gorzelanny,5700000,2850000,43,3,0,1.27,3.9,MIL,2750000
Scott Baker,5500000,5500000,3,0,0,0.87,3.6,CHC,5500000
Koji Uehara,4250000,4250000,73,4,21,0.56,1.09,BOS,4750000
Mike Pelfrey,4000000,4000000,29,5,0,1.55,5.19,MIN,4000000
Roberto Hernandez,3250000,3250000,32,6,1,1.34,4.89,TB,3250000
Bartolo Colon,3000000,3000000,30,18,0,1.17,2.65,OAK,3000000
Jason Marquis,3000000,3000000,21,9,0,1.52,4.05,SD,3000000
J.P. Howell,2850000,2850000,67,4,0,1.05,2.03,LAD,2850000
Matt Lindstrom,2800000,2800000,76,2,0,1.43,3.12,CHW,2300000
John Lannan,2500000,2500000,14,3,0,1.52,5.33,PHI,2500000
Jose Veras,1850000,1850000,67,0,21,1.05,3.02,DET,1850000
Jeff Francis,1500000,1500000,23,3,0,1.61,6.27,COL,1500000
Jason Frasor,1500000,1500000,61,4,0,1.14,2.57,TEX,1500000
Mark Lowe,1500000,1500000,11,1,0,1.89,9.26,LAA,490000
Kyle Farnsworth,1250000,1250000,48,3,2,1.38,4.7,PIT,490000
Erik Bedard,1150000,1150000,32,4,1,1.48,4.59,HOU,1150000
Chad Qualls,1150000,1150000,66,5,0,1.23,2.61,MIA,1150000
Brian Wilson,1000000,1000000,18,2,0,0.88,0.66,LAD,1000000
Manny Parra,1000000,1000000,57,2,0,1.2,3.33,CIN,1000000
LaTroy Hawkins,1000000,1000000,72,3,13,1.15,2.93,NYM,1000000
Jamey Wright,900000,900000,66,2,0,1.2,3.09,TB,900000
Kevin Slowey,750000,750000,20,3,0,1.35,4.11,MIA,750000
Scott Atchison,700000,700000,51,3,0,1.26,4.37,NYM,700000
Zach Duke,0,0,26,1,0,1.56,6.03,CIN,490000
Francisco Rodriguez,0,0,48,3,10,1.2,2.7,BAL,2000000
Ross Ohlendorf,0,0,16,4,0,1.16,3.28,WSH,490000
Peter Moylan,0,0,14,1,0,1.96,6.46,LAD,490000
Fernando Abad,0,0,39,0,0,1.38,3.35,WSH,490000
