Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Max Scherzer,2015,UFA,DET,7,210000000,30000000,SP,34,33,228.7,176,74,71,34,276,14,12,0,0.92,2.79,WSH,10000000,17317857,17317857,0.1340912403439732,0.01651848612933003,8.117647058823529,1156,1089,52303.689999999995,30976,5476,5041,1156,76176,196,144,0,0.8464,7.7841000000000005,0.00027286038400486863,65.89619377162629,1336336
Jon Lester,2015,UFA,OAK,6,155000000,25833333,SP,32,32,205.0,183,83,76,47,207,11,12,0,1.12,3.34,CHC,15000000,20000000,20000000,0.11219512195121951,0.025474254742547425,4.404255319148936,1024,1024,42025.0,33489,6889,5776,2209,42849,121,144,0,1.2544000000000002,11.1556,0.0006489376546882,19.397464916251693,1048576
James Shields,2015,UFA,KC,4,75000000,18750000,SP,36,33,202.3,189,93,88,81,216,13,7,0,1.33,3.91,SD,10000000,10000000,10000000,0.11863568956994562,0.044488383588729606,2.6666666666666665,1296,1089,40925.29000000001,35721,8649,7744,6561,46656,169,49,0,1.7689000000000001,15.288100000000002,0.001979216274337946,7.111111111111111,1679616
Ervin Santana,2015,UFA,ATL,4,55000000,13750000,SP,17,17,108.0,104,50,48,36,82,7,5,0,1.3,4.0,MIN,13500000,7598360,7598360,0.08436213991769548,0.037037037037037035,2.2777777777777777,289,289,11664.0,10816,2500,2304,1296,6724,49,25,0,1.6900000000000002,16.0,0.0013717421124828531,5.188271604938271,83521
Brandon McCarthy,2015,UFA,NYY,4,48000000,12000000,SP,4,4,23.0,24,15,15,4,29,3,0,0,1.22,5.87,LAD,11000000,12500000,12500000,0.14009661835748793,0.01932367149758454,7.25,16,16,529.0,576,225,225,16,841,9,0,0,1.4884,34.456900000000005,0.00037340428014656115,52.5625,256
David Robertson,2015,UFA,NYY,4,46000000,11500000,RP,60,0,63.3,48,27,24,13,85,6,5,34,0.96,3.41,CHW,10000000,10000000,10000000,0.14920133403545727,0.022819027558364055,6.538461538461538,3600,0,4006.8899999999994,2304,729,576,169,7225,36,25,1156,0.9216,11.628100000000002,0.0005207080187093782,42.751479289940825,12960000
Francisco Liriano,2015,UFA,PIT,3,39000000,13000000,RP,31,31,186.7,155,75,70,70,205,12,7,0,1.21,3.38,PIT,11000000,11666666,11666666,0.12200202344819377,0.041659227518895434,2.9285714285714284,961,961,34856.88999999999,24025,5625,4900,4900,42025,144,49,0,1.4641,11.424399999999999,0.0017354912374710947,8.576530612244897,923521
Andrew Miller,2015,UFA,BAL,4,36000000,9000000,RP,60,0,61.7,33,16,14,20,100,3,2,36,0.86,2.04,NYY,9000000,9000000,9000000,0.18008283810552853,0.0360165676211057,5.0,3600,0,3806.8900000000003,1089,256,196,400,10000,9,4,1296,0.7395999999999999,4.1616,0.0012971931432056796,25.0,12960000
Adam LaRoche,2015,UFA,WSH,2,25000000,12500000,DH,127,115,1.0,0,0,0,0,1,0,0,0,0.0,0.0,CHW,12000000,12000000,12000000,0.1111111111111111,0.0,inf,16129,13225,1.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,inf,260144641
Jake Peavy,2015,UFA,SF,2,24000000,12000000,RP,19,19,110.7,99,45,44,25,78,8,6,0,1.12,3.58,SF,7000000,9000000,9000000,0.07828967178560674,0.0250928435210278,3.12,361,361,12254.49,9801,2025,1936,625,6084,64,36,0,1.2544000000000002,12.8164,0.0006296507959707868,9.7344,130321
Edinson Volquez,2015,UFA,PIT,2,20000000,10000000,SP,35,34,206.0,195,94,81,74,161,13,9,0,1.31,3.54,KC,7500000,7500000,7500000,0.08683926645091694,0.039913700107874865,2.175675675675676,1225,1156,42436.0,38025,8836,6561,5476,25921,169,81,0,1.7161000000000002,12.531600000000001,0.00159310345630137,4.733564645726808,1500625
Jason Hammel,2015,UFA,OAK,2,20000000,10000000,SP,32,31,170.7,158,79,71,40,172,10,7,0,1.16,3.74,CHC,9000000,9000000,9000000,0.11195730000650915,0.02603658139686259,4.3,1024,961,29138.489999999994,24964,6241,5041,1600,29584,100,49,0,1.3456,13.987600000000002,0.0006779035708354512,18.49,1048576
Luke Gregerson,2015,UFA,OAK,3,18500000,6166667,RP,64,0,61.0,48,24,21,10,59,7,3,31,0.95,3.1,HOU,6000000,6050000,6050000,0.10746812386156648,0.018214936247723135,5.9,4096,0,3721.0,2304,576,441,100,3481,49,9,961,0.9025,9.610000000000001,0.0003317839025086181,34.81,16777216
Zach Duke,2015,UFA,MIL,3,15000000,5000000,RP,72,0,61.7,47,26,23,32,67,3,6,1,1.28,3.36,CHW,4500000,4500000,4500000,0.1206555015307041,0.057626508193769126,2.09375,5184,0,3806.8900000000003,2209,676,529,1024,4489,9,36,1,1.6384,11.289599999999998,0.00332081444660654,4.3837890625,26873856
Sergio Romo,2015,UFA,SF,2,15000000,7500000,RP,70,0,57.3,51,20,19,10,71,0,5,2,1.06,2.98,SF,5000000,6000000,6000000,0.13767694395966648,0.01939111886755866,7.1,4900,0,3283.2899999999995,2601,400,361,100,5041,0,25,4,1.1236000000000002,8.8804,0.0003760154909357894,50.41,24010000
Francisco Rodriguez,2015,UFA,MIL,2,13000000,6500000,RP,60,0,57.0,38,15,14,11,62,1,3,38,0.86,2.21,MIL,3500000,3500000,3500000,0.12085769980506822,0.021442495126705652,5.636363636363637,3600,0,3249.0,1444,225,196,121,3844,1,9,1444,0.7395999999999999,4.8841,0.0004597805972587956,31.768595041322317,12960000
Pat Neshek,2015,UFA,STL,2,12500000,6250000,RP,66,0,54.7,49,25,22,12,51,3,6,1,1.12,3.62,HOU,5500000,5500000,5500000,0.10359536867763558,0.02437538086532602,4.25,4356,0,2992.09,2401,625,484,144,2601,9,36,1,1.2544000000000002,13.1044,0.0005941591923297019,18.0625,18974736
Luke Hochevar,2015,UFA,KC,2,10000000,5000000,RP,50,0,50.7,49,23,21,16,49,1,1,1,1.28,3.73,KC,4000000,4000000,4000000,0.10738549200087662,0.035064650449265836,3.0625,2500,0,2570.4900000000002,2401,529,441,256,2401,1,1,1,1.6384,13.9129,0.0012295297111291988,9.37890625,6250000
Brett Anderson,2015,UFA,COL,1,10000000,10000000,SP,31,31,180.3,194,82,76,46,116,10,9,0,1.33,3.79,LAD,10000000,12400000,12400000,0.07148579527947248,0.028347815369445983,2.5217391304347827,961,961,32508.090000000004,37636,6724,5776,2116,13456,100,81,0,1.7689000000000001,14.3641,0.0008035986362201978,6.359168241965974,923521
Kris Medlen,2015,UFA,ATL,2,8500000,4250000,SP,15,8,58.3,56,30,26,18,40,6,2,0,1.27,4.01,KC,2000000,2000000,2000000,0.07623403849818945,0.03430531732418525,2.2222222222222223,225,64,3398.89,3136,900,676,324,1600,36,4,0,1.6129,16.080099999999998,0.0011768547967130447,4.938271604938272,50625
A.J. Burnett,2015,UFA,PHI,1,8500000,8500000,SP,26,26,164.0,174,64,58,49,143,9,7,0,1.36,3.18,PIT,8500000,8500000,8500000,0.09688346883468835,0.03319783197831978,2.9183673469387754,676,676,26896.0,30276,4096,3364,2401,20449,81,49,0,1.8496000000000004,10.112400000000001,0.0011020960480607517,8.516867971678467,456976
Jason Grilli,2015,UFA,LAA,2,8000000,4000000,RP,36,0,33.7,28,13,11,10,45,3,4,24,1.13,2.94,ATL,4250000,4250000,4250000,0.14836795252225518,0.03297065611605671,4.5,1296,0,1135.6900000000003,784,169,121,100,2025,9,16,576,1.2768999999999997,8.6436,0.0010870641647232676,20.25,1679616
Kyle Kendrick,2015,UFA,PHI,1,5500000,5500000,SP,27,27,142.3,172,102,100,45,80,7,13,0,1.52,6.32,COL,5500000,5500000,5500000,0.06246583899429999,0.035137034434293744,1.7777777777777777,729,729,20249.290000000005,29584,10404,10000,2025,6400,49,169,0,2.3104,39.942400000000006,0.0012346111888367442,3.1604938271604937,531441
Chris Capuano,2015,UFA,NYY,1,5000000,5000000,RP,22,4,40.7,52,38,36,22,38,0,4,0,1.82,7.97,NYY,5000000,5000000,5000000,0.10374010374010374,0.06006006006006006,1.7272727272727273,484,16,1656.4900000000002,2704,1444,1296,484,1444,0,16,0,3.3124000000000002,63.5209,0.0036072108144180218,2.9834710743801653,234256
