Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Josh Tomlin,1250000,1250000,RP,36,0,49.3,69,36,36,5,37,4,0,0,1.5,6.57,ATL,1000000
Keone Kela,1200000,1200000,RP,12,0,10.7,11,8,6,3,13,2,2,0,1.31,5.06,SD,1200000
Chaz Roe,1150000,1150000,RP,1,0,0.7,1,2,2,1,2,0,0,0,3.0,27.0,TB,1150000
Matt Wisler,1150000,1150000,RP,48,0,48.7,41,24,20,11,62,3,5,1,1.07,3.7,TB,1200000
Ryne Stanek,1100000,1100000,RP,72,0,68.3,46,32,26,37,83,3,5,2,1.22,3.42,HOU,1100000
Chris Devenski,1000000,1000000,RP,8,0,7.3,11,7,7,2,5,1,0,1,1.77,8.59,ARI,1000000
Tony Watson,1000000,1000000,RP,62,0,57.3,40,26,25,18,44,7,4,0,1.01,3.92,SF,1000000
Steve Cishek,1000000,1000000,RP,74,0,68.3,61,32,26,41,64,0,2,0,1.49,3.42,LAA,1000000
Ryan Tepera,800000,800000,RP,65,0,61.3,35,19,19,19,74,0,2,2,0.88,2.79,CHW,1750000
Kohl Stewart,700000,700000,SP,4,3,13.7,17,12,8,6,11,1,1,0,1.68,5.27,CHC,700000
Ross Detwiler,0,0,RP,53,5,52.3,44,28,27,20,62,3,1,0,1.22,4.64,SD,570500
Jhoulys Chacin,0,0,RP,46,1,64.3,53,32,31,28,47,3,2,0,1.26,4.34,COL,1000000
