Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
STL,STL,6.7,6.7,2021,2021,2021,2,2,4,3,1681,81,41,9,0,0,2,2,2,2,361,16,361,16,19,4,19,4,6.25,10.240000000000002,2.5,3.2,0.19753086419753085,0.14792899408284024,0.4444444444444444,0.38461538461538464,1.234567901234568,1.5147928994082842,1.1111111111111112,1.2307692307692308,22.5625,7.6729,4.75,2.77,32,32,36,St. Louis Cardinals,St. Louis Cardinals,Missouri,78004603,66004603,1296.0,169.0,36.0,13.0,0,0,40,16,161,58,Andrew Miller,0,1,0,1,12000000,4296259,23,23,200.0,200,31,30,0.2484472049689441,0.27586206896551724,RP,RP,0.5527950310559007,0.5172413793103449,0,16,0,4,1600,256,40,16,12000000,4296259,12000000,11500000,0.079,0.059,12000000,11537000,0.0,0.0,0.0,0.0,12500000,12500000,17000000,7000000,25000000,25000000,89,30,1.5011196963456546,0.019600000000000003,1.22520190023753,0.14,2.4964000000000004,1.1664,1.58,1.08,11,11,256,25,16,5,0,1,0,1,16.300417207752275,16.300417207752275,16.300417207752275
LAD,LAD,6.3,6.3,2027,2026,2021,1,1,1,1,1681,1024,41,32,0,0,7,4,5,5,400,169,400,144,20,12,20,13,3.6548442906574397,43.18367346938775,1.911764705882353,6.571428571428571,0.37260394070569114,0.022467891548863077,0.6104129263913823,0.14989293361884368,1.3618093853646585,0.9702460921917196,1.1669658886894074,0.9850107066381155,10.4329,5.3361,3.23,2.31,26,25,27,Los Angeles Dodgers,Los Angeles Dodgers,California,1295216,714716,3102.4900000000002,2180.8900000000003,55.7,46.7,13,8,17,9,162,59,Anthony Gonsolin,1,4,1,2,580500,566000,25,25,205.0,205,35,34,0.10493827160493827,0.15254237288135594,RP,SP,0.654320987654321,0.711864406779661,0,0,0,0,4225,2116,65,46,580500,115773,580500,566000,0.002,0.001,580500,566000,0.0,8537.76,0.0,92.4,580500,566000,160320500,15813500,580500,566000,106,42,1.3224999999999998,2.1025,1.15,1.45,1.8225000000000002,0.7055999999999999,1.35,0.84,7,7,1156,49,34,7,16,4,4,2,13.271645080120082,13.271645080120082,13.271645080120082
SEA,SEA,6.1,6.1,2026,0,2021,1,1,0,0,3721,400,61,20,0,0,4,4,1,1,900,81,784,81,28,9,30,9,12.484444444444444,17.361111111111114,3.533333333333333,4.166666666666667,0.07519827277922789,0.09,0.2742230347349177,0.3,0.9388086588304495,1.5625,0.9689213893967092,1.25,21.252100000000002,16.4025,4.61,4.05,26,25,26,Seattle Mariners,Seattle Mariners,Washington,857403,278703,2992.09,400.0,54.7,20.0,0,0,66,21,162,61,Anthony Misiewicz,25,4,5,2,578700,208703,0,0,200.0,200,4,4,0.4074074074074074,0.3442622950819672,RP,RP,0.5555555555555556,0.4426229508196721,0,0,0,0,2809,625,53,25,578700,208704,578700,563500,0.007,0.004,578700,563500,414.52959999999996,23.716900000000003,20.36,4.87,578700,563500,16300000,6550000,578700,563500,90,27,0.04000000000000001,0.0225,0.2,0.15,1.9320999999999997,1.6900000000000002,1.39,1.3,0,0,225,36,15,6,25,0,5,0,13.268539487561931,13.268539487561931,13.268539487561931
NYY,NYY,6.4,6.4,2023,2023,2021,3,3,2,1,1296,36,36,6,2200000,2200000,4,2,2,2,529,16,441,16,21,4,23,4,6.515927977839336,30.25,2.5526315789473686,5.5,0.45556505525776975,0.11688216816421945,0.674955595026643,0.3418803418803419,2.9684290892800242,3.535685586967639,1.7229129662522202,1.8803418803418805,11.289599999999998,9.5481,3.36,3.09,31,31,33,New York Yankees,New York Yankees,New York,131066491,116227782,3169.6899999999996,136.89,56.3,11.7,0,0,61,13,162,60,Aroldis Chapman,16,1,4,1,14838709,5555555,40,40,218.0,218,57,56,0.3765432098765432,0.21666666666666667,RP,RP,0.5679012345679012,0.55,900,9,30,3,9409,484,97,22,14838710,7755556,15000000,15000000,0.072,0.069,17200000,17200000,327.61000000000007,0.0,18.1,0.0,16000000,16000000,111300000,336500000,48000000,48000000,92,33,2.3104,0.16809999999999997,1.52,0.41,1.7161000000000002,0.7395999999999999,1.31,0.86,27,27,1444,16,38,4,36,1,6,1,16.512749864701398,16.523560759066484,16.660419941783683
SD,SD,6.3,6.3,2025,2025,2021,1,1,1,1,784,9,28,3,0,0,4,2,5,5,784,4,576,4,24,2,28,2,4.715102040816326,12.25,2.1714285714285713,3.5,0.44107745320078195,0.25,0.6641366223908918,0.5,2.0797251997450754,3.0625,1.4421252371916509,1.75,16.81,20.25,4.1,4.5,29,28,30,San Diego Padres,San Diego Padres,California,1644688,1064488,2777.2900000000004,16.0,52.7,4.0,0,0,65,3,162,61,Austin Adams,4,0,2,0,580200,91524,2,2,220.0,220,6,6,0.4012345679012346,0.04918032786885246,RP,RP,0.4876543209876543,0.6229508196721312,0,0,0,0,5776,49,76,7,580200,91524,580200,570900,0.003,0.001,580200,570900,408.44410000000005,0.0,20.21,0.0,580200,570900,25200000,43000000,580200,570900,79,38,0.0256,0.0004,0.16,0.02,1.44,1.5625,1.2,1.25,0,0,1225,4,35,2,9,0,3,0,13.27112815066944,13.27112815066944,13.27112815066944
BOS,PIT,6.4,6.4,2026,2025,2021,1,1,1,1,576,121,24,11,0,0,6,3,1,2,289,64,225,64,15,8,17,8,5.4444444444444455,6.25,2.3333333333333335,2.5,0.20818574795067155,0.08910670527957228,0.45627376425855515,0.29850746268656714,1.133455738842545,0.5569169079973267,1.064638783269962,0.7462686567164178,26.3169,116.64000000000001,5.13,10.8,27,26,28,Boston Red Sox,Pittsburgh Pirates,Massachusetts,1120511,605268,691.69,44.89,26.3,6.7,0,0,29,9,162,59,Austin Davis,4,0,2,0,205465,52955,14,9,230.0,230,25,17,0.17901234567901234,0.15254237288135594,RP,RP,0.5679012345679012,0.3220338983050847,0,0,0,0,784,25,28,5,205465,52955,588000,563500,0.001,0.002,588000,563500,0.0,0.0,0.0,0.0,588000,563500,31850000,3900000,588000,563500,92,19,1.5011196963456546,0.38616860499155536,1.22520190023753,0.6214246575342464,1.8769000000000002,3.8024999999999998,1.37,1.95,9,5,144,4,12,2,1,0,1,0,12.233030982111256,13.284482226880764,13.284482226880764
COL,STL,6.5,6.5,2026,2025,2021,1,1,0,0,10404,361,102,19,0,0,1,2,1,2,4096,36,3364,36,58,6,64,6,7.596073765615704,3.24,2.7560975609756095,1.8,0.12644716562021172,0.26753864447086806,0.3555941023417173,0.5172413793103449,0.9605019975041542,0.8668252080856124,0.9800520381613184,0.9310344827586207,20.5209,3.4596000000000005,4.53,1.86,27,26,27,Colorado Rockies,St. Louis Cardinals,Colorado,2038011,1462511,13294.09,841.0,115.3,29.0,23,4,24,14,161,58,Austin Gomber,81,1,9,1,575500,211111,1,23,220.0,220,5,30,0.14906832298136646,0.2413793103448276,SP,SP,0.4596273291925465,0.5172413793103449,0,0,0,0,12769,729,113,27,575500,211111,575500,570000,0.005,0.003,575500,570000,2700.8808999999997,6835.982400000001,51.97,82.68,575500,570000,0,7000000,575500,570000,74,30,0.3844,0.5184,0.62,0.72,1.5376,1.3688999999999998,1.24,1.17,0,11,1681,225,41,15,81,1,9,1,13.262994507144075,13.262994507144075,13.262994507144075
WSH,WSH,6.2,6.2,2026,2026,2021,1,1,1,1,3249,3249,57,57,0,0,6,10,1,1,1225,1296,1156,1225,34,35,35,36,4.440051020408164,5.975308641975309,2.107142857142857,2.4444444444444446,0.2387848773638637,0.13116930962029721,0.4886561954624782,0.36217303822937624,1.0602170383974614,0.7837771093360969,1.029668411867365,0.8853118712273641,28.5156,40.1956,5.34,6.34,28,27,29,Washington Nationals,Washington Nationals,Washington DC,1512077,924377,3283.2899999999995,2470.09,57.3,49.7,1,11,49,11,162,62,Austin Voth,1,25,1,5,587700,210704,1,1,201.0,201,6,6,0.30246913580246915,0.1774193548387097,RP,SP,0.4012345679012346,0.4193548387096774,0,0,0,0,3481,1936,59,44,587700,210704,587700,568900,0.004,0.003,587700,568900,95.84409999999998,596.8249,9.79,24.43,587700,568900,28000000,316750000,587700,568900,65,26,1.5011196963456546,0.07840000000000001,1.22520190023753,0.28,2.1904,2.2801,1.48,1.51,1,1,784,324,28,18,16,4,4,2,13.283971892600741,13.283971892600741,13.283971892600741
HOU,HOU,6.3,6.3,2026,0,2021,1,1,0,0,1444,169,38,13,0,0,5,3,2,2,361,49,225,25,15,5,19,7,3.473140495867768,2.0069444444444446,1.8636363636363635,1.4166666666666667,0.26545420640709927,0.3360638521319051,0.5152224824355972,0.5797101449275363,0.9219597540709377,0.6744614810147261,0.9601873536299765,0.821256038647343,9.985600000000002,4.752400000000001,3.16,2.18,25,24,25,Houston Astros,Houston Astros,Texas,1349100,750000,1823.2900000000002,428.48999999999995,42.7,20.7,0,0,51,22,162,60,Blake Taylor,16,1,4,1,599100,0,4,3,220.0,220,15,14,0.3148148148148148,0.36666666666666664,RP,RP,0.5864197530864198,0.4833333333333333,0,1,0,1,1681,289,41,17,599100,563500,599100,563500,0.003,0.007,599100,563500,631.0144,6255.2281,25.12,79.09,599100,563500,76100000,15650000,599100,563500,95,29,0.1024,0.48999999999999994,0.32,0.7,1.9880999999999998,1.4641,1.41,1.21,1,1,484,144,22,12,16,4,4,2,13.303183808072017,13.303183808072017,13.303183808072017
KC,KC,6.5,6.5,2024,2024,2021,1,1,0,0,24964,1521,158,39,0,0,5,3,2,2,7921,256,6400,225,80,15,89,16,3.515625,4.238754325259515,1.875,2.0588235294117645,0.22913800809926782,0.09658800370309716,0.47868362004487663,0.31078610603290674,0.8055633097239884,0.40941281846468514,0.8975317875841436,0.639853747714808,29.052099999999996,6.100900000000001,5.39,2.47,25,24,25,Kansas City Royals,Kansas City Royals,Missouri,4825212,1475212,17875.69,2992.09,133.7,54.7,26,9,26,9,163,59,Brad Keller,144,9,12,3,3350000,227037,4,4,255.0,255,9,9,0.15950920245398773,0.15254237288135594,SP,SP,0.4601226993865031,0.423728813559322,0,0,0,0,14400,1225,120,35,3350000,227037,3350000,613000,0.037,0.007,3350000,613000,272.5801000000001,9216.0,16.51,96.0,3350000,613000,41500000,7550000,3350000,613000,75,25,1.5011196963456546,3.1329000000000002,1.22520190023753,1.77,2.7556,1.0404,1.66,1.02,2,2,4096,289,64,17,64,25,8,5,15.02447090380125,15.02447090380125,15.02447090380125
