Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,At_bats,At_bats_2,Bateos,Bateos_2,Bateos_promedio,Bateos_promedio_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Dobles,Dobles_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Home_runs,Home_runs_2,Juegos,Juegos totales,Juegos_iniciados,Juegos_iniciados_2,Jugador,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_On_base_plus_slugging,Porcentaje_On_base_plus_slugging_2,Porcentaje_juegos,Porcentaje_juegos_iniciados,Porcentaje_juegos_iniciados_2,Porcentaje_on_base,Porcentaje_on_base_2,Porcentaje_slugging,Porcentaje_slugging_2,Posicion,Promedio_victorias,Runs_batted_in,Runs_batted_in_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Triples,Triples_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
MIL,6.6,2011,2014,3,1,492,242064,140,19600,0.285,0.08122499999999999,333333,1,1,25,625,29,28,Milwaukee Brewers,Wisconsin,17034500,26,676,130,162,123,15129,Corey Hart,7500000,1,240.0,4,0.866,0.749956,0.803,0.759,0.5760810000000001,0.356,0.126736,0.51,0.2601,RF,0.5925925925925926,63,3969,6833333,6500000,0.074,6833333,68.72,4722.4384,4,16,8833333,775000,26500000,96,3.18,10.112400000000001,0,15.737323106660037,15.687312734865866,15.737323106660037
MIL,6.1,2011,0,1,0,546,298116,122,14884,0.223,0.049729,0,1,1,24,576,28,28,Milwaukee Brewers,Wisconsin,1360500,13,169,155,162,140,19600,Casey McGehee,468000,1,220.0,4,0.626,0.391876,0.957,0.864,0.7464959999999999,0.28,0.07840000000000001,0.346,0.11971599999999999,3B,0.5925925925925926,67,4489,468000,468000,0.005,468000,8.77,76.9129,2,4,468000,775000,468000,96,2.110952380952381,4.456119954648526,0,13.056223574899784,13.056223574899784,13.056223574899784
MIL,6.241570881226049,2011,0,1,0,378,142884,115,13225,0.304,0.092416,0,1,1,20,400,30,30,Milwaukee Brewers,Wisconsin,0,4,16,119,162,90,8100,Nyjer Morgan,0,1,215.48312611012435,4,0.778,0.605284,0.735,0.556,0.3091360000000001,0.358,0.128164,0.421,0.17724099999999998,CF,0.5925925925925926,37,1369,450000,450000,0.005,450000,58.06,3370.9636,6,36,450000,775000,450000,96,2.95,8.7025,0,13.017002861746503,13.017002861746503,13.017002861746503
MIL,6.0,2011,0,1,1,430,184900,114,12996,0.265,0.07022500000000001,0,1,1,16,256,25,24,Milwaukee Brewers,Wisconsin,1164000,12,144,136,162,114,12996,Jonathan Lucroy,424000,1,200.0,4,0.703,0.49420899999999995,0.84,0.704,0.49561599999999995,0.313,0.097969,0.391,0.15288100000000002,C,0.5925925925925926,59,3481,424000,424000,0.005,424000,21.82,476.11240000000004,1,1,424000,775000,424000,96,1.02,1.0404,0,12.957488734214095,12.957488734214095,12.957488734214095
MIL,6.3,2011,0,1,0,231,53361,52,2704,0.225,0.050625,0,1,1,11,121,25,25,Milwaukee Brewers,Wisconsin,3862500,8,64,94,162,59,3481,Carlos Gomez,1500000,1,220.0,4,0.679,0.4610410000000001,0.58,0.364,0.132496,0.276,0.07617600000000001,0.403,0.16240900000000003,CF,0.5925925925925926,24,576,1500000,1500000,0.016,1500000,0.0,0.0,3,9,1500000,775000,1500000,96,2.27,5.1529,0,14.22097566607244,14.22097566607244,14.22097566607244
MIL,6.0,2011,0,1,1,111,12321,28,784,0.252,0.063504,0,1,1,6,36,28,27,Milwaukee Brewers,Wisconsin,375000,5,25,49,162,31,961,George Kottaras,0,1,202.0,4,0.771,0.594441,0.303,0.191,0.036481,0.312,0.097344,0.459,0.210681,C,0.5925925925925926,17,289,440000,440000,0.005,440000,0.0,0.0,1,1,440000,775000,440000,96,2.110952380952381,4.456119954648526,0,12.994530005894443,12.994530005894443,12.994530005894443
MIL,6.2,2011,0,5,2,68,4624,15,225,0.221,0.048841,250000,1,1,4,16,25,23,Milwaukee Brewers,Wisconsin,6923000,1,1,33,162,33,1089,Yovani Gallardo,3250000,1,205.0,4,0.577,0.332929,0.204,0.204,0.04161599999999999,0.254,0.064516,0.324,0.104976,RP,0.5925925925925926,4,16,3500000,3250000,0.038,3500000,60.27,3632.4729,0,0,6020000,775000,30100000,96,2.26,5.107599999999999,0,15.068273526459642,14.994165554305921,15.068273526459642
MIL,6.4,2011,2016,1,1,50,2500,13,169,0.26,0.06760000000000001,0,1,1,2,4,29,28,Milwaukee Brewers,Wisconsin,1984000,1,1,60,162,10,100,Chris Dickerson,414000,1,230.0,4,0.656,0.43033600000000005,0.37,0.062,0.0038439999999999998,0.296,0.08761599999999999,0.36,0.1296,LF,0.5925925925925926,7,49,414000,414000,0.005,414000,0.0,0.0,0,0,414000,775000,414000,96,0.3,0.09,0,12.933621252807452,12.933621252807452,12.933621252807452
MIL,6.241570881226049,2011,2013,3,1,61,3721,10,100,0.164,0.026896000000000003,0,1,1,3,9,34,33,Milwaukee Brewers,Wisconsin,62962104,0,0,33,162,33,1089,Randy Wolf,9500000,1,215.48312611012435,4,0.391,0.15288100000000002,0.204,0.204,0.04161599999999999,0.177,0.031328999999999996,0.213,0.045369,SP,0.5925925925925926,0,0,9500000,9500000,0.103,9500000,43.6,1900.96,0,0,9916667,775000,29750000,96,2.51,6.300099999999999,0,16.06680235657077,16.06680235657077,16.06680235657077
MIL,6.0,2011,0,1,0,59,3481,9,81,0.153,0.023409,0,1,1,2,4,29,29,Milwaukee Brewers,Wisconsin,6442800,1,1,33,162,33,1089,Shaun Marcum,3950000,1,215.48312611012435,4,0.456,0.207936,0.204,0.204,0.04161599999999999,0.219,0.047961,0.237,0.056169,SP,0.5925925925925926,6,36,3950000,3950000,0.043,3950000,69.58,4841.3764,0,0,3950000,775000,3950000,96,2.92,8.526399999999999,0,15.189226136877304,15.189226136877304,15.189226136877304
