Acronimo,Agente_libre,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Strike_outs,Strike_outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
HOU,No,6.5,2019,0,2,1,137,18769,0,2,3,66,4356,64,4096,7.142857142857143,51.02040816326531,0.18834080717488788,0.0354722596472883,1.345291479820628,1.809809165677975,2.58,6.6564000000000005,36,35,Houston Astros,Texas,229366000,223.0,49729.0,34,161,34,Justin Verlander,6,36,20075000,3,225.0,13,0.2111801242236025,SP,0.6583850931677019,0,0,300,90000,20000000,28000000,0.119,28075000,91.44,8361.2736,33000000,42250000,66000000,106,7.38,54.4644,0.8,0.6400000000000001,1,42,1764,21,441,16.811242831518264,17.14771506813948,17.15039005858878
CIN,No,6.1,2019,2021,1,1,184,33856,0,2,1,118,13924,106,11236,3.0853658536585367,9.519482450922071,0.38497652582159625,0.14820692543366618,1.187793427230047,1.410853225770901,4.48,20.070400000000003,28,27,Cincinnati Reds,Ohio,33395833,213.0,45369.0,34,162,34,Trevor Bauer,13,169,4193548,10,205.0,15,0.20987654320987653,SP,0.4629629629629629,0,0,253,64009,4193548,13000000,0.033,13000000,43.44,1887.0335999999998,13000000,2000000,13000000,75,1.78,3.1684,1.25,1.5625,5,82,6724,11,121,15.249057711627014,16.38045991542581,16.38045991542581
HOU,No,6.4,2019,0,1,0,142,20164,0,2,3,66,4356,59,3481,6.791666666666667,46.126736111111114,0.2260951483749411,0.05111901611868663,1.5355628827131418,2.357953366766294,2.5,6.25,28,28,Houston Astros,Texas,34888713,212.3,45071.29000000001,34,161,33,Gerrit Cole,5,25,13500000,3,220.0,13,0.2111801242236025,SP,0.6583850931677019,0,0,326,106276,13500000,13500000,0.08,13500000,97.99,9602.040099999998,13500000,42250000,13500000,106,6.64,44.0896,0.89,0.7921,1,48,2304,20,400,16.41820024340866,16.41820024340866,16.41820024340866
WSH,No,6.5,2019,2024,7,2,161,25921,3333334,1,7,79,6241,77,5929,4.482142857142857,20.089604591836732,0.2679425837320574,0.0717932281770106,1.200956937799043,1.4422975664476545,3.32,11.0224,30,28,Washington Nationals,Washington DC,87075000,209.0,43681.0,34,162,33,Stephen Strasburg,6,36,6000000,1,235.0,6,0.20987654320987653,SP,0.5740740740740741,0,0,251,63001,5000000,35000000,0.029,39333334,89.97,8094.6008999999995,25000000,184550000,175000000,93,5.63,31.6969,1.04,1.0816000000000001,1,56,3136,18,324,15.424948470398375,17.37085861945369,17.48758291071098
HOU,No,6.2,2019,2022,6,3,175,30625,3000000,2,3,73,5329,68,4624,6.233333333333333,38.85444444444445,0.14374700527072354,0.02066320152430142,0.8960229995208434,0.8028572156703293,2.93,8.584900000000001,35,32,Houston Astros,Texas,217397171,208.7,43555.689999999995,36,161,33,Zack Greinke,5,25,4537634,3,200.0,13,0.2236024844720497,SP,0.6583850931677019,0,0,187,34969,4537635,31500000,0.027,34500000,73.73,5436.112900000001,34416667,42250000,206500000,106,4.27,18.232899999999997,0.98,0.9603999999999999,1,30,900,18,324,15.327916509178776,17.26549810379586,17.356469882001587
TEX,Si,6.5,2019,0,3,1,195,38025,1333333,2,6,89,7921,85,7225,4.169491525423729,17.384659580580298,0.28324531925108015,0.08022791087764632,1.1809889582333173,1.394734919469016,3.67,13.4689,32,31,Texas Rangers,Texas,48737213,208.3,43388.89000000001,33,162,33,Lance Lynn,11,121,11000000,2,270.0,8,0.2037037037037037,SP,0.4814814814814814,0,0,246,60516,9333333,8000000,0.063,9333333,94.84,8994.625600000001,10000000,47250000,30000000,78,7.73,59.752900000000004,1.22,1.4884,0,59,3481,16,256,16.049102743757082,15.89495209964411,16.049102743757082
SF,No,6.4,2019,0,5,6,191,36481,0,5,2,99,9801,90,8100,4.72093023255814,22.287182260681455,0.20702936928261917,0.042861159745559096,0.9773712084737602,0.9552544791534585,3.9,15.209999999999999,29,23,San Francisco Giants,California,61960000,207.7,43139.28999999999,37,161,34,Madison Bumgarner,9,81,12000000,23,257.0,26,0.22981366459627328,SP,0.4782608695652174,0,0,203,41209,12000000,12000000,0.067,12000000,72.95,5321.7025,7000000,8500000,35000000,77,2.87,8.2369,1.13,1.2768999999999997,8,43,1849,9,81,16.300417207752275,16.300417207752275,16.300417207752275
NYM,No,6.4,2019,2023,5,1,154,23716,2500000,2,6,59,3481,55,3025,5.795454545454546,33.58729338842976,0.21568627450980393,0.0465205690119185,1.25,1.5625,2.43,5.9049000000000005,31,30,New York Mets,New York,25085924,204.0,41616.0,34,161,32,Jacob deGrom,8,64,12000000,5,180.0,9,0.2111801242236025,SP,0.5279503105590062,0,0,255,65025,9500000,7000000,0.065,9500000,93.13,8673.196899999999,27500000,79000000,137500000,85,7.21,51.9841,0.97,0.9409,2,44,1936,11,121,16.06680235657077,15.761420707019587,16.06680235657077
BOS,No,6.2,2019,0,1,1,195,38025,0,1,1,88,7744,86,7396,2.84,8.0656,0.3689129365469749,0.13609675475171232,1.0477127397934087,1.097701985125411,3.81,14.5161,26,25,Boston Red Sox,Massachusetts,8062014,203.3,41330.89000000001,34,161,34,Eduardo Rodriguez,6,36,4325000,14,231.0,24,0.2111801242236025,SP,0.515527950310559,0,0,213,45369,4325000,4300000,0.019,4325000,93.1,8667.609999999999,4300000,68000000,4300000,83,5.49,30.140100000000004,1.33,1.7689000000000001,9,75,5625,19,361,15.279922698348116,15.27412558066379,15.279922698348116
SEA,No,6.1,2019,2024,2,1,210,44100,0,1,3,106,11236,90,8100,2.625,6.890625,0.27586206896551724,0.07609988109393578,0.7241379310344828,0.5243757431629014,3.99,15.920100000000001,27,26,Seattle Mariners,Washington,3580147,203.0,41209.0,35,162,35,Marco Gonzales,13,169,900000,0,195.0,4,0.21604938271604937,SP,0.419753086419753,0,0,147,21609,900000,900000,0.006,900000,81.68,6671.622400000001,950000,4450000,1900000,68,2.93,8.584900000000001,1.31,1.7161000000000002,0,56,3136,16,256,13.710150042306449,13.710150042306449,13.710150042306449
PHI,No,6.2,2019,2024,4,1,176,30976,500000,2,4,91,8281,87,7569,2.8625,8.19390625,0.3954522985664854,0.1563825204415167,1.1319822046465644,1.2813837116364963,3.87,14.9769,26,25,Philadelphia Phillies,Pennsylvania,11143391,202.3,40925.29000000001,34,162,34,Aaron Nola,7,49,6000000,7,195.0,14,0.20987654320987653,SP,0.5,0,0,229,52441,4500000,4000000,0.028,4500000,74.35,5527.922499999999,11250000,403000000,45000000,81,3.61,13.0321,1.26,1.5876000000000001,2,80,6400,12,144,15.319587954740548,15.201804919084164,15.319587954740548
WSH,Si,6.4,2019,2025,6,0,169,28561,416666,1,7,81,6561,73,5329,3.4,11.559999999999999,0.3465346534653465,0.12008626605234779,1.1782178217821782,1.3881972355651406,3.25,10.5625,29,29,Washington Nationals,Washington DC,31233415,202.0,40804.0,33,162,33,Patrick Corbin,7,49,15000000,1,220.0,6,0.2037037037037037,SP,0.5740740740740741,0,0,238,56644,12916666,12500000,0.075,12916666,80.28,6444.8784000000005,23333333,184550000,140000000,93,4.97,24.700899999999997,1.18,1.3923999999999999,1,70,4900,14,196,16.374028973482616,16.34123920227253,16.374028973482616
MIN,No,6.0,2019,0,1,1,194,37636,0,1,4,94,8836,82,6724,3.823529411764706,14.619377162629759,0.254618072890664,0.06483036304255549,0.9735396904643034,0.9477795289093317,3.68,13.5424,25,24,Minnesota Twins,Minnesota,3480202,200.3,40120.090000000004,32,162,32,Jose Berrios,8,64,620000,6,205.0,16,0.19753086419753085,SP,0.6234567901234568,0,0,195,38025,620000,620000,0.005,620000,87.23,7609.072900000001,620000,46800000,620000,101,3.55,12.6025,1.22,1.4884,3,51,2601,14,196,13.337474757021274,13.337474757021274,13.337474757021274
NYM,No,6.6,2019,0,1,0,194,37636,0,2,6,101,10201,94,8836,4.04,16.3216,0.25290844714213456,0.06396268263584587,1.0217501264542237,1.0439733209092221,4.28,18.3184,26,26,New York Mets,New York,11126312,197.7,39085.28999999999,32,161,32,Noah Syndergaard,8,64,6000000,5,240.0,9,0.19875776397515527,SP,0.5279503105590062,0,0,202,40804,6000000,6000000,0.041,6000000,73.58,5414.0163999999995,6000000,79000000,6000000,85,2.15,4.6225,1.23,1.5129,2,50,2500,10,100,15.60727002719233,15.60727002719233,15.60727002719233
MIA,No,6.5,2019,0,1,0,179,32041,0,2,2,94,8836,85,7225,1.8641975308641976,3.475232434080171,0.41054232133806384,0.16854499760964606,0.7653319817536746,0.5857330422950069,3.88,15.0544,23,23,Miami Marlins,Florida,975713,197.3,38927.29,33,162,32,Sandy Alcantara,14,196,555000,2,200.0,2,0.2037037037037037,SP,0.3518518518518518,0,0,151,22801,555000,555000,0.007,555000,77.88,6065.294399999999,555000,4500000,555000,57,3.32,11.0224,1.32,1.7424000000000002,2,81,6561,6,36,13.226723392728571,13.226723392728571,13.226723392728571
ARI,No,5.919150943396228,2019,2021,5,3,227,51529,0,1,4,114,12996,94,8836,4.703703703703703,22.124828532235934,0.13705583756345177,0.018784302610219277,0.6446700507614214,0.4155994743487336,4.29,18.4041,31,28,Arizona Diamondbacks,Arizona,94657589,197.0,38809.0,32,162,32,Mike Leake,11,121,3000000,1,170.0,6,0.19753086419753085,SP,0.5246913580246914,0,0,127,16129,3000000,16000000,0.025,16000000,32.96,1086.3616,16000000,11600000,80000000,85,1.55,2.4025000000000003,1.29,1.6641000000000001,1,27,729,12,144,14.914122846632385,16.588099280204055,16.588099280204055
STL,No,6.4,2019,2024,1,0,135,18225,0,2,1,62,3844,60,3600,4.2,17.64,0.2801833927661742,0.07850273358196425,1.1767702496179318,1.3847882203858495,2.75,7.5625,23,23,St. Louis Cardinals,Missouri,3086353,196.3,38533.69,38,162,33,Jack Flaherty,8,64,562100,23,225.0,29,0.2345679012345679,SP,0.5617283950617284,0,0,231,53361,562100,562100,0.003,562100,97.66,9537.4756,562100,25000000,562100,91,5.75,33.0625,0.97,0.9409,11,55,3025,11,121,13.239435048990167,13.239435048990167,13.239435048990167
NYM,No,6.4,2019,0,1,1,196,38416,0,2,6,93,8649,86,7396,3.9,15.209999999999999,0.2560163850486431,0.06554438941337509,0.9984639016897081,0.9969301629774351,3.96,15.6816,29,28,New York Mets,New York,13842279,195.3,38142.090000000004,31,161,31,Zack Wheeler,8,64,5975000,5,195.0,9,0.19254658385093168,SP,0.5279503105590062,0,0,195,38025,5975000,5975000,0.041,5975000,87.1,7586.409999999999,5975000,79000000,5975000,85,3.27,10.6929,1.26,1.5876000000000001,2,50,2500,11,121,15.603094655781849,15.603094655781849,15.603094655781849
TB,Si,6.5,2019,2022,2,0,154,23716,0,2,2,71,5041,66,4356,4.2105263157894735,17.728531855955676,0.29275808936825887,0.08570729889055345,1.2326656394453006,1.519464578669092,3.05,9.302499999999998,35,35,Tampa Bay Rays,Florida,60098008,194.7,37908.09,33,161,33,Charlie Morton,6,36,15000000,1,215.0,5,0.20496894409937888,SP,0.5962732919254659,0,0,240,57600,15000000,15000000,0.234,15000000,88.46,7825.171599999999,15000000,33500000,30000000,96,4.91,24.1081,1.08,1.1664,0,57,3249,16,256,16.523560759066484,16.523560759066484,16.523560759066484
CIN,No,6.2,2019,0,1,0,139,19321,0,2,1,76,5776,72,5184,2.8607594936708862,8.183944880628106,0.41426324069218673,0.17161403258879263,1.1851074986890404,1.404479783448994,3.4,11.559999999999999,26,26,Cincinnati Reds,Ohio,1407723,190.7,36366.49,32,162,32,Luis Castillo,8,64,557500,10,200.0,15,0.19753086419753085,SP,0.4629629629629629,0,0,226,51076,557500,557500,0.004,557500,95.56,9131.713600000001,557500,2000000,557500,75,5.21,27.144099999999998,1.14,1.2995999999999999,5,79,6241,15,225,13.231217782316412,13.231217782316412,13.231217782316412
CHW,No,6.5,2019,2020,3,3,225,50625,666668,2,3,107,11449,98,9604,2.425531914893617,5.883205070167498,0.25133689839572193,0.06317023649518146,0.6096256684491979,0.3716434556321313,4.72,22.278399999999998,32,29,Chicago White Sox,Illinois,39640211,187.0,34969.0,34,161,34,Ivan Nova,12,144,8500000,6,250.0,9,0.2111801242236025,SP,0.4472049689440994,0,0,114,12996,9166668,8500000,0.1,9166668,39.86,1588.8196,8666667,24500000,26000000,72,1.92,3.6864,1.46,2.1315999999999997,3,47,2209,11,121,16.031084419423223,15.955576721460545,16.031084419423223
DET,No,6.3,2019,2023,1,1,178,31684,0,1,4,101,10201,94,8836,4.76,22.6576,0.2698327037236913,0.07280968799883736,1.2844036697247705,1.6496927868024573,4.57,20.884900000000002,28,27,Detroit Tigers,Michigan,4241532,185.3,34336.090000000004,33,161,32,Matt Boyd,12,144,2600000,11,234.0,16,0.20496894409937888,SP,0.2919254658385093,0,0,238,56644,2600000,2600000,0.023,2600000,64.82,4201.6323999999995,2600000,15500000,2600000,47,3.76,14.137599999999999,1.23,1.5129,4,50,2500,9,81,14.77102200299171,14.77102200299171,14.77102200299171
OAK,Si,6.2,2019,2021,2,1,166,27556,0,5,6,82,6724,80,6400,2.3773584905660377,5.651833392666429,0.2869518137520303,0.0823413434155799,0.6821873308067137,0.4653795543131886,3.9,15.209999999999999,34,33,Oakland Athletics,California,18569124,184.7,34114.09,34,162,32,Michael Fiers,4,16,6000000,15,211.0,28,0.20987654320987653,SP,0.5987654320987654,0,0,126,15876,6000000,6000000,0.064,6000000,72.15,5205.6225,7050000,37600000,14100000,97,3.38,11.424399999999999,1.19,1.4161,9,53,2809,14,196,15.60727002719233,15.60727002719233,15.60727002719233
NYM,No,5.7,2019,2021,1,1,183,33489,0,2,6,77,5929,66,4356,2.7413793103448274,7.515160523186681,0.3147042864894194,0.09903878793481456,0.8627238198589257,0.7442923893519761,3.22,10.368400000000001,28,27,New York Mets,New York,20502184,184.3,33966.490000000005,32,161,32,Marcus Stroman,13,169,2546240,5,180.0,9,0.19875776397515527,SP,0.5279503105590062,0,0,159,25281,2546240,7400000,0.017,7400000,77.8,6052.839999999999,7400000,79000000,7400000,85,2.84,8.0656,1.31,1.7161000000000002,2,58,3364,10,100,14.750128319171306,15.816990558174398,15.816990558174398
STL,No,6.5,2019,2024,4,-1,193,37249,1000000,2,1,90,8100,85,7225,4.5,20.25,0.17391304347826086,0.030245746691871453,0.782608695652174,0.612476370510397,4.16,17.305600000000002,30,31,St. Louis Cardinals,Missouri,21174323,184.0,33856.0,32,162,32,Miles Mikolas,14,196,12750000,23,220.0,29,0.19753086419753085,SP,0.5617283950617284,0,0,144,20736,8750000,7750000,0.05,8750000,40.81,1665.4561,17000000,25000000,68000000,91,1.68,2.8223999999999996,1.22,1.4884,11,32,1024,9,81,15.984564258333798,15.86320340132953,15.984564258333798
CHW,No,6.1,2019,0,1,1,203,41209,0,2,3,119,14161,110,12100,2.6,6.760000000000001,0.3532608695652174,0.12479324196597355,0.9184782608695652,0.843602315689981,5.38,28.944399999999998,25,24,Chicago White Sox,Illinois,1420462,184.0,33856.0,33,161,33,Reynaldo Lopez,15,225,580000,6,220.0,9,0.20496894409937888,SP,0.4472049689440994,0,0,169,28561,580000,580000,0.006,580000,32.51,1056.9000999999998,580000,24500000,580000,72,0.32,0.1024,1.46,2.1315999999999997,3,65,4225,10,100,13.270783382522602,13.270783382522602,13.270783382522602
ARI,No,6.2,2019,0,2,0,184,33856,0,1,4,95,9025,90,8100,2.7719298245614037,7.6835949522930145,0.31096563011456624,0.09669962311254922,0.861974904528096,0.7430007360362202,4.42,19.5364,30,30,Arizona Diamondbacks,Arizona,2000000,183.3,33598.89000000001,32,162,32,Merrill Kelly,14,196,2000000,1,202.0,6,0.19753086419753085,RP,0.5246913580246914,0,0,158,24964,2000000,2000000,0.017,2000000,60.98,3718.5604,2750000,11600000,5500000,85,1.19,1.4161,1.32,1.7424000000000002,1,57,3249,13,169,14.508657738524219,14.508657738524219,14.508657738524219
LAD,No,6.3,2019,0,1,1,160,25600,0,5,3,53,2809,47,2209,6.791666666666667,46.126736111111114,0.13136288998357964,0.01725620886483805,0.8921729611384784,0.7959725925866009,2.32,5.3824,32,31,Los Angeles Dodgers,California,53975000,182.7,33379.28999999999,30,161,29,Hyun-Jin Ryu,5,25,17900000,25,255.0,33,0.18633540372670807,SP,0.6521739130434783,0,0,163,26569,17900000,17900000,0.087,17900000,93.5,8742.25,17900000,85000000,17900000,105,5.14,26.419599999999996,1.01,1.0201,6,24,576,14,196,16.70031127081098,16.70031127081098,16.70031127081098
LAD,No,6.2,2019,2025,1,0,153,23409,0,5,3,77,5929,66,4356,5.8108108108108105,33.76552227903579,0.20296215030170048,0.041193634455090056,1.1793746571585297,1.3909245819477996,3.26,10.6276,24,24,Los Angeles Dodgers,California,2938748,182.3,33233.29,30,161,30,Walker Buehler,4,16,570000,25,185.0,33,0.18633540372670807,SP,0.6521739130434783,0,0,215,46225,570000,570000,0.003,570000,92.07,8476.8849,570000,85000000,570000,105,2.26,5.107599999999999,1.04,1.0816000000000001,6,37,1369,14,196,13.253391639810733,13.253391639810733,13.253391639810733
NYY,No,5.919150943396228,2019,0,7,5,186,34596,0,2,5,95,9025,90,8100,3.725,13.875625000000001,0.21978021978021978,0.048303345006641706,0.8186813186813187,0.6702391015577829,4.45,19.802500000000002,30,25,New York Yankees,New York,132000000,182.0,33124.0,32,162,31,Masahiro Tanaka,9,81,22000000,40,215.0,55,0.19753086419753085,SP,0.6358024691358025,0,0,149,22201,22000000,22000000,0.099,22000000,27.51,756.8001,22142857,124555000,155000000,103,1.92,3.6864,1.24,1.5376,27,40,1600,11,121,16.90655301132259,16.90655301132259,16.90655301132259
SF,No,5.919150943396228,2019,0,5,4,152,23104,1800000,5,2,78,6084,71,5041,2.857142857142857,8.16326530612245,0.27027027027027023,0.07304601899196492,0.7722007722007721,0.5962940325874687,3.52,12.3904,34,30,San Francisco Giants,California,108175000,181.3,32869.69,32,161,32,Jeff Samardzija,12,144,19500000,23,240.0,26,0.19875776397515527,SP,0.4782608695652174,0,0,140,19600,19800000,18000000,0.111,19800000,58.61,3435.1321,18000000,8500000,90000000,77,3.41,11.628100000000002,1.11,1.2321000000000002,8,49,2401,11,121,16.801192495664765,16.70588231586044,16.801192495664765
CHC,No,6.5,2019,2024,6,1,140,19600,0,2,5,82,6724,79,6241,4.089285714285714,16.722257653061227,0.31337437045327365,0.0982034960569856,1.2814773363178513,1.6421841634962955,3.98,15.8404,32,31,Chicago Cubs,Illinois,104207843,178.7,31933.689999999995,31,162,31,Yu Darvish,8,64,20000000,17,220.0,20,0.19135802469135801,SP,0.5185185185185185,0,0,229,52441,20000000,20000000,0.09,20000000,46.25,2139.0625,21000000,49325000,126000000,84,2.98,8.8804,1.1,1.2100000000000002,3,56,3136,6,36,16.811242831518264,16.811242831518264,16.811242831518264
