Acronimo_t,Acronimo_t_1,Agente libre,Altura_t,Altura_t_1,Anio,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anios_de_contrato_t,Anios_de_contrato_t_1,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,OPS_2_t,OPS_2_t_1,OPS_t,OPS_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_bateo_2_t,Porcentaje_bateo_2_t_1,Porcentaje_bateo_t,Porcentaje_bateo_t_1,Porcetnaje_juegos_2_t,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_t,Porcetnaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,RBI_2_t,RBI_2_t_1,RBI_t,RBI_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
TOR,TOR,No,6.2,6.2,2014,2017,2017,2010,2010,4,4,84100,216225,290,465,8649,17956,93,134,0,150000,2,7,1,1,26,26,30,29,Toronto Blue Jays,Toronto Blue Jays,Toronto,19628200,12628200,36,529,6,23,9216,20449,96,143,162,162,Adam Lind,0.7395999999999999,0.729316,0.86,0.854,2,2,195,195,5,5,0.10304100000000001,0.08294399999999999,0.321,0.288,0.351649,0.779689,0.593,0.883,1B,1B,0.5123456790123457,0.4567901234567901,1600,4489,40,67,7000000,5150000,7000000,5000000,7000000,5150000,0.0,4446.222400000001,0.0,66.68,8000000,36750000,18000000,18000000,83,74,3.9204,3.4225000000000003,1.98,1.85,2,2,15.761420707019587,15.761420707019587,15.761420707019587
TEX,TEX,No,6.5,6.5,2014,2015,2015,2008,2008,7,7,242064,379456,492,616,19044,29241,138,171,500000,500000,7,12,2,2,26,26,33,32,Texas Rangers,Texas Rangers,Texas,73400000,60400000,16,324,4,18,17161,24336,131,156,162,162,Alex Rios,0.5026809999999999,0.571536,0.709,0.756,2,2,210,210,6,6,0.07896100000000002,0.07728400000000002,0.281,0.278,0.6544810000000001,0.9158489999999999,0.809,0.957,RF,RF,0.4135802469135802,0.5617283950617284,2916,6561,54,81,13500000,2551912,13000000,12500000,13500000,13000000,531.3025,2853.6964000000003,23.05,53.42,136050000,33750000,68835000,68835000,67,91,0.09,1.5625,0.3,1.25,0,0,16.41820024340866,16.38045991542581,16.41820024340866
TB,TB,No,6.3,6.3,2014,2016,2016,2010,2010,4,4,324900,374544,570,612,24025,28224,155,168,0,140475,5,10,2,2,28,28,33,32,Tampa Bay Rays,Tampa Bay Rays,Florida,23760100,16760100,100,144,10,12,21316,24649,146,157,162,162,Ben Zobrist,0.561001,0.571536,0.749,0.756,1,1,210,210,4,4,0.07398400000000001,0.07562500000000001,0.272,0.275,0.811801,0.9273689999999999,0.901,0.963,2B,2B,0.4753086419753086,0.5617283950617284,2704,5041,52,71,7000000,5640475,7000000,5500000,7000000,5640475,6970.580099999999,6432.040000000001,83.49,80.2,28150000,19090000,18000000,18000000,77,91,25.401600000000002,26.2144,5.04,5.12,0,0,15.761420707019587,15.761420707019587,15.761420707019587
NYY,NYY,No,6.6,6.6,2014,2016,2016,2009,2009,7,7,4,16,2,4,0,0,0,0,1285714,1285714,9,8,2,2,28,28,33,32,New York Yankees,New York Yankees,New York,173285714,150285714,0,0,0,0,64,1024,8,32,162,162,C.C. Sabathia,0.0,0.0,0.0,0.0,40,40,300,300,50,50,0.0,0.0,0.0,0.0,0.0024010000000000004,0.039204,0.049,0.198,SP,SP,0.5185185185185185,0.5246913580246914,0,1,0,1,24285714,24285714,23000000,23000000,24285714,24285714,0.0,18.232899999999997,0.0,4.27,311500000,64000000,161000000,161000000,84,85,0.3844,0.0001,-0.62,-0.01,27,27,17.005398834194516,16.951004773893423,17.005398834194516
WSH,WSH,No,6.0,6.0,2014,2016,2016,2010,2010,5,5,372100,372100,610,610,33856,28900,184,170,0,0,8,11,1,1,25,25,30,29,Washington Nationals,Washington Nationals,Washington DC,18525000,12025000,25,16,5,4,21609,23409,147,153,162,162,Denard Span,0.594441,0.49984899999999993,0.771,0.707,1,1,210,210,3,2,0.091204,0.07784100000000002,0.302,0.279,0.8226490000000001,0.8911359999999999,0.907,0.944,CF,CF,0.5925925925925926,0.5308641975308642,1369,2209,37,47,6500000,4750000,6500000,4750000,6500000,4750000,7461.504399999999,2566.4356,86.38,50.66,14150000,67000000,16500000,16500000,96,86,14.2884,5.7121,3.78,2.39,0,0,15.687312734865866,15.687312734865866,15.687312734865866
SEA,SEA,No,6.1,6.1,2014,0,0,2010,2010,5,5,252004,145924,502,382,15129,9025,123,95,1200000,1200000,8,10,1,1,21,21,26,25,Seattle Mariners,Seattle Mariners,Washington,9600000,7900000,196,16,14,4,20449,12769,143,113,161,162,Dustin Ackley,0.47886399999999996,0.42771600000000004,0.692,0.654,0,0,205,205,4,4,0.060024999999999995,0.062001,0.245,0.249,0.779689,0.4872039999999999,0.883,0.698,2B,2B,0.5341614906832298,0.4382716049382716,4225,961,65,31,1700000,2700000,500000,1500000,1700000,2700000,2433.4489,549.9024999999999,49.33,23.45,267800000,28400000,7500000,7500000,86,71,3.4969000000000006,0.4624000000000001,1.87,0.68,0,0,14.346138809026444,13.122363377404328,14.346138809026444
TB,TB,No,6.1,6.1,2014,0,0,2008,2008,6,6,389376,376996,624,614,24964,27225,158,165,0,0,5,10,2,2,22,22,28,27,Tampa Bay Rays,Tampa Bay Rays,Florida,25675000,18175000,484,1024,22,32,26244,25600,162,160,162,162,Evan Longoria,0.524176,0.7089639999999999,0.724,0.842,1,1,215,215,4,4,0.064009,0.07236100000000001,0.253,0.269,1.0,0.964324,1.0,0.982,3B,3B,0.4753086419753086,0.5617283950617284,8281,7744,91,88,7500000,6000000,7500000,6000000,7500000,6000000,5198.409999999999,8988.9361,72.1,94.81,28150000,19090000,17500000,17500000,77,91,11.1556,38.564099999999996,3.34,6.21,0,0,15.830413578506539,15.830413578506539,15.830413578506539
LAD,LAD,No,6.2,6.2,2014,2015,2015,2009,2009,6,6,201601,92416,449,304,16129,11025,127,105,0,0,11,7,5,5,25,25,30,29,Los Angeles Dodgers,Los Angeles Dodgers,California,71288000,55288000,169,400,13,20,16384,7396,128,86,161,162,Hanley Ramirez,0.6674889999999999,1.0816000000000001,0.817,1.04,25,25,235,235,28,27,0.08008899999999998,0.11902499999999998,0.283,0.345,0.6241000000000001,0.281961,0.79,0.531,DH,DH,0.577639751552795,0.5679012345679012,5041,3249,71,57,16000000,15500000,16000000,15500000,16000000,15500000,5788.1664,0.0,76.08,0.0,61150000,150850000,70000000,70000000,93,92,12.8164,29.2681,3.58,5.41,6,6,16.588099280204055,16.588099280204055,16.588099280204055
CHC,MIA,No,6.5,6.5,2014,0,0,2010,2010,4,4,529,1225,23,35,16,9,4,3,0,0,13,12,2,2,18,18,23,22,Chicago Cubs,Miami Marlins,Illinois,5700000,4700000,0,0,0,0,784,400,28,20,162,162,Jacob Turner,0.21996099999999996,0.052441,0.469,0.229,17,2,215,215,16,2,0.030275999999999997,0.007395999999999999,0.174,0.086,0.029928999999999997,0.015375999999999999,0.173,0.124,RP,RP,0.4506172839506173,0.382716049382716,0,0,0,0,284153,1175000,1000000,1175000,1000000,1175000,0.0,0.0,0.0,0.0,9650000,7675000,5500000,5500000,73,62,0.34809999999999997,2.0736,-0.59,1.44,2,2,12.557268104473511,13.815510557964274,13.815510557964274
KC,KC,No,6.3,6.3,2014,2015,2015,2008,2008,4,4,49,9,7,3,4,1,2,1,0,0,4,5,2,2,26,26,32,31,Kansas City Royals,Kansas City Royals,Missouri,41094900,27594900,0,0,0,0,1156,1156,34,34,162,162,James Shields,0.5097959999999999,0.44488900000000003,0.714,0.667,3,2,215,215,8,7,0.08179599999999998,0.11088900000000002,0.286,0.333,0.04409999999999999,0.04409999999999999,0.21,0.21,SP,SP,0.5493827160493827,0.5308641975308642,1,0,1,0,13500000,10250000,13500000,10250000,13500000,10250000,6696.1489,6794.7049000000015,81.83,82.43,66500000,26100000,11250000,11250000,89,86,12.0409,18.6624,3.47,4.32,1,1,16.41820024340866,16.41820024340866,16.41820024340866
