Acronimo_t,Acronimo_t_1,Agente libre,Altura_t,Altura_t_1,Anio,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anios_de_contrato_t,Anios_de_contrato_t_1,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,OPS_2_t,OPS_2_t_1,OPS_t,OPS_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_bateo_2_t,Porcentaje_bateo_2_t_1,Porcentaje_bateo_t,Porcentaje_bateo_t_1,Porcetnaje_juegos_2_t,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_t,Porcetnaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,RBI_2_t,RBI_2_t_1,RBI_t,RBI_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
MIL,TOR,No,6.2,6.2,2015,2017,2017,2010,2010,4,4,252004,84100,502,290,19321,8649,139,93,0,0,5,2,1,1,26,26,31,30,Milwaukee Brewers,Toronto Blue Jays,Wisconsin,27128200,19628200,400,36,20,6,22201,9216,149,96,161,162,Adam Lind,0.6723999999999999,0.7395999999999999,0.82,0.86,1,2,195,195,4,5,0.07672900000000002,0.10304100000000001,0.277,0.321,0.8464,0.351649,0.92,0.593,1B,1B,0.422360248447205,0.5123456790123457,7569,1600,87,40,7500000,7000000,7500000,7000000,7500000,7000000,6009.350399999999,0.0,77.52,0.0,17500000,8000000,18000000,18000000,68,83,10.368400000000001,3.9204,3.22,1.98,0,2,15.830413578506539,15.830413578506539,15.830413578506539
KC,TEX,Si,6.5,6.5,2015,2016,2015,2015,2008,1,7,148225,242064,385,492,9604,19044,98,138,0,500000,10,7,2,2,33,26,34,33,Kansas City Royals,Texas Rangers,Missouri,83900000,73400000,16,16,4,4,11025,17161,105,131,161,162,Alex Rios,0.4096,0.5026809999999999,0.64,0.709,4,2,210,210,9,6,0.065025,0.07896100000000002,0.255,0.281,0.419904,0.6544810000000001,0.648,0.809,RF,RF,0.5838509316770186,0.4135802469135802,1024,2916,32,54,9500000,13500000,9500000,13000000,9500000,13500000,64.1601,531.3025,8.01,23.05,69025000,136050000,11000000,68835000,94,67,1.2768999999999997,0.09,-1.13,0.3,2,0,16.06680235657077,16.06680235657077,16.06680235657077
KC,TB,No,6.3,6.3,2015,2016,2016,2010,2010,4,4,218089,324900,467,570,16641,24025,129,155,0,0,10,5,2,2,28,28,34,33,Kansas City Royals,Tampa Bay Rays,Missouri,31260100,23760100,169,100,13,10,15876,21316,126,146,161,162,Ben Zobrist,0.6544810000000001,0.561001,0.809,0.749,4,1,210,210,9,4,0.07617600000000001,0.07398400000000001,0.276,0.272,0.605284,0.811801,0.778,0.901,2B,2B,0.5838509316770186,0.4753086419753086,3136,2704,56,52,2827868,7000000,2827868,7000000,2827868,7000000,4748.5881,6970.580099999999,68.91,83.49,69025000,28150000,18000000,18000000,94,77,1.2995999999999999,25.401600000000002,1.14,5.04,2,0,14.855033628813057,14.855033628813057,14.855033628813057
LAD,COL,Si,6.4,6.4,2015,2016,2015,2015,2010,1,4,2209,196,47,14,16,4,4,2,0,0,8,6,5,1,26,21,27,26,Los Angeles Dodgers,Colorado Rockies,California,34250000,20350000,0,0,0,0,961,64,31,8,161,161,Brett Anderson,0.07784100000000002,0.18404099999999998,0.279,0.429,25,1,230,230,29,3,0.007225000000000001,0.020448999999999995,0.085,0.143,0.036481,0.0024010000000000004,0.191,0.049,SP,SP,0.5652173913043478,0.4099378881987577,9,1,3,1,12400000,6000000,10000000,8000000,12400000,8000000,2352.25,0.0,48.5,0.0,61257500,31250000,10000000,12500000,91,66,2.5281000000000002,1.0201,1.59,1.01,6,0,16.333207030575267,16.11809565095832,16.333207030575267
NYY,NYY,No,6.6,6.6,2015,2016,2016,2009,2009,7,7,9,4,3,2,0,0,0,0,1285714,1285714,7,9,2,2,28,28,34,33,New York Yankees,New York Yankees,New York,196285714,173285714,0,0,0,0,841,64,29,8,161,162,C.C. Sabathia,0.0,0.0,0.0,0.0,40,40,300,300,51,50,0.0,0.0,0.0,0.0,0.032041,0.0024010000000000004,0.179,0.049,SP,SP,0.5403726708074534,0.5185185185185185,0,0,0,0,24285714,24285714,23000000,23000000,24285714,24285714,33.5241,0.0,5.79,0.0,101500000,311500000,161000000,161000000,87,84,1.5376,0.3844,1.24,-0.62,27,27,17.005398834194516,16.951004773893423,17.005398834194516
WSH,WSH,No,6.0,6.0,2015,2016,2016,2010,2010,5,5,60516,372100,246,610,5625,33856,75,184,0,0,8,8,1,1,25,25,31,30,Washington Nationals,Washington Nationals,Washington DC,27525000,18525000,25,25,5,5,3721,21609,61,147,161,162,Denard Span,0.6464160000000001,0.594441,0.804,0.771,1,1,210,210,3,3,0.093025,0.091204,0.305,0.302,0.142129,0.8226490000000001,0.377,0.907,CF,CF,0.515527950310559,0.5925925925925926,529,1369,23,37,9000000,6500000,9000000,6500000,9000000,6500000,0.0,7461.504399999999,0.0,86.38,216000000,14150000,16500000,16500000,83,96,0.7224999999999999,14.2884,0.85,3.78,0,0,16.012735135300492,16.012735135300492,16.012735135300492
NYY,SEA,No,6.1,6.1,2015,0,0,2015,2010,1,5,56644,252004,238,502,3025,15129,55,123,0,1200000,7,8,2,1,26,21,27,26,New York Yankees,Seattle Mariners,New York,12200000,9600000,100,196,10,14,11664,20449,108,143,161,161,Dustin Ackley,0.506944,0.47886399999999996,0.712,0.692,40,0,205,205,51,4,0.053361000000000006,0.060024999999999995,0.231,0.245,0.44488900000000003,0.779689,0.667,0.883,2B,2B,0.5403726708074534,0.5341614906832298,900,4225,30,65,937704,1700000,2600000,500000,2600000,1700000,454.5424,2433.4489,21.32,49.33,101500000,267800000,2600000,7500000,87,86,0.0256,3.4969000000000006,0.16,1.87,27,0,13.751189613155256,14.77102200299171,14.77102200299171
TB,TB,No,6.1,6.1,2015,0,0,2008,2008,6,6,364816,389376,604,624,26569,24964,163,158,0,0,7,5,2,2,22,22,29,28,Tampa Bay Rays,Tampa Bay Rays,Florida,36675000,25675000,441,484,21,22,25600,26244,160,162,161,162,Evan Longoria,0.583696,0.524176,0.764,0.724,1,1,215,215,4,4,0.0729,0.064009,0.27,0.253,0.976144,1.0,0.988,1.0,3B,3B,0.4906832298136646,0.4753086419753086,5329,8281,73,91,11000000,7500000,11000000,7500000,11000000,7500000,5181.120400000001,5198.409999999999,71.98,72.1,9000000,28150000,17500000,17500000,79,77,11.1556,11.1556,3.34,3.34,0,0,16.213405830762646,16.213405830762646,16.213405830762646
BOS,LAD,Si,6.2,6.2,2015,2020,2015,2015,2009,4,6,160801,201601,401,449,10000,16129,100,127,750000,0,8,11,1,5,31,25,31,30,Boston Red Sox,Los Angeles Dodgers,Massachusetts,93288000,71288000,361,169,19,13,11025,16384,105,128,161,161,Hanley Ramirez,0.5140889999999999,0.6674889999999999,0.717,0.817,13,25,235,235,21,28,0.062001,0.08008899999999998,0.249,0.283,0.419904,0.6241000000000001,0.648,0.79,DH,DH,0.484472049689441,0.577639751552795,2809,5041,53,71,19750000,16000000,19000000,16000000,19750000,16000000,53.58240000000001,5788.1664,7.32,76.08,186500000,61150000,88000000,70000000,78,93,1.6641000000000001,12.8164,-1.29,3.58,8,6,16.798664049311405,16.759949537130716,16.798664049311405
SD,KC,Si,6.3,6.3,2015,2019,2015,2015,2008,4,4,4624,49,68,7,81,4,9,2,0,0,8,4,5,2,33,26,33,32,San Diego Padres,Kansas City Royals,California,51094900,41094900,0,0,0,0,1296,1156,36,34,161,162,James Shields,0.094249,0.5097959999999999,0.307,0.714,2,3,215,215,5,8,0.017424000000000002,0.08179599999999998,0.132,0.286,0.049284,0.04409999999999999,0.222,0.21,SP,SP,0.4596273291925465,0.5493827160493827,4,1,2,1,10000000,13500000,10000000,13500000,10000000,13500000,431.3929,6696.1489,20.77,81.83,80850000,66500000,75000000,11250000,74,89,4.7089,12.0409,2.17,3.47,0,1,16.11809565095832,16.11809565095832,16.11809565095832
