Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anios_de_contrato_t,Anios_de_contrato_t_1,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,OPS_2_t,OPS_2_t_1,OPS_t,OPS_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_bateo_2_t,Porcentaje_bateo_2_t_1,Porcentaje_bateo_t,Porcentaje_bateo_t_1,Porcetnaje_juegos_2_t,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_t,Porcetnaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,RBI_2_t,RBI_2_t_1,RBI_t,RBI_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
PIT,PIT,6.5,6.5,2013,2014,2014,2009,2009,5,5,3481,3969,59,63,16,16,4,4,0,0,8,3,2,2,31,31,36,35,Pittsburgh Pirates,Pittsburgh Pirates,Pennsylvania,122617500,106117500,0,0,0,0,900,961,30,31,162,162,A.J. Burnett,0.027556000000000004,0.028900000000000006,0.166,0.17,9,9,230,230,15,14,0.0046240000000000005,0.004096,0.068,0.064,0.034225,0.036481,0.185,0.191,SP,SP,0.5802469135802469,0.4876543209876543,4,4,2,2,8000000,5000000,16500000,16500000,16500000,16500000,1557.8808999999999,2500.0,39.47,50.0,28875000,14500000,82500000,82500000,94,79,3.6481,6.708099999999999,1.91,2.59,5,5,15.89495209964411,16.61887093887081,16.61887093887081
STL,STL,6.7,6.7,2013,2014,2014,2008,2008,4,4,5041,4356,71,66,225,64,15,8,0,0,6,5,2,2,26,26,31,30,St. Louis Cardinals,St. Louis Cardinals,Missouri,39003000,26853000,0,1,0,1,1225,1089,35,33,162,162,Adam Wainwright,0.22657599999999997,0.126736,0.476,0.356,23,23,230,230,27,26,0.044521,0.014641,0.211,0.121,0.046655999999999996,0.04161599999999999,0.216,0.204,SP,SP,0.5987654320987654,0.5432098765432098,36,16,6,4,12150000,9000000,12000000,9000000,12150000,9000000,9672.722499999998,5578.5961,98.35,74.69,13650000,40850000,15000000,15000000,97,88,38.316100000000006,0.8464,6.19,0.92,11,11,16.31283972775083,16.300417207752275,16.31283972775083
TEX,CHW,6.5,6.5,2013,2015,2015,2008,2008,7,7,379456,366025,616,605,29241,33856,171,184,500000,500000,12,1,2,2,26,26,32,31,Texas Rangers,Chicago White Sox,Texas,60400000,47900000,324,625,18,25,24336,24649,156,157,162,162,Alex Rios,0.571536,0.7224999999999999,0.756,0.85,2,6,210,210,6,9,0.07728400000000002,0.092416,0.278,0.304,0.9158489999999999,0.9389609999999999,0.957,0.969,RF,RF,0.5617283950617284,0.5246913580246914,6561,8281,81,91,2551912,12500000,12500000,12000000,13000000,12500000,2853.6964000000003,6637.3609,53.42,81.47,33750000,900000,68835000,68835000,91,85,1.5625,22.5625,1.25,4.75,0,3,14.752353440093653,16.34123920227253,16.38045991542581
NYY,NYY,0.0,0.0,2013,2018,2018,2008,2008,10,10,24336,214369,156,463,1444,15876,38,126,1000000,1000000,8,9,2,2,32,32,38,37,New York Yankees,New York Yankees,New York,355290700,321290700,49,324,7,18,1936,14884,44,122,162,162,Alex Rodriguez,0.594441,0.613089,0.771,0.783,40,40,230,230,50,50,0.059536,0.07398400000000001,0.244,0.272,0.07398400000000001,0.567009,0.272,0.753,DH,DH,0.5246913580246914,0.5864197530864198,361,3249,19,57,29000000,30000000,28000000,29000000,29000000,30000000,0.0,134.79209999999998,0.0,11.61,64000000,9100000,275000000,275000000,85,95,0.1024,4.9729,0.32,2.23,27,27,17.182806387950748,17.14771506813948,17.182806387950748
NYY,CHC,0.0,0.0,2013,2015,2015,2007,2007,8,8,336400,314721,580,561,21904,21609,148,147,0,1000000,8,3,2,2,30,30,37,36,New York Yankees,Chicago Cubs,New York,147950000,129950000,1156,1024,34,32,22801,22801,151,151,162,162,Alfonso Soriano,0.627264,0.6740409999999999,0.792,0.821,40,17,0,0,50,16,0.065025,0.06864400000000001,0.255,0.262,0.8686240000000001,0.8686240000000001,0.932,0.932,DH,DH,0.5246913580246914,0.3765432098765432,10201,11664,101,108,1800000,19000000,18000000,18000000,18000000,19000000,1025.2804,1006.1583999999999,32.02,31.72,64000000,14150000,136000000,136000000,85,61,0.6241000000000001,3.5343999999999998,0.79,1.88,27,2,14.403297222866392,16.70588231586044,16.70588231586044
SF,SF,6.4,6.4,2013,2014,2014,2007,2007,7,7,1156,2809,34,53,25,16,5,4,0,0,6,3,5,5,28,28,35,34,San Francisco Giants,San Francisco Giants,California,139540000,119540000,0,0,0,0,900,1024,30,32,162,162,Barry Zito,0.08643599999999999,0.060024999999999995,0.294,0.245,23,23,208,208,23,23,0.021608999999999996,0.005776,0.147,0.076,0.034225,0.039204,0.185,0.198,SP,SP,0.4691358024691358,0.5802469135802469,4,4,2,2,20000000,19000000,20000000,19000000,20000000,19000000,0.1296,120.56040000000002,0.36,10.98,80750000,4800000,126000000,126000000,76,94,6.200100000000001,0.004900000000000001,-2.49,0.07,7,7,16.811242831518264,16.811242831518264,16.811242831518264
TB,TB,6.3,6.3,2013,2016,2016,2010,2010,4,4,374544,313600,612,560,28224,22801,168,151,140475,140475,10,4,2,2,28,28,32,31,Tampa Bay Rays,Tampa Bay Rays,Florida,16760100,11260100,144,400,12,20,24649,24649,157,157,162,162,Ben Zobrist,0.571536,0.719104,0.756,0.848,1,1,210,210,4,3,0.07562500000000001,0.0729,0.275,0.27,0.9273689999999999,0.9389609999999999,0.963,0.969,2B,2B,0.5617283950617284,0.5555555555555556,5041,5476,71,74,5640475,4640475,5500000,4500000,5640475,4640475,6432.040000000001,8917.024900000002,80.2,94.43,19090000,15950000,18000000,18000000,91,90,26.2144,33.4084,5.12,5.78,0,0,15.545478839786105,15.520258650202699,15.545478839786105
ATL,ATL,6.3,6.3,2013,2014,2014,2007,2007,6,6,126736,192721,356,439,8281,10201,91,101,0,166666,3,1,1,1,22,22,29,28,Atlanta Braves,Atlanta Braves,Georgia,42699500,30699500,400,400,20,20,10404,14641,102,121,162,162,Brian McCann,0.6336160000000001,0.4872039999999999,0.796,0.698,18,18,225,225,23,22,0.065536,0.0529,0.256,0.23,0.39690000000000003,0.558009,0.63,0.747,C,C,0.5925925925925926,0.5802469135802469,3249,4489,57,67,12000000,11666666,12000000,8500000,12000000,11666666,4408.960000000001,819.1044,66.4,28.62,77250000,1000000,26800000,26800000,96,94,7.3441,1.2544000000000002,2.71,1.12,3,3,16.300417207752275,16.300417207752275,16.300417207752275
BAL,BAL,0.0,0.0,2013,2014,2014,2010,2010,4,4,69696,4356,264,66,4356,144,66,12,0,0,4,5,1,1,32,32,35,34,Baltimore Orioles,Baltimore Orioles,Maryland,62310000,52310000,64,0,8,0,5929,289,77,17,162,162,Brian Roberts,0.49984899999999993,0.172225,0.707,0.415,7,7,0,0,12,12,0.0625,0.033124,0.25,0.182,0.225625,0.011024999999999998,0.475,0.105,2B,2B,0.5246913580246914,0.5740740740740741,1521,25,39,5,10000000,10000000,10000000,10000000,10000000,10000000,0.0,0.0,0.0,0.0,2000000,6675000,40000000,40000000,85,93,,,,,3,3,16.11809565095832,16.11809565095832,16.11809565095832
NYY,NYY,6.6,6.6,2013,2016,2016,2009,2009,7,7,16,25,4,5,0,0,0,0,1285714,1285714,8,9,2,2,28,28,32,31,New York Yankees,New York Yankees,New York,150285714,127285714,0,0,0,0,1024,784,32,28,162,162,C.C. Sabathia,0.0,0.0,0.0,0.0,40,40,300,300,50,50,0.0,0.0,0.0,0.0,0.039204,0.029928999999999997,0.198,0.173,SP,SP,0.5246913580246914,0.5864197530864198,1,0,1,0,24285714,24285714,23000000,23000000,24285714,24285714,18.232899999999997,1650.7969000000003,4.27,40.63,64000000,9100000,161000000,161000000,85,95,0.0001,11.289599999999998,-0.01,3.36,27,27,17.005398834194516,16.951004773893423,17.005398834194516
