Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anios_de_contrato_t,Anios_de_contrato_t_1,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,OPS_2_t,OPS_2_t_1,OPS_t,OPS_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_bateo_2_t,Porcentaje_bateo_2_t_1,Porcentaje_bateo_t,Porcentaje_bateo_t_1,Porcetnaje_juegos_2_t,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_t,Porcetnaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,RBI_2_t,RBI_2_t_1,RBI_t,RBI_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
NYY,NYY,6.1,6.1,2019,2027,2020,2019,2018,7,1,48841,230400,221,480,2704,14161,52,119,285714,0,5,2,2,2,29,28,29,28,New York Yankees,New York Yankees,New York,15557547,7557547,144,729,12,27,3481,19044,59,138,162,162,Aaron Hicks,0.591361,0.693889,0.769,0.833,40,40,205,205,55,54,0.055224999999999996,0.061503999999999996,0.235,0.248,0.132496,0.725904,0.364,0.852,CF,CF,0.6358024691358025,0.6172839506172839,1296,6241,36,79,6285714,2825000,6000000,2825000,6285714,2825000,0.0,8766.5769,0.0,93.63,124555000,14000000,70000000,2825000,103,100,1.5876000000000001,22.090000000000003,1.26,4.7,27,27,15.653789997372675,15.60727002719233,15.653789997372675
NYY,NYY,6.7,6.7,2019,2023,0,2019,2018,1,1,142884,170569,378,413,10609,13225,103,115,0,0,5,2,2,2,26,25,27,26,New York Yankees,New York Yankees,New York,3792523,3108223,729,729,27,27,10404,12544,102,112,162,162,Aaron Judge,0.848241,0.8445610000000001,0.921,0.919,40,40,282,282,55,54,0.07452900000000001,0.07784100000000002,0.273,0.279,0.39690000000000003,0.47748099999999993,0.63,0.691,RF,RF,0.6358024691358025,0.6172839506172839,3025,4489,55,67,684300,622300,684300,622300,684300,622300,9440.0656,9781.210000000001,97.16,98.9,124555000,14000000,684300,622300,103,100,28.944399999999998,30.030400000000004,5.38,5.48,27,27,13.43615169694059,13.43615169694059,13.43615169694059
PHI,PHI,6.2,6.2,2019,2024,2022,2019,2018,4,1,3481,3844,59,62,49,9,7,3,500000,0,4,4,2,2,25,24,26,25,Philadelphia Phillies,Philadelphia Phillies,Pennsylvania,11143391,5143391,0,0,0,0,1156,1089,34,33,162,162,Aaron Nola,0.12460899999999998,0.016384,0.353,0.128,7,7,195,195,14,14,0.014160999999999998,0.002304,0.119,0.048,0.04409999999999999,0.04161599999999999,0.21,0.204,SP,SP,0.5,0.4938271604938271,4,16,2,4,4500000,573000,4000000,573000,4500000,573000,5527.922499999999,9982.0081,74.35,99.91,403000000,169200000,45000000,573000,81,80,13.3225,110.04010000000001,3.65,10.49,2,2,15.319587954740548,15.201804919084164,15.319587954740548
HOU,TOR,6.4,6.4,2019,2021,2021,2019,2018,1,1,4,1,2,1,0,0,0,0,0,0,3,3,2,1,26,25,26,25,Houston Astros,Toronto Blue Jays,Texas,9101744,5201744,0,0,0,0,900,400,30,20,161,162,Aaron Sanchez,0.0,0.0,0.0,0.0,3,2,210,210,13,7,0.0,0.0,0.0,0.0,0.034225,0.015375999999999999,0.185,0.124,SP,SP,0.6583850931677019,0.4506172839506173,0,0,0,0,1258065,2700000,3900000,2700000,3900000,2700000,143.52040000000002,796.9329,11.98,28.23,42250000,17000000,3900000,2700000,106,73,0.1444,0.6084,-0.38,0.78,1,2,14.045085384224086,15.176487111099874,15.176487111099874
KC,KC,6.1,6.1,2019,0,0,2019,2018,1,1,172225,75625,415,275,11881,5776,109,76,0,0,5,6,2,2,23,22,23,22,Kansas City Royals,Kansas City Royals,Missouri,3227653,2651653,81,196,9,14,10404,5625,102,75,162,162,Adalberto Mondesi,0.5112249999999999,0.6464160000000001,0.715,0.804,4,4,190,190,9,9,0.06916900000000001,0.07617600000000001,0.263,0.276,0.39690000000000003,0.21436900000000003,0.63,0.463,SS,SS,0.3580246913580246,0.4938271604938271,3844,1369,62,37,576000,310580,576000,545000,576000,545000,6102.7344,0.0,78.12,0.0,15700000,16775000,576000,545000,58,80,6.6564000000000005,10.1761,2.58,3.19,2,2,13.263862939678027,13.263862939678027,13.263862939678027
ATL,ATL,6.1,6.1,2019,0,0,2019,2018,1,1,14400,147456,120,384,1024,5625,32,75,0,0,6,4,1,1,30,29,30,29,Atlanta Braves,Atlanta Braves,Georgia,4893991,2018991,100,225,10,15,1681,19044,41,138,161,162,Adam Duvall,0.7779240000000001,0.408321,0.882,0.639,18,18,215,215,25,24,0.071289,0.038025,0.267,0.195,0.064009,0.725904,0.253,0.852,RF,LF,0.6024844720496895,0.5555555555555556,361,3721,19,61,2875000,215016,2875000,645000,2875000,645000,0.0,693.7956,0.0,26.34,52210000,2900000,2875000,645000,97,90,0.48999999999999994,1.5876000000000001,0.7,1.26,3,3,14.871563232213587,14.871563232213587,14.871563232213587
WSH,WSH,5.9,5.9,2019,2022,2022,2015,2015,5,5,320356,101761,566,319,24964,9216,158,96,0,0,7,5,1,1,26,26,30,29,Washington Nationals,Washington Nationals,Washington DC,23002000,14602000,225,25,15,5,22801,9216,151,96,162,162,Adam Eaton,0.627264,0.6528640000000001,0.792,0.808,1,1,180,180,6,5,0.07784100000000002,0.09060099999999999,0.279,0.301,0.8686240000000001,0.351649,0.932,0.593,RF,RF,0.5740740740740741,0.5061728395061729,2401,1089,49,33,8400000,6000000,8400000,6000000,8400000,6000000,3471.5664,0.0,58.92,0.0,184550000,23300000,23500000,23500000,93,82,3.0625,1.6129,1.75,1.27,1,0,15.943742263813542,15.943742263813542,15.943742263813542
CHW,CHW,6.2,6.2,2019,2024,0,2019,2018,1,1,51529,184041,227,429,3025,10201,55,101,0,0,3,2,2,2,27,26,27,26,Chicago White Sox,Chicago White Sox,Illinois,1337831,993991,36,36,6,6,7921,20736,89,144,161,162,Adam Engel,0.4719690000000001,0.376996,0.687,0.614,6,6,220,220,9,9,0.058564,0.055224999999999996,0.242,0.235,0.30580900000000005,0.790321,0.553,0.889,CF,CF,0.4472049689440994,0.382716049382716,676,841,26,29,343840,552000,571000,552000,571000,552000,0.0,276.22440000000006,0.0,16.62,24500000,19750000,571000,552000,72,62,0.7395999999999999,1.3923999999999999,0.86,1.18,3,3,12.747931711876337,13.255144488638146,13.255144488638146
STL,STL,6.7,6.7,2019,2020,2019,2019,2014,1,5,2500,121,50,11,64,1,8,1,0,0,1,3,2,2,37,32,37,36,St. Louis Cardinals,St. Louis Cardinals,Missouri,146603000,136603000,0,0,0,0,1024,64,32,8,162,162,Adam Wainwright,0.16728099999999999,0.033124,0.409,0.182,23,23,230,230,29,28,0.0256,0.008281,0.16,0.091,0.039204,0.0024010000000000004,0.198,0.049,SP,SP,0.5617283950617284,0.5432098765432098,4,1,2,1,10000000,19500000,2000000,19500000,10000000,19500000,4515.84,0.0,67.2,0.0,25000000,28000000,2000000,97500000,91,88,3.3856,0.010000000000000002,1.84,0.1,11,11,16.11809565095832,14.508657738524219,16.11809565095832
CHC,CHC,6.0,6.0,2019,0,2022,2019,2018,1,1,46225,176400,215,420,2601,11025,51,105,0,0,5,7,2,2,24,23,25,24,Chicago Cubs,Chicago Cubs,Illinois,10667107,7267107,81,25,9,5,6724,17161,82,131,162,163,Addison Russell,0.48860099999999995,0.43164900000000006,0.699,0.657,17,17,200,200,20,20,0.056169,0.0625,0.237,0.25,0.256036,0.6464160000000001,0.506,0.804,SS,SS,0.5185185185185185,0.5828220858895705,529,1444,23,38,3400000,3200000,3400000,3200000,3400000,3200000,0.0,697.4881,0.0,26.41,49325000,215545000,3400000,3200000,84,95,0.0144,3.9601,0.12,1.99,3,3,15.03928598958639,15.03928598958639,15.03928598958639
