Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio_x,Anio_y,Anios_contrato,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
NYM,0.0,2021,2017,2017,7,4,4,291,84681,85,7225,0,2,2,31,31,New York Mets,NYM,New York,86000000,17,289,81,162,6561,Yoenis Cespedes,0.892,0.795664,5,220,9,0.292,0.08526399999999999,0.5,0.25,CF,0.4320987654320987,42,1764,UFA,22500000,22500000,22500000,0.0,0.0,110000000,116500000,110000000,27500000,70,1.96,3.8415999999999997,2,16.929025867174648,16.929025867174648,16.929025867174648
STL,6.5,2022,2017,2017,7,5,5,420,176400,111,12321,2000000,2,2,31,30,St. Louis Cardinals,CHC,Missouri,49705000,18,324,118,162,13924,Dexter Fowler,0.851,0.724201,23,205,28,0.264,0.06969600000000001,0.728,0.529984,CF,0.5123456790123457,64,4096,UFA,16500000,14500000,16500000,48.12,2315.5343999999996,82500000,113000000,82500000,16500000,83,1.76,3.0976,11,16.61887093887081,16.489659207390805,16.61887093887081
LAD,6.5,2022,2017,2017,7,5,5,4,16,2,4,1333333,5,6,29,29,Los Angeles Dodgers,LAD,California,37948838,0,0,65,162,4225,Kenley Jansen,1.25,1.5625,25,265,31,0.5,0.25,0.401,0.16080100000000003,RP/CL,0.6419753086419753,1,1,UFA,11333333,10000000,11333333,90.26,8146.8676000000005,80000000,199600000,80000000,16000000,104,2.96,8.7616,6,16.24325876450056,16.11809565095832,16.24325876450056
COL,6.3,2023,2017,2017,7,5,5,339,114921,93,8649,0,1,4,31,31,Colorado Rockies,TEX,Colorado,39484000,7,49,95,162,9025,Ian Desmond,0.701,0.4914009999999999,1,220,4,0.274,0.07507600000000002,0.586,0.343396,LF,0.5370370370370371,40,1600,UFA,8000000,8000000,8000000,0.0,0.0,70000000,97250000,70000000,14000000,87,-0.96,0.9216,0,15.89495209964411,15.89495209964411,15.89495209964411
HOU,6.2,2021,2017,2017,7,4,4,477,227529,150,22500,0,2,3,30,29,Houston Astros,LAD,Texas,28327500,13,169,134,162,17956,Josh Reddick,0.847,0.717409,2,197,11,0.315,0.09922500000000001,0.827,0.6839289999999999,RF,0.6234567901234568,82,6724,UFA,13000000,13000000,13000000,66.46,4416.931599999999,52000000,82000000,52000000,13000000,101,4.3,18.49,1,16.38045991542581,16.38045991542581,16.38045991542581
LAD,6.5,2020,2017,2017,7,3,3,45,2025,5,25,666666,5,6,37,36,Los Angeles Dodgers,LAD,California,25214059,0,0,25,162,625,Rich Hill,0.279,0.07784100000000002,25,221,31,0.111,0.012321,0.154,0.023716,SP,0.6419753086419753,4,16,UFA,12666666,12000000,12666666,67.79,4595.484100000001,48000000,199600000,48000000,16000000,104,2.23,4.9729,6,16.35448437639097,16.300417207752275,16.35448437639097
BAL,6.4,2020,2017,2017,7,3,3,559,312481,132,17424,0,1,5,31,30,Baltimore Orioles,BAL,Maryland,36029000,23,529,146,162,21316,Mark Trumbo,0.689,0.47472099999999995,7,225,14,0.236,0.055695999999999996,0.901,0.811801,DH,0.4629629629629629,65,4225,UFA,10000000,11500000,11500000,9.52,90.6304,37500000,55600000,37500000,12500000,75,-0.54,0.2916,3,16.11809565095832,16.25785759333348,16.25785759333348
TOR,6.1,2020,2017,2017,7,3,3,557,310249,139,19321,0,1,6,34,33,Toronto Blue Jays,KC,Toronto,51326205,28,784,150,162,22500,Kendrys Morales,0.753,0.567009,2,225,7,0.25,0.0625,0.926,0.8574760000000001,DH,0.4691358024691358,85,7225,UFA,10000000,10000000,10000000,19.72,388.87839999999994,33000000,70000000,33000000,11000000,76,-0.16,0.0256,2,16.11809565095832,16.11809565095832,16.11809565095832
STL,0.0,2021,2017,2017,7,4,4,1,1,0,0,250000,2,2,30,30,St. Louis Cardinals,TOR,Missouri,19118100,0,0,73,162,5329,Brett Cecil,0.0,0.0,23,235,28,0.0,0.0,0.451,0.203401,RP,0.5123456790123457,0,0,UFA,7750000,7500000,7750000,12.34,152.2756,30500000,113000000,30500000,7625000,83,0.5,0.25,11,15.86320340132953,15.830413578506539,15.86320340132953
PIT,6.5,2020,2017,2017,7,3,3,51,2601,1,1,666666,2,2,30,29,Pittsburgh Pirates,PIT,Pennsylvania,22390211,0,0,31,162,961,Ivan Nova,0.039,0.001521,9,250,17,0.02,0.0004,0.191,0.036481,SP,0.4629629629629629,0,0,UFA,8416666,7000000,8416666,53.2,2830.2400000000002,26000000,37000000,26000000,8666667,75,2.15,4.6225,5,15.945724345809609,15.761420707019587,15.945724345809609
