"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age","Weight","Height",""
"","C.C. Sabathia","2014","SP","NYY","$23,000,000","$1,285,714","$24,285,714","$24,285,714","7","$161,000,000","$173,285,714","2016","2009","28","33","300","6'6""",""
"","Mark Teixeira","2014","1B","NYY","$22,500,000","$625,000","$23,125,000","$23,125,000","8","$180,000,000","$172,650,000","2017","2009","28","34","225","6'3""",""
"","Miguel Cabrera","2014","1B","DET","$22,000,000","$0","$22,000,000","$22,000,000","8","$152,300,000","$142,027,573","0","2008","24","31","249","6'4""",""
"","Matt Holliday","2014","DH","STL","$17,000,000","$0","$17,000,000","$17,000,000","7","$120,000,000","$116,508,500","2017","2010","29","34","250","6'4""",""
"","John Lackey","2014","SP","STL","$15,250,000","$700,000","$16,450,000","$5,000,000","5","$82,500,000","$121,485,000","2016","2010","31","35","235","6'6""",""
"","Hanley Ramirez","2014","DH","LAD","$16,000,000","$0","$16,000,000","$16,000,000","6","$70,000,000","$71,288,000","2015","2009","25","30","235","6'2""",""
"","Nick Markakis","2014","RF","BAL","$15,000,000","$350,000","$15,350,000","$15,350,000","6","$66,100,000","$67,207,000","2016","2009","25","30","210","0'0""",""
"","Justin Upton","2014","LF","ATL","$14,250,000","$208,333","$14,458,333","$14,458,333","6","$51,500,000","$44,035,000","2016","2010","22","26","215","6'1""",""
"","James Shields","2014","SP","KC","$13,500,000","$0","$13,500,000","$13,500,000","4","$11,250,000","$41,094,900","2015","2008","26","32","215","6'3""",""
"","Alex Rios","2014","RF","TEX","$13,000,000","$500,000","$13,500,000","$13,500,000","7","$68,835,000","$73,400,000","2015","2008","26","33","210","6'5""",""
"","Jon Lester","2014","SP","OAK","$13,000,000","$0","$13,050,000","$2,512,295","5","$30,000,000","$44,902,403","2015","2009","24","30","240","6'4""",""
"","Yovani Gallardo","2014","RP","MIL","$11,250,000","$250,000","$11,500,000","$11,500,000","5","$30,100,000","$31,423,000","2016","2010","23","28","205","6'2""",""
"","Brett Anderson","2014","SP","COL","$8,000,000","$0","$8,000,000","$6,000,000","4","$12,500,000","$20,350,000","2015","2010","21","26","230","6'4""",""
"","Evan Longoria","2014","3B","TB","$7,500,000","$0","$7,500,000","$7,500,000","6","$17,500,000","$25,675,000","0","2008","22","28","215","6'1""",""
"","Adam Lind","2014","1B","TOR","$7,000,000","$0","$7,000,000","$7,000,000","4","$18,000,000","$19,628,200","2017","2010","26","30","195","6'2""",""
"","Ben Zobrist","2014","2B","TB","$7,000,000","$0","$7,000,000","$7,000,000","4","$18,000,000","$23,760,100","2016","2010","28","33","210","6'3""",""
"","Denard Span","2014","CF","WSH","$6,500,000","$0","$6,500,000","$6,500,000","5","$16,500,000","$18,525,000","2016","2010","25","30","210","6'0""",""
"","Alex Rodriguez","2014","DH","NYY","$2,868,852","$1,000,000","$3,868,852","$3,868,852","10","$275,000,000","$366,159,552","2018","2008","32","39","230","0'0""",""
"","Dustin Ackley","2014","2B","SEA","$500,000","$1,200,000","$1,700,000","$1,700,000","5","$7,500,000","$9,600,000","0","2010","21","26","205","6'1""",""
"","Jacob Turner","2014","RP","CHC","$1,000,000","$0","$1,000,000","$284,153","4","$5,500,000","$5,700,000","0","2010","18","23","215","6'5""",""
