Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos_en_contra,Bateos_en_contra_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras_en_contra,Carreras_en_contra_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
STL,6.7,2019,2021,2,2,45,2025,0,2,1,32,1024,27,729,2.5925925925925926,6.72153635116598,0.054844606946983544,0.0030079309111691157,0.14218972171440178,0.02021791696121902,4.45,19.802500000000002,34,32,St. Louis Cardinals,CLE,Missouri,61708344,54.7,2992.09,73,162,0,Andrew Miller,6,36,11500000,23,200,29,RP,0.5617283950617284,6,36,UFA,70,4900,11500000,11000000,0.066,11500000,2.87,8.2369,25000000,12500000,25000000,25000000,12500000,91,-0.49,0.24009999999999998,1.32,1.7424000000000002,11,27,729,5,25,16.25785759333348,16.213405830762646,16.25785759333348
ATL,6.2,2019,2020,1,1,115,13225,0,1,6,50,2500,47,2209,2.3333333333333335,5.4444444444444455,0.03845016267376516,0.0014784150096390034,0.08971704623878536,0.00804914838581235,3.75,14.0625,31,30,Atlanta Braves,HOU,Georgia,52917680,112.7,12701.29,19,161,19,Dallas Keuchel,8,64,21210000,18,205,25,SP,0.6024844720496895,0,0,UFA,91,8281,13000000,21210000,0.09,21210000,40.73,1658.9328999999998,21210000,21210000,52210000,21210000,21210000,97,2.27,5.1529,1.37,1.8769000000000002,3,39,1521,8,64,16.38045991542581,16.869983326540865,16.869983326540865
WSH,6.0,2019,2022,2,1,153,23409,0,1,7,77,5929,71,5041,2.310344827586207,5.33769322235434,0.038821954484605084,0.0015071441500047488,0.08969210174029452,0.008044673114591342,3.85,14.822500000000002,35,34,Washington Nationals,ATL,Washington DC,105390927,166.0,27556.0,30,162,30,Anibal Sanchez,8,64,10000000,1,205,6,SP,0.5740740740740741,0,0,UFA,134,17956,6000000,8000000,0.035,10000000,70.67,4994.2489000000005,19000000,9500000,184550000,19000000,9500000,93,3.14,9.8596,1.27,1.6129,1,58,3364,11,121,15.60727002719233,15.89495209964411,16.11809565095832
CHW,5.919150943396229,2019,2022,2,0,60,3600,0,2,3,36,1296,35,1225,2.3043478260869565,5.310018903591683,0.049815897769114145,0.002481623670542832,0.11479315572882824,0.013177468602183013,6.14,37.6996,29,29,Chicago White Sox,WSH,Illinois,27837825,51.3,2631.6899999999996,57,161,0,Kelvin Herrera,3,9,8500000,6,200,9,RP,0.4472049689440994,1,1,UFA,53,2809,8500000,8500000,0.093,8500000,2.11,4.4521,18000000,9000000,24500000,18000000,9000000,72,-0.44,0.1936,1.62,2.6244000000000005,3,23,529,3,9,15.955576721460545,15.955576721460545,15.955576721460545
SD,6.2,2019,2021,2,1,10,100,0,5,4,8,64,8,64,1.8333333333333333,3.3611111111111107,0.07662835249042146,0.0058719044053962815,0.140485312899106,0.01973612314035972,8.31,69.05610000000001,31,30,San Diego Padres,LAA,California,33486800,8.7,75.68999999999998,3,162,3,Garrett Richards,1,1,7000000,2,210,5,SP,0.4320987654320987,0,0,UFA,11,121,7000000,7000000,0.068,7000000,0.0,0.0,15500000,7750000,326000000,15500000,7750000,70,-0.22,0.0484,1.85,3.4225000000000003,0,6,36,0,0,15.761420707019587,15.761420707019587,15.761420707019587
OAK,6.3,2019,2021,2,1,51,2601,0,5,6,33,1089,33,1089,3.95,15.602500000000001,0.0322061191626409,0.0010372341115182254,0.12721417069243157,0.016183445224963115,4.3,18.49,35,34,Oakland Athletics,MIL,California,61556499,69.0,4761.0,71,162,0,Joakim Soria,4,16,6500000,15,205,28,RP/CL,0.5987654320987654,1,1,UFA,79,6241,6500000,6500000,0.07,6500000,27.84,775.0656,15000000,7500000,37600000,15000000,7500000,97,0.52,0.27040000000000003,1.03,1.0609,9,20,400,2,4,15.687312734865866,15.687312734865866,15.687312734865866
OAK,6.2,2019,2021,2,1,166,27556,0,5,6,82,6724,80,6400,2.3773584905660377,5.651833392666429,0.0318835348613367,0.0010165597952540727,0.07579859231185707,0.005745426596459117,3.9,15.209999999999999,34,33,Oakland Athletics,OAK,California,18569124,184.7,34114.09,34,162,32,Michael Fiers,4,16,6000000,15,211,28,SP,0.5987654320987654,0,0,UFA,126,15876,6000000,6000000,0.064,6000000,72.15,5205.6225,14100000,7050000,37600000,14100000,7050000,97,3.38,11.424399999999999,1.19,1.4161,9,53,2809,14,196,15.60727002719233,15.60727002719233,15.60727002719233
NYM,6.2,2019,2021,2,0,33,1089,0,2,6,12,144,11,121,2.3157894736842106,5.362880886426593,0.05413105413105413,0.0029301710213391124,0.12535612535612536,0.015714158164300617,2.54,6.4516,31,31,New York Mets,CHC,New York,15326803,39.0,1521.0,45,161,0,Justin Wilson,2,4,5000000,5,205,9,RP,0.5279503105590062,4,16,UFA,44,1936,5000000,5000000,0.034,5000000,0.0,0.0,10000000,5000000,79000000,10000000,5000000,85,1.22,1.4884,1.33,1.7689000000000001,2,19,361,4,16,15.424948470398375,15.424948470398375,15.424948470398375
WSH,5.919150943396229,2019,2020,1,1,2,4,0,1,7,2,4,2,4,,,0.0,0.0,0.0,0.0,18.0,324.0,32,31,Washington Nationals,LAD,Washington DC,30597500,1.0,1.0,135,162,114,Brian Dozier,0,0,9000000,1,200,6,2B,0.5740740740740741,0,0,UFA,0,0,9000000,9000000,0.052,9000000,27.48,755.1504,9000000,9000000,184550000,9000000,9000000,93,1.27,1.6129,2.0,4.0,1,0,0,0,0,16.012735135300492,16.012735135300492,16.012735135300492
LAA,6.4,2019,2020,1,1,111,12321,0,5,4,71,5041,68,4624,2.076923076923077,4.313609467455622,0.042359074617139135,0.001794291202420361,0.08797653958944282,0.0077398715181328,5.98,35.760400000000004,31,30,Los Angeles Angels,OAK,California,48461516,102.3,10465.289999999999,39,161,11,Trevor Cahill,9,81,9000000,1,230,10,RP,0.4472049689440994,0,0,UFA,81,6561,9000000,9000000,0.056,9000000,0.0,0.0,9000000,9000000,31000000,9000000,9000000,72,-0.13,0.016900000000000002,1.47,2.1609,1,39,1521,4,16,16.012735135300492,16.012735135300492,16.012735135300492
