Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio,Anios_de_contrato,Bateos_pitcher,Bateos_pitcher_2,Bono_por_firma,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
HOU,6.5,2019,2017,2017,2,125,15625,0,3,65,4225,59,3481,3.26,10.6276,0.03787018101946527,0.0014341506104470678,0.1234567901234568,0.01524157902758726,3.62,13.1044,33,33,Houston Astros,PHI,36223008,146.7,21520.889999999996,25,162,625,25,625,Charlie Morton,7,49,2,215,11,SP,0.6234567901234568,0,0,UFA,163,26569,8875000,7000000,8875000,71.93,5173.924900000001,14000000,82000000,14000000,7000000,101,1.82,3.3124000000000002,1.19,1.4161,1,50,2500,14,196,15.998748893325754,15.761420707019587,15.998748893325754
MIA,0.0,2019,2017,2017,2,55,3025,0,6,35,1225,35,1225,1.7272727272727273,2.9834710743801653,0.04420333534257585,0.0019539348554082157,0.07635121559172192,0.0058295081223336005,5.69,32.3761,31,30,Miami Marlins,BOS,16935000,55.3,3058.0899999999997,55,162,3025,0,0,Junichi Tazawa,5,25,2,200,2,RP,0.4753086419753086,0,0,UFA,38,1444,5000000,5000000,5000000,3.28,10.758399999999998,12000000,57250000,12000000,6000000,77,-0.69,0.4760999999999999,1.39,1.9320999999999997,2,22,484,3,9,15.424948470398375,15.424948470398375,15.424948470398375
SEA,6.2,2019,2017,2017,2,29,841,0,2,16,256,14,196,1.25,1.5625,0.07099751508697195,0.00504064714852481,0.08874689385871495,0.007876011169570018,4.02,16.160399999999996,31,31,Seattle Mariners,WSH,14797599,31.3,979.69,64,162,4096,0,0,Marc Rzepczynski,2,4,0,220,4,RP,0.4814814814814814,1,1,UFA,25,625,5500000,5500000,5500000,9.39,88.17210000000001,11000000,11535000,11000000,5500000,78,0.25,0.0625,1.56,2.4336,0,20,400,2,4,15.520258650202699,15.520258650202699,15.520258650202699
OAK,6.0,2019,2017,2017,2,58,3364,500000,5,29,841,28,784,2.590909090909091,6.712809917355371,0.04143126177024482,0.0017165494518745503,0.10734463276836158,0.011522870184174406,4.27,18.232899999999997,36,36,Oakland Athletics,SF,31343000,59.0,3481.0,63,162,3969,0,0,Santiago Casilla,5,25,15,210,26,RP,0.4629629629629629,16,256,UFA,57,3249,5000000,4500000,5000000,24.97,623.5008999999999,11000000,34500000,11000000,5500000,75,0.51,0.2601,1.36,1.8496000000000004,9,22,484,4,16,15.424948470398375,15.319587954740548,15.424948470398375
PIT,6.3,2019,2017,2017,2,58,3364,0,2,34,1156,31,961,2.0,4.0,0.059427336574824415,0.0035316083323774635,0.11885467314964883,0.014126433329509854,4.52,20.430399999999995,30,29,Pittsburgh Pirates,ARI,11566307,61.7,3806.8900000000003,71,162,5041,0,0,Daniel Hudson,7,49,9,215,17,RP,0.4629629629629629,0,0,UFA,66,4356,5500000,5500000,5500000,5.04,25.401600000000002,11000000,37000000,11000000,5500000,75,-0.01,0.0001,1.48,2.1904,5,33,1089,2,4,15.520258650202699,15.520258650202699,15.520258650202699
TEX,6.6,2018,2017,2017,1,156,24336,0,4,75,5625,63,3969,1.34375,1.8056640625,0.042658135039658734,0.0018197164850617604,0.057321868959541424,0.0032857966610148385,3.4,11.559999999999999,30,30,Texas Rangers,MIA,26954400,166.7,27788.889999999996,28,162,784,28,784,Andrew Cashner,11,121,2,235,8,SP,0.4814814814814814,0,0,UFA,86,7396,10000000,10000000,10000000,80.99,6559.380099999999,10000000,36000000,10000000,10000000,78,4.26,18.147599999999997,1.32,1.7424000000000002,0,64,4096,11,121,16.11809565095832,16.11809565095832,16.11809565095832
ATL,6.3,2019,2017,2017,1,193,37249,0,5,99,9801,91,8281,2.029850746268657,4.120294052127423,0.0391812865497076,0.0015351732156902978,0.07953216374269007,0.006325365069594064,4.31,18.576099999999997,42,42,Atlanta Braves,TOR,57940000,190.0,36100.0,31,162,961,31,961,R.A. Dickey,10,100,18,215,23,SP,0.4444444444444444,0,0,UFA,136,18496,7500000,7500000,7500000,52.01,2705.0400999999997,8000000,34525000,8000000,8000000,72,2.04,4.1616,1.37,1.8769000000000002,3,67,4489,10,100,15.830413578506539,15.830413578506539,15.830413578506539
PIT,6.4,2018,2017,2017,1,43,1849,0,2,28,784,26,676,2.090909090909091,4.37190082644628,0.04859730505853766,0.00236169805895257,0.10161254694057875,0.01032510969575132,4.65,21.622500000000002,40,39,Pittsburgh Pirates,TOR,54447500,50.3,2530.0899999999997,52,162,2704,0,0,Joaquin Benoit,6,36,9,250,17,RP,0.4629629629629629,2,4,UFA,46,2116,2581992,7500000,7500000,8.63,74.47690000000001,7500000,37000000,7500000,7500000,75,0.57,0.32489999999999997,1.29,1.6641000000000001,5,22,484,1,1,14.76407175201057,15.830413578506539,15.830413578506539
NYM,6.6,2019,2017,2017,1,43,1849,0,2,16,256,16,256,2.875,8.265625,0.05442176870748299,0.0029617289092507748,0.1564625850340136,0.02448054051552594,2.94,8.6436,33,33,New York Mets,NYM,17785000,49.0,2401.0,75,162,5625,0,0,Jerry Blevins,0,0,5,190,9,RP,0.4320987654320987,1,1,UFA,69,4761,5500000,5500000,5500000,30.9,954.81,6500000,116500000,6500000,6500000,70,1.45,2.1025,1.37,1.8769000000000002,2,24,576,6,36,15.520258650202699,15.520258650202699,15.520258650202699
CHC,6.2,2018,2017,2017,1,38,1444,0,3,21,441,19,361,4.166666666666667,17.361111111111114,0.031007751937984496,0.0009614806802475813,0.12919896640826872,0.01669237292096495,3.98,15.8404,42,41,Chicago Cubs,BOS,50650000,43.0,1849.0,49,162,2401,0,0,Koji Uehara,4,16,17,195,19,RP,0.5679012345679012,2,4,UFA,50,2500,6000000,6000000,6000000,17.88,319.6944,6000000,16000000,6000000,6000000,92,0.16,0.0256,1.16,1.3456,3,12,144,3,9,15.60727002719233,15.60727002719233,15.60727002719233
LAA,6.2,2018,2017,2017,1,148,21904,0,4,83,6889,82,6724,2.6444444444444444,6.993086419753086,0.036231884057971016,0.0013127494223902543,0.09581320450885668,0.009180170158255993,5.35,28.622499999999995,33,33,Los Angeles Angels,LAD,15142094,138.0,19044.0,38,162,1444,21,441,Jesse Chavez,11,121,1,175,10,RP,0.4938271604938271,0,0,UFA,119,14161,6550000,5750000,6550000,0.0,0.0,5750000,24750000,5750000,5750000,80,-0.17,0.028900000000000006,1.4,1.9599999999999997,1,45,2025,7,49,15.694975607611434,15.564710412773533,15.694975607611434
BOS,6.3,2018,2017,2017,1,2,4,0,1,0,0,0,0,inf,inf,0.0,0.0,0.1111111111111111,0.012345679012345678,0.0,0.0,31,31,Boston Red Sox,TEX,18679800,1.0,1.0,149,162,22201,127,16129,Mitch Moreland,0,0,13,245,23,1B,0.5740740740740741,0,0,UFA,1,1,5500000,5500000,5500000,47.53,2259.1009,5500000,5500000,5500000,5500000,93,1.95,3.8024999999999998,2.0,4.0,8,0,0,0,0,15.520258650202699,15.520258650202699,15.520258650202699
WSH,6.3,2018,2017,2017,1,52,2704,0,4,29,841,28,784,3.0,9.0,0.03260596940055179,0.0010631492405497197,0.09781790820165538,0.00956834316494748,5.68,32.2624,36,36,Washington Nationals,LAD,55598500,44.3,1962.4899999999998,51,163,2601,0,0,Joe Blanton,4,16,1,252,5,RP,0.5950920245398773,0,0,UFA,39,1521,4000000,4000000,4000000,3.05,9.302499999999998,4000000,10400000,4000000,4000000,97,-0.23,0.0529,1.47,2.1609,0,13,169,2,4,15.201804919084164,15.201804919084164,15.201804919084164
CIN,0.0,2018,2017,2017,1,57,3249,0,2,32,1024,27,729,2.0869565217391304,4.355387523629489,0.046719479991874875,0.0021827098107111967,0.09750152346130408,0.00950654707727523,4.45,19.802500000000002,29,29,Cincinnati Reds,SEA,26091750,54.7,2992.09,58,162,3364,0,0,Drew Storen,2,4,10,195,15,RP,0.419753086419753,1,1,UFA,48,2304,3150000,3000000,3150000,10.73,115.1329,3000000,5300000,3000000,3000000,68,-0.2,0.04000000000000001,1.46,2.1315999999999997,5,23,529,4,16,14.962913010801817,14.914122846632385,14.962913010801817
ARI,0.0,2018,2017,2017,1,40,1600,0,5,29,841,26,676,2.5,6.25,0.05224030540486237,0.002729049508793292,0.1306007635121559,0.017056559429958075,4.23,17.892900000000004,40,39,Arizona Diamondbacks,MIA,44207500,55.3,3058.0899999999997,61,162,3721,0,0,Fernando Rodney,4,16,1,240,6,RP,0.5740740740740741,39,1521,UFA,65,4225,4000000,2750000,4000000,85.15,7250.522500000001,2750000,9750000,2750000,2750000,93,0.34,0.11560000000000002,1.19,1.4161,1,26,676,5,25,15.201804919084164,14.827111469642754,15.201804919084164
WSH,0.0,2018,2017,2017,1,86,7396,0,4,53,2809,44,1936,2.0689655172413794,4.280618311533889,0.04239766081871345,0.0017975616428986695,0.08771929824561403,0.007694675284702985,5.21,27.144099999999998,33,33,Washington Nationals,SD,84124325,76.0,5776.0,22,163,484,13,169,Edwin Jackson,6,36,1,210,5,SP,0.5950920245398773,0,0,UFA,60,3600,415264,1000000,1000000,12.3,151.29000000000002,2450000,10400000,1000000,2450000,97,-0.23,0.0529,1.51,2.2801,0,29,841,5,25,12.936669741536956,13.815510557964274,13.815510557964274
CIN,6.6,2018,2017,2017,1,116,13456,0,2,62,3844,59,3481,2.657142857142857,7.060408163265306,0.03494060097833683,0.0012208455967273528,0.09284216831386644,0.008619668217220305,4.77,22.752899999999997,34,33,Cincinnati Reds,TOR,54484313,111.3,12387.689999999999,21,162,441,21,441,Scott Feldman,7,49,10,225,15,SP,0.419753086419753,0,0,UFA,93,8649,3000000,2300000,3000000,37.19,1383.0960999999998,2300000,5300000,2300000,2300000,68,0.52,0.27040000000000003,1.36,1.8496000000000004,5,35,1225,7,49,14.914122846632385,14.648419680899378,14.914122846632385
MIN,6.3,2018,2017,2017,1,47,2209,0,2,31,961,27,729,2.4545454545454546,6.024793388429752,0.04122166010867529,0.0016992252621151518,0.10118043844856663,0.01023748112464418,4.1,16.81,37,36,Minnesota Twins,WSH,26974500,59.3,3516.49,61,162,3721,0,0,Matt Belisle,2,4,6,230,15,RP,0.5246913580246914,9,81,UFA,54,2916,2050000,2050000,2050000,39.68,1574.5024,2050000,26550000,2050000,2050000,85,0.06,0.0036,1.16,1.3456,3,22,484,2,4,14.53335035111459,14.53335035111459,14.53335035111459
CHC,6.0,2018,2017,2017,1,58,3364,0,3,19,361,19,361,3.388888888888889,11.484567901234568,0.03210272873194222,0.0010305851920366686,0.10879258070269307,0.011835825615951985,2.74,7.507600000000001,34,33,Chicago Cubs,BAL,10302500,62.3,3881.2899999999995,68,162,4624,0,0,Brian Duensing,1,1,17,200,19,RP,0.5679012345679012,0,0,UFA,61,3721,2000000,2000000,2000000,54.78,3000.8484000000003,2000000,16000000,2000000,2000000,92,1.39,1.9320999999999997,1.22,1.4884,3,18,324,1,1,14.508657738524219,14.508657738524219,14.508657738524219
SD,6.3,2018,2017,2017,1,157,24649,0,4,82,6724,78,6084,2.125,4.515625,0.044370493621741544,0.001968740704237007,0.09428729894620078,0.008890094742570234,3.89,15.132100000000001,29,28,San Diego Padres,LAA,12314609,180.3,32508.090000000004,34,162,1156,32,1024,Jhoulys Chacin,10,100,2,215,5,SP,0.4382716049382716,0,0,UFA,153,23409,1750000,1750000,1750000,79.71,6353.684099999999,1750000,8250000,1750000,1750000,71,2.54,6.4516,1.27,1.6129,0,72,5184,13,169,14.375126345899696,14.375126345899696,14.375126345899696
SD,6.5,2020,2017,2017,2,240,57600,0,4,114,12996,105,11025,2.559322033898305,6.550129273197356,0.03322633327701752,0.0011039892230354416,0.0850368868615194,0.007231272127098851,4.79,22.9441,33,33,San Diego Padres,SD,14450418,197.3,38927.29,32,162,1024,32,1024,Clayton Richard,15,225,2,240,5,SP,0.4382716049382716,0,0,UFA,151,22801,2750000,1750000,2750000,40.31,1624.8961000000002,1750000,8250000,6000000,1750000,71,0.54,0.2916,1.51,2.2801,0,59,3481,8,64,14.827111469642754,14.375126345899696,14.827111469642754
KC,6.4,2018,2017,2017,1,91,8281,0,4,50,2500,46,2116,1.9333333333333333,3.7377777777777776,0.05952380952380952,0.003543083900226757,0.11507936507936507,0.01324326026706979,4.93,24.304899999999996,29,28,Kansas City Royals,CHC,37961516,84.0,7056.0,21,162,441,14,196,Trevor Cahill,3,9,4,230,9,RP,0.4938271604938271,0,0,UFA,87,7569,669410,1750000,1750000,0.0,0.0,1750000,43800000,1750000,1750000,80,-0.48,0.2304,1.62,2.6244000000000005,2,45,2025,4,16,13.414152006398902,14.375126345899696,14.375126345899696
MIA,6.3,2018,2017,2017,1,77,5929,0,6,42,1764,41,1681,2.3703703703703702,5.618655692729766,0.03861003861003861,0.001490735081468672,0.09152009152009151,0.008375927151845926,4.75,22.5625,35,34,Miami Marlins,MIA,10440196,77.7,6037.290000000001,63,162,3969,0,0,Dustin McGowan,2,4,2,240,2,RP,0.4753086419753086,0,0,UFA,64,4096,1750000,1750000,1750000,26.16,684.3456,1750000,57250000,1750000,1750000,77,-0.2,0.04000000000000001,1.34,1.7956000000000003,2,27,729,8,64,14.375126345899696,14.375126345899696,14.375126345899696
NYM,6.0,2018,2017,2017,1,65,4225,0,2,43,1849,41,1681,2.7142857142857144,7.367346938775511,0.032206119162640906,0.0010372341115182258,0.0874166091557396,0.007641663556287336,7.63,58.216899999999995,30,29,New York Mets,MIN,10669860,48.3,2332.89,17,162,289,8,64,Tom Milone,3,9,5,215,9,RP,0.4320987654320987,1,1,UFA,38,1444,1017746,1250000,1250000,0.0,0.0,1250000,116500000,1250000,1250000,70,-0.16,0.0256,1.63,2.6569,2,14,196,1,1,13.833100936119232,14.038654109278484,14.038654109278484
MIL,0.0,2018,2017,2017,1,49,2401,0,3,21,441,20,400,2.0,4.0,0.04466778336125069,0.0019952108704076243,0.08933556672250138,0.007980843481630497,3.02,9.1204,31,31,Milwaukee Brewers,PIT,6620236,59.7,3564.09,67,162,4489,0,0,Jared Hughes,3,9,1,240,4,RP,0.5308641975308642,1,1,UFA,48,2304,950000,950000,950000,55.8,3113.64,950000,7550000,950000,950000,86,1.21,1.4641,1.22,1.4884,0,24,576,5,25,13.764217263576723,13.764217263576723,13.764217263576723
