Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos_en_contra,Bateos_en_contra_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras_en_contra,Carreras_en_contra_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
LAD,6.2,2013,2016,6,0,152,23104,2000000,5,7,54,2916,52,2704,3.217391304347826,10.351606805293006,0.028762583630338272,0.0008272862170922031,0.09254048646282749,0.008563741634776759,2.63,6.916899999999999,29,29,Los Angeles Dodgers,LAA,California,72397172,177.7,31577.289999999997,29,162,28,Zack Greinke,4,16,29000000,25,200,27,SP,0.5679012345679012,0,0,UFA,148,21904,19000000,17000000,0.08,19000000,59.84,3580.8256000000006,147000000,24500000,150850000,147000000,24500000,92,4.31,18.576099999999997,1.11,1.2321000000000002,6,46,2116,15,225,16.759949537130716,16.64872390202049,16.759949537130716
DET,6.0,2013,2018,5,1,156,24336,800000,1,4,56,3136,52,2704,3.740740740740741,13.993141289437586,0.03296703296703297,0.0010868252626494385,0.12332112332112333,0.015208099457183709,2.57,6.604899999999999,29,28,Detroit Tigers,DET,Michigan,25987701,182.0,33124.0,29,162,29,Anibal Sanchez,8,64,12000000,11,205,15,RP,0.5740740740740741,0,0,UFA,202,40804,8800000,8000000,0.057,8800000,80.8,6528.639999999999,80000000,16000000,107775000,80000000,16000000,93,6.1,37.209999999999994,1.15,1.3224999999999998,4,54,2916,14,196,15.990262279448435,15.89495209964411,15.990262279448435
CHC,4.667260138476748,2013,2017,4,0,197,38809,2000000,2,10,110,12100,97,9409,2.288135593220339,5.235564492961793,0.037396209672307786,0.0013984764978552063,0.08556759840273816,0.007321813896412278,4.98,24.800400000000003,29,29,Chicago Cubs,WSH,Illinois,47247999,175.3,30730.090000000004,31,162,31,Edwin Jackson,18,324,19000000,17,210,16,SP,0.4074074074074074,0,0,UFA,135,18225,13000000,11000000,0.13,13000000,10.52,110.67039999999999,52000000,13000000,73850000,52000000,13000000,66,-1.3,1.6900000000000002,1.46,2.1315999999999997,2,59,3481,8,64,16.38045991542581,16.213405830762646,16.38045991542581
MIL,6.2,2013,2016,3,0,196,38416,0,1,7,78,6084,74,5476,3.4722222222222223,12.056327160493828,0.020130850528434826,0.0004052511429981847,0.06989878655706537,0.004885840362150183,3.35,11.2225,34,34,Milwaukee Brewers,STL,Wisconsin,61590000,198.7,39481.689999999995,33,162,32,Kyle Lohse,10,100,4350000,1,214,4,SP,0.4567901234567901,0,0,UFA,125,15625,4350000,4000000,0.049,4350000,48.74,2375.5876000000003,33000000,11000000,43300000,33000000,11000000,74,2.99,8.940100000000001,1.17,1.3688999999999998,0,36,1296,11,121,15.285686403064867,15.201804919084164,15.285686403064867
WSH,6.1,2013,2015,2,0,65,4225,0,1,11,24,576,23,529,3.0,9.0,0.0283191737464601,0.0008019756016821951,0.0849575212393803,0.007217780415139755,3.11,9.672099999999999,33,33,Washington Nationals,NYY,Washington DC,48350000,66.7,4448.89,68,162,0,Rafael Soriano,3,9,7000000,1,230,2,RP,0.5308641975308642,43,1849,UFA,51,2601,7000000,11000000,0.06,11000000,9.61,92.3521,28000000,14000000,67000000,28000000,14000000,86,0.84,0.7055999999999999,1.23,1.5129,0,17,289,3,9,15.761420707019587,16.213405830762646,16.213405830762646
KC,6.1,2013,2016,3,1,236,55696,0,2,5,99,9801,95,9025,1.88135593220339,3.5395001436368863,0.03096625203380045,0.0009589087650208506,0.05825854196189577,0.00339405771152597,4.04,16.3216,34,33,Kansas City Royals,KC,Missouri,28250000,211.7,44816.88999999999,33,162,33,Jeremy Guthrie,12,144,5000000,2,205,7,SP,0.5308641975308642,0,0,UFA,111,12321,5000000,5000000,0.059,5000000,30.71,943.1041,25000000,8333333,26100000,25000000,8333333,86,1.55,2.4025000000000003,1.39,1.9320999999999997,1,59,3481,15,225,15.424948470398375,15.424948470398375,15.424948470398375
CIN,6.4,2013,2016,3,1,27,729,0,2,12,17,289,14,196,2.0833333333333335,4.340277777777779,0.04343105320304017,0.001886256382325306,0.09048136083966703,0.00818687665939803,4.11,16.892100000000003,29,28,Cincinnati Reds,CIN,Ohio,23147500,30.7,942.49,34,162,0,Jonathan Broxton,2,4,4000000,10,305,15,RP,0.5555555555555556,0,0,UFA,25,625,4000000,4000000,0.038,4000000,0.0,0.0,21000000,7000000,41800000,21000000,7000000,90,-0.44,0.1936,1.27,1.6129,5,12,144,2,4,15.201804919084164,15.201804919084164,15.201804919084164
SF,6.4,2013,2016,3,1,27,729,1000000,5,6,14,196,14,196,1.2352941176470589,1.5259515570934257,0.0560501153972964,0.003141615436050243,0.06923837784371908,0.00479395296642961,3.74,13.987600000000002,34,33,San Francisco Giants,SF,California,34863000,33.7,1135.6900000000003,39,162,0,Jeremy Affeldt,5,25,8000000,23,226,23,RP,0.4691358024691358,0,0,UFA,21,441,6000000,5000000,0.043,6000000,0.0,0.0,18000000,6000000,80750000,18000000,6000000,76,0.1,0.010000000000000002,1.31,1.7161000000000002,7,17,289,1,1,15.60727002719233,15.424948470398375,15.60727002719233
ARI,6.7,2013,2015,2,0,161,25921,1250000,1,7,71,5041,68,4624,3.619047619047619,13.097505668934241,0.01728395061728395,0.0002987349489407102,0.06255144032921811,0.003912682687259734,4.53,20.5209,29,29,Arizona Diamondbacks,OAK,Arizona,15213828,135.0,18225.0,22,162,22,Brandon McCarthy,11,121,6500000,1,225,5,SP,0.5,0,0,UFA,76,5776,5250000,4000000,0.059,5250000,34.32,1177.8624,15500000,7750000,54650000,15500000,7750000,81,-0.17,0.028900000000000006,1.35,1.8225000000000002,1,21,441,5,25,15.473738634567807,15.201804919084164,15.473738634567807
LAA,6.3,2013,2016,2,0,180,32400,0,5,8,96,9216,89,7921,3.176470588235294,10.089965397923875,0.028468558988528847,0.0008104588508833466,0.0904295403165034,0.008177501761854113,6.04,36.4816,32,32,Los Angeles Angels,LAD,California,42098500,132.7,17609.289999999997,28,162,20,Joe Blanton,14,196,6500000,1,252,10,RP,0.4814814814814814,0,0,UFA,108,11664,6500000,6500000,0.046,6500000,0.0,0.0,15000000,7500000,153500000,15000000,7500000,78,-1.88,3.5343999999999998,1.61,2.5921000000000003,1,34,1156,2,4,15.687312734865866,15.687312734865866,15.687312734865866
