Jugador,Valor_contrato,Valor_promedio_contrato,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
David Price,217000000,31000000,0.216,0,0.0,0.091,BOS,30000000
Zack Greinke,206500000,34416667,0.167,3,0.212,0.476,ARI,34000000
Jason Heyward,184000000,23000000,0.877,49,0.23,0.631,CHC,21666666
Chris Davis,161000000,23000000,0.969,84,0.221,0.792,BAL,21065362
Justin Upton,132750000,22125000,0.95,87,0.246,0.775,DET,22125000
Johnny Cueto,130000000,21666667,0.198,5,0.114,0.251,SF,17500000
Jordan Zimmermann,110000000,22000000,0.118,0,0.25,0.5,DET,18000000
Jeff Samardzija,90000000,18000000,0.21,9,0.156,0.399,SF,10800000
Mike Leake,80000000,16000000,0.21,4,0.143,0.356,STL,12000000
Wei-Yin Chen,80000000,16000000,0.137,0,0.0,0.0,MIA,12500000
Alex Gordon,72000000,18000000,0.79,40,0.22,0.692,KC,12000000
Ian Kennedy,70000000,14000000,0.204,0,0.0,0.0,KC,7500000
Ben Zobrist,56000000,14000000,0.907,76,0.272,0.831,CHC,10500000
Scott Kazmir,48000000,16000000,0.167,2,0.116,0.253,LAD,12666666
Daniel Murphy,37500000,12500000,0.877,104,0.347,0.985,WSH,8000000
J.A. Happ,36000000,12000000,0.198,0,0.286,0.571,TOR,10000000
John Lackey,32000000,16000000,0.179,2,0.095,0.25,CHC,16000000
Denard Span,31000000,10333333,0.883,53,0.266,0.712,SF,5000000
Gerardo Parra,27500000,9166667,0.63,39,0.253,0.673,COL,8000000
Marco Estrada,26000000,13000000,0.179,0,0.0,0.0,TOR,11500000
Yovani Gallardo,22000000,11000000,0.148,0,0.5,1.1,BAL,9000000
Ryan Madson,22000000,7333333,0.389,0,0.0,0.0,OAK,7916666
Howie Kendrick,20000000,10000000,0.901,40,0.255,0.691,LAD,10000000
Asdrubal Cabrera,18500000,9250000,0.87,62,0.28,0.816,NYM,8250000
Shawn Kelley,15000000,5000000,0.414,0,0.0,0.0,WSH,4200000
Chris Young,13000000,6500000,0.469,24,0.276,0.85,BOS,6500000
Chris Young,13000000,6500000,0.469,24,0.276,0.85,KC,4500000
Chris Young,13000000,6500000,0.21,0,0.0,0.0,BOS,6500000
Chris Young,13000000,6500000,0.21,0,0.0,0.0,KC,4500000
Chris Young,11500000,5750000,0.469,24,0.276,0.85,BOS,6500000
Chris Young,11500000,5750000,0.469,24,0.276,0.85,KC,4500000
Chris Young,11500000,5750000,0.21,0,0.0,0.0,BOS,6500000
Chris Young,11500000,5750000,0.21,0,0.0,0.0,KC,4500000
Dexter Fowler,13000000,13000000,0.772,48,0.276,0.84,CHC,8000000
Hisashi Iwakuma,12000000,12000000,0.204,0,0.0,0.0,SEA,13500000
John Jaso,8000000,4000000,0.815,42,0.268,0.766,PIT,4000000
Ian Desmond,8000000,8000000,0.963,86,0.285,0.782,TEX,8000000
Bartolo Colon,7250000,7250000,0.21,2,0.083,0.265,NYM,7300000
Doug Fister,7000000,7000000,0.198,2,0.2,0.4,HOU,11000000
Chase Utley,7000000,7000000,0.852,50,0.25,0.708,LAD,7000000
Oliver Perez,7000000,3500000,0.395,0,0.667,1.667,WSH,3000000
Rich Hill,6000000,6000000,0.124,0,0.0,0.0,LAD,6000000
Alejandro De Aza,5750000,5750000,0.803,25,0.205,0.618,NYM,5750000
Pedro Alvarez,5750000,5750000,0.673,49,0.249,0.826,BAL,5950000
Norichika Aoki,5500000,5500000,0.728,28,0.283,0.738,SEA,5800000
Tyler Flowers,5300000,2650000,0.516,41,0.271,0.777,ATL,2400000
Brayan Pena,5000000,2500000,0.056,0,0.154,0.445,STL,2500000
Austin Jackson,5000000,5000000,0.333,18,0.254,0.661,CHW,5000000
Steven Pearce,4750000,4750000,0.525,35,0.288,0.867,BAL,4750000
Trevor Cahill,4250000,4250000,0.315,1,0.125,0.347,CHC,4250000
Chris Iannetta,4250000,4250000,0.58,24,0.21,0.631,SEA,4550000
Jerry Blevins,4000000,4000000,0.451,0,0.0,0.0,NYM,5000000
Dioner Navarro,4000000,4000000,0.624,35,0.207,0.587,TOR,4000000
Alexei Ramirez,4000000,4000000,0.895,48,0.241,0.61,TB,507500
Cliff Pennington,3750000,1875000,0.457,10,0.209,0.573,LAA,1500000
Juan Nicasio,3000000,3000000,0.321,1,0.158,0.316,PIT,3000000
Yusmeiro Petit,3000000,3000000,0.222,0,0.167,0.333,WSH,2500000
A.J. Pierzynski,3000000,3000000,0.503,23,0.223,0.559,ATL,3050000
Stephen Drew,3000000,3000000,0.432,21,0.266,0.864,WSH,3000000
David Freese,3000000,3000000,0.87,55,0.27,0.764,PIT,3000000
Geovany Soto,2800000,2800000,0.161,9,0.269,0.809,LAA,2800000
Alex Avila,2500000,2500000,0.352,11,0.213,0.732,CHW,2500000
Sean Rodriguez,2500000,2500000,0.864,56,0.27,0.859,PIT,2850000
Chris Carter,2500000,2500000,0.988,94,0.222,0.821,MIL,2500000
Jim Johnson,2500000,2500000,0.404,0,0.0,0.0,ATL,3075000
Matt Albers,2250000,2250000,0.358,0,1.0,3.0,CHW,2000000
Ryan Vogelsong,2000000,2000000,0.148,1,0.053,0.195,PIT,3225000
Kelly Johnson,2000000,2000000,0.814,34,0.247,0.698,NYM,2250000
Alfredo Simon,2000000,2000000,0.093,1,0.071,0.259,CIN,2000000
Justin Ruggiano,1650000,1650000,0.056,7,0.333,1.01,NYM,507500
Franklin Gutierrez,1500000,1500000,0.605,39,0.246,0.78,SEA,2500000
Carlos Villanueva,1500000,1500000,0.315,0,0.0,0.0,SD,1500000
Jeff Mathis,1500000,1500000,0.255,15,0.236,0.596,MIA,1500000
Daniel Nava,1375000,1375000,0.333,13,0.223,0.59,KC,1375000
Matt Belisle,1250000,1250000,0.247,0,0.0,0.0,WSH,1250000
Gordon Beckham,1250000,1250000,0.547,31,0.212,0.633,SF,1250000
Jhoulys Chacin,1100000,1100000,0.211,1,0.3,0.6,LAA,1100000
Matt Joyce,1000000,1000000,0.864,42,0.242,0.866,PIT,1000000
Gavin Floyd,1000000,1000000,0.173,0,0.0,0.0,TOR,1000000
Justin Morneau,1000000,1000000,0.358,25,0.261,0.731,CHW,1100000
Eric Young Jr.,1000000,1000000,0.037,0,0.0,0.0,NYY,1000000
Jeff Francoeur,1000000,1000000,0.776,34,0.254,0.675,MIA,1000000
Blaine Boyer,950000,950000,0.377,0,0.0,0.0,MIL,950000
Josh Thole,800000,800000,0.309,7,0.17,0.483,TOR,507500
Blake Wood,600000,600000,0.432,0,0.0,0.0,CIN,600000
Jaff Decker,525000,525000,0.117,1,0.154,0.384,TB,525000
Edwin Jackson,507500,507500,0.149,2,0.217,0.569,SD,507500
Jarrod Saltalamacchia,507500,507500,0.571,38,0.171,0.63,DET,507500
A.J. Griffin,507500,507500,0.142,0,0.0,0.0,TEX,507500
Jose Reyes,507500,507500,0.37,24,0.267,0.769,NYM,507500
Billy Butler,49914,49914,0.599,35,0.284,0.752,NYY,507500
Michael Bourn,0,0,0.698,38,0.264,0.684,BAL,507500
Mat Latos,0,0,0.105,1,0.2,1.0,WSH,507500
Jemile Weeks,0,0,0.105,2,0.14,0.404,SD,507500
Eric Fryer,0,0,0.37,13,0.267,0.655,PIT,507500
Josh Collmenter,0,0,0.111,0,0.0,0.0,ATL,507500
Chris Heisey,0,0,0.512,17,0.216,0.736,WSH,507500
Jake Elmore,0,0,0.364,4,0.218,0.615,MIL,507500
