Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo,Victorias,Juegos totales,Promedio_victorias
Max Scherzer,210000000,30000000,SP,34,33,228.7,176,74,71,34,276,14,12,0,0.92,2.79,WSH,17317857,83,161,0.515527950310559
Casey Janssen,5000000,5000000,RP,48,0,40.0,38,22,22,8,27,2,5,0,1.15,4.95,WSH,3500000,83,161,0.515527950310559
David Carpenter,0,0,RP,30,0,24.7,25,12,11,9,15,0,1,0,1.38,4.01,WSH,792349,83,161,0.515527950310559
David Carpenter,0,0,RP,4,0,3.7,6,3,3,0,5,0,0,0,1.64,7.36,WSH,792349,83,161,0.515527950310559
Clint Robinson,0,0,1B,126,77,1.0,1,0,0,0,1,0,0,0,1.0,0.0,WSH,525000,83,161,0.515527950310559
Jon Lester,155000000,25833333,SP,32,32,205.0,183,83,76,47,207,11,12,0,1.12,3.34,CHC,20000000,96,161,0.5962732919254659
Jason Hammel,20000000,10000000,SP,32,31,170.7,158,79,71,40,172,10,7,0,1.16,3.74,CHC,9000000,96,161,0.5962732919254659
David Ross,5000000,2500000,C,72,46,2.0,0,0,0,0,0,0,0,0,0.0,0.0,CHC,2500000,96,161,0.5962732919254659
Jason Motte,4500000,4500000,RP,57,0,48.3,48,21,21,11,34,8,1,6,1.22,3.91,CHC,4500000,96,161,0.5962732919254659
Chris Denorfia,2600000,2600000,RF,103,45,0.3,0,0,0,0,0,0,0,0,0.0,0.0,CHC,2600000,96,161,0.5962732919254659
Trevor Cahill,0,0,RP,26,3,43.3,44,27,26,16,36,1,3,0,1.38,5.4,CHC,507500,96,161,0.5962732919254659
Clayton Richard,0,0,SP,23,3,42.3,47,18,18,7,22,4,2,0,1.28,3.83,CHC,507500,96,161,0.5962732919254659
James Shields,75000000,18750000,SP,36,33,202.3,189,93,88,81,216,13,7,0,1.33,3.91,SD,10000000,74,161,0.4596273291925465
Brandon Morrow,2500000,2500000,RP,5,5,33.0,29,10,10,7,23,2,0,0,1.09,2.73,SD,2500000,74,161,0.4596273291925465
Ervin Santana,55000000,13750000,SP,17,17,108.0,104,50,48,36,82,7,5,0,1.3,4.0,MIN,7598360,83,161,0.515527950310559
Neal Cotts,3000000,3000000,RP,68,0,63.3,58,26,24,22,58,1,0,0,1.26,3.41,MIN,721311,83,161,0.515527950310559
Shane Robinson,550000,550000,CF,83,48,1.0,0,0,0,1,1,0,0,0,1.0,0.0,MIN,550000,83,161,0.515527950310559
Brandon McCarthy,48000000,12000000,SP,4,4,23.0,24,15,15,4,29,3,0,0,1.22,5.87,LAD,12500000,91,161,0.5652173913043478
Brett Anderson,10000000,10000000,SP,31,31,180.3,194,82,76,46,116,10,9,0,1.33,3.79,LAD,12400000,91,161,0.5652173913043478
Jim Johnson,1600000,1600000,RP,72,0,66.7,77,36,33,20,50,2,6,10,1.46,4.46,LAD,585792,91,161,0.5652173913043478
David Robertson,46000000,11500000,RP,60,0,63.3,48,27,24,13,85,6,5,34,0.96,3.41,CHW,10000000,76,161,0.4720496894409938
Adam LaRoche,25000000,12500000,DH,127,115,1.0,0,0,0,0,1,0,0,0,0.0,0.0,CHW,12000000,76,161,0.4720496894409938
Zach Duke,15000000,5000000,RP,72,0,61.7,47,26,23,32,67,3,6,1,1.28,3.36,CHW,4500000,76,161,0.4720496894409938
Matt Albers,1500000,1500000,RP,30,0,37.3,31,6,5,9,28,2,0,0,1.07,1.21,CHW,1500000,76,161,0.4720496894409938
Scott Carroll,0,0,RP,18,0,36.7,40,19,14,13,27,1,1,0,1.45,3.44,CHW,507500,76,161,0.4720496894409938
Francisco Liriano,39000000,13000000,RP,31,31,186.7,155,75,70,70,205,12,7,0,1.21,3.38,PIT,11666666,97,161,0.6024844720496895
A.J. Burnett,8500000,8500000,SP,26,26,164.0,174,64,58,49,143,9,7,0,1.36,3.18,PIT,8500000,97,161,0.6024844720496895
Andrew Miller,36000000,9000000,RP,60,0,61.7,33,16,14,20,100,3,2,36,0.86,2.04,NYY,9000000,87,161,0.5403726708074534
Chris Capuano,5000000,5000000,RP,22,4,40.7,52,38,36,22,38,0,4,0,1.82,7.97,NYY,5000000,87,161,0.5403726708074534
Chris Young,675000,675000,RP,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,2500000,87,161,0.5403726708074534
Jake Peavy,24000000,12000000,RP,19,19,110.7,99,45,44,25,78,8,6,0,1.12,3.58,SF,9000000,84,161,0.5217391304347826
Sergio Romo,15000000,7500000,RP,70,0,57.3,51,20,19,10,71,0,5,2,1.06,2.98,SF,6000000,84,161,0.5217391304347826
Ryan Vogelsong,4000000,4000000,SP,33,22,135.0,140,76,70,58,108,9,11,0,1.47,4.67,SF,4000000,84,161,0.5217391304347826
Cory Gearrin,0,0,RP,7,0,3.7,1,2,2,1,5,0,0,0,0.55,4.91,SF,507500,84,161,0.5217391304347826
