Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Chicago Cubs,7,215545000,CHC,95,163,20,17,3,0.5828220858895705,Javier Baez,2B,161,0.988,606,176,34,111,0.29,0.881,6.44,97.85,25,190,6.0,657000,657000,657000,25921,0.976144,367236,30976,1156,12321,0.0841,0.776161,41.473600000000005,9574.6225
Chicago Cubs,7,215545000,CHC,95,163,20,17,3,0.5828220858895705,Anthony Rizzo,1B,154,0.945,566,160,25,101,0.283,0.846,2.7,80.11,28,240,6.3,7000000,7285714,7285714,23716,0.893025,320356,25600,625,10201,0.08008899999999998,0.7157159999999999,7.290000000000001,6417.6121
Chicago Cubs,7,215545000,CHC,95,163,20,17,3,0.5828220858895705,Ben Zobrist,2B,140,0.859,455,139,9,58,0.306,0.817,3.27,45.59,37,210,6.3,16000000,16500000,16500000,19600,0.737881,207025,19321,81,3364,0.093636,0.6674889999999999,10.6929,2078.4481000000005
Chicago Cubs,7,215545000,CHC,95,163,20,17,3,0.5828220858895705,Albert Almora,CF,153,0.939,444,127,5,41,0.286,0.701,2.18,27.57,24,190,6.2,584500,584500,584500,23409,0.8817209999999999,197136,16129,25,1681,0.08179599999999998,0.4914009999999999,4.752400000000001,760.1049
Chicago Cubs,7,215545000,CHC,95,163,20,17,3,0.5828220858895705,Jason Heyward,RF,128,0.785,440,119,8,57,0.271,0.731,1.61,8.88,28,240,6.5,21500000,28166667,28166667,16384,0.616225,193600,14161,64,3249,0.073441,0.534361,2.5921000000000003,78.85440000000001
Chicago Cubs,7,215545000,CHC,95,163,20,17,3,0.5828220858895705,Willson Contreras,C,138,0.847,474,118,10,54,0.249,0.73,3.07,59.09,26,225,6.1,604500,604500,604500,19044,0.717409,224676,13924,100,2916,0.062001,0.5328999999999999,9.4249,3491.6281000000004
Chicago Cubs,7,215545000,CHC,95,163,20,17,3,0.5828220858895705,Kris Bryant,3B,102,0.626,389,106,13,52,0.273,0.834,2.27,63.29,26,230,6.5,10850000,10850000,10850000,10404,0.391876,151321,11236,169,2704,0.07452900000000001,0.695556,5.1529,4005.6241
Chicago Cubs,7,215545000,CHC,95,163,20,17,3,0.5828220858895705,Addison Russell,SS,131,0.804,420,105,5,38,0.25,0.657,1.99,26.41,24,200,6.0,3200000,3200000,3200000,17161,0.6464160000000001,176400,11025,25,1444,0.0625,0.43164900000000006,3.9601,697.4881
Chicago Cubs,7,215545000,CHC,95,163,20,17,3,0.5828220858895705,Kyle Schwarber,LF,137,0.841,428,102,26,61,0.238,0.823,1.52,72.31,25,229,6.0,604500,604500,604500,18769,0.7072809999999999,183184,10404,676,3721,0.05664399999999999,0.677329,2.3104,5228.7361
Chicago Cubs,7,215545000,CHC,95,163,20,17,3,0.5828220858895705,Daniel Murphy,2B,92,0.564,328,98,12,42,0.299,0.79,-0.77,0.0,33,221,0.0,17500000,17500000,3857526,8464,0.31809599999999993,107584,9604,144,1764,0.089401,0.6241000000000001,0.5929,0.0
