Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Ryan Braun,LF,150,0.926,563,187,33,111,0.332,0.994,7.74,96.43,27,205,0.0,4000000,5000000,5000000,22500,0.8574760000000001,316969,34969,1089,12321,0.11022400000000002,0.988036,59.9076,9298.744900000002
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Corey Hart,RF,130,0.803,492,140,26,63,0.285,0.866,3.18,68.72,29,240,6.6,6500000,6833333,6833333,16900,0.6448090000000001,242064,19600,676,3969,0.08122499999999999,0.749956,10.112400000000001,4722.4384
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Casey McGehee,3B,155,0.957,546,122,13,67,0.223,0.626,-0.74,8.77,28,220,6.1,468000,468000,468000,24025,0.9158489999999999,298116,14884,169,4489,0.049729,0.391876,0.5476,76.9129
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Nyjer Morgan,CF,119,0.735,378,115,4,37,0.304,0.778,2.95,58.06,30,0,0.0,450000,450000,450000,14161,0.540225,142884,13225,16,1369,0.092416,0.605284,8.7025,3370.9636
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Jonathan Lucroy,C,136,0.84,430,114,12,59,0.265,0.703,1.02,21.82,25,200,6.0,424000,424000,424000,18496,0.7055999999999999,184900,12996,144,3481,0.07022500000000001,0.49420899999999995,1.0404,476.11240000000004
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Carlos Gomez,CF,94,0.58,231,52,8,24,0.225,0.679,2.27,0.0,25,220,6.3,1500000,1500000,1500000,8836,0.3364,53361,2704,64,576,0.050625,0.4610410000000001,5.1529,0.0
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,George Kottaras,C,49,0.303,111,28,5,17,0.252,0.771,,0.0,28,202,6.0,440000,440000,440000,2401,0.091809,12321,784,25,289,0.063504,0.594441,,0.0
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Yovani Gallardo,RP,33,0.204,68,15,1,4,0.221,0.577,2.25,60.27,25,205,6.2,3250000,3500000,3500000,1089,0.04161599999999999,4624,225,1,16,0.048841,0.332929,5.0625,3632.4729
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Chris Dickerson,LF,60,0.37,50,13,1,7,0.26,0.656,0.3,0.0,29,230,6.4,414000,414000,414000,3600,0.1369,2500,169,1,49,0.06760000000000001,0.43033600000000005,0.09,0.0
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Randy Wolf,SP,33,0.204,61,10,0,0,0.164,0.391,2.5,43.6,34,0,0.0,9500000,9500000,9500000,1089,0.04161599999999999,3721,100,0,0,0.026896000000000003,0.15288100000000002,6.25,1900.96
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Shaun Marcum,SP,33,0.204,59,9,1,6,0.153,0.456,2.93,69.58,29,0,6.0,3950000,3950000,3950000,1089,0.04161599999999999,3481,81,1,36,0.023409,0.207936,8.584900000000001,4841.3764
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Chris Narveson,RP,30,0.185,49,8,0,5,0.163,0.416,0.56,0.0,29,205,6.3,444150,444150,444150,900,0.034225,2401,64,0,25,0.026569000000000002,0.173056,0.31360000000000005,0.0
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Zack Greinke,SP,29,0.179,49,7,1,1,0.143,0.396,1.4,45.52,27,200,6.2,13500000,13500000,13500000,841,0.032041,2401,49,1,1,0.020448999999999995,0.156816,1.9599999999999997,2072.0704
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Marco Estrada,SP,43,0.265,12,3,0,0,0.25,0.583,0.33,15.65,27,180,6.0,414000,414000,414000,1849,0.07022500000000001,144,9,0,0,0.0625,0.33988899999999994,0.10890000000000001,244.9225
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Francisco Rodriguez,RP,73,0.451,2,1,0,0,0.5,1.0,0.94,9.28,29,180,6.0,11500000,12166667,2450819,5329,0.203401,4,1,0,0,0.25,1.0,0.8835999999999999,86.1184
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Logan Schafer,LF,8,0.049,3,1,0,0,0.333,0.833,0.08,0.0,24,190,6.1,414000,414000,414000,64,0.0024010000000000004,9,1,0,0,0.11088900000000002,0.693889,0.0064,0.0
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Martin Maldonado,C,3,0.019,1,0,0,0,0.0,0.0,-0.03,0.0,24,230,6.0,414000,414000,414000,9,0.000361,1,0,0,0,0.0,0.0,0.0009,0.0
