Acronimo,Altura,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Victorias,WAR,WAR_2,WS ganadas
PHI,6.1,538,289444,148,21904,2,4,28,Philadelphia Phillies,Pennsylvania,25,625,145,162,21025,J.T. Realmuto,0.82,0.6723999999999999,7,210,14,0.275,0.07562500000000001,0.895,0.801025,C,0.5,83,6889,5900000,5900000,5900000,77.47,6001.6008999999995,403000000,81,4.37,19.0969,2
PHI,6.4,570,324900,129,16641,2,4,26,Philadelphia Phillies,Pennsylvania,29,841,160,162,25600,Rhys Hoskins,0.819,0.6707609999999999,7,225,14,0.226,0.051076,0.988,0.976144,1B,0.5,85,7225,575000,575000,575000,74.62,5568.144400000001,403000000,81,1.46,2.1315999999999997,2
PHI,6.1,389,151321,91,8281,2,4,26,Philadelphia Phillies,Pennsylvania,17,289,123,162,15129,Maikel Franco,0.705,0.49702499999999994,7,225,14,0.234,0.054756000000000006,0.759,0.5760810000000001,3B,0.5,56,3136,5200000,5200000,5200000,13.86,192.09959999999998,403000000,81,-0.24,0.0576,2
PHI,6.1,260,67600,79,6241,2,4,30,Philadelphia Phillies,Pennsylvania,12,144,78,162,6084,Corey Dickerson,0.906,0.820836,7,200,14,0.304,0.092416,0.482,0.23232399999999997,LF,0.5,59,3481,8500000,8500000,2787639,0.0,0.0,403000000,81,0.45,0.2025,2
PHI,6.3,310,96100,67,4489,2,4,32,Philadelphia Phillies,Pennsylvania,26,676,100,162,10000,Jay Bruce,0.784,0.6146560000000001,7,230,14,0.216,0.046655999999999996,0.617,0.380689,RF,0.5,59,3481,14000000,13000000,1000000,20.95,438.9025,403000000,81,0.33,0.10890000000000001,2
PHI,6.1,222,49284,59,3481,2,4,23,Philadelphia Phillies,Pennsylvania,5,25,68,162,4624,Adam Haseley,0.72,0.5184,7,195,14,0.266,0.07075600000000001,0.42,0.17639999999999997,OF,0.5,26,676,555000,555000,304368,0.0,0.0,403000000,81,1.65,2.7224999999999997,2
PHI,6.2,154,23716,40,1600,2,4,29,Philadelphia Phillies,Pennsylvania,13,169,79,162,6241,Brad Miller,0.894,0.7992360000000001,7,195,14,0.26,0.06760000000000001,0.488,0.238144,2B,0.5,25,625,555000,555000,322272,0.0,0.0,403000000,81,0.3,0.09,2
PHI,6.1,136,18496,29,841,2,4,27,Philadelphia Phillies,Pennsylvania,2,4,74,162,5476,Andrew Knapp,0.642,0.41216400000000003,7,189,14,0.213,0.045369,0.457,0.208849,C,0.5,8,64,565000,565000,565000,0.0,0.0,403000000,81,-0.03,0.0009,2
PHI,0.0,112,12544,25,625,2,4,34,Philadelphia Phillies,Pennsylvania,4,16,76,162,5776,Sean Rodriguez,0.723,0.522729,7,200,14,0.223,0.049729,0.469,0.21996099999999996,2B,0.5,12,144,555000,555000,474456,0.0,0.0,403000000,81,0.34,0.11560000000000002,2
PHI,6.1,65,4225,17,289,2,4,30,Philadelphia Phillies,Pennsylvania,0,0,44,162,1936,Philip Gosselin,0.602,0.36240399999999995,7,200,14,0.262,0.06864400000000001,0.272,0.07398400000000001,2B,0.5,7,49,555000,555000,250656,0.0,0.0,403000000,81,-0.4,0.16000000000000003,2
PHI,6.3,106,11236,16,256,2,4,25,Philadelphia Phillies,Pennsylvania,2,4,67,162,4489,Nick Williams,0.442,0.195364,7,195,14,0.151,0.022801,0.414,0.171396,RF,0.5,5,25,575000,575000,333828,0.0,0.0,403000000,81,-1.18,1.3923999999999999,2
PHI,6.6,50,2500,8,64,2,4,25,Philadelphia Phillies,Pennsylvania,0,0,32,162,1024,Zach Eflin,0.34,0.11560000000000002,7,215,14,0.16,0.0256,0.198,0.039204,SP,0.5,2,4,590000,590000,590000,59.49,3539.0601,403000000,81,1.46,2.1315999999999997,2
PHI,6.4,45,2025,7,49,2,4,33,Philadelphia Phillies,Pennsylvania,0,0,24,162,576,Jake Arrieta,0.352,0.12390399999999999,7,230,14,0.156,0.024336,0.148,0.021903999999999996,SP,0.5,4,16,25000000,25000000,25000000,16.71,279.2241,403000000,81,0.9,0.81,2
PHI,6.3,35,1225,7,49,2,4,31,Philadelphia Phillies,Pennsylvania,2,4,29,162,841,Logan Morrison,0.663,0.43956900000000004,7,245,14,0.2,0.04000000000000001,0.179,0.032041,DH,0.5,3,9,1000000,1000000,252672,0.0,0.0,403000000,81,-0.22,0.0484,2
PHI,6.3,30,900,7,49,2,4,27,Philadelphia Phillies,Pennsylvania,1,1,35,162,1225,Vincent Velasquez,0.615,0.378225,7,205,14,0.233,0.054289000000000004,0.216,0.046655999999999996,SP,0.5,3,9,2249000,2249000,2249000,20.68,427.6624,403000000,81,0.12,0.0144,2
PHI,6.2,59,3481,7,49,2,4,26,Philadelphia Phillies,Pennsylvania,0,0,34,162,1156,Aaron Nola,0.353,0.12460899999999998,7,195,14,0.119,0.014160999999999998,0.21,0.04409999999999999,SP,0.5,2,4,4500000,4000000,4500000,74.35,5527.922499999999,403000000,81,3.65,13.3225,2
PHI,6.0,22,484,4,16,2,4,29,Philadelphia Phillies,Pennsylvania,1,1,14,162,196,Jose Pirela,0.614,0.376996,7,220,14,0.182,0.033124,0.086,0.007395999999999999,2B,0.5,2,4,575500,575500,83538,0.0,0.0,403000000,81,-0.16,0.0256,2
PHI,6.0,40,1600,3,9,2,4,36,Philadelphia Phillies,Pennsylvania,0,0,30,162,900,Jason Vargas,0.15,0.0225,7,215,14,0.075,0.005625,0.185,0.034225,SP,0.5,0,0,8000000,8000000,8000000,40.36,1628.9296,403000000,81,1.62,2.6244000000000005,2
PHI,6.5,25,625,2,4,2,4,26,Philadelphia Phillies,Pennsylvania,0,0,30,162,900,Nick Pivetta,0.195,0.038025,7,214,14,0.08,0.0064,0.185,0.034225,RP,0.5,0,0,598000,598000,440455,0.0,0.0,403000000,81,-0.47,0.22089999999999999,2
PHI,6.4,6,36,1,1,2,4,25,Philadelphia Phillies,Pennsylvania,0,0,16,162,256,Cole Irvin,0.542,0.293764,7,180,14,0.167,0.027889000000000004,0.099,0.009801,P,0.5,0,0,555000,555000,176056,0.0,0.0,403000000,81,-0.35,0.12249999999999998,2
PHI,6.1,4,16,1,1,2,4,23,Philadelphia Phillies,Pennsylvania,0,0,37,162,1369,Ranger Suarez,0.5,0.25,7,217,14,0.25,0.0625,0.228,0.051984,RP,0.5,0,0,555000,555000,334208,0.0,0.0,403000000,81,0.88,0.7744,2
PHI,0.0,2,4,0,0,2,4,32,Philadelphia Phillies,Pennsylvania,0,0,47,162,2209,Juan Nicasio,0.0,0.0,7,252,14,0.0,0.0,0.29,0.0841,RP,0.5,0,0,9250000,9000000,9250000,0.0,0.0,403000000,81,-0.07,0.004900000000000001,2
PHI,0.0,2,4,0,0,2,4,33,Philadelphia Phillies,Pennsylvania,0,0,72,162,5184,Jared Hughes,0.0,0.0,7,240,14,0.0,0.0,0.444,0.197136,RP,0.5,0,0,2125000,2125000,525550,34.0,1156.0,403000000,81,0.05,0.0025000000000000005,2
PHI,6.2,19,361,0,0,2,4,30,Philadelphia Phillies,Pennsylvania,0,0,25,162,625,Drew Smyly,0.05,0.0025000000000000005,7,188,14,0.0,0.0,0.154,0.023716,SP,0.5,0,0,7000000,7000000,211855,4.32,18.6624,403000000,81,-0.68,0.4624000000000001,2
PHI,6.0,3,9,0,0,2,4,32,Philadelphia Phillies,Pennsylvania,0,0,32,162,1024,Nick Vincent,0.0,0.0,7,185,14,0.0,0.0,0.198,0.039204,RP,0.5,0,0,555000,555000,86536,0.0,0.0,403000000,81,-0.28,0.07840000000000001,2
PHI,6.2,1,1,0,0,2,4,30,Philadelphia Phillies,Pennsylvania,0,0,68,162,4624,Hector Neris,0.0,0.0,7,227,14,0.0,0.0,0.42,0.17639999999999997,RP,0.5,0,0,1800000,1800000,1800000,90.28,8150.4784,403000000,81,1.75,3.0625,2
PHI,6.1,1,1,0,0,2,4,24,Philadelphia Phillies,Pennsylvania,0,0,27,162,729,Seranthony Dominguez,0.0,0.0,7,185,14,0.0,0.0,0.167,0.027889000000000004,RP/CL,0.5,0,0,564000,564000,564000,0.0,0.0,403000000,81,0.0,0.0,2
PHI,6.3,1,1,0,0,2,4,23,Philadelphia Phillies,Pennsylvania,0,0,5,162,25,Enyel De Los Santos,0.0,0.0,7,170,14,0.0,0.0,0.031,0.0009609999999999999,SP,0.5,0,0,555000,555000,71616,0.0,0.0,403000000,81,-0.17,0.028900000000000006,2
PHI,6.3,1,1,0,0,2,4,24,Philadelphia Phillies,Pennsylvania,0,0,20,162,400,JD Hammer,0.0,0.0,7,215,14,0.0,0.0,0.124,0.015375999999999999,P,0.5,0,0,555000,555000,167104,0.0,0.0,403000000,81,0.27,0.0729,2
SD,6.4,619,383161,164,26896,5,4,29,San Diego Padres,California,22,484,160,162,25600,Eric Hosmer,0.735,0.540225,2,226,5,0.265,0.07022500000000001,0.988,0.976144,1B,0.4320987654320987,99,9801,21000000,20000000,21000000,9.02,81.3604,326000000,70,-0.33,0.10890000000000001,0
SD,6.3,334,111556,106,11236,5,4,20,San Diego Padres,California,22,484,84,162,7056,Fernando Tatis Jr.,0.969,0.9389609999999999,2,217,5,0.317,0.10048900000000001,0.519,0.269361,SS,0.4320987654320987,53,2809,555000,555000,555000,0.0,0.0,326000000,70,4.22,17.8084,0
