Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Corey Seager,SS,145,0.895,539,159,22,77,0.295,0.854,5.57,92.59,23,215,6.4,575000,575000,575000,21025,0.801025,290521,25281,484,5929,0.08702499999999999,0.729316,31.024900000000002,8572.9081
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Chris Taylor,LF,140,0.864,514,148,21,72,0.288,0.85,4.77,91.75,26,196,6.1,535000,535000,485218,19600,0.7464959999999999,264196,21904,441,5184,0.08294399999999999,0.7224999999999999,22.752899999999997,8418.0625
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Yasiel Puig,RF,152,0.938,499,131,28,75,0.263,0.831,3.74,75.07,26,240,0.0,6500000,8214285,8214285,23104,0.8798439999999998,249001,17161,784,5625,0.06916900000000001,0.690561,13.987600000000002,5635.504899999999
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Cody Bellinger,1B,132,0.815,480,128,39,97,0.267,0.933,3.89,97.09,21,203,6.4,535000,535000,476480,17424,0.664225,230400,16384,1521,9409,0.071289,0.8704890000000001,15.132100000000001,9426.4681
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Yasmani Grandal,C,129,0.796,438,108,22,58,0.247,0.767,2.15,41.7,28,225,6.2,5500000,5500000,5500000,16641,0.6336160000000001,191844,11664,484,3364,0.061009,0.5882890000000001,4.6225,1738.8900000000003
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Curtis Granderson,RF,147,0.907,449,94,26,64,0.209,0.768,-0.25,18.08,36,200,6.1,15000000,15000000,3606548,21609,0.8226490000000001,201601,8836,676,4096,0.043681,0.589824,0.0625,326.8863999999999
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Logan Forsythe,2B,119,0.735,361,82,6,37,0.227,0.685,1.87,32.47,30,205,6.1,5750000,7000000,7000000,14161,0.540225,130321,6724,36,1369,0.051529000000000005,0.46922500000000006,3.4969000000000006,1054.3009
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Joc Pederson,CF,102,0.63,273,58,11,35,0.213,0.738,-0.33,32.06,25,220,6.1,555000,555000,500445,10404,0.39690000000000003,74529,3364,121,1225,0.045369,0.544644,0.10890000000000001,1027.8436000000002
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Adrian Gonzalez,1B,71,0.438,231,56,3,30,0.242,0.642,-1.14,0.0,35,215,6.2,21500000,22357142,22357142,5041,0.191844,53361,3136,9,900,0.058564,0.41216400000000003,1.2995999999999999,0.0
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Andrew Toles,LF,31,0.191,96,26,5,15,0.271,0.772,0.51,0.0,25,192,5.9,540000,540000,540000,961,0.036481,9216,676,25,225,0.073441,0.5959840000000001,0.2601,0.0
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Clayton Kershaw,SP,27,0.167,49,9,0,2,0.184,0.449,4.87,86.48,29,225,6.4,33000000,35571428,35571428,729,0.027889000000000004,2401,81,0,4,0.033856,0.201601,23.716900000000003,7478.790400000001
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Andre Ethier,CF,22,0.136,34,8,2,3,0.235,0.757,-0.06,0.0,35,210,6.2,17500000,17500000,17500000,484,0.018496000000000002,1156,64,4,9,0.055224999999999996,0.573049,0.0036,0.0
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Trayce Thompson,CF,27,0.167,49,6,1,2,0.122,0.483,-0.33,0.0,26,220,6.3,535000,535000,172457,729,0.027889000000000004,2401,36,1,4,0.014884,0.233289,0.10890000000000001,0.0
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Kyle Farmer,C,20,0.124,20,6,0,2,0.3,0.65,-0.07,0.0,26,205,6.0,535000,535000,67229,400,0.015375999999999999,400,36,0,4,0.09,0.42250000000000004,0.004900000000000001,0.0
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Kenta Maeda,SP,30,0.185,39,5,0,4,0.128,0.282,0.52,57.8,29,184,6.1,3000000,7375000,7375000,900,0.034225,1521,25,0,16,0.016384,0.07952399999999998,0.27040000000000003,3340.8399999999997
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Hyun-Jin Ryu,SP,25,0.154,30,4,0,0,0.133,0.402,1.34,42.61,30,255,6.3,7000000,7833333,7833333,625,0.023716,900,16,0,0,0.017689000000000003,0.16160400000000003,1.7956000000000003,1815.6121
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,Alex Verdugo,OF,15,0.093,23,4,1,1,0.174,0.544,-0.36,0.0,21,192,6.0,535000,535000,90613,225,0.008649,529,16,1,1,0.030275999999999997,0.29593600000000003,0.1296,0.0
