Anio_ref,id,Anios_de_contrato_t_2,Edad_t_2,X_At_bats_2_t,X_At_bats_2_t_1,X_At_bats_t,X_At_bats_t_1,X_Bateos_2_t,X_Bateos_2_t_1,X_Bateos_promedio_2_t,X_Bateos_promedio_2_t_1,X_Bateos_promedio_t,X_Bateos_promedio_t_1,X_Bateos_t,X_Bateos_t_1,X_Dobles_2_t,X_Dobles_2_t_1,X_Dobles_t,X_Dobles_t_1,X_Home_runs_2_t,X_Home_runs_2_t_1,X_Home_runs_t,X_Home_runs_t_1,X_Ingresos_equipo_2_t,X_Ingresos_equipo_2_t_1,X_Ingresos_equipo_t,X_Ingresos_equipo_t_1,X_Juegos_iniciados_2_t,X_Juegos_iniciados_2_t_1,X_Juegos_iniciados_t,X_Juegos_iniciados_t_1,X_Porcentaje_On_base_plus_slugging_2_t,X_Porcentaje_On_base_plus_slugging_2_t_1,X_Porcentaje_On_base_plus_slugging_t,X_Porcentaje_On_base_plus_slugging_t_1,X_Porcentaje_on_base_2_t,X_Porcentaje_on_base_2_t_1,X_Porcentaje_on_base_t,X_Porcentaje_on_base_t_1,X_Porcentaje_slugging_2_t,X_Porcentaje_slugging_2_t_1,X_Porcentaje_slugging_t,X_Porcentaje_slugging_t_1,X_Runs_batted_in_2_t,X_Runs_batted_in_2_t_1,X_Runs_batted_in_t,X_Runs_batted_in_t_1,X_Triples_2_t,X_Triples_2_t_1,X_Triples_t,X_Triples_t_1,X_WAR_2_t,X_WAR_2_t_1,X_WAR_t,X_WAR_t_1,Y,team_num_t
2015,0,-3.0,75.0,2.1054817857226205,-0.8769003727593097,0.46962740345550325,-0.1743942026926648,0.1853258696521392,-0.31033912324234914,-0.0316524634146341,-0.044505251439911006,-0.08912938440160079,-0.11895035299828519,0.1720163173418317,-0.3223191555118249,0.1052631578947368,-0.1142857142857142,0.3244428422615251,-0.3380617018914066,-0.0555555555555555,0.0,-0.2357022603955158,0.0,0.4279832753297336,-1.1686166454086087,0.7652665228582146,-1.255766830574547,2.050064516129032,-2.8093763821318003,0.4054350216687146,-0.522817646018678,-0.051578941210710105,-0.1009532367470838,-0.09011583832506709,-0.18389486151003723,-0.0047855263157895005,-0.048394854681840196,-0.013176848511684519,-0.44179303167922535,-0.0428953137254902,-0.0454026962383127,-0.09905321596532188,-0.1378337002196505,-0.3998360655737705,0.031189555125725403,-0.54018439966448,0.0996838910739534,0.0,0.0,0.0,0.0,-1.466512258137056,0.16717037908412224,2.55322583284629,-0.08115065958209267,0.0349337296321019,1.0
2017,1,0.0,-148.0,-29.169031311154598,-52.18671173902498,-3.754796565997984,-5.0767967530722675,-4.879827729924979,-10.808408249603385,0.1944072528883183,0.23751421430802871,0.6030044157093568,0.6669395091024437,-1.802259353795894,-2.7072471404511864,-0.625,-1.8251082251082258,-0.7905694150420948,-1.0545595457541763,-1.185823754789272,-0.2666666666666666,-0.8784697686667954,-0.5163977794943222,-0.046572739956523196,1.6525221411398787,-0.3421314046215671,1.7854747470944548,-2.7429433962264147,-10.688115637932038,-0.5294750119855376,-1.4540806352461115,-0.3842772475310117,0.5783343156197835,1.0340882307485797,1.0328124750675647,0.2530673890608874,0.3312066403383076,0.6547139453701208,0.7808546509867338,-0.1728280756550407,0.250612619501216,0.7596242740517245,0.676376609689167,-1.86923370186809,-9.120711835334477,-0.8694744251836576,-2.9153320486933536,0.0,0.0,0.0,0.0,2.321335753176044,-0.5733652733055935,-1.211468905575182,-2.23534882991553,-0.0349337296321019,1.0
2013,2,0.0,0.0,421.24704206836105,408.17889539451073,25.460634509978597,26.365696497293477,113.57607524248064,110.59771596979188,-0.2930337894736842,-0.3312952727272727,0.003791057657725805,-0.027238059507501855,12.670855205403452,13.318594067218141,-14.14423076923077,12.06439393939394,-3.0525062762799964,4.574601762985047,-5.180842911877396,-21.824242424242424,3.648382403562073,5.216494490298164,-0.20309390723528048,-0.3581729915072285,-0.2710444382442327,-0.318429443653219,102.11988749560528,117.98854061341422,12.548743705326258,14.332445650240789,1.0152806887417218,0.23986835643564358,0.019151019961100024,0.16062124616374773,-0.39407486274509795,-0.46776608450704216,-0.04651566883362712,-0.04415355636097795,0.5793465901240252,0.2645169734896813,0.08585469275963492,0.235881271801269,50.31828545371637,78.0739359368144,8.440691625684858,11.325055943535917,0.25,-3.2,0.5,-1.7888543819998317,-0.3128827586206897,0.17747547040105682,-1.0134075356191268,0.07338353229030603,-4.072849037247029,1.0
2014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.072849037247029,0.0
2015,2,0.0,73.0,-160.9253649879861,-801.0270520765384,-4.628325199308536,2.5680596707733443,-55.754103202396514,-227.05667660322558,0.3575521584158416,0.42858281481481486,0.07313753532755662,0.1303128737255403,-3.153877030802498,1.3307980904948629,19.56923076923077,-25.282894736842103,6.033965921342755,-7.075294622477765,7.55858585858586,10.049242424242424,-1.4682067927217095,-8.170207179746678,0.12380280086159509,-0.5983216160248124,0.14074962492414628,0.2569293954174561,-35.22910670100488,-198.14159038901602,-2.029566102067764,0.04642628092922685,-0.05680718668252077,-1.2657191785714286,-0.04047464220509067,-0.06424828510751379,0.38747143511450366,0.45555199999999996,0.03938409557553213,0.03191668042102047,-0.11816906664387741,-0.7889613844870724,-0.11298697233419802,-0.10557014930779784,-28.482072829131653,-134.2751937984496,-2.5086869462994645,-16.386027305319516,-0.3928571428571428,3.088888888888889,-0.8779644730092272,1.4555210486664985,-0.5100447501051276,0.824781784533563,-0.3120974685847625,0.4308738353962718,-3.7113787532360414,1.0
2016,2,0.0,75.0,-485.1454977301302,265.1285830999066,0.9923336046759257,-7.592789296042101,-134.51560465575065,87.76314503702034,-0.3007881584158416,-0.08613315801008112,-0.7598036242930385,-0.0900110668883784,-16.305179942346303,-4.981569311038904,-18.195348837209306,11.368421052631579,-5.850855918003177,5.839971160707451,-3.836363636363637,11.383771929824562,-2.70917125429355,2.6590033632890235,0.1128667727222696,0.2078897770183546,0.2157784374555969,-1.1374764840957414,-126.79539295392955,53.21879217273956,0.5853872191698803,-3.1711708628256927,-0.7640148133174792,0.9478867109050743,-1.2288260064332972,-0.1576926001494342,-0.3280174351145037,-0.05055452436194899,-0.8014055236003413,-0.05426422306277778,-0.40418913409961676,0.14984148084619778,-0.8984387785118395,-0.15049727387388084,-45.37434715821813,53.21828908554572,-9.503409158716341,4.60223655563545,0.03174603174603169,-0.2222222222222222,0.04463113967589388,-0.24401693585629253,0.33647353944877356,-0.605524165538307,1.7545766735553938,-0.3333187332261651,3.7113787532360414,1.0
2017,2,0.0,77.0,162.99065420560748,-83.99509803921575,-6.314696303710868,-30.11484010867801,65.42702702702702,-43.66850828729282,0.04147499999999999,-0.45771597633136085,0.07899999999999999,0.0860026145192227,13.086820273269778,-15.46051824194106,7.441860465116282,-11.368421052631579,6.099942813304187,-5.839971160707451,2.566666666666667,-1.4736842105263155,1.2780193008453875,-0.6488856845230503,-0.1061343831799539,0.1884529969929774,-0.2065511709667386,0.2788216638740606,46.567901234567906,-24.358974358974358,-3.614101326064576,-15.212174611483277,0.14329750000000002,-0.9275548266166823,0.1520279579551077,0.14424609295474367,0.055955,-0.4638236658932715,0.09500000000000003,0.0822536397547261,0.0892799999999999,-0.11486635220125782,0.12,-0.9642680608014356,20.129032258064516,-9.132743362831858,7.466052202059062,-1.1288650420603168,0.1111111111111111,0.0,0.3333333333333333,0.0,-0.3294658558230992,0.5562052307778587,-1.7509695575382591,1.8491871689458952,0.0,0.0
2019,3,24.0,-560.0,-63.07707165109031,-8.039215686274474,2.8257349274333308,33.14653542163217,-21.004204204204203,27.123323801327082,0.2855823333333334,0.47120322196565145,0.7086473343212473,-0.070714326664151,2.0682387169834824,1.6283772257517857,14.607334525939176,5.774916013437849,0.5017649017510863,0.8301492856825154,-7.124731182795699,23.13157894736842,3.0592279020717346,6.042568485132703,-0.6196098130659865,-0.17197309672015082,-0.5054546649005018,-0.2612361050636104,-15.801653855112981,1.3334542815674837,1.4710194222512314,0.07968642472656029,0.862413684357542,1.258626050274322,1.235613802588167,0.08566051374907035,0.33545797959183676,0.515524889521724,0.7708787832999507,-0.026827687357995622,0.5327793876739563,0.75186057674556,0.9718752819086016,1.2187675411565253,32.302629874336056,-21.00221238938053,2.7739313216354677,-1.8904677449203735,0.2,-5.916666666666667,0.4472135954999579,-1.9226497308103743,0.9395201217260235,-0.2318247923722303,0.946378811689924,-1.6859106982498346,0.0,1.0
2015,4,-24.0,408.0,154.1816240772288,272.41140804883713,-14.555219370478172,-19.20374023619292,36.96531165311653,56.302055147532535,-0.2637423333333334,-0.2250449587770524,-0.6526473343212473,-0.2948712068985897,-6.736614186053849,7.113820388575643,-8.680161943319838,9.382978723404255,-3.1039634482035234,3.0631648214557856,7.258064516129032,-21.0,-2.694079530401624,-4.58257569495584,0.6622476725665828,0.07608670548177532,0.5705180069904815,0.09193597352123589,31.86350172448773,62.22197558268591,-8.435833263846957,5.65914977464085,-0.7749936843575418,-0.7359114077446107,-1.102677727725096,-1.0317997930740241,-0.3083049795918368,-0.2711840555883426,-0.7078787832999507,-0.32968163146055557,-0.4707793876739563,-0.4717678843226788,-0.8478752819086015,-0.7925765043878619,-26.6144578313253,42.23936170212766,-5.158920219515446,6.3968578753741205,-0.2,6.25,-0.4472135954999579,2.5,-0.043011588389325305,-0.5936865418899255,0.2318714501973163,-0.28198270328921093,0.0,-6.0
2021,5,0.0,-345.0,-405.9955181582258,65.28303639560731,-18.265322999581777,10.18949950567588,-73.60435069215556,-11.027588893610993,-0.024095000000000002,-0.1425044170347529,-0.061,0.2537821346877512,-7.977316030943126,3.745144042624967,-6.694614443084456,-1.6842105263157894,-2.4302542745235174,-1.2977713690461004,-48.13333333333333,6.7368421052631575,6.937819061732104,2.5955427380922007,-0.1578448107533436,0.3960112987871079,-0.199789696504445,0.8784313430703468,-105.4136997212266,21.277903469079938,-8.19869824384913,6.430903489819211,-0.22917150000000008,0.6890613649679456,-0.2835498192558055,1.0032568597566978,-0.045105000000000006,-0.1831737805691122,-0.09700000000000003,0.2940574812269999,-0.205737,0.4583475591494459,0.679,0.7825923320383377,-137.3010752688172,9.64780643946526,-11.717554150453806,3.2075209902917505,-0.4444444444444444,0.0,-0.6666666666666666,0.0,-1.1048619921553435,1.1987223434364678,-1.280324004006327,1.6692727191900067,0.0,5.0
