Anio_ref,id,Anios_de_contrato_t_2,Edad_t_2,X_Bateos_2_t,X_Bateos_2_t_1,X_Bateos_t,X_Bateos_t_1,X_Carreras_2_t,X_Carreras_2_t_1,X_Carreras_ganadas_2_t,X_Carreras_ganadas_2_t_1,X_Carreras_ganadas_t,X_Carreras_ganadas_t_1,X_Carreras_t,X_Carreras_t_1,X_Comando_2_t,X_Comando_2_t_1,X_Comando_t,X_Comando_t_1,X_Control_2_t,X_Control_2_t_1,X_Control_t,X_Control_t_1,X_Dominio_2_t,X_Dominio_2_t_1,X_Dominio_t,X_Dominio_t_1,X_ERA_2_t,X_ERA_2_t_1,X_ERA_t,X_ERA_t_1,X_Ingresos_equipo_2_t,X_Ingresos_equipo_2_t_1,X_Ingresos_equipo_t,X_Ingresos_equipo_t_1,X_Inning_pitched_2_t,X_Inning_pitched_2_t_1,X_Inning_pitched_t,X_Inning_pitched_t_1,X_Losses_2_t,X_Losses_2_t_1,X_Losses_t,X_Losses_t_1,X_Saves_2_t,X_Saves_2_t_1,X_Saves_t,X_Saves_t_1,X_Strike_outs_2_t,X_Strike_outs_2_t_1,X_Strike_outs_t,X_Strike_outs_t_1,X_WAR_2_t,X_WAR_2_t_1,X_WAR_t,X_WAR_t_1,X_WHIP_2_t,X_WHIP_2_t_1,X_WHIP_t,X_WHIP_t_1,X_Walks_2_t,X_Walks_2_t_1,X_Walks_t,X_Walks_t_1,X_Wins_2_t,X_Wins_2_t_1,X_Wins_t,X_Wins_t_1,Y,team_num_t
2015,0,-3.0,75.0,-47.77731140102094,74.2148263847171,-1.8281968127540473,2.864079449845688,-126.46924026088487,-206.1974043715847,-107.28877746959675,-183.10529123106465,-6.19837982489211,5.048988282626729,-6.856522928990002,5.29924892178886,-1.86571902461926,0.8813243957964736,-1.2606886870557061,0.42324075896710533,-0.24776234929004598,-0.18087439729170368,-0.23883860985387878,-1.057476890657605,-1.173073061754019,0.265412443733246,-1.5271052790004789,0.16333101075141732,0.7558843260188082,-1.539024733055025,0.2710259438808156,-3.0821193444222708,0.4116402823031243,-1.1686166454086087,0.7528106479804024,-1.255766830574547,-97.67382083061625,66.27725390414128,-3.732327833074171,2.3287792451297715,-24.27777777777778,-29.865079365079364,-3.546236599938021,-7.403427218774313,0.0,0.0,0.0,0.0,-65.10095693779904,-405.99756097560976,-2.7682644368822498,-1.892278007677259,5.167345271753051,2.1344156346846854,1.3783796982339105,2.037986761874039,-0.16212955974842735,0.33741199024050184,-0.07271002253141767,0.15789105796968328,-104.79240023474178,-176.5632335680751,-6.392062360478668,4.554945053391284,-11.321428571428571,-14.923076923076923,0.45998627605392084,-0.9434768752674625,-0.2354316376020562,1.0
2015,1,0.0,-75.0,18.456381168462855,18.468100444551197,0.7370058696012887,0.6280720290022028,73.95311122862685,218.51707650273224,69.70738212075955,198.3438233411564,4.473055453637094,-3.9953793688834622,4.575229200583066,-4.484427207406193,1.863978753541654,-0.1412212227580517,1.2530189674913368,-0.08115071054237055,-0.33618294009209404,0.1845055435094705,0.021181138715538506,0.17515881864890054,0.15930345524563627,0.11942694780952778,0.12403471571586067,0.08686875635956792,-1.0393843260188087,1.2549665400994348,-0.36102594388081566,3.1877785092485733,-0.07324792823181421,0.9964839163807943,-0.39258474574869,0.6960197470946365,19.453556513435643,-41.67505455926525,0.8358770199624903,-1.4189720231893244,16.02777777777778,31.142857142857142,2.6802111961535826,7.63912947916983,0.0,0.0,0.0,0.0,-51.81770334928229,39.671245186136076,-2.903794166819562,-1.590007992850797,-4.636669885723483,-2.4781965534126003,-1.9145922408462401,-2.174707570477925,0.12479622641509391,-0.02714883234576515,0.056380090912863334,-0.011891778951997,11.62338615023474,77.29240023474179,1.0515448986063296,-4.146696762927422,9.321428571428573,-9.476923076923077,-0.9945087598787696,1.5759324073011385,-3.5007055239149913,-1.0
2019,2,8.0,-280.0,-176.9197958026092,-234.28885199846763,-16.172315406108964,-17.98290724074486,-110.8873468367092,-70.34354170419743,-102.98952052828022,-65.20402418682235,-11.584003463475327,-9.997000432025235,-12.202674091762704,-10.587857743546426,-0.6988821194302335,-0.9210991455934562,-0.7268932897233918,-0.4123570489592866,-0.1872202923833183,0.548618605440565,-1.0237616102422709,1.035598286919516,1.402167882609628,1.6966639685782694,1.6124284661600763,1.7762072120768988,1.7945149425287357,1.2108549480152413,2.53098027282223,-2.25779911872339,-0.843006266390028,0.3607265323313774,-0.6731559779108176,0.8426232482468394,-165.31992921420235,-225.30498205278238,-16.527548437092495,-19.451909863723017,-20.673076923076923,-9.23076923076923,-5.716877509485267,-3.9378275171966486,-0.1111111111111111,-1.0,-0.3333333333333333,-1.0,-79.56321366718525,58.5132723112128,-12.344385435224666,-20.507004176649115,-0.7246324287977599,0.268808480565371,-1.1076613647565134,2.5455974051594135,-2.5226709832134295,-1.8279901677270096,-2.246057745370301,-1.8693867714098278,-57.14662332972192,35.45778508771929,-10.581694593367034,-11.37589036540368,-4.371428571428572,11.4,-2.94520823797442,-5.526783999770933,3.7710708911491495,2.0
2022,2,-8.0,207.0,-0.8607538802660759,-13.279244850384073,-0.1285890715727498,-1.7323112357432566,1.386780905752754,-4.572344322344322,0.31694934810199626,-5.634205983889528,0.10545082198706046,-1.0241473909515606,0.4282784270859119,-0.761665206853086,0.6378561157975462,1.179578471563175,0.5707160798330049,2.0786161990415404,0.462299496898948,-0.6357904390472318,0.91685706083105,-1.1256300366704606,-1.5716352185546083,-0.35069379819517654,-1.7436432921066367,-0.16721431552488586,0.14321839080459775,-1.5579548143410682,-0.08232674651182637,-0.6554443031925149,-0.05469441567916977,0.1997319705364163,1.9534738818158952,0.17725143185430375,-4.012841916013883,5.815404587164565,-0.4280789044428124,0.5595302245687774,1.1730769230769231,0.4125874125874126,0.5207250867786343,0.20486635871716752,-0.3888888888888889,-8.307692307692308,1.040440114519881,-2.05085107923876,-2.6903140272434243,48.77431515456145,-0.26859275827148377,3.4288065088630173,-0.33551424143174635,1.3634285714285714,-0.17337148095910593,-1.5735129821823077,1.8274438227196024,-0.48211458444468147,1.8810882151727804,-0.2764260472283555,16.09902740937224,-5.220095693779911,6.630011062333943,-0.5899158275725833,0.4111111111111112,-1.4545454545454541,0.1631294845222946,-0.3785286044754679,0.0,1.0
2020,3,0.0,148.0,27.746860873932697,-163.01010350942306,7.424999851424466,-8.905825989409017,9.503804692454027,-57.44952380952381,8.715303738317758,-54.66055282872643,4.021582907693253,-4.818465443732217,4.1489852171148,-4.917622701342118,-2.2292180789877305,-0.18552748343173076,-1.2444304439176024,-1.625284405286667,0.0137636380625476,-0.014102502315983478,0.021230100473311142,-0.013162337025313664,-0.044899907100445,-1.6151024028032381,-0.03088815184827498,-1.7919640405076607,-1.2362984496124025,-0.17036672194038127,0.558056651152454,-0.055178303525217354,1.257579296687934,0.31342099616393665,-0.465359148396562,0.2073651230419008,49.16025466633869,-118.72690470310988,9.91502737973191,-7.037284672906661,1.65,-11.681818181818182,1.8147087018349524,-2.6309998721994465,0.5,9.307692307692308,-0.7071067811865476,3.05085107923876,45.503738783649055,-105.39575443492127,9.508103234396536,-6.200870025742313,1.2323263449181556,-0.647577047882865,1.4018263510642517,-0.5254343862387449,0.17278549382716057,-0.2736094383679486,0.10503928270798168,-0.1273840456484483,7.929418103448276,-52.19999999999999,-0.2259029257555607,-3.910359202286805,3.174603174603175,-7.074866310160428,2.514817511539701,-1.2849193384643165,0.0,1.0
2021,3,0.0,77.0,-172.04419889502762,201.56497175141243,-16.501130046687095,17.66368165806648,-69.98795180722892,75.14,-67.8625,70.70408163265306,-10.397716095374022,10.404571208887772,-10.647133218999963,10.8,0.15104000000000006,-0.9588854262408091,0.05059644256269413,-0.4399747822924729,-0.2383634368553984,0.1837515912432564,-0.690146475120578,0.21013172614302983,-0.029220114719049062,0.10204366992594327,-0.019428966405986126,0.06419134084352707,0.12015503875968925,1.0736427566807318,-2.7293978096094342,0.3900304723210217,-0.5504230254160457,-0.33558280833543874,-1.0492109747428255,-0.2245867641508449,-273.0121141525917,163.8263693650024,-20.75791629978575,16.52841088721528,-5.800000000000001,13.625,-3.162277660168379,4.596194077712559,0.0,0.0,0.0,0.0,-216.94117647058826,151.29310344827587,-18.432707502761303,15.6926295020833,-6.416473429951691,0.8418005540166204,-2.856647472581924,1.1421052631578947,-1.545902777777778,0.5964556962025314,-1.7583333333333335,0.3023117679867774,-42.578125,78.56363636363636,-8.125,10.652357826919225,-22.428571428571427,13.0,-5.879747322073336,4.608176875690327,0.0,0.0
2019,4,0.0,-560.0,152.43370165745856,-26.074576271186437,10.616512963565425,-7.157275228181209,59.04730500951173,-9.092105263157894,57.6820987654321,-8.483673469387755,5.937349032360375,-4.079970983777445,6.056265685504427,-4.185854460847049,1.261122100456621,0.40938502673796817,0.5229251386689101,0.1669285803072058,-0.19712943373761824,-0.1066608903315053,0.9240801638616717,-0.1336620432482199,0.07431402020739653,-0.07055412544852724,0.05045348673754002,-0.04492704684932114,-3.226396271686969,0.20909549269600447,-0.8999015743748384,2.2705962275957825,0.35866392237537853,-0.8271584234747573,0.8141130100998888,-1.2860971579277631,244.2438034015892,-34.13587021190387,13.839077818670583,-8.20910750653778,4.8090909090909095,-1.3916666666666666,1.9120830175401016,-1.5770579512741434,0.0,0.0,0.0,0.0,194.41013071895426,-29.277139208173693,12.203676270857487,-7.631881286012891,5.920768238694624,-0.2011081381683874,1.8968063381748785,-0.6262777931258736,-0.185772222222222,-0.2440530277112558,-0.09954509251596755,1.805818449548343,36.44431818181818,-9.029180695847362,4.631920330088219,-4.244821809611949,19.5,-2.070588235294118,3.4743961448615166,-1.9872747944231484,0.0,1.0
2018,5,15.0,-61.0,155.99484536082474,165.85,14.219709021612067,15.598386676965934,86.573987854251,65.56375474769398,-63.315593911063175,62.2968253968254,10.067121897652523,9.451495771050416,10.966161317678834,9.605554548889279,-0.06883959257497119,-0.8881527395163757,-0.03576987173701962,-0.33847279337956193,0.13856101989189754,0.1006988091080698,-0.9986579775597119,0.12480550128744661,0.1486632673831237,0.23657781325609756,0.11357981464948397,0.16288056825724584,0.3670704268762517,3.6534354535240112,4.401787187793651,0.4814024044242633,-0.3881379861500782,0.420307307535996,-0.8415286161133233,0.7133818842189824,129.48474874570047,190.14420678433572,13.123449022504985,16.936468723231478,17.398601398601397,6.516666666666667,4.461762816266982,3.016397779494322,0.0,0.0,0.0,0.0,74.73249619482498,-101.25925925925924,10.304970044993977,14.204818517353479,0.2348884807210152,-6.0210339830172375,0.9865413267585781,2.8436218725110636,2.3661204225352113,1.8779384667686556,2.1661241410476326,-0.0029603665876908325,-24.572994652406422,-24.846343779677113,6.83259560819294,7.679750544147395,3.0659340659340657,-11.4,2.4557954582127706,-2.6895049458962714,0.0,1.0
2022,5,-12.0,256.0,-253.82817869415805,-119.94346733668343,-22.41532624191943,-6.474509757429145,-125.65526481715006,-38.67619493908153,34.307223959190395,-41.5250645994832,-13.885795639733239,-3.4893974848089586,-15.63797399898689,-3.0160836118631895,0.9197089520616798,0.6735273318345418,0.7777346997738201,2.7143361376119657,0.35864300179589526,-0.0807410219151542,0.8468263109368217,-0.10286694458448709,0.051957427510587184,-0.35654656794593637,0.04517514164216474,1.523597533725665,2.7351414624963026,-4.599329350099581,-0.7710357213639087,-0.1103933377721602,0.032052347649743795,-0.4625618306305593,1.072616648232461,-0.7450515429637878,-230.5762051663024,-134.11374684248162,-21.451844445772274,-6.758024693530792,-22.23076923076923,-6.9423076923076925,-6.3790522565901355,-1.6679497056621564,0.0,0.0,0.0,0.0,-194.50892262125137,73.25457102672291,2.6601607298723433,-4.300882602542683,-0.8942954868169478,5.652532228180737,-1.3912489207371004,-3.1878617237845086,-2.3286418511066396,-1.7299006289308176,-0.21962160353890015,-1.8584774788711855,-10.543517406962785,48.5604774535809,0.9283412045759842,-1.1244160375543286,-5.6923076923076925,7.428571428571429,0.5547001962252289,1.3260116798383597,0.0918482603659547,1.0
2021,6,-3.0,-132.0,77.6205128205128,-37.07123854566952,5.196864770226188,-6.899964874766061,24.22006414825374,-24.131993006993007,22.34899845916795,-17.7281517747858,2.5095518856354486,-4.410673825351129,2.2440282268913005,-5.1977906788863155,-1.2308651083365243,1.1764484770855486,-0.9253491558222592,-1.8196880094288248,0.12288989408382,0.027584042130868403,0.1278044463338585,0.0322419630304136,-0.3439017351706916,1.3220974391972808,-0.25321001010659394,-0.13732465993260723,-0.8418962154073633,2.0502528802028177,-3.0521606599199256,-1.7468203990348368,0.1504508810685913,0.6581658798037691,-0.8697531267562106,1.120838026808606,83.52084953880639,-45.18938914679369,5.629022734673098,-8.083489458299898,3.7802197802197806,0.6923076923076923,1.149755817251219,-0.8320502943378437,24.08333333333333,8.470588235294118,4.907477288111819,2.910427500435996,104.45535255926316,39.146862665033346,-15.436864331577723,-7.5389609842948095,0.4569855211293833,0.29402009614431557,0.25718674238633055,0.2531156310453548,-0.17255216693418918,0.34977989949748756,-2.0129684762536377,0.22460621158721417,29.337868480725625,-19.731085949562534,-9.04058476926122,-5.310467839221285,2.6263736263736264,4.321428571428571,-3.0104956544379995,1.6380899352993952,-0.0918482603659547,1.0
