Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,At-bats,At-bats_2,Bateos,Bateos_2,Bateos_promedio,Bateos_promedio_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Dobles,Dobles_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_iniciados,Juegos_iniciados_2,Jugador,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_On-base-plus-slugging,Porcentaje_On-base-plus-slugging_2,Porcentaje_juegos,Porcentaje_juegos_iniciados,Porcentaje_juegos_iniciados_2,Porcentaje_on-base,Porcentaje_on-base_2,Porcentaje_slugging,Porcentaje_slugging_2,Posicion,Promedio_victorias,Runs-batted-in,Runs-batted-in_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Triples,Triples_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
LAD,6.4,2020,0,1,0,213,45369,51,2601,0.239,0.057121,0,5,4,10,100,24,24,Los Angeles Dodgers,California,6684259,12,144,56,59,56,3136,Cody Bellinger,4259259,25,203,34,0.789,0.6225210000000001,0.933,0.933,0.8704890000000001,0.333,0.11088900000000002,0.455,0.20702500000000001,CF,0.711864406779661,30,900,4259259,11500000,0.034,11500000,71.41,5099.388099999999,0,0,11500000,15813500,11500000,42,1.53,2.3409,7,15.264605759453628,16.25785759333348,16.25785759333348
MIA,6.3,2020,2024,1,1,200,40000,51,2601,0.255,0.065025,0,2,6,7,49,27,26,Miami Marlins,Florida,2048391,11,121,59,60,57,3249,Brian Anderson,227778,2,208,3,0.81,0.6561000000000001,0.983,0.95,0.9025,0.345,0.11902499999999998,0.465,0.21622500000000003,RF,0.5166666666666667,38,1444,227778,615000,0.007,615000,83.83,7027.4689,1,1,615000,25350000,615000,31,1.77,3.1329000000000002,2,12.336126749387653,13.329377546788654,13.329377546788654
KC,6.3,2020,2022,6,5,150,22500,50,2500,0.333,0.11088900000000002,1200000,2,3,12,144,30,25,Kansas City Royals,Missouri,38742929,11,121,37,59,37,1369,Salvador Perez,4814815,4,255,9,0.986,0.972196,0.617,0.617,0.380689,0.353,0.12460899999999998,0.633,0.400689,C,0.423728813559322,32,1024,6014815,13000000,0.173,14200000,94.73,8973.7729,0,0,8750000,7550000,52500000,25,2.08,4.3264000000000005,2,15.6097361504757,16.38045991542581,16.46875252257149
SD,6.0,2020,2021,1,1,180,32400,50,2500,0.278,0.07728400000000002,0,5,2,6,36,27,26,San Diego Padres,California,11382448,7,49,56,61,51,2601,Jurickson Profar,2111111,2,184,6,0.771,0.594441,0.933,0.85,0.7224999999999999,0.343,0.11764900000000002,0.428,0.18318399999999999,2B,0.6229508196721312,25,625,2111111,5700000,0.029,5700000,63.39,4018.2921,0,0,5700000,43000000,5700000,38,1.29,1.6641000000000001,0,14.562724907162915,15.555976732804778,15.555976732804778
HOU,6.3,2020,2021,1,0,189,35721,50,2500,0.265,0.07022500000000001,0,2,3,6,36,30,30,Houston Astros,Texas,39688897,14,196,51,60,49,2401,George Springer,7777778,3,221,14,0.899,0.8082010000000001,0.85,0.817,0.6674889999999999,0.359,0.128881,0.54,0.2916,CF,0.4833333333333333,32,1024,7777778,21000000,0.094,21000000,76.75,5890.5625,2,4,21000000,15650000,21000000,29,2.2,4.840000000000001,1,15.866781251248842,16.860032995687696,16.860032995687696
LAD,6.1,2020,2022,2,0,185,34225,50,2500,0.27,0.0729,0,5,4,10,100,29,29,Los Angeles Dodgers,California,7665516,8,64,56,59,49,2401,Chris Taylor,2074074,25,196,34,0.842,0.7089639999999999,0.933,0.817,0.6674889999999999,0.366,0.133956,0.476,0.22657599999999997,2B,0.711864406779661,32,1024,2074074,5600000,0.017,5600000,82.79,6854.184100000001,2,4,6700000,15813500,13400000,42,1.92,3.6864,7,14.545025346980808,15.538277155705378,15.538277155705378
BAL,6.1,2020,2025,1,1,195,38025,50,2500,0.256,0.065536,0,1,2,10,100,26,25,Baltimore Orioles,Maryland,3400368,12,144,52,62,51,2601,Renato Nunez,214074,7,220,14,0.816,0.6658559999999999,0.867,0.85,0.7224999999999999,0.324,0.104976,0.492,0.242064,3B,0.4354838709677419,31,961,214074,578000,0.009,578000,70.99,5039.580099999999,0,0,578000,3800000,578000,27,0.6,0.36,3,12.27407702862341,13.267329147654515,13.267329147654515
SF,6.1,2020,2024,6,4,193,37249,49,2401,0.254,0.064516,0,5,3,10,100,34,30,San Francisco Giants,California,97852890,7,49,53,60,50,2500,Evan Longoria,5552890,23,215,26,0.722,0.521284,0.883,0.833,0.693889,0.297,0.088209,0.425,0.18062499999999998,3B,0.4833333333333333,28,784,5552890,15000000,0.076,15000000,20.48,419.4304,1,1,16666667,18250000,100000000,29,0.66,0.43560000000000004,8,15.52982907091535,16.523560759066484,16.523560759066484
SEA,6.0,2020,2022,7,5,203,41209,49,2401,0.241,0.058080999999999994,500000,1,4,12,144,32,27,Seattle Mariners,Washington,84385300,9,81,60,61,59,3481,Kyle Seager,19000000,0,210,4,0.788,0.620944,1.0,0.983,0.966289,0.355,0.126025,0.433,0.187489,3B,0.4426229508196721,40,1600,7537037,19000000,0.149,19500000,55.96,3131.5216,0,0,14285714,6550000,100000000,27,1.07,1.1449,0,15.83533969192859,16.759949537130716,16.785925023533974
BOS,5.9,2020,2023,3,2,173,29929,49,2401,0.283,0.08008899999999998,0,1,8,9,81,29,27,Boston Red Sox,Massachusetts,7547262,7,49,47,60,45,2025,Christian Vazquez,1555556,14,205,24,0.801,0.6416010000000001,0.783,0.75,0.5625,0.344,0.11833599999999998,0.457,0.208849,C,0.4,23,529,1555556,4200000,0.019,4200000,62.7,3931.2900000000004,0,0,4450000,19100000,13350000,24,0.85,0.7224999999999999,9,14.257343595957558,15.250595083253597,15.250595083253597
HOU,6.0,2020,2021,5,5,211,44521,49,2401,0.232,0.053824000000000004,400000,2,3,12,144,36,31,Houston Astros,Texas,42509557,6,36,57,60,56,3136,Yulieski Gurriel,3074074,3,215,14,0.658,0.432964,0.95,0.933,0.8704890000000001,0.274,0.07507600000000002,0.384,0.147456,1B,0.4833333333333333,22,484,3474074,8300000,0.042,8700000,13.82,190.9924,1,1,9500000,15650000,47500000,29,0.8654487179487182,0.7490014833990801,1,15.060838526650162,15.931766072766827,15.978833583624812
SD,6.0,2020,0,1,1,172,29584,49,2401,0.285,0.08122499999999999,0,5,2,15,225,26,25,San Diego Padres,California,407604,4,16,54,61,49,2401,Jake Cronenworth,208704,2,187,6,0.831,0.690561,0.9,0.817,0.6674889999999999,0.354,0.12531599999999998,0.477,0.22752899999999998,SS,0.6229508196721312,20,400,208704,563500,0.003,563500,79.4,6304.360000000001,3,9,563500,43000000,563500,38,1.63,2.6569,0,12.248672259148991,13.241922612461968,13.241922612461968
STL,5.7,2020,2022,5,4,181,32761,48,2304,0.265,0.07022500000000001,0,2,2,4,16,29,25,St. Louis Cardinals,Missouri,21363836,1,1,53,58,48,2304,Kolten Wong,3796296,23,185,30,0.675,0.45562500000000006,0.914,0.828,0.685584,0.35,0.12249999999999998,0.326,0.10627600000000001,2B,0.5172413793103449,16,256,3796296,10250000,0.052,10250000,46.78,2188.3684000000003,2,4,5100000,7000000,25500000,30,1.28,1.6384,11,15.149536412489624,16.14278826354869,16.14278826354869
NYM,6.3,2020,2025,1,0,208,43264,48,2304,0.231,0.053361000000000006,0,2,5,6,36,25,25,New York Mets,New York,1705874,16,256,57,60,55,3025,Pete Alonso,241674,5,245,9,0.817,0.6674889999999999,0.95,0.917,0.8408890000000001,0.326,0.10627600000000001,0.49,0.24009999999999998,1B,0.4333333333333333,35,1225,241674,652521,0.003,652521,69.52,4833.0304,0,0,652521,26300000,652521,26,0.16,0.0256,2,12.395344989535893,13.388598601569141,13.388598601569141
OAK,6.0,2020,2021,1,0,211,44521,47,2209,0.223,0.049729,0,5,2,9,81,29,29,Oakland Athletics,California,15863653,7,49,53,60,53,2809,Marcus Semien,4814815,15,195,29,0.679,0.4610410000000001,0.883,0.883,0.779689,0.305,0.093025,0.374,0.139876,SS,0.6,23,529,4814815,13000000,0.131,13000000,29.43,866.1249,1,1,13000000,7500000,13000000,36,0.37,0.1369,9,15.387208180877066,16.38045991542581,16.38045991542581
OAK,6.2,2020,2022,1,1,191,36481,47,2209,0.246,0.060516,0,5,2,12,144,31,30,Oakland Athletics,California,5892250,5,25,59,60,59,3481,Mark Canha,1777778,15,209,29,0.795,0.6320250000000001,0.983,0.983,0.966289,0.387,0.149769,0.408,0.16646399999999997,LF,0.6,33,1089,1777778,4800000,0.048,4800000,82.33,6778.2289,2,4,4800000,7500000,4800000,36,1.58,2.4964000000000004,9,14.390874827867828,15.38412647587812,15.38412647587812
CHW,6.2,2020,2028,6,0,202,40804,47,2209,0.233,0.054289000000000004,0,2,5,8,64,22,22,Chicago White Sox,Illinois,26555556,11,121,56,60,55,3025,Luis Robert,555556,6,220,10,0.738,0.544644,0.933,0.917,0.8408890000000001,0.302,0.091204,0.436,0.190096,CF,0.5833333333333334,31,961,555556,1500000,0.01,1500000,71.03,5045.2609,0,0,8333333,151500000,50000000,35,1.8,3.24,3,13.227724693061836,14.22097566607244,14.22097566607244
NYM,6.3,2020,2025,1,1,190,36100,47,2209,0.247,0.061009,0,2,5,9,81,27,26,New York Mets,New York,1942667,6,36,56,60,52,2704,J.D. Davis,219431,5,218,9,0.761,0.579121,0.933,0.867,0.7516889999999999,0.371,0.13764099999999999,0.389,0.151321,LF,0.4333333333333333,19,361,219431,592463,0.003,592463,50.01,2501.0000999999997,0,0,592463,26300000,592463,26,0.06,0.0036,2,12.298793111281528,13.292043702784127,13.292043702784127
HOU,6.2,2020,2021,4,4,188,35344,46,2116,0.245,0.060024999999999995,0,2,3,11,121,33,29,Houston Astros,Texas,59142315,4,16,56,60,54,2916,Josh Reddick,4814815,3,197,14,0.693,0.4802489999999999,0.933,0.9,0.81,0.316,0.099856,0.378,0.142884,RF,0.4833333333333333,23,529,4814815,13000000,0.058,13000000,9.87,97.41689999999998,1,1,13000000,15650000,52000000,29,0.8654487179487182,0.7490014833990801,1,15.387208180877066,16.38045991542581,16.38045991542581
SF,6.4,2020,2022,5,5,149,22201,46,2116,0.309,0.095481,1200000,5,3,13,169,32,27,San Francisco Giants,California,60927998,9,81,51,60,41,1681,Brandon Belt,5925925,23,235,26,1.015,1.0302249999999997,0.85,0.683,0.4664890000000001,0.425,0.18062499999999998,0.591,0.34928099999999995,1B,0.4833333333333333,30,900,7125926,16000000,0.097,17200000,89.17,7951.2889000000005,1,1,14560000,18250000,72800000,29,2.02,4.0804,8,15.779250240586562,16.588099280204055,16.660419941783683
PHI,6.1,2020,2021,1,1,173,29929,46,2116,0.266,0.07075600000000001,0,2,4,6,36,29,28,Philadelphia Phillies,Pennsylvania,14776864,11,121,47,60,45,2025,J.T. Realmuto,3703704,7,210,14,0.84,0.7055999999999999,0.783,0.75,0.5625,0.349,0.12180099999999998,0.491,0.241081,C,0.4666666666666667,32,1024,3703704,10000000,0.05,10000000,77.65,6029.522500000001,0,0,10000000,134350000,10000000,28,1.32,1.7424000000000002,2,15.124843957948034,16.11809565095832,16.11809565095832
CHC,6.1,2020,2023,1,1,189,35721,46,2116,0.243,0.059049,0,2,4,10,100,28,27,Chicago Cubs,Illinois,4649151,7,49,57,58,57,3249,Willson Contreras,1666667,17,225,21,0.763,0.582169,0.95,0.95,0.9025,0.356,0.126736,0.407,0.165649,C,0.5517241379310345,26,676,1666667,4500000,0.019,4500000,61.87,3827.8968999999997,0,0,4500000,2650000,4500000,32,1.01,1.0201,3,14.326336381730245,15.319587954740548,15.319587954740548
MIL,6.0,2020,2026,1,0,217,47089,46,2116,0.212,0.044944,0,1,9,4,16,23,23,Milwaukee Brewers,Wisconsin,4552785,13,169,59,60,59,3481,Keston Hiura,215593,1,202,7,0.707,0.49984899999999993,0.983,0.983,0.966289,0.297,0.088209,0.41,0.16809999999999997,2B,0.4833333333333333,32,1024,215593,582100,0.005,582100,39.96,1596.8016,0,0,582100,49875000,582100,29,0.8654487179487182,0.7490014833990801,0,12.281147649957429,13.274397533259826,13.274397533259826
CHC,6.3,2020,2022,7,7,203,41209,45,2025,0.222,0.049284,0,2,4,6,36,30,23,Chicago Cubs,Illinois,46065422,11,121,58,58,57,3249,Anthony Rizzo,6111111,17,240,21,0.755,0.570025,0.967,0.95,0.9025,0.342,0.11696400000000001,0.414,0.171396,1B,0.5517241379310345,24,576,6111111,16500000,0.071,16500000,60.06,3607.2036000000003,0,0,5857143,2650000,41000000,32,1.14,1.2995999999999999,3,15.625619147678707,16.61887093887081,16.61887093887081
BOS,6.3,2020,2023,5,2,211,44521,45,2025,0.213,0.045369,0,1,8,16,256,32,30,Boston Red Sox,Massachusetts,79721096,7,49,54,60,54,2916,J.D. Martinez,8796296,14,230,24,0.68,0.4624000000000001,0.9,0.9,0.81,0.291,0.08468099999999999,0.389,0.151321,DH,0.4,27,729,8796296,23750000,0.105,23750000,5.21,27.144099999999998,0,0,22000000,19100000,110000000,24,0.8654487179487182,0.7490014833990801,9,15.98984128175043,16.983093088444924,16.983093088444924
CHC,6.0,2020,2022,1,0,222,49284,45,2025,0.203,0.041209,0,2,4,9,81,27,27,Chicago Cubs,Illinois,13557493,8,64,59,58,57,3249,Javier Baez,3703704,17,190,21,0.599,0.358801,0.983,0.95,0.9025,0.238,0.05664399999999999,0.36,0.1296,SS,0.5517241379310345,24,576,3703704,10000000,0.043,10000000,20.43,417.3849,1,1,10000000,2650000,10000000,32,0.8,0.6400000000000001,3,15.124843957948034,16.11809565095832,16.11809565095832
ATL,6.1,2020,2023,1,0,190,36100,45,2025,0.237,0.056169,0,1,7,8,64,31,31,Atlanta Braves,Georgia,6097695,16,256,57,60,47,2209,Adam Duvall,1203704,18,215,26,0.833,0.693889,0.95,0.783,0.613089,0.301,0.09060099999999999,0.532,0.28302400000000005,RF,0.5833333333333334,33,1089,1203704,3250000,0.019,3250000,68.59,4704.588100000001,0,0,3250000,95750000,3250000,35,0.86,0.7395999999999999,3,14.000914027449452,14.994165554305921,14.994165554305921
CHW,6.2,2020,2026,5,1,200,40000,45,2025,0.225,0.050625,800000,2,5,8,64,25,24,Chicago White Sox,Illinois,34300012,6,36,52,60,51,2601,Yoan Moncada,1370370,6,225,10,0.705,0.49702499999999994,0.867,0.85,0.7224999999999999,0.32,0.1024,0.385,0.148225,3B,0.5833333333333334,24,576,1170370,1000000,0.022,1800000,30.41,924.7681,3,9,14000000,151500000,70000000,35,0.61,0.3721,3,13.972830496097066,13.815510557964274,14.403297222866392
NYY,6.0,2020,2024,1,0,151,22801,45,2025,0.298,0.088804,0,2,2,11,121,28,28,New York Yankees,New York,2548636,6,36,43,60,42,1764,Giovanny Urshela,916667,40,215,56,0.86,0.7395999999999999,0.717,0.7,0.48999999999999994,0.37,0.1369,0.49,0.24009999999999998,3B,0.55,30,900,916667,2475000,0.008,2475000,89.98,8096.4004,0,0,2475000,336500000,2475000,33,1.98,3.9204,27,13.728499544610942,14.721750953984929,14.721750953984929
SF,6.3,2020,2023,1,1,151,22801,45,2025,0.298,0.088804,0,5,3,10,100,30,29,San Francisco Giants,California,2811859,10,100,52,60,38,1444,Alex Dickerson,342593,23,235,26,0.947,0.8968089999999999,0.867,0.633,0.400689,0.371,0.13764099999999999,0.576,0.33177599999999996,LF,0.4833333333333333,27,729,342593,925000,0.005,925000,82.05,6732.202499999999,1,1,925000,18250000,925000,29,0.77,0.5929,8,12.74429843267276,13.737549016494562,13.737549016494562
MIL,6.0,2020,2023,1,0,173,29929,45,2025,0.26,0.06760000000000001,0,1,9,10,100,25,25,Milwaukee Brewers,Wisconsin,2657954,5,25,59,60,50,2500,Orlando Arcia,814815,1,187,7,0.734,0.538756,0.983,0.833,0.693889,0.318,0.101124,0.416,0.173056,SS,0.4833333333333333,20,400,814815,2200000,0.02,2200000,32.78,1074.5284000000001,1,1,2200000,49875000,2200000,29,0.29,0.0841,0,13.610716372590963,14.603967918328545,14.603967918328545
ATL,6.3,2020,2026,1,1,188,35344,45,2025,0.239,0.057121,0,1,7,7,49,23,22,Atlanta Braves,Georgia,2222348,8,64,51,60,51,2601,Austin Riley,210556,18,240,26,0.716,0.512656,0.85,0.85,0.7224999999999999,0.301,0.09060099999999999,0.415,0.172225,3B,0.5833333333333334,27,729,210556,568500,0.003,568500,32.82,1077.1524,1,1,568500,95750000,568500,35,0.8654487179487182,0.7490014833990801,3,12.257506929978158,13.250756592172728,13.250756592172728
DET,6.1,2020,2026,1,1,129,16641,45,2025,0.349,0.12180099999999998,0,1,5,4,16,23,22,Detroit Tigers,Michigan,259928,6,36,36,57,35,1225,Willi Castro,149520,11,170,16,0.932,0.8686240000000001,0.621,0.603,0.36360899999999996,0.381,0.145161,0.55,0.30250000000000005,SS,0.4035087719298245,24,576,149520,563500,0.004,563500,80.13,6420.816899999999,2,4,563500,19350000,563500,23,0.36,0.1296,4,11.915185442129445,13.241922612461968,13.241922612461968
SF,6.2,2020,0,6,5,172,29584,44,1936,0.256,0.065536,200000,5,3,12,144,33,28,San Francisco Giants,California,55889183,8,64,54,60,47,2209,Brandon Crawford,5555555,23,227,26,0.792,0.627264,0.9,0.783,0.613089,0.326,0.10627600000000001,0.465,0.21622500000000003,SS,0.4833333333333333,28,784,5755556,15000000,0.078,15200000,49.67,2467.1089,0,0,12500000,18250000,75000000,29,1.33,1.7689000000000001,8,15.565676207113567,16.523560759066484,16.536805985816503
PIT,6.4,2020,2023,1,0,195,38025,44,1936,0.226,0.051076,0,2,3,3,9,27,27,Pittsburgh Pirates,Pennsylvania,8633247,8,64,57,59,55,3025,Josh Bell,1777778,9,250,17,0.669,0.44756100000000004,0.95,0.917,0.8408890000000001,0.305,0.093025,0.364,0.132496,1B,0.3220338983050847,22,484,1777778,4800000,0.07,4800000,17.56,308.3536,0,0,4800000,3900000,4800000,19,0.8654487179487182,0.7490014833990801,5,14.390874827867828,15.38412647587812,15.38412647587812
PIT,6.4,2020,2024,1,0,178,31684,44,1936,0.247,0.061009,0,2,3,10,100,27,27,Pittsburgh Pirates,Pennsylvania,5486778,10,100,52,59,50,2500,Colin Moran,219815,9,220,17,0.797,0.635209,0.867,0.833,0.693889,0.325,0.10562500000000001,0.472,0.22278399999999998,3B,0.3220338983050847,23,529,219815,593500,0.009,593500,62.68,3928.7824,0,0,593500,3900000,593500,19,0.5,0.25,5,12.300541562481204,13.29379249303186,13.29379249303186
SD,6.0,2020,2026,1,0,161,25921,44,1936,0.273,0.07452900000000001,0,5,2,9,81,30,30,San Diego Padres,California,602711,7,49,48,61,44,1936,Austin Nola,91495,2,197,6,0.825,0.6806249999999999,0.8,0.733,0.537289,0.353,0.12460899999999998,0.472,0.22278399999999998,C,0.6229508196721312,28,784,91495,570800,0.001,570800,75.03,5629.5009,1,1,570800,43000000,570800,38,0.9,0.81,0,11.424039604961788,13.254794164584819,13.254794164584819
TOR,6.1,2020,2021,1,1,185,34225,43,1849,0.232,0.053824000000000004,0,1,3,5,25,29,28,Toronto Blue Jays,Toronto,12371292,2,4,52,61,48,2304,Jonathan Villar,1269212,2,215,8,0.593,0.351649,0.867,0.8,0.6400000000000001,0.301,0.09060099999999999,0.292,0.08526399999999999,CF,0.5245901639344263,15,225,1269212,8200000,0.023,8200000,20.3,412.09000000000003,0,0,8200000,108000000,8200000,32,0.8654487179487182,0.7490014833990801,2,14.053906793421143,15.919644712234481,15.919644712234481
SF,6.0,2020,2026,1,0,157,24649,43,1849,0.274,0.07507600000000002,0,5,3,4,16,25,25,San Francisco Giants,California,329221,4,16,54,60,46,2116,Mauricio Dubon,209861,23,160,26,0.726,0.527076,0.9,0.767,0.5882890000000001,0.337,0.11356900000000002,0.389,0.151321,2B,0.4833333333333333,19,361,209861,566625,0.003,566625,45.5,2070.25,1,1,566625,18250000,566625,29,1.03,1.0609,8,12.254200685782031,13.24745298824315,13.24745298824315
SEA,6.0,2020,2026,1,0,141,19881,43,1849,0.305,0.093025,0,1,4,9,81,25,25,Seattle Mariners,Washington,560097,4,16,43,61,35,1225,Ty France,90915,0,205,4,0.836,0.698896,0.717,0.583,0.33988899999999994,0.368,0.135424,0.468,0.21902400000000002,3B,0.4426229508196721,23,529,90915,567100,0.002,567100,63.06,3976.5636000000004,1,1,567100,6550000,567100,27,0.51,0.2601,0,11.417680283053494,13.248290934002119,13.248290934002119
CIN,6.2,2020,2025,10,6,186,34596,42,1764,0.226,0.051076,0,2,4,8,64,36,30,Cincinnati Reds,Ohio,167542838,11,121,54,59,54,2916,Joey Votto,9259259,10,220,16,0.8,0.6400000000000001,0.9,0.9,0.81,0.354,0.12531599999999998,0.446,0.198916,1B,0.5254237288135594,22,484,9259259,25000000,0.167,25000000,21.16,447.7456,0,0,22500000,144825000,225000000,31,0.8654487179487182,0.7490014833990801,5,16.04113458182219,17.034386382832476,17.034386382832476
HOU,5.6,2020,2025,7,3,192,36864,42,1764,0.219,0.047961,3000000,2,3,9,81,30,27,Houston Astros,Texas,56945289,5,25,48,60,48,2304,Jose Altuve,9703704,3,166,14,0.629,0.395641,0.8,0.8,0.6400000000000001,0.286,0.08179599999999998,0.344,0.11833599999999998,2B,0.4833333333333333,18,324,12703704,26000000,0.153,29000000,4.65,21.622500000000002,0,0,23357143,15650000,163500000,29,0.8654487179487182,0.7490014833990801,1,16.357404162449498,17.073607095985757,17.182806387950748
BAL,6.4,2020,0,1,1,126,15876,42,1764,0.333,0.11088900000000002,0,1,2,5,25,23,22,Baltimore Orioles,Maryland,1418370,5,25,35,62,34,1156,Ryan Mountcastle,118370,7,230,14,0.878,0.770884,0.583,0.567,0.32148899999999997,0.386,0.14899600000000002,0.492,0.242064,SS,0.4354838709677419,23,529,118370,563500,0.005,563500,0.0,0.0,0,0,563500,3800000,563500,27,0.82,0.6723999999999999,3,11.68157059094794,13.241922612461968,13.241922612461968
SD,6.4,2020,2026,8,2,143,20449,41,1681,0.287,0.08236899999999998,1000000,5,2,6,36,30,28,San Diego Padres,California,89752157,9,81,40,61,37,1369,Eric Hosmer,7407407,2,226,6,0.851,0.724201,0.667,0.617,0.380689,0.333,0.11088900000000002,0.517,0.267289,1B,0.6229508196721312,36,1296,8407407,20000000,0.115,21000000,60.04,3604.8016,0,0,18000000,43000000,144000000,38,1.24,1.5376,0,15.944623660983197,16.811242831518264,16.860032995687696
PIT,6.3,2020,2023,1,0,181,32761,41,1681,0.227,0.051529000000000005,0,2,3,13,169,28,28,Pittsburgh Pirates,Pennsylvania,1905663,3,9,50,59,47,2209,Erik Gonzalez,268519,9,205,17,0.614,0.376996,0.833,0.783,0.613089,0.255,0.065025,0.359,0.128881,2B,0.3220338983050847,20,400,268519,725000,0.011,725000,20.28,411.27840000000003,1,1,725000,3900000,725000,19,0.07,0.004900000000000001,5,12.50067695392837,13.493926933836812,13.493926933836812
MIL,6.3,2020,2030,7,0,200,40000,41,1681,0.205,0.04202499999999999,0,1,9,7,49,28,28,Milwaukee Brewers,Wisconsin,28835613,12,144,58,60,58,3364,Christian Yelich,4629630,1,195,7,0.786,0.617796,0.967,0.967,0.935089,0.356,0.126736,0.43,0.18489999999999998,LF,0.4833333333333333,22,484,4629630,12500000,0.112,12500000,23.46,550.3716000000001,1,1,26928571,49875000,188500000,29,0.47,0.22089999999999999,0,15.347987509262243,16.34123920227253,16.34123920227253
OAK,6.5,2020,2024,1,1,210,44100,41,1681,0.195,0.038025,0,5,2,4,16,26,25,Oakland Athletics,California,2720715,14,196,60,60,59,3481,Matt Olson,223519,15,225,29,0.734,0.538756,1.0,0.983,0.966289,0.31,0.0961,0.424,0.179776,1B,0.6,42,1764,223519,603500,0.006,603500,73.85,5453.822499999999,1,1,603500,7500000,603500,36,1.09,1.1881000000000002,9,12.317251700608196,13.310501319519723,13.310501319519723
BAL,6.2,2020,2025,1,1,185,34225,41,1681,0.222,0.049284,0,1,2,11,121,26,25,Baltimore Orioles,Maryland,2992910,9,81,54,62,50,2500,Rio Ruiz,212222,7,220,14,0.713,0.508369,0.9,0.833,0.693889,0.286,0.08179599999999998,0.427,0.182329,3B,0.4354838709677419,32,1024,212222,573000,0.009,573000,53.45,2856.9025,0,0,573000,3800000,573000,27,0.75,0.5625,3,12.265388175565626,13.258640995696876,13.258640995696876
OAK,6.0,2020,2021,1,0,166,27556,40,1600,0.241,0.058080999999999994,0,5,2,12,144,30,30,Oakland Athletics,California,8170037,8,64,51,60,46,2116,Robbie Grossman,1379630,15,216,29,0.826,0.6822759999999999,0.85,0.767,0.5882890000000001,0.344,0.11833599999999998,0.482,0.23232399999999997,OF,0.6,23,529,1379630,3725000,0.038,3725000,78.69,6192.116099999999,2,4,3725000,7500000,3725000,36,1.14,1.2995999999999999,9,14.137325905241854,15.130577409795796,15.130577409795796
BAL,6.1,2020,2024,1,0,160,25600,40,1600,0.25,0.0625,0,1,2,5,25,26,26,Baltimore Orioles,Maryland,1596604,5,25,48,62,42,1764,Pedro Severino,213333,7,235,14,0.71,0.5041,0.8,0.7,0.48999999999999994,0.322,0.10368400000000001,0.388,0.150544,C,0.4354838709677419,21,441,213333,576000,0.009,576000,48.2,2323.2400000000002,1,1,576000,3800000,576000,27,0.86,0.7395999999999999,3,12.270609604166523,13.263862939678027,13.263862939678027
BAL,6.2,2020,2025,1,0,153,23409,40,1600,0.261,0.068121,0,1,2,13,169,25,25,Baltimore Orioles,Maryland,1610391,11,121,37,62,37,1369,Anthony Santander,212037,7,225,14,0.89,0.7921,0.617,0.617,0.380689,0.315,0.09922500000000001,0.575,0.33062499999999995,LF,0.4354838709677419,32,1024,212037,572500,0.009,572500,94.05,8845.4025,1,1,572500,3800000,572500,27,1.6,2.5600000000000005,3,12.264516066727744,13.257768014410532,13.257768014410532
ATL,6.0,2020,2029,8,1,160,25600,40,1600,0.25,0.0625,0,1,7,11,121,22,21,Atlanta Braves,Georgia,1936240,14,196,46,60,46,2116,Ronald Acuna Jr.,370370,18,205,26,0.987,0.974169,0.767,0.767,0.5882890000000001,0.406,0.164836,0.581,0.33756099999999994,RF,0.5833333333333334,29,841,370370,1000000,0.006,1000000,98.62,9725.904400000001,0,0,12500000,95750000,100000000,35,2.29,5.2441,3,12.822257784953491,13.815510557964274,13.815510557964274
CHC,6.5,2020,2024,8,4,147,21609,39,1521,0.265,0.07022500000000001,2500000,2,4,6,36,30,26,Chicago Cubs,Illinois,105889278,6,36,50,58,49,2401,Jason Heyward,7777778,17,240,21,0.848,0.719104,0.833,0.817,0.6674889999999999,0.392,0.15366400000000002,0.456,0.207936,RF,0.5517241379310345,22,484,7777778,21000000,0.09,23500000,44.57,1986.4849,2,4,23000000,2650000,184000000,32,1.52,2.3104,3,15.866781251248842,16.860032995687696,16.972510979114386
MIN,6.4,2020,2025,5,2,171,29241,39,1521,0.228,0.051984,0,1,7,9,81,27,25,Minnesota Twins,Minnesota,10674086,9,81,48,60,46,2116,Max Kepler,2314815,6,220,17,0.76,0.5776,0.8,0.767,0.5882890000000001,0.321,0.10304100000000001,0.439,0.192721,RF,0.6,23,529,2314815,6250000,0.042,6250000,59.79,3574.8441,0,0,7000000,134000000,35000000,36,1.03,1.0609,3,14.654840328702297,15.648092021712584,15.648092021712584
