Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,At-bats,At-bats_2,Bateos,Bateos_2,Bateos_promedio,Bateos_promedio_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Dobles,Dobles_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_iniciados,Juegos_iniciados_2,Jugador,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_On-base-plus-slugging,Porcentaje_On-base-plus-slugging_2,Porcentaje_juegos,Porcentaje_juegos_iniciados,Porcentaje_juegos_iniciados_2,Porcentaje_on-base,Porcentaje_on-base_2,Porcentaje_slugging,Porcentaje_slugging_2,Posicion,Promedio_victorias,Runs-batted-in,Runs-batted-in_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Triples,Triples_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
LAD,6.4,2020,2022,1,1,212,44944,65,4225,0.307,0.094249,0,5,4,12,144,26,25,Los Angeles Dodgers,California,10940784,15,225,52,59,52,2704,Corey Seager,2814815,25,215,34,0.943,0.889249,0.867,0.867,0.7516889999999999,0.358,0.128164,0.585,0.34222499999999995,SS,0.711864406779661,41,1681,2814815,7600000,0.023,7600000,94.68,8964.3024,1,1,7600000,15813500,7600000,42,2.08,4.3264000000000005,7,14.850407098035747,15.84365880525656,15.84365880525656
LAD,5.9,2020,0,1,0,219,47961,64,4096,0.292,0.08526399999999999,0,5,4,9,81,27,27,Los Angeles Dodgers,California,60634598,16,256,55,59,53,2809,Mookie Betts,27000000,25,180,34,0.927,0.8593290000000001,0.917,0.883,0.779689,0.366,0.133956,0.562,0.31584400000000007,RF,0.711864406779661,39,1521,27000000,27000000,0.216,27000000,91.25,8326.5625,1,1,27000000,15813500,27000000,42,3.58,12.8164,7,17.111347423968603,17.111347423968603,17.111347423968603
TOR,6.4,2020,2025,7,3,208,43264,64,4096,0.308,0.094864,428571,1,3,14,196,26,23,Toronto Blue Jays,Toronto,3425926,11,121,57,61,52,2704,Lourdes Gurriel Jr.,925926,2,215,8,0.882,0.7779240000000001,0.95,0.867,0.7516889999999999,0.348,0.12110399999999999,0.534,0.285156,LF,0.5245901639344263,33,1089,1354497,2500000,0.025,2928571,79.49,6318.660099999999,0,0,3142857,108000000,22000000,32,1.12,1.2544000000000002,2,14.11894072566541,14.73180128983843,14.89002514871185
CHW,6.4,2020,2027,6,1,213,45369,63,3969,0.296,0.08761599999999999,833333,2,5,14,196,23,22,Chicago White Sox,Illinois,9355556,14,196,55,60,55,3025,Eloy Jimenez,555556,6,235,10,0.891,0.7938810000000001,0.917,0.917,0.8408890000000001,0.332,0.11022400000000002,0.559,0.31248100000000006,DH,0.5833333333333334,41,1681,1388889,1500000,0.026,2333333,78.09,6098.048100000001,0,0,7166667,151500000,43000000,35,1.36,1.8496000000000004,3,14.144014704936307,14.22097566607244,14.662808275494324
BOS,6.0,2020,2025,1,1,201,40401,62,3844,0.309,0.095481,0,1,8,16,256,24,23,Boston Red Sox,Massachusetts,1925701,6,36,53,60,50,2500,Alex Verdugo,222778,14,192,24,0.844,0.712336,0.883,0.833,0.693889,0.367,0.134689,0.478,0.228484,RF,0.4,15,225,222778,601500,0.003,601500,89.42,7995.9364000000005,0,0,601500,19100000,601500,24,2.11,4.4521,9,12.313931038892324,13.30718181439687,13.30718181439687
SD,6.3,2020,2025,1,1,224,50176,62,3844,0.277,0.07672900000000002,0,5,2,11,121,21,20,San Diego Padres,California,1474185,17,289,59,61,59,3481,Fernando Tatis Jr.,219185,2,217,6,0.937,0.8779690000000001,0.983,0.983,0.966289,0.366,0.133956,0.571,0.32604099999999997,SS,0.6229508196721312,45,2025,219185,591800,0.003,591800,99.52,9904.230399999999,2,4,591800,43000000,591800,38,2.77,7.6729,0,12.29767140105758,13.290924018948246,13.290924018948246
BOS,6.2,2020,2027,6,1,203,41209,61,3721,0.301,0.09060099999999999,0,1,8,8,64,27,26,Boston Red Sox,Massachusetts,33190366,11,121,56,60,53,2809,Xander Bogaerts,7407407,14,218,24,0.867,0.7516889999999999,0.933,0.883,0.779689,0.364,0.132496,0.502,0.252004,SS,0.4,28,784,7407407,20000000,0.088,20000000,63.74,4062.7876,0,0,20000000,19100000,120000000,24,1.55,2.4025000000000003,9,15.81799100350798,16.811242831518264,16.811242831518264
ARI,6.1,2020,2023,3,0,203,41209,61,3721,0.301,0.09060099999999999,0,1,4,10,100,32,32,Arizona Diamondbacks,Arizona,15041393,5,25,54,60,53,2809,David Peralta,2592593,1,210,6,0.773,0.597529,0.9,0.883,0.779689,0.339,0.11492100000000001,0.433,0.187489,RF,0.4166666666666667,34,1156,2592593,7000000,0.04,7000000,41.32,1707.3424,1,1,7333333,24650000,22000000,25,0.68,0.4624000000000001,1,14.76816909115215,15.761420707019587,15.761420707019587
BOS,6.0,2020,2024,1,0,232,53824,61,3721,0.263,0.06916900000000001,0,1,8,16,256,23,23,Boston Red Sox,Massachusetts,3470481,11,121,57,60,55,3025,Rafael Devers,256481,14,240,24,0.793,0.6288490000000001,0.95,0.917,0.8408890000000001,0.311,0.096721,0.483,0.233289,3B,0.4,43,1849,256481,692500,0.003,692500,69.48,4827.4704,1,1,692500,19100000,692500,24,0.69,0.4760999999999999,9,12.454809866775268,13.44806351704363,13.44806351704363
TOR,6.2,2020,2024,5,1,216,46656,59,3481,0.273,0.07452900000000001,1000000,1,3,9,81,28,27,Toronto Blue Jays,Toronto,22222658,12,144,55,61,54,2916,Randal Grichuk,4444444,2,216,8,0.793,0.6288490000000001,0.917,0.9,0.81,0.312,0.097344,0.481,0.23136099999999998,CF,0.5245901639344263,35,1225,5444444,12000000,0.099,13000000,45.09,2033.1081000000004,0,0,10400000,108000000,52000000,32,0.39,0.1521,2,15.510106197106024,16.300417207752275,16.38045991542581
ARI,6.0,2020,0,1,1,218,47524,59,3481,0.271,0.073441,0,1,4,18,324,29,28,Arizona Diamondbacks,Arizona,1088510,7,49,57,60,56,3136,Christian Walker,218333,1,220,6,0.792,0.627264,0.95,0.933,0.8704890000000001,0.333,0.11088900000000002,0.459,0.210681,1B,0.4166666666666667,34,1156,218333,589500,0.003,589500,68.57,4701.844899999999,1,1,589500,24650000,589500,25,0.77,0.5929,1,12.293776699230557,13.287029998959563,13.287029998959563
NYY,6.3,2020,2025,1,1,213,45369,59,3481,0.277,0.07672900000000002,0,2,2,5,25,29,28,New York Yankees,New York,1296674,22,484,56,60,55,3025,Luke Voit,234815,40,255,56,0.948,0.898704,0.933,0.917,0.8408890000000001,0.338,0.11424400000000001,0.61,0.3721,1B,0.55,52,2704,234815,634000,0.002,634000,96.57,9325.764899999998,0,0,634000,336500000,634000,33,1.67,2.7889,27,12.366553249052302,13.359804233419363,13.359804233419363
