Acronimo,Altura,Anio,Anio_de_agente_libre,Anio_inicio_de_contrato,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
LAD,6.1,2022,2024,2020,3,464,215296,91,8281,1500000,9,31,29,Los Angeles Dodgers,25549043,21,441,136,162,18496,Max Muncy,0.713,0.508369,25,215,36,0.196,0.038416000000000006,0.84,0.7055999999999999,DH,0.6851851851851852,69,4761,13000000,11500000,13000000,66.38,4406.304399999999,267800000,26000000,111,2.79,7.7841000000000005,7,16.38045991542581,16.25785759333348,16.38045991542581
DET,6.5,2022,2024,2016,8,397,157609,101,10201,0,4,39,32,Detroit Tigers,353188684,5,25,112,162,12544,Miguel Cabrera,0.622,0.386884,11,249,16,0.254,0.064516,0.691,0.47748099999999993,DH,0.4074074074074074,43,1849,32000000,32000000,32000000,0.28,0.07840000000000001,235500000,248000000,66,-1.07,1.1449,4,17.281246460764002,17.281246460764002,17.281246460764002
PHI,6.1,2022,2032,2019,13,370,136900,106,11236,1538462,7,29,26,Philadelphia Phillies,144629629,18,324,99,162,9801,Bryce Harper,0.877,0.769129,8,220,15,0.287,0.08236899999999998,0.611,0.37332099999999996,DH,0.5370370370370371,65,4225,27638462,26000000,27638462,76.23,5811.012900000001,204150000,330000000,87,2.49,6.200100000000001,2,17.134718911321347,17.073607095985757,17.134718911321347
COL,6.2,2022,2024,2018,6,530,280900,140,19600,333333,5,36,31,Colorado Rockies,111545937,16,256,135,162,18225,Charlie Blackmon,0.733,0.537289,1,221,5,0.264,0.06969600000000001,0.833,0.693889,DH,0.419753086419753,78,6084,21333333,21000000,21333333,18.31,335.25609999999995,195350000,108000000,68,-0.2,0.04000000000000001,0,16.875781337030837,16.860032995687696,16.875781337030837
COL,6.2,2022,2024,2019,5,506,256036,131,17161,1000000,5,30,27,Colorado Rockies,40889324,19,361,141,162,19881,Randal Grichuk,0.724,0.524176,1,216,5,0.259,0.067081,0.87,0.7569,RF,0.419753086419753,73,5329,10333333,9333333,10333333,26.48,701.1904000000001,195350000,52000000,68,0.25,0.0625,0,16.150885441523247,16.049102743757082,16.150885441523247
BOS,5.9,2022,2027,2019,6,557,310249,171,29241,0,6,29,26,Boston Red Sox,73190366,15,225,150,162,22500,Xander Bogaerts,0.833,0.693889,14,218,25,0.307,0.094249,0.926,0.8574760000000001,SS,0.4814814814814814,73,5329,20000000,20000000,20000000,76.3,5821.69,173000000,120000000,78,5.42,29.3764,9,16.811242831518264,16.811242831518264,16.811242831518264
BOS,6.4,2022,2023,2018,5,533,284089,146,21316,0,6,34,30,Boston Red Sox,118421096,16,256,139,162,19321,J.D. Martinez,0.79,0.6241000000000001,14,230,25,0.274,0.07507600000000002,0.858,0.7361639999999999,DH,0.4814814814814814,62,3844,19350000,19350000,19350000,25.65,657.9224999999999,173000000,110000000,78,0.84,0.7055999999999999,9,16.778202977440063,16.778202977440063,16.778202977440063
TOR,6.0,2022,2025,2017,7,453,205209,132,17424,428571,6,28,23,Toronto Blue Jays,11425926,5,25,121,162,14641,Lourdes Gurriel Jr.,0.743,0.552049,2,215,9,0.291,0.08468099999999999,0.747,0.558009,LF,0.5679012345679012,52,2704,4928571,4500000,4928571,51.83,2686.3489,157000000,22000000,92,2.07,4.2848999999999995,2,15.41055964598975,15.319587954740548,15.41055964598975
TOR,6.1,2022,2025,2019,4,504,254016,126,15876,0,6,33,29,Toronto Blue Jays,18792486,11,121,139,162,19321,Whit Merrifield,0.673,0.4529290000000001,2,195,9,0.25,0.0625,0.858,0.7361639999999999,2B,0.5679012345679012,58,3364,2461568,7000000,7000000,27.79,772.2841,157000000,16250000,92,-0.17,0.028900000000000006,2,14.716309103230465,15.761420707019587,15.761420707019587
SF,6.3,2022,0,2020,2,525,275625,120,14400,0,7,30,28,San Francisco Giants,19725803,19,361,151,162,22801,Wilmer Flores,0.71,0.5041,23,205,27,0.229,0.052441,0.932,0.8686240000000001,DH,0.5,71,5041,3500000,3500000,3500000,46.22,2136.2884,140700000,6250000,81,0.96,0.9216,8,15.068273526459642,15.068273526459642,15.068273526459642
SF,6.1,2022,2024,2016,6,266,70756,65,4225,0,7,36,30,San Francisco Giants,140852890,14,196,89,162,7921,Evan Longoria,0.767,0.5882890000000001,23,215,27,0.244,0.059536,0.549,0.30140100000000003,3B,0.5,42,1764,14500000,19500000,19500000,0.0,0.0,140700000,100000000,81,0.73,0.5328999999999999,8,16.489659207390805,16.785925023533974,16.785925023533974
LAA,6.2,2022,2031,2019,12,438,191844,124,15376,1666667,9,30,27,Los Angeles Angels,196840125,40,1600,119,162,14161,Mike Trout,0.999,0.998001,1,235,10,0.283,0.08008899999999998,0.735,0.540225,CF,0.4506172839506173,80,6400,37216667,35450000,37216667,89.0,7921.0,123750000,426500000,73,6.04,36.4816,1,17.432267256538893,17.38363381094241,17.432267256538893
LAA,0.0,2022,2027,2020,7,166,27556,38,1444,571428,9,32,29,Los Angeles Angels,127244444,5,25,47,162,2209,Anthony Rendon,0.706,0.49843599999999993,1,200,10,0.229,0.052441,0.29,0.0841,3B,0.4506172839506173,24,576,36571428,36000000,36571428,0.0,0.0,123750000,245000000,73,0.85,0.7224999999999999,1,17.414777837763523,17.399029496420383,17.414777837763523
MIN,6.1,2022,2025,2019,5,388,150544,88,7744,0,4,29,25,Minnesota Twins,23924086,9,81,115,162,13225,Max Kepler,0.666,0.44355600000000006,6,220,17,0.227,0.051529000000000005,0.71,0.5041,RF,0.4814814814814814,43,1849,6750000,6750000,6750000,35.91,1289.5280999999998,116550000,35000000,78,2.05,4.2025,3,15.725053062848712,15.725053062848712,15.725053062848712
MIN,,2022,2024,2020,3,120,14400,10,100,0,4,29,26,Minnesota Twins,31757744,2,4,40,162,1600,Miguel Sano,0.345,0.11902499999999998,6,272,17,0.083,0.006889000000000001,0.124,0.015375999999999999,1B,0.4814814814814814,6,36,9250000,9250000,9250000,0.0,0.0,116550000,30000000,78,-1.58,2.4964000000000004,3,16.04013410948861,16.04013410948861,16.04013410948861
CHC,6.0,2022,2027,2020,5,116,13456,30,900,10000,11,29,26,Chicago Cubs,4856352,4,16,41,162,1681,David Bote,0.746,0.556516,17,205,21,0.259,0.067081,0.253,0.064009,2B,0.4567901234567901,12,144,2510000,2500000,2510000,0.0,0.0,109707000,15000000,74,0.56,0.31360000000000005,3,14.735793311107967,14.73180128983843,14.735793311107967
CHC,6.1,2022,2024,2016,8,137,18769,28,784,2500000,11,32,26,Chicago Cubs,148889278,1,1,48,162,2304,Jason Heyward,0.556,0.3091360000000001,17,240,21,0.204,0.04161599999999999,0.296,0.08761599999999999,RF,0.4567901234567901,10,100,24500000,22000000,24500000,0.0,0.0,109707000,184000000,74,-0.65,0.42250000000000004,3,17.014183675514957,16.90655301132259,17.014183675514957
HOU,6.0,2022,2025,2018,7,527,277729,158,24964,3000000,3,32,27,Houston Astros,108945289,28,784,141,162,19881,Jose Altuve,0.921,0.848241,5,166,16,0.3,0.09,0.87,0.7569,2B,0.654320987654321,57,3249,29000000,26000000,29000000,91.24,8324.737599999999,69100000,163500000,106,4.95,24.5025,2,17.182806387950748,17.073607095985757,17.182806387950748
HOU,6.0,2022,2025,2019,5,548,300304,142,20164,1666667,3,28,24,Houston Astros,43947084,23,529,155,162,24025,Alex Bregman,0.821,0.6740409999999999,5,192,16,0.259,0.067081,0.957,0.9158489999999999,3B,0.654320987654321,93,8649,12666666,11000000,12666666,77.41,5992.308099999999,69100000,100000000,106,4.5,20.25,2,16.35448437639097,16.213405830762646,16.35448437639097
HOU,5.9,2022,2024,2020,3,508,258064,132,17424,0,3,27,30,Houston Astros,44322101,24,576,137,162,18769,Will Smith,0.807,0.6512490000000001,5,195,16,0.26,0.06760000000000001,0.846,0.7157159999999999,C,0.654320987654321,87,7569,4642857,13000000,13000000,93.38,8719.8244,69100000,40000000,106,4.2,17.64,2,15.350840467475422,16.38045991542581,16.38045991542581
HOU,0.0,2022,2023,2018,3,398,158404,109,11881,0,3,31,27,Houston Astros,20797346,9,81,119,162,14161,Christian Vazquez,0.714,0.5097959999999999,5,205,16,0.274,0.07507600000000002,0.735,0.540225,C,0.654320987654321,52,2704,2461568,7000000,7000000,36.48,1330.7903999999999,69100000,13350000,106,2.31,5.3361,2,14.716309103230465,15.761420707019587,15.761420707019587
CHW,6.3,2022,2023,2020,3,601,361201,183,33489,1666668,5,35,32,Chicago White Sox,113044074,15,225,157,162,24649,Jose Abreu,0.824,0.6789759999999999,6,235,11,0.305,0.093025,0.969,0.9389609999999999,1B,0.5,75,5625,19666668,18000000,19666668,69.31,4803.8761,63000000,50000000,81,4.19,17.556100000000004,3,16.79443578099849,16.70588231586044,16.79443578099849
CHW,5.9,2022,2023,2019,5,489,239121,120,14400,3000000,5,34,31,Chicago White Sox,71498337,14,196,138,162,19044,A.J. Pollock,0.681,0.4637610000000001,6,210,11,0.245,0.060024999999999995,0.852,0.725904,LF,0.5,56,3136,14500000,11500000,14500000,16.52,272.9104,63000000,60000000,81,0.86,0.7395999999999999,3,16.489659207390805,16.25785759333348,16.489659207390805
CHW,0.0,2022,2028,2020,6,380,144400,108,11664,0,5,24,22,Chicago White Sox,36055556,12,144,98,162,9604,Luis Robert,0.746,0.556516,6,220,11,0.284,0.08065599999999999,0.605,0.366025,CF,0.5,56,3136,6000000,6000000,6000000,58.06,3370.9636,63000000,50000000,81,2.24,5.017600000000001,3,15.60727002719233,15.60727002719233,15.60727002719233
CHW,6.1,2022,2025,2017,6,332,110224,100,10000,0,5,29,23,Chicago White Sox,23913301,6,36,79,162,6241,Tim Anderson,0.734,0.538756,6,185,11,0.301,0.09060099999999999,0.488,0.238144,SS,0.5,25,625,9500000,9500000,9500000,0.0,0.0,63000000,25000000,81,1.31,1.7161000000000002,3,16.06680235657077,16.06680235657077,16.06680235657077
CHW,6.0,2022,2027,2019,6,292,85264,86,7396,833333,5,25,22,Chicago White Sox,19355556,16,256,84,162,7056,Eloy Jimenez,0.858,0.7361639999999999,6,235,11,0.295,0.08702499999999999,0.519,0.269361,LF,0.5,54,2916,7333333,6500000,7333333,0.0,0.0,63000000,43000000,81,1.7,2.8899999999999997,3,15.807940677199934,15.687312734865866,15.807940677199934
CHW,5.8,2022,2026,2020,5,397,157609,84,7056,800000,5,27,24,Chicago White Sox,55300012,12,144,104,162,10816,Yoan Moncada,0.626,0.391876,6,225,11,0.212,0.044944,0.642,0.41216400000000003,3B,0.5,51,2601,13800000,13000000,13800000,15.63,244.29690000000002,63000000,70000000,81,0.94,0.8835999999999999,3,16.440179150127435,16.38045991542581,16.440179150127435
CHW,6.4,2022,2024,2020,4,327,106929,66,4356,0,5,33,31,Chicago White Sox,83968259,5,25,99,162,9801,Yasmani Grandal,0.57,0.32489999999999997,6,225,11,0.202,0.04080400000000001,0.611,0.37332099999999996,C,0.5,27,729,18250000,18250000,18250000,0.93,0.8649000000000001,63000000,73000000,81,-1.45,2.1025,3,16.719675637992776,16.719675637992776,16.719675637992776
ATL,6.3,2022,2029,2019,8,467,218089,124,15376,0,6,24,21,Atlanta Braves,21936240,15,225,119,162,14161,Ronald Acuna Jr.,0.765,0.585225,18,205,28,0.266,0.07075600000000001,0.735,0.540225,RF,0.6234567901234568,50,2500,15000000,15000000,15000000,76.03,5780.5609,61250000,100000000,101,2.53,6.400899999999999,4,16.523560759066484,16.523560759066484,16.523560759066484
ATL,6.0,2022,2028,2019,7,247,61009,61,3721,0,6,25,21,Atlanta Braves,10456596,8,64,64,162,4096,Ozzie Albies,0.703,0.49420899999999995,18,165,28,0.247,0.061009,0.395,0.15602500000000002,2B,0.6234567901234568,35,1225,5000000,5000000,5000000,0.0,0.0,61250000,35000000,101,0.84,0.7055999999999999,4,15.424948470398375,15.424948470398375,15.424948470398375
STL,6.3,2022,2025,2020,5,561,314721,178,31684,4000000,4,34,32,St. Louis Cardinals,110439148,35,1225,151,162,22801,Paul Goldschmidt,0.981,0.962361,23,220,32,0.317,0.10048900000000001,0.932,0.8686240000000001,1B,0.5740740740740741,115,13225,26300000,22000000,26300000,98.82,9765.392399999999,52700000,130000000,93,7.86,61.7796,11,17.085079497147994,16.90655301132259,17.085079497147994
STL,6.4,2022,2028,2019,8,557,310249,163,26569,0,4,31,27,St. Louis Cardinals,121238340,30,900,148,162,21904,Nolan Arenado,0.891,0.7938810000000001,23,215,32,0.293,0.085849,0.914,0.835396,3B,0.5740740740740741,103,10609,23429500,35000000,35075000,85.9,7378.810000000001,52700000,260000000,93,7.87,61.9369,11,16.96950647009409,17.37085861945369,17.3729991839528
STL,6.0,2022,2026,2018,6,210,44100,33,1089,166666,4,28,24,St. Louis Cardinals,14790556,6,36,77,162,5929,Paul DeJong,0.53,0.28090000000000004,23,205,32,0.157,0.024649,0.475,0.225625,SS,0.5740740740740741,25,625,6166666,6000000,6166666,0.0,0.0,52700000,26000000,93,0.33,0.10890000000000001,11,15.63466889327233,15.60727002719233,15.63466889327233
NYY,6.0,2022,2025,2020,4,478,228484,106,11236,0,4,36,34,New York Yankees,131667798,15,225,132,162,17424,Josh Donaldson,0.682,0.4651240000000001,40,210,58,0.222,0.049284,0.815,0.664225,DH,0.6111111111111112,62,3844,23000000,21000000,23000000,24.58,604.1764,37400000,92000000,99,2.62,6.864400000000001,27,16.951004773893423,16.860032995687696,16.951004773893423
NYY,6.2,2022,2029,2015,13,398,158404,84,7056,0,4,32,25,New York Yankees,137345578,31,961,110,162,12100,Giancarlo Stanton,0.759,0.5760810000000001,40,245,58,0.211,0.044521,0.679,0.4610410000000001,RF,0.6111111111111112,78,6084,29000000,29000000,29000000,18.99,360.6200999999999,37400000,325000000,99,0.6,0.36,27,17.182806387950748,17.182806387950748,17.182806387950748
NYY,6.3,2022,2027,2019,7,384,147456,83,6889,285714,4,32,29,New York Yankees,40446435,8,64,130,162,16900,Aaron Hicks,0.642,0.41216400000000003,40,205,58,0.216,0.046655999999999996,0.803,0.6448090000000001,CF,0.6111111111111112,40,1600,10785714,10500000,10785714,28.34,803.1555999999999,37400000,70000000,99,2.1,4.41,27,16.193733038673873,16.166885815127753,16.193733038673873
SD,6.2,2022,2029,2019,10,578,334084,172,29584,2000000,3,29,26,San Diego Padres,140560896,32,1024,150,162,22500,Manny Machado,0.898,0.806404,2,218,7,0.298,0.088804,0.926,0.8574760000000001,3B,0.5493827160493827,102,10404,32000000,30000000,32000000,88.62,7853.504400000001,32500000,300000000,89,6.55,42.902499999999996,0,17.281246460764002,17.216707939626428,17.281246460764002
SD,6.3,2022,2024,2017,6,261,68121,68,4624,2500000,3,31,26,San Diego Padres,74233776,7,49,77,162,5929,Wil Myers,0.713,0.508369,2,207,7,0.261,0.068121,0.475,0.225625,RF,0.5493827160493827,41,1681,22500000,20000000,22500000,0.0,0.0,32500000,83000000,89,0.9,0.81,0,16.929025867174648,16.811242831518264,16.929025867174648
ARI,,2022,2024,2020,4,52,2704,12,144,375000,3,32,29,Arizona Diamondbacks,26323695,3,9,17,162,289,Nick Ahmed,0.702,0.49280399999999996,1,201,6,0.231,0.053361000000000006,0.105,0.011024999999999998,SS,0.4567901234567901,7,49,8125000,7750000,8125000,0.0,0.0,23250000,32500000,74,-0.06,0.0036,1,15.910456286180075,15.86320340132953,15.910456286180075
TB,6.0,2022,2023,2020,3,439,192721,110,12100,0,4,34,32,Tampa Bay Rays,30691393,12,144,134,162,17956,David Peralta,0.731,0.534361,2,210,8,0.251,0.063001,0.827,0.6839289999999999,LF,0.5308641975308642,59,3481,3095055,8000000,8150000,30.29,917.4840999999999,18900000,22000000,86,0.94,0.8835999999999999,0,14.945316234540677,15.89495209964411,15.913528485217045
TB,6.4,2022,2024,2017,6,206,42436,47,2209,166668,4,32,26,Tampa Bay Rays,48662095,7,49,63,162,3969,Kevin Kiermaier,0.649,0.42120100000000005,2,210,8,0.228,0.051984,0.389,0.151321,CF,0.5308641975308642,22,484,12166668,12000000,12166668,0.0,0.0,18900000,53500000,86,1.1,1.2100000000000002,0,16.314210639473647,16.300417207752275,16.314210639473647
CIN,6.0,2022,2025,2014,10,322,103684,66,4356,0,4,38,30,Cincinnati Reds,217542838,11,121,91,162,8281,Joey Votto,0.689,0.47472099999999995,10,220,16,0.205,0.04202499999999999,0.562,0.31584400000000007,1B,0.382716049382716,41,1681,25000000,25000000,25000000,0.0,0.0,14825000,225000000,62,-0.27,0.0729,5,17.034386382832476,17.034386382832476,17.034386382832476
CIN,6.1,2022,2025,2020,4,252,63504,54,2916,0,4,33,31,Cincinnati Reds,76006308,7,49,78,162,6084,Mike Moustakas,0.64,0.4096,10,225,16,0.214,0.045795999999999996,0.482,0.23232399999999997,DH,0.382716049382716,25,625,16000000,16000000,16000000,0.0,0.0,14825000,64000000,62,-0.99,0.9801,5,16.588099280204055,16.588099280204055,16.588099280204055
