Jugador,Y,X
A.J. Burnett,-471.0401653292447,0.6333713676593468
A.J. Pierzynski,-2515.7318526249082,0.731269589289021
A.J. Pierzynski,1218.5682245967605,-0.699236550944064
A.J. Pierzynski,199.17533186708147,-0.5233840034595245
Aaron Harang,509.2721112278273,-0.62919432566738
Adam LaRoche,293.4260406054036,0.6825396825396826
Adam Rosales,249.00602588601998,-0.5384072800259824
Adam Wainwright,313.0414009423589,-0.654264343483113
Adeiny Hechavarria,-6.284269277225235,0.7761987323164664
Albert Pujols,-3004.214745301728,0.704165741445523
Alex Avila,-878.5896919486229,0.7598853483087152
Alex Avila,590.1702085044051,0.7112670960473303
Alex Avila,-193.08658855079375,0.6343228113692201
Alex Avila,32.32967286298435,0.6680590795417206
Alex Gordon,-1634.3004321576911,0.6584277920880522
Alex Wood,200.76014665858588,0.8437205738748231
Andrew Cashner,-123.8593098950214,0.6268025051048749
Andrew Miller,283.49713145240594,-0.6776918635904803
Anibal Sanchez,2217.053851021161,0.7157388081497772
Anibal Sanchez,-2160.8432529420725,0.7576767609436587
Asdrubal Cabrera,-2284.9546313113533,0.7267939630472261
Asdrubal Cabrera,909.6908718285599,0.738095238095238
Asdrubal Cabrera,123.65821581419641,-0.6245377905883668
Asdrubal Cabrera,-347.1882821226543,-0.5391705069124423
Austin Jackson,-1609.215585221104,0.6343228113692201
Austin Romine,-663.2113116552121,-0.5325605756038618
Avisail Garcia,571.2016318740575,0.758931998689661
Bartolo Colon,-338.7432965573021,-0.6558884926917602
Bartolo Colon,1341.5323030849743,0.7650337473989959
Bartolo Colon,-2101.7831260697467,0.7267939630472261
Billy Butler,-2003.8506811648713,-0.5452647361120173
Blake Treinen,-393.2038567623081,0.8437205738748231
Brad Brach,243.3878568180071,0.7100860558507381
Brad Ziegler,512.3005868844348,-0.5246505481509285
Brandon Kintzler,-549.9967005811352,0.7299546951299288
Brandon McCarthy,1309.182921957754,0.6599120175960898
Brandon Morrow,-862.4647970527936,-0.5823431387208848
Brandon Morrow,2287.498894434339,-0.5351261274732456
Brayan Pena,-8.098534093002058,0.7576767609436587
Brayan Pena,679.2675521228191,-0.6062757783883121
Brett Anderson,1060.7353361385606,0.7730028489344021
Brett Anderson,-2504.3325518528836,-0.669910641989637
Brett Anderson,-732.6030189515409,-0.6278684177437179
Brett Gardner,-1539.1236619227022,-0.6897656841487015
Brian Duensing,456.0184837624038,0.7112670960473303
Brian Duensing,729.9970059159601,0.7100332503077386
Brian McCann,-2955.1916801262387,-0.6502841466721764
Brian Wilson,2304.6762563666734,-0.6730916042023134
Cameron Maybin,-619.0887861207473,0.7370742592499306
Carlos Beltran,62.1612004451963,-0.6502841466721764
Carlos Beltran,219.06070157660042,-0.6871121829501663
Carlos Gomez,-1387.0695781714685,0.6268025051048749
Carlos Pena,-2170.1787715295773,0.7071067811865476
Carlos Santana,-1740.8222138343153,0.6941056083938045
Carlos Villanueva,-210.8053285383303,0.7905694150420948
Carlos Villanueva,-899.487661065134,-0.5102568297730847
Chad Qualls,-180.3455988122805,-0.5325287151187511
Chad Qualls,617.5806051188652,-0.5324409543913041
Charlie Morton,-94.99222313493556,0.758931998689661
Charlie Morton,854.9908441753005,0.7683628603856266
Chase Utley,-538.584710599466,0.7608861612721803
Chase Utley,-1234.086088508589,-0.669910641989637
Chaz Roe,316.0042420762825,0.645484773007035
Chris Capuano,1634.4152026395466,-0.6502841466721764
Chris Capuano,-1089.5748673020403,-0.6776918635904803
Chris Capuano,-1239.2841952820143,-0.62919432566738
Chris Iannetta,-978.7534993919107,0.7166528424781935
Chris Iannetta,682.7922113960828,0.7576767609436587
Chris Young,-1240.2256352137235,0.7074613232261974
Chris Young,-634.9252475763387,0.7166528424781935
Chris Young,-855.6083736465093,0.7650337473989959
Chris Young,266.13271825058564,0.6599120175960898
Chris Young,1018.3306176221085,-0.6776918635904803
Clay Buchholz,511.20435150212097,0.6680590795417206
Clayton Richard,981.8705713575728,0.7468016390580665
Clint Barmes,-1210.0624591100957,0.6282596204870265
Cody Ross,760.1693424853324,-0.5216505933704916
Colby Lewis,625.4939055886125,-0.5384072800259824
Colby Lewis,464.1867650864001,0.7034682677932879
Colby Rasmus,-673.237983162498,0.6583132261787437
Corey Hart,-929.9746408574015,0.7166528424781935
Cory Gearrin,456.4130713268082,-0.6409665039853908
Craig Stammen,220.9651650664789,-0.5161810303677112
Curtis Granderson,-1535.151021407537,-0.6558884926917602
D.J. LeMahieu,325.95742679445357,0.7973722274670736
Dallas Keuchel,-400.16035833320166,0.7761987323164664
Dan Haren,-340.3266035841152,0.6825396825396826
Dan Johnson,-275.658921203353,0.6869822470392353
Daniel Descalso,-87.91251869818825,-0.5569574694415405
Daniel Descalso,39.24406457521013,0.7576767609436587
Daniel Hudson,1060.7687081720012,0.738095238095238
Daniel Hudson,-1204.9237538405375,0.5964490067914808
Daniel Hudson,1570.7073629422434,-0.5246505481509285
Daniel Murphy,250.28194081664515,0.7506654835847382
Darren O'Day,-1067.8456461132089,0.7100332503077386
David Hernandez,-360.51876278038503,-0.6111147204336758
David Phelps,-328.665555559146,0.6494177833475624
David Phelps,30.333864680709667,0.6559297999321454
David Robertson,-125.66140820263627,-0.6180581238982145
David Ross,-208.29003723949472,0.7333348921295317
Delmon Young,314.89755318764287,0.7149635231997314
Dexter Fowler,1265.5905038278852,0.7984359711335656
Didi Gregorius,-240.05338585849995,0.6559297999321454
Dioner Navarro,272.0366961326097,0.6741158547505346
Dioner Navarro,455.0655868333282,0.7737993487324512
