Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Victorias,Juegos totales,Promedio_victorias
J.A. Happ,36000000,12000000,SP,32,0.198,7,2,0,0,0.286,0.571,TOR,10000000,88,161,0.546583850931677
Marco Estrada,26000000,13000000,SP,29,0.179,5,0,0,0,0.0,0.0,TOR,11500000,88,161,0.546583850931677
Dioner Navarro,4000000,4000000,C,101,0.624,304,63,6,35,0.207,0.587,TOR,4000000,88,161,0.546583850931677
Gavin Floyd,1000000,1000000,RP,28,0.173,1,0,0,0,0.0,0.0,TOR,1000000,88,161,0.546583850931677
Josh Thole,800000,800000,C,50,0.309,118,20,1,7,0.17,0.483,TOR,507500,88,161,0.546583850931677
Gerardo Parra,27500000,9166667,LF,102,0.63,368,93,7,39,0.253,0.673,COL,8000000,75,161,0.4658385093167702
Ryan Madson,22000000,7333333,RP,63,0.389,1,0,0,0,0.0,0.0,OAK,7916666,68,161,0.422360248447205
Asdrubal Cabrera,18500000,9250000,2B,141,0.87,521,146,24,62,0.28,0.816,NYM,8250000,87,161,0.5403726708074534
Bartolo Colon,7250000,7250000,SP,34,0.21,60,5,1,2,0.083,0.265,NYM,7300000,87,161,0.5403726708074534
Alejandro De Aza,5750000,5750000,LF,130,0.803,234,48,6,25,0.205,0.618,NYM,5750000,87,161,0.5403726708074534
Jerry Blevins,4000000,4000000,RP,73,0.451,1,0,0,0,0.0,0.0,NYM,5000000,87,161,0.5403726708074534
Kelly Johnson,2000000,2000000,2B,131,0.814,304,75,10,34,0.247,0.698,NYM,2250000,87,161,0.5403726708074534
Justin Ruggiano,1650000,1650000,RF,9,0.056,24,8,2,7,0.333,1.01,NYM,507500,87,161,0.5403726708074534
Jose Reyes,507500,507500,3B,60,0.37,255,68,8,24,0.267,0.769,NYM,507500,87,161,0.5403726708074534
James Loney,0,0,1B,100,0.617,343,91,9,34,0.265,0.703,NYM,507500,87,161,0.5403726708074534
Rene Rivera,0,0,C,65,0.401,185,41,6,26,0.222,0.632,NYM,507500,87,161,0.5403726708074534
Hisashi Iwakuma,12000000,12000000,SP,33,0.204,2,0,0,0,0.0,0.0,SEA,13500000,86,161,0.5341614906832298
Norichika Aoki,5500000,5500000,LF,118,0.728,417,118,4,28,0.283,0.738,SEA,5800000,86,161,0.5341614906832298
Chris Iannetta,4250000,4250000,C,94,0.58,295,62,7,24,0.21,0.631,SEA,4550000,86,161,0.5341614906832298
Franklin Gutierrez,1500000,1500000,CF,98,0.605,248,61,14,39,0.246,0.78,SEA,2500000,86,161,0.5341614906832298
John Jaso,8000000,4000000,RF,132,0.815,380,102,8,42,0.268,0.766,PIT,4000000,78,160,0.4875
Juan Nicasio,3000000,3000000,RP,52,0.321,19,3,0,1,0.158,0.316,PIT,3000000,78,160,0.4875
David Freese,3000000,3000000,3B,141,0.87,437,118,13,55,0.27,0.764,PIT,3000000,78,160,0.4875
Sean Rodriguez,2500000,2500000,2B,140,0.864,300,81,18,56,0.27,0.859,PIT,2850000,78,160,0.4875
Ryan Vogelsong,2000000,2000000,SP,24,0.148,19,1,0,1,0.053,0.195,PIT,3225000,78,160,0.4875
Matt Joyce,1000000,1000000,RF,140,0.864,231,56,13,42,0.242,0.866,PIT,1000000,78,160,0.4875
Eric Fryer,0,0,C,60,0.37,116,31,0,13,0.267,0.655,PIT,507500,78,160,0.4875
Ian Desmond,8000000,8000000,LF,156,0.963,625,178,22,86,0.285,0.782,TEX,8000000,95,161,0.5900621118012422
A.J. Griffin,507500,507500,RP,23,0.142,2,0,0,0,0.0,0.0,TEX,507500,95,161,0.5900621118012422
Doug Fister,7000000,7000000,SP,32,0.198,5,1,0,2,0.2,0.4,HOU,11000000,84,161,0.5217391304347826
Tyler Flowers,5300000,2650000,C,83,0.516,281,76,8,41,0.271,0.777,ATL,2400000,67,160,0.41875
A.J. Pierzynski,3000000,3000000,C,81,0.503,247,55,2,23,0.223,0.559,ATL,3050000,67,160,0.41875
Jim Johnson,2500000,2500000,RP,65,0.404,1,0,0,0,0.0,0.0,ATL,3075000,67,160,0.41875
Josh Collmenter,0,0,RP,18,0.111,6,0,0,0,0.0,0.0,ATL,507500,67,160,0.41875
Austin Jackson,5000000,5000000,CF,54,0.333,181,46,0,18,0.254,0.661,CHW,5000000,78,161,0.484472049689441
Alex Avila,2500000,2500000,C,57,0.352,169,36,7,11,0.213,0.732,CHW,2500000,78,161,0.484472049689441
Matt Albers,2250000,2250000,RP,58,0.358,1,1,0,0,1.0,3.0,CHW,2000000,78,161,0.484472049689441
Justin Morneau,1000000,1000000,1B,58,0.358,203,53,6,25,0.261,0.731,CHW,1100000,78,161,0.484472049689441
Miguel Gonzalez,0,0,SP,24,0.148,1,0,0,0,0.0,0.0,CHW,507500,78,161,0.484472049689441
Alexei Ramirez,4000000,4000000,SS,145,0.895,478,115,6,48,0.241,0.61,TB,507500,67,161,0.4161490683229814
Jaff Decker,525000,525000,LF,19,0.117,52,8,0,1,0.154,0.384,TB,525000,67,161,0.4161490683229814
Cliff Pennington,3750000,1875000,SS,74,0.457,172,36,3,10,0.209,0.573,LAA,1500000,73,161,0.453416149068323
Geovany Soto,2800000,2800000,C,26,0.161,78,21,4,9,0.269,0.809,LAA,2800000,73,161,0.453416149068323
Jhoulys Chacin,1100000,1100000,SP,34,0.211,10,3,0,1,0.3,0.6,LAA,1100000,73,161,0.453416149068323
Chris Carter,2500000,2500000,1B,160,0.988,549,122,41,94,0.222,0.821,MIL,2500000,72,161,0.4472049689440994
Blaine Boyer,950000,950000,RP,61,0.377,1,0,0,0,0.0,0.0,MIL,950000,72,161,0.4472049689440994
Jake Elmore,0,0,LF,59,0.364,78,17,0,4,0.218,0.615,MIL,507500,72,161,0.4472049689440994
Alfredo Simon,2000000,2000000,SP,15,0.093,14,1,0,1,0.071,0.259,CIN,2000000,68,161,0.422360248447205
Blake Wood,600000,600000,RP,70,0.432,2,0,0,0,0.0,0.0,CIN,600000,68,161,0.422360248447205
Carlos Villanueva,1500000,1500000,RP,51,0.315,4,0,0,0,0.0,0.0,SD,1500000,68,161,0.422360248447205
Edwin Jackson,507500,507500,SP,24,0.149,23,5,0,2,0.217,0.569,SD,507500,68,161,0.422360248447205
Jemile Weeks,0,0,2B,17,0.105,50,7,0,2,0.14,0.404,SD,507500,68,161,0.422360248447205
Hector Sanchez,0,0,C,28,0.173,49,13,3,8,0.265,0.803,SD,507500,68,161,0.422360248447205
Christian Friedrich,0,0,SP,24,0.148,37,2,0,2,0.054,0.179,SD,507500,68,161,0.422360248447205
Eric Young Jr.,1000000,1000000,CF,6,0.037,1,0,0,0,0.0,0.0,NYY,1000000,84,161,0.5217391304347826
Billy Butler,49914,49914,DH,97,0.599,250,71,5,35,0.284,0.752,NYY,507500,84,161,0.5217391304347826
