Acronimo,Agente libre,Altura,Anio,Anio_de_agente_libre,Anio_inicio_de_contrato,Anios_de_contrato,Anios_de_contrato_2,Bateos_pitcher,Bateos_pitcher_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Control,Dominio,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_ajustado_2,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Valor_del_contrato,Valor_del_contrato_2,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
BOS,No,6.4,3,2015,2009,5,25,209,43681,0,1,10,94,8836,89,7921,2.6417910447761193,0.03490128665937386,0.0922019065478981,3.76,14.137599999999999,29,24,Boston Red Sox,Massachusetts,31852403,213.3,45496.89000000001,33,162,1089,33,1089,Jon Lester,8,64,13,240,21,SP,0.5987654320987654,0,0,177,31329,11625000,135140625000000,11625000,11625000,64.36,4142.2096,130700000,30000000,900000000000000,97,3.02,9.1204,1.29,1.6641000000000001,8,67,4489,15,225,16.268668509437695,16.268668509437695,16.268668509437695
BOS,No,6.6,3,2016,2010,5,25,179,32041,700000,1,10,80,6400,74,5476,4.025,0.023478311909373717,0.0945002054352292,3.52,12.3904,34,31,Boston Red Sox,Massachusetts,95485000,189.3,35834.490000000005,29,162,841,29,841,John Lackey,13,169,13,235,21,SP,0.5987654320987654,0,0,161,25921,15950000,254402500000000,15250000,15950000,30.64,938.8096,130700000,82500000,6806250000000000,97,3.0,9.0,1.16,1.3456,8,40,1600,10,100,16.584969387195127,16.540090061017693,16.584969387195127
SF,No,6.4,3,2014,2007,7,49,173,29929,0,5,6,94,8836,85,7225,1.5925925925925926,0.0450112528132033,0.07168458781362007,5.74,32.9476,35,28,San Francisco Giants,California,139540000,133.3,17768.890000000003,30,162,900,25,625,Barry Zito,11,121,23,208,23,SP,0.4691358024691358,0,0,86,7396,20000000,400000000000000,20000000,20000000,0.36,0.1296,80750000,126000000,15876000000000000,76,-2.49,6.200100000000001,1.7,2.8899999999999997,7,54,2916,5,25,16.811242831518264,16.811242831518264,16.811242831518264
ATL,No,6.1,3,2014,2010,3,9,120,14400,0,1,3,60,3600,58,3364,2.638888888888889,0.030464584920030464,0.08039265465008039,3.98,15.8404,37,34,Atlanta Braves,Georgia,97700000,131.3,17239.690000000002,21,162,441,21,441,Tim Hudson,7,49,18,174,23,SP,0.5925925925925926,0,0,95,9025,9500000,90250000000000,9000000,9500000,51.32,2633.7424,77250000,28000000,784000000000000,96,0.83,0.6889,1.19,1.4161,3,36,1296,8,64,16.06680235657077,16.012735135300492,16.06680235657077
WSH,No,6.5,3,0,2009,4,16,136,18496,0,1,11,71,5041,61,3721,3.4107142857142856,0.03400121432908318,0.11596842744383729,3.0,9.0,24,20,Washington Nationals,Washington DC,19300000,183.0,33489.0,30,162,900,30,900,Stephen Strasburg,9,81,1,235,2,SP,0.5308641975308642,0,0,191,36481,3900000,15210000000000,3900000,3900000,71.33,5087.9689,67000000,15100000,228010000000000,86,3.13,9.796899999999999,1.05,1.1025,0,56,3136,8,64,15.176487111099874,15.176487111099874,15.176487111099874
NYY,No,6.6,3,2016,2009,7,49,224,50176,1285714,2,8,122,14884,112,12544,2.6923076923076925,0.034228541337546076,0.09215376513954714,4.78,22.8484,32,28,New York Yankees,New York,150285714,211.0,44521.0,32,162,1024,32,1024,C.C. Sabathia,13,169,40,300,50,SP,0.5246913580246914,0,0,175,30625,24285714,589795904489796,23000000,24285714,4.27,18.232899999999997,64000000,161000000,25921000000000000,85,-0.01,0.0001,1.37,1.8769000000000002,27,65,4225,14,196,17.005398834194516,16.951004773893423,17.005398834194516
MIL,No,6.2,3,2016,2010,5,25,180,32400,250000,1,7,92,8464,84,7056,2.1818181818181817,0.04058291828076001,0.08854454897620366,4.19,17.556100000000004,27,23,Milwaukee Brewers,Wisconsin,20173000,180.7,32652.489999999994,33,162,1089,31,961,Yovani Gallardo,10,100,1,205,4,RP,0.4567901234567901,0,0,144,20736,8000000,64000000000000,7750000,8000000,33.48,1120.9103999999998,43300000,30100000,906010000000000,74,0.16,0.0256,1.36,1.8496000000000004,0,66,4356,12,144,15.89495209964411,15.86320340132953,15.89495209964411
CIN,No,6.4,3,0,2010,6,36,37,1369,2708333,2,12,18,324,18,324,3.8620689655172415,0.05058433629862201,0.19536019536019533,2.55,6.5024999999999995,25,21,Cincinnati Reds,Ohio,22300000,63.7,4057.6900000000005,68,162,4624,0,0,Aroldis Chapman,5,25,10,218,15,RP,0.5555555555555556,38,1444,112,12544,4733333,22404441288889,2000000,4733333,57.67,3325.8289,41800000,30250000,915062500000000,90,1.86,3.4596000000000005,1.04,1.0816000000000001,5,29,841,4,16,15.370140163480842,14.508657738524219,15.370140163480842
TOR,No,6.7,3,2014,2010,4,16,105,11025,0,1,7,64,4096,56,3136,2.7666666666666666,0.04100041000410005,0.11343446767801012,6.2,38.440000000000005,29,25,Toronto Blue Jays,Toronto,41499000,81.3,6609.69,16,162,256,16,256,Josh Johnson,8,64,2,225,5,SP,0.4567901234567901,0,0,83,6889,13750000,189062500000000,13750000,13750000,0.0,0.0,36750000,39000000,1521000000000000,74,,,1.66,2.7556,2,30,900,2,4,16.436549382076855,16.436549382076855,16.436549382076855
PIT,No,6.5,3,2014,2009,5,25,165,27225,0,2,8,79,6241,70,4900,3.1194029850746268,0.038976148923792905,0.12158231529959279,3.3,10.889999999999999,36,31,Pittsburgh Pirates,Pennsylvania,122617500,191.0,36481.0,30,162,900,30,900,A.J. Burnett,11,121,9,230,15,SP,0.5802469135802469,0,0,209,43681,8000000,64000000000000,16500000,16500000,39.47,1557.8808999999999,28875000,82500000,6806250000000000,94,1.91,3.6481,1.22,1.4884,5,67,4489,10,100,15.89495209964411,16.61887093887081,16.61887093887081
KC,No,6.3,3,2015,2008,4,16,215,46225,0,2,5,82,6724,80,6400,2.8823529411764706,0.03303697225866006,0.0952242141573143,3.15,9.9225,31,26,Kansas City Royals,Missouri,27594900,228.7,52303.689999999995,34,162,1156,34,1156,James Shields,9,81,2,215,7,SP,0.5308641975308642,0,0,196,38416,10250000,105062500000000,10250000,10250000,82.43,6794.7049000000015,26100000,11250000,126562500000000,86,4.32,18.6624,1.24,1.5376,1,68,4624,13,169,16.14278826354869,16.14278826354869,16.14278826354869
KC,No,6.2,3,2014,2009,4,16,190,36100,0,2,5,85,7225,76,5776,3.156862745098039,0.026856240126382307,0.08478146392838336,3.24,10.497600000000002,30,26,Kansas City Royals,Missouri,44236000,211.0,44521.0,32,162,1024,32,1024,Ervin Santana,10,100,2,175,7,SP,0.5308641975308642,0,0,161,25921,13000000,169000000000000,13000000,13000000,53.09,2818.5481000000004,26100000,30000000,900000000000000,86,2.91,8.468100000000002,1.14,1.2995999999999999,1,51,2601,9,81,16.38045991542581,16.38045991542581,16.38045991542581
CHW,No,6.4,3,2014,2009,4,16,27,729,0,2,5,15,225,14,196,2.0833333333333335,0.05486968449931413,0.11431184270690442,5.18,26.832399999999996,30,25,Chicago White Sox,Illinois,30626000,24.3,590.49,5,162,25,5,25,Gavin Floyd,4,16,6,235,9,RP,0.3888888888888889,0,0,25,625,9500000,90250000000000,9500000,9500000,0.0,0.0,14800000,15500000,240250000000000,63,-0.02,0.0004,1.6,2.5600000000000005,3,12,144,0,0,16.06680235657077,16.06680235657077,16.06680235657077
STL,No,6.7,3,2014,2008,4,16,223,49729,0,2,6,83,6889,79,6241,6.257142857142857,0.016089734749229992,0.10067576885946768,2.94,8.6436,31,26,St. Louis Cardinals,Missouri,39003000,241.7,58418.88999999999,35,162,1225,34,1156,Adam Wainwright,9,81,23,230,27,SP,0.5987654320987654,0,0,219,47961,12150000,147622500000000,12000000,12150000,98.35,9672.722499999998,13650000,15000000,225000000000000,97,6.19,38.316100000000006,1.07,1.1449,11,35,1225,19,361,16.31283972775083,16.300417207752275,16.31283972775083
MIA,No,6.5,3,0,2010,4,16,116,13456,0,2,12,55,3025,49,2401,1.4259259259259258,0.05084745762711865,0.07250470809792843,3.74,13.987600000000002,22,18,Miami Marlins,Florida,4700000,118.0,13924.0,20,162,400,20,400,Jacob Turner,8,64,2,215,2,RP,0.382716049382716,0,0,77,5929,1175000,1380625000000,1175000,1175000,0.0,0.0,7675000,5500000,30250000000000,62,1.44,2.0736,1.44,2.0736,2,54,2916,3,9,13.976778705560397,13.976778705560397,13.976778705560397
