Acronimo,Agente libre,Altura,Anio,Anio_de_agente_libre,Anio_inicio_de_contrato,Anios_de_contrato,Anios_de_contrato_2,Bateos_pitcher,Bateos_pitcher_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Control,Dominio,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_ajustado_2,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Valor_del_contrato,Valor_del_contrato_2,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
TOR,No,6.3,11,2024,2020,4,16,230,52900,0,1,6,107,11449,102,10404,3.9814814814814814,0.025423728813559324,0.1012241054613936,7.06,49.843599999999995,34,32,Toronto Blue Jays,Toronto,81382407,236.0,55696.0,43,163,1849,43,1849,Hyun-Jin Ryu,12,144,2,255,8,SP,0.5644171779141104,0,0,215,46225,20000000,400000000000000,20000000,20000000,86.53,7487.4409000000005,186250000,80000000,6400000000000000,92,4.72,22.278399999999998,2.37,5.6169,2,54,2916,19,361,16.811242831518264,16.811242831518264,16.811242831518264
LAD,No,6.3,11,2022,2015,7,49,189,35721,7142857,5,7,83,6889,77,5929,5.559322033898305,0.02657298563257218,0.1477277845336216,6.2,38.440000000000005,35,30,Los Angeles Dodgers,California,139575000,246.7,60860.88999999999,42,162,1764,42,1764,Max Scherzer,8,64,25,208,35,SP,0.654320987654321,0,0,328,107584,0,0,27360623,34603480,84.56,7150.3936,160320500,210000000,44100000000000000,106,5.5,30.25,2.25,5.0625,7,59,3481,20,400,-inf,17.124615420927217,17.359464813005005
LAD,No,6.4,11,2022,2019,3,9,144,20736,7666666,5,7,69,4761,62,3844,7.103448275862069,0.017901234567901235,0.1271604938271605,5.71,32.6041,33,30,Los Angeles Dodgers,California,251176411,180.0,32400.0,34,162,1156,32,1024,Clayton Kershaw,10,100,25,225,35,SP,0.654320987654321,0,0,206,42436,31000000,961000000000000,23333334,31000000,85.46,7303.4115999999985,160320500,93000000,8649000000000000,106,3.85,14.822500000000002,1.86,3.4596000000000005,7,29,841,16,256,17.24949776244942,16.965393539916953,17.24949776244942
LAD,No,6.3,11,2022,2017,5,25,105,11025,0,5,7,52,2704,48,2304,2.772727272727273,0.04167850715165293,0.11556313346594677,7.46,55.6516,31,28,Los Angeles Dodgers,California,64194929,117.3,13759.289999999999,25,162,625,23,529,Danny Duffy,7,49,25,205,35,SP,0.654320987654321,0,0,122,14884,500000,250000000000,15500000,15500000,33.24,1104.8976000000002,160320500,65000000,4225000000000000,106,2.4,5.76,2.54,6.4516,7,44,1936,8,64,13.122363377404328,16.556350581889475,16.556350581889475
LAD,No,6.5,11,2022,2017,5,25,55,3025,0,5,7,32,1024,26,676,2.6444444444444444,0.05359056806002144,0.14171727998094558,5.55,30.8025,33,29,Los Angeles Dodgers,California,92615505,93.3,8704.89,96,162,9216,0,0,Kenley Jansen,5,25,25,265,35,RP/CL,0.654320987654321,49,2401,119,14161,20000000,400000000000000,20000000,20000000,83.78,7019.088400000001,160320500,80000000,6400000000000000,106,2.6,6.760000000000001,2.19,4.7961,7,45,2025,7,49,16.811242831518264,16.811242831518264,16.811242831518264
LAD,No,6.5,11,2023,2016,7,49,79,6241,0,5,7,35,1225,33,1089,2.230769230769231,0.039197949645710835,0.0874415799788934,4.03,16.240900000000003,35,30,Los Angeles Dodgers,California,216042498,73.7,5431.6900000000005,39,162,1521,11,121,David Price,2,4,25,215,35,SP,0.654320987654321,1,1,58,3364,16000000,256000000000000,32000000,32000000,1.12,1.2544000000000002,160320500,217000000,47089000000000000,106,0.53,0.28090000000000004,1.42,2.0164,7,26,676,5,25,16.588099280204055,17.281246460764002,17.281246460764002
LAD,No,6.1,11,2023,2019,3,9,36,1296,0,5,7,19,361,16,256,2.6818181818181817,0.04526748971193416,0.12139917695473251,4.66,21.715600000000002,33,30,Los Angeles Dodgers,California,28825055,54.0,2916.0,60,162,3600,1,1,Joe Kelly,0,0,25,174,35,RP,0.654320987654321,2,4,59,3481,8500000,72250000000000,8500000,8500000,0.0,0.0,160320500,25000000,625000000000000,106,0.92,0.8464,2.48,6.1504,7,22,484,2,4,15.955576721460545,15.955576721460545,15.955576721460545
PHI,No,6.2,11,2024,2019,4,16,219,47961,500000,2,6,126,15876,119,14161,5.145161290322581,0.027336860670194002,0.140652557319224,7.91,62.5681,28,25,Philadelphia Phillies,Pennsylvania,25856353,252.0,63504.0,45,162,2025,43,1849,Aaron Nola,14,196,7,195,14,SP,0.5061728395061729,0,0,319,101761,12250000,150062500000000,11750000,12250000,126.32,15956.7424,158800000,45000000,2025000000000000,82,4.6,21.159999999999997,2.21,4.8841,2,62,3844,14,196,16.32103649495501,16.279363798554442,16.32103649495501
PHI,No,6.6,11,2023,2020,3,9,231,53361,0,2,6,122,14884,115,13225,2.265957446808511,0.041895084013014214,0.09493247760395773,9.06,82.0836,32,32,Philadelphia Phillies,Pennsylvania,34932074,249.3,62150.490000000005,43,162,1849,42,1764,Kyle Gibson,15,225,7,215,14,SP,0.5061728395061729,0,0,213,45369,11500000,132250000000000,10000000,11500000,103.35,10681.222499999998,158800000,28000000,784000000000000,82,3.11,9.672099999999999,2.75,7.5625,2,94,8836,12,144,16.25785759333348,16.11809565095832,16.25785759333348
NYY,No,6.4,11,2029,2020,9,81,204,41616,0,2,4,96,9216,88,7744,5.810344827586207,0.02534189714685192,0.1472451610084327,6.07,36.8449,30,29,New York Yankees,New York,84222046,254.3,64668.490000000005,42,162,1764,41,1681,Gerrit Cole,11,121,40,220,57,SP,0.5679012345679012,0,0,337,113569,36000000,1296000000000000,36000000,36000000,87.92,7729.9264,111300000,324000000,104976000000000000,92,7.79,60.6841,2.02,4.0804,27,58,3364,23,529,17.399029496420383,17.399029496420383,17.399029496420383
