Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2,Agente libre
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Bryce Harper,RF,157,0.969,573,149,35,114,0.26,0.882,4.16,66.12,26,220,6.3,10000000,11538462,11538462,24649,0.9389609999999999,328329,22201,1225,12996,0.06760000000000001,0.7779240000000001,17.305600000000002,4371.8544,Si
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,J.T. Realmuto,C,145,0.895,538,148,25,83,0.275,0.82,4.37,77.47,28,210,6.1,5900000,5900000,5900000,21025,0.801025,289444,21904,625,6889,0.07562500000000001,0.6723999999999999,19.0969,6001.6008999999995,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Rhys Hoskins,1B,160,0.988,570,129,29,85,0.226,0.819,1.46,74.62,26,225,6.4,575000,575000,575000,25600,0.976144,324900,16641,841,7225,0.051076,0.6707609999999999,2.1315999999999997,5568.144400000001,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Maikel Franco,3B,123,0.759,389,91,17,56,0.234,0.705,-0.24,13.86,26,225,6.1,5200000,5200000,5200000,15129,0.5760810000000001,151321,8281,289,3136,0.054756000000000006,0.49702499999999994,0.0576,192.09959999999998,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Corey Dickerson,LF,78,0.482,260,79,12,59,0.304,0.906,0.45,0.0,30,200,6.1,8500000,8500000,2787639,6084,0.23232399999999997,67600,6241,144,3481,0.092416,0.820836,0.2025,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Jay Bruce,RF,100,0.617,310,67,26,59,0.216,0.784,0.33,20.95,32,230,6.3,13000000,14000000,1000000,10000,0.380689,96100,4489,676,3481,0.046655999999999996,0.6146560000000001,0.10890000000000001,438.9025,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Adam Haseley,OF,68,0.42,222,59,5,26,0.266,0.72,1.65,0.0,23,195,6.1,555000,555000,304368,4624,0.17639999999999997,49284,3481,25,676,0.07075600000000001,0.5184,2.7224999999999997,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Brad Miller,2B,79,0.488,154,40,13,25,0.26,0.894,0.3,0.0,29,195,6.2,555000,555000,322272,6241,0.238144,23716,1600,169,625,0.06760000000000001,0.7992360000000001,0.09,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Andrew Knapp,C,74,0.457,136,29,2,8,0.213,0.642,-0.03,0.0,27,189,6.1,565000,565000,565000,5476,0.208849,18496,841,4,64,0.045369,0.41216400000000003,0.0009,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Sean Rodriguez,2B,76,0.469,112,25,4,12,0.223,0.723,0.34,0.0,34,200,0.0,555000,555000,474456,5776,0.21996099999999996,12544,625,16,144,0.049729,0.522729,0.11560000000000002,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Philip Gosselin,2B,44,0.272,65,17,0,7,0.262,0.602,-0.4,0.0,30,200,6.1,555000,555000,250656,1936,0.07398400000000001,4225,289,0,49,0.06864400000000001,0.36240399999999995,0.16000000000000003,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Nick Williams,RF,67,0.414,106,16,2,5,0.151,0.442,-1.18,0.0,25,195,6.3,575000,575000,333828,4489,0.171396,11236,256,4,25,0.022801,0.195364,1.3923999999999999,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Zach Eflin,SP,32,0.198,50,8,0,2,0.16,0.34,1.46,59.49,25,215,6.6,590000,590000,590000,1024,0.039204,2500,64,0,4,0.0256,0.11560000000000002,2.1315999999999997,3539.0601,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Jake Arrieta,SP,24,0.148,45,7,0,4,0.156,0.352,0.9,16.71,33,230,6.4,25000000,25000000,25000000,576,0.021903999999999996,2025,49,0,16,0.024336,0.12390399999999999,0.81,279.2241,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Logan Morrison,DH,29,0.179,35,7,2,3,0.2,0.663,-0.22,0.0,31,245,6.3,1000000,1000000,252672,841,0.032041,1225,49,4,9,0.04000000000000001,0.43956900000000004,0.0484,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Vincent Velasquez,SP,35,0.216,30,7,1,3,0.233,0.615,0.12,20.68,27,205,6.3,2249000,2249000,2249000,1225,0.046655999999999996,900,49,1,9,0.054289000000000004,0.378225,0.0144,427.6624,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Aaron Nola,SP,34,0.21,59,7,0,2,0.119,0.353,3.65,74.35,26,195,6.2,4000000,4500000,4500000,1156,0.04409999999999999,3481,49,0,4,0.014160999999999998,0.12460899999999998,13.3225,5527.922499999999,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Jose Pirela,2B,14,0.086,22,4,1,2,0.182,0.614,-0.16,0.0,29,220,6.0,575500,575500,83538,196,0.007395999999999999,484,16,1,4,0.033124,0.376996,0.0256,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Jason Vargas,SP,30,0.185,40,3,0,0,0.075,0.15,1.62,40.36,36,215,6.0,8000000,8000000,8000000,900,0.034225,1600,9,0,0,0.005625,0.0225,2.6244000000000005,1628.9296,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Nick Pivetta,RP,30,0.185,25,2,0,0,0.08,0.195,-0.47,0.0,26,214,6.5,598000,598000,440455,900,0.034225,625,4,0,0,0.0064,0.038025,0.22089999999999999,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Cole Irvin,P,16,0.099,6,1,0,0,0.167,0.542,-0.35,0.0,25,180,6.4,555000,555000,176056,256,0.009801,36,1,0,0,0.027889000000000004,0.293764,0.12249999999999998,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Ranger Suarez,RP,37,0.228,4,1,0,0,0.25,0.5,0.88,0.0,23,217,6.1,555000,555000,334208,1369,0.051984,16,1,0,0,0.0625,0.25,0.7744,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Juan Nicasio,RP,47,0.29,2,0,0,0,0.0,0.0,-0.07,0.0,32,252,0.0,9000000,9250000,9250000,2209,0.0841,4,0,0,0,0.0,0.0,0.004900000000000001,0.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Jared Hughes,RP,72,0.444,2,0,0,0,0.0,0.0,0.05,34.0,33,240,0.0,2125000,2125000,525550,5184,0.197136,4,0,0,0,0.0,0.0,0.0025000000000000005,1156.0,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Drew Smyly,SP,25,0.154,19,0,0,0,0.0,0.05,-0.68,4.32,30,188,6.2,7000000,7000000,211855,625,0.023716,361,0,0,0,0.0,0.0025000000000000005,0.4624000000000001,18.6624,No
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5,Blake Parker,RP,60,0.37,1,0,0,0,0.0,0.0,0.3,45.82,34,225,6.3,555000,555000,185008,3600,0.1369,1,0,0,0,0.0,0.0,0.09,2099.4724,Si
