Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Charlie Blackmon,CF,159,0.982,644,215,37,104,0.334,1.007,COL,7300000
Jose Altuve,2B,153,0.944,590,204,24,81,0.346,0.957,HOU,4687500
Ender Inciarte,CF,157,0.969,662,201,11,57,0.304,0.759,ATL,2700000
Dee Gordon,2B,158,0.975,653,200,2,33,0.306,0.713,MIA,7800000
Eric Hosmer,1B,162,1.0,603,192,25,94,0.318,0.882,KC,12250000
Elvis Andrus,SS,158,0.975,643,191,20,88,0.297,0.808,TEX,15250000
D.J. LeMahieu,2B,155,0.957,609,189,8,64,0.31,0.783,COL,4800000
Marcell Ozuna,CF,159,0.982,613,189,37,124,0.308,0.917,MIA,3500000
Jose Abreu,1B,156,0.963,621,189,33,102,0.304,0.906,CHW,10825000
Nolan Arenado,3B,159,0.982,606,187,37,130,0.309,0.959,COL,11750000
Jonathan Schoop,2B,160,0.988,622,182,32,105,0.293,0.841,BAL,3475000
Joey Votto,1B,162,1.0,559,179,36,100,0.32,1.032,CIN,22000000
Melky Cabrera,LF,156,0.963,620,177,17,85,0.286,0.746,KC,15000000
Lorenzo Cain,CF,155,0.957,584,177,15,50,0.303,0.809,KC,11000000
Daniel Murphy,2B,144,0.889,534,172,23,93,0.322,0.928,WSH,12000000
Avisail Garcia,RF,136,0.84,518,171,18,79,0.33,0.885,CHW,3000000
Adam Jones,CF,147,0.907,597,170,26,73,0.285,0.787,BAL,16333333
Christian Yelich,LF,156,0.963,602,170,18,81,0.282,0.807,MIA,3500000
Giancarlo Stanton,RF,159,0.982,597,169,59,132,0.283,1.01,MIA,14500000
Whit Merrifield,2B,145,0.895,587,169,19,78,0.288,0.784,KC,543750
Nick Castellanos,3B,157,0.969,614,167,26,101,0.272,0.811,DET,3000000
Robinson Cano,2B,150,0.926,592,166,23,97,0.28,0.791,SEA,24000000
Paul Goldschmidt,1B,155,0.957,558,166,36,120,0.298,0.966,ARI,8850000
Brian Dozier,2B,152,0.938,617,166,34,93,0.269,0.853,MIN,6025000
Corey Dickerson,OF,150,0.926,588,166,27,62,0.282,0.815,TB,3025000
Mookie Betts,RF,153,0.944,628,165,24,102,0.263,0.798,BOS,950000
Andrelton Simmons,SS,158,0.975,589,164,14,69,0.278,0.752,LAA,8000000
Nick Markakis,RF,160,0.988,593,163,8,76,0.275,0.738,ATL,11000000
Brandon Phillips,2B,144,0.889,572,163,13,60,0.285,0.735,LAA,14000000
Manny Machado,3B,156,0.963,630,163,33,95,0.259,0.782,BAL,11500000
Kris Bryant,3B,151,0.932,549,162,29,73,0.295,0.946,CHC,1050000
Joe Mauer,1B,141,0.87,525,161,7,71,0.307,0.804,MIN,23000000
Evan Longoria,3B,156,0.963,613,160,20,86,0.261,0.737,TB,11692000
Nelson Cruz,DH,155,0.957,556,160,39,119,0.288,0.924,SEA,14250000
Ryan Zimmerman,1B,144,0.889,524,159,36,108,0.303,0.93,WSH,14000000
Andrew McCutchen,RF,156,0.963,570,159,28,88,0.279,0.849,PIT,14208333
Corey Seager,SS,145,0.895,539,159,22,77,0.295,0.854,LAD,575000
