Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Trea Turner,SS,148,0.914,595,195,28,77,0.328,0.911,LAD,13000000
Bo Bichette,SS,159,0.982,640,191,29,102,0.298,0.828,TOR,587800
Vladimir Guerrero Jr.,1B,161,0.994,604,188,48,111,0.311,1.002,TOR,605400
Whit Merrifield,RF,162,1.0,664,184,10,74,0.277,0.713,KC,7450000
Freddie Freeman,1B,160,0.994,600,180,31,83,0.3,0.895,ATL,22409375
Austin Riley,3B,161,1.0,590,179,33,107,0.303,0.898,ATL,590500
Paul Goldschmidt,1B,158,0.975,603,177,31,99,0.294,0.879,STL,26000000
Adam Frazier,2B,155,0.957,577,176,5,43,0.305,0.779,SD,4300000
Cedric Mullins,CF,159,0.982,602,175,30,59,0.291,0.878,BAL,577000
Isiah Kiner-Falefa,SS,158,0.975,635,172,8,53,0.271,0.67,TEX,2000000
Salvador Perez,C,161,0.994,620,169,48,121,0.273,0.859,KC,14200000
Bryan Reynolds,LF,159,0.982,559,169,24,90,0.302,0.912,PIT,601000
Yulieski Gurriel,1B,143,0.883,530,169,15,81,0.319,0.846,HOU,8500000
J.P. Crawford,SS,160,0.988,619,169,9,54,0.273,0.714,SEA,2050000
Tommy Edman,2B,159,0.982,641,168,11,56,0.262,0.695,STL,596000
Jose Altuve,2B,146,0.901,602,167,31,83,0.277,0.838,HOU,29000000
Ty France,DH,152,0.938,571,166,18,73,0.291,0.813,SEA,587500
Rafael Devers,3B,156,0.963,591,165,38,113,0.279,0.89,BOS,4575000
Nick Castellanos,RF,138,0.852,531,164,34,100,0.309,0.939,CIN,14075000
David Fletcher,2B,157,0.969,626,164,2,47,0.262,0.622,LAA,2000000
J.D. Martinez,DH,148,0.914,570,163,28,99,0.286,0.867,BOS,19350000
Tim Anderson,SS,123,0.759,527,163,17,61,0.309,0.806,CHW,7250000
Teoscar Hernandez,DH,143,0.883,550,163,32,116,0.296,0.87,TOR,4325000
Ozzie Albies,2B,157,0.975,629,163,30,106,0.259,0.799,ATL,3000000
Jorge Polanco,SS,152,0.938,588,158,33,98,0.269,0.826,MIN,4333334
Aaron Judge,RF,148,0.914,550,158,39,98,0.287,0.916,NYY,10175000
Manny Machado,3B,153,0.944,564,157,28,106,0.278,0.837,SD,32000000
Alex Verdugo,CF,146,0.901,544,157,13,63,0.289,0.777,BOS,649500
Mitch Haniger,RF,157,0.969,620,157,39,100,0.253,0.804,SEA,3010000
Juan Soto,RF,151,0.932,502,157,29,95,0.313,0.999,WSH,8500000
Xander Bogaerts,SS,144,0.889,529,156,23,79,0.295,0.863,BOS,20000000
Carlos Correa,SS,148,0.914,555,154,26,92,0.278,0.847,HOU,11700000
Matt Olson,1B,156,0.963,565,153,39,111,0.271,0.911,OAK,5000000
Bryce Harper,RF,141,0.87,488,151,35,84,0.309,1.044,PHI,28038462
Nolan Arenado,3B,157,0.969,593,151,34,105,0.255,0.807,STL,35025000
Jeimer Candelario,1B,149,0.92,557,151,16,67,0.271,0.795,DET,2850000
Jake Cronenworth,2B,152,0.938,567,151,21,71,0.266,0.8,SD,584900
Jean Segura,SS,131,0.809,514,149,14,58,0.29,0.784,PHI,14850000
Kyle Tucker,RF,140,0.864,506,149,30,92,0.295,0.916,HOU,624300
Yordan Alvarez,DH,144,0.889,537,149,33,104,0.278,0.877,HOU,609000
Nicholas Lopez,2B,151,0.932,497,149,2,43,0.3,0.744,KC,597500
Jose Abreu,1B,152,0.938,566,147,30,117,0.26,0.828,CHW,17666666
Pete Alonso,1B,152,0.938,561,147,37,94,0.262,0.863,NYM,676775
Nate Lowe,1B,157,0.969,557,147,18,72,0.264,0.771,TEX,575000
Jared Walsh,1B,144,0.889,530,147,29,98,0.277,0.85,LAA,590500
Dansby Swanson,SS,161,1.0,588,146,27,88,0.248,0.76,ATL,6000000
Randy Arozarena,LF,141,0.87,529,145,20,69,0.274,0.815,TB,581200
Brandon Crawford,SS,138,0.852,483,144,24,90,0.298,0.895,SF,15200000
Starling Marte,CF,120,0.741,467,144,12,55,0.308,0.837,OAK,12500000
Dylan Carlson,LF,149,0.92,542,144,18,65,0.266,0.78,STL,577100
Jonathan India,3B,150,0.926,532,143,21,69,0.269,0.835,CIN,570500
Trey Mancini,DH,147,0.907,556,142,21,71,0.255,0.758,BAL,4750000
Josh Harrison,2B,138,0.852,505,141,8,60,0.279,0.741,OAK,1250000
Adolis Garcia,OF,149,0.92,581,141,31,90,0.243,0.741,TEX,575000
Giancarlo Stanton,DH,139,0.858,510,139,35,97,0.273,0.87,NYY,29000000
Eduardo Escobar,3B,146,0.901,549,139,28,90,0.253,0.786,MIL,7500000
Charlie Blackmon,RF,150,0.932,514,139,13,78,0.27,0.761,COL,21333333
Lourdes Gurriel Jr.,LF,141,0.87,500,138,21,84,0.276,0.785,TOR,3928571
Tyler O'Neill,LF,138,0.852,482,138,34,80,0.286,0.912,STL,594700
Shohei Ohtani,SP,158,0.975,537,138,46,100,0.257,0.965,LAA,3000000
Eric Hosmer,1B,151,0.932,509,137,12,65,0.269,0.732,SD,21000000
Yoan Moncada,3B,144,0.889,520,137,14,61,0.264,0.787,CHW,6800000
Kris Bryant,3B,144,0.889,513,136,25,73,0.265,0.835,SF,19500000
Andrew Benintendi,LF,134,0.827,493,136,17,73,0.276,0.766,KC,6600000
Ryan Mountcastle,1B,144,0.889,534,136,33,89,0.255,0.796,BAL,574500
Fernando Tatis Jr.,SS,130,0.803,478,135,42,97,0.282,0.975,SD,1714285
Ryan McMahon,2B,152,0.944,528,134,23,86,0.254,0.779,COL,2375000
Javier Baez,SS,138,0.852,502,133,31,87,0.265,0.813,NYM,11650000
Raimel Tapia,LF,134,0.832,487,133,6,50,0.273,0.699,COL,1950000
Pavin Smith,RF,145,0.895,498,133,11,49,0.267,0.732,ARI,586600
Cesar Hernandez,2B,149,0.92,570,132,21,62,0.232,0.694,CHW,5000000
C.J. Cron,1B,142,0.882,470,132,28,92,0.281,0.903,COL,1000000
Brandon Lowe,2B,149,0.92,535,132,39,99,0.247,0.863,TB,2500000
Trevor Story,SS,143,0.888,526,132,24,75,0.251,0.801,COL,18500000
Miguel Rojas,SS,132,0.815,495,131,9,48,0.265,0.713,MIA,5000000
Josh Bell,1B,144,0.889,498,130,27,88,0.261,0.823,WSH,6350000
Willy Adames,SS,140,0.864,497,130,25,73,0.262,0.818,MIL,590000
Chris Taylor,2B,148,0.914,507,129,20,73,0.254,0.782,LAD,7800000
Jesse Winker,LF,110,0.679,423,129,24,71,0.305,0.949,CIN,3150000
Kyle Seager,3B,159,0.982,603,128,35,101,0.212,0.723,SEA,18500000
Josh Rojas,SS,139,0.858,484,128,11,44,0.265,0.752,ARI,582400
David Peralta,LF,150,0.926,487,127,8,63,0.261,0.734,ARI,7500000
Kyle Farmer,SS,147,0.907,483,127,16,63,0.263,0.732,CIN,640000
Luis Arraez,2B,121,0.747,428,126,2,42,0.294,0.733,MIN,611000
Austin Hays,LF,131,0.809,488,125,22,71,0.256,0.768,BAL,578500
Max Muncy,1B,144,0.889,497,124,36,94,0.25,0.895,LAD,9000000
Anthony Rizzo,1B,141,0.87,496,123,22,61,0.248,0.783,NYY,16500000
Mookie Betts,RF,122,0.753,466,123,23,58,0.264,0.854,LAD,22500000
Randal Grichuk,RF,149,0.92,511,123,22,81,0.241,0.703,TOR,10333333
Joe Wendle,3B,136,0.84,460,122,11,54,0.265,0.741,TB,2250000
Luis Urias,3B,150,0.926,490,122,23,75,0.249,0.789,MIL,575100
Miguel Cabrera,DH,130,0.803,472,121,15,75,0.256,0.702,DET,30000000
Elvis Andrus,SS,146,0.901,497,121,3,37,0.244,0.614,OAK,8800000
Avisail Garcia,RF,135,0.833,461,121,29,86,0.263,0.821,MIL,10750000
Buster Posey,C,113,0.698,395,120,18,56,0.304,0.889,SF,22202777
Mark Canha,LF,141,0.87,519,120,17,61,0.231,0.746,OAK,6925000
Austin Meadows,DH,142,0.877,518,120,27,106,0.232,0.769,TB,591400
Joey Votto,1B,129,0.796,448,119,36,99,0.266,0.938,CIN,25000000
Yandy Diaz,3B,134,0.827,465,119,13,64,0.256,0.74,TB,588900
Gleyber Torres,SS,127,0.784,459,119,9,51,0.259,0.697,NYY,4000000
Christian Vazquez,C,138,0.852,458,118,6,49,0.258,0.659,BOS,6250000
Jesus Aguilar,1B,131,0.809,449,117,22,93,0.261,0.788,MIA,4500000
Odubel Herrera,CF,124,0.765,450,117,13,51,0.26,0.726,PHI,10350000
Kevin Newman,SS,148,0.914,517,117,5,39,0.226,0.574,PIT,598000
Jorge Soler,DH,150,0.932,516,115,27,70,0.223,0.749,ATL,8250000
Jazz Chisholm,2B,124,0.765,464,115,18,53,0.248,0.728,MIA,571750
A.J. Pollock,LF,117,0.722,384,114,21,69,0.297,0.892,LAD,18000000
Josh Donaldson,3B,135,0.833,457,113,26,72,0.247,0.827,MIN,21000000
Wil Myers,LF,146,0.901,442,113,17,63,0.256,0.768,SD,22500000
Jed Lowrie,2B,139,0.858,457,112,14,69,0.245,0.717,OAK,1500000
Giovanny Urshela,3B,116,0.716,420,112,14,49,0.267,0.72,NYY,4650000
Trent Grisham,CF,132,0.815,462,112,15,62,0.242,0.74,SD,589200
Leury Garcia,OF,126,0.778,415,111,5,54,0.268,0.711,CHW,3500000
Tyler Naquin,RF,127,0.784,411,111,19,70,0.27,0.809,CIN,1500000
Matt Chapman,3B,151,0.932,529,111,27,72,0.21,0.716,OAK,6490000
Nick Solak,3B,127,0.784,458,111,11,49,0.242,0.677,TEX,586000
Brendan Rodgers,SS,103,0.64,387,110,15,51,0.284,0.798,COL,575500
Tommy Pham,LF,155,0.957,475,109,15,49,0.23,0.724,SD,8900000
Dominic Smith,LF,145,0.895,446,109,11,58,0.244,0.668,NYM,2550000
Ketel Marte,CF,90,0.556,340,108,14,50,0.318,0.909,ARI,6000000
Corey Seager,SS,95,0.586,353,108,16,57,0.306,0.915,LAD,13750000
Andrew McCutchen,LF,144,0.889,482,107,27,80,0.222,0.778,PHI,20000000
Manuel Margot,RF,125,0.772,421,107,10,57,0.254,0.696,TB,3400000
Akil Baddoo,OF,124,0.765,413,107,13,55,0.259,0.766,DET,570500
Will Smith,C,130,0.803,414,107,25,76,0.259,0.86,ATL,13000000
Will Smith,C,130,0.803,414,107,25,76,0.259,0.86,LAD,590500
Garrett Hampson,2B,147,0.913,453,106,11,33,0.234,0.669,COL,580500
Hunter Dozier,3B,144,0.889,487,106,16,54,0.218,0.688,KC,2500000
Miguel Sano,1B,135,0.833,470,105,30,75,0.223,0.778,MIN,11000000
Ian Happ,CF,148,0.914,465,105,25,66,0.226,0.757,CHC,4100000
Mike Yastrzemski,RF,139,0.858,468,105,25,71,0.224,0.768,SF,600000
Francisco Lindor,SS,125,0.772,452,104,20,63,0.23,0.734,NYM,22300000
Omar Narvaez,C,123,0.759,391,104,11,49,0.266,0.743,MIL,2500000
Wilmer Flores,2B,139,0.858,389,102,18,53,0.262,0.782,SF,3000000
Eugenio Suarez,3B,145,0.895,505,100,31,79,0.198,0.713,CIN,10785714
Tyler Stephenson,C,132,0.815,350,100,10,45,0.286,0.797,CIN,570500
Bobby Dalbec,1B,133,0.821,417,100,25,78,0.24,0.792,BOS,575000
Christian Yelich,LF,117,0.722,399,99,9,51,0.248,0.736,MIL,14000000
Joey Gallo,RF,153,0.944,498,99,38,77,0.199,0.808,NYY,6200000
Christian Walker,1B,115,0.71,401,98,10,46,0.244,0.696,ARI,619300
Eddie Rosario,LF,112,0.696,379,98,14,62,0.259,0.74,ATL,8000000
Harrison Bader,CF,103,0.636,367,98,16,50,0.267,0.785,STL,2000000
Willson Contreras,C,128,0.79,413,98,21,57,0.237,0.778,CHC,6650000
Anthony Santander,RF,110,0.679,406,98,18,50,0.241,0.72,BAL,2100000
Andrew Vaughn,LF,127,0.784,417,98,15,48,0.235,0.705,CHW,570500
Nick Ahmed,SS,129,0.796,434,96,5,38,0.221,0.619,ARI,8125000
Rhys Hoskins,1B,107,0.661,389,96,27,71,0.247,0.864,PHI,4800000
Jeff McNeil,2B,120,0.741,386,96,7,35,0.249,0.674,NYM,642251
Brandon Nimmo,CF,92,0.568,325,95,8,28,0.292,0.838,NYM,4700000
Alex Bregman,3B,91,0.562,348,94,12,55,0.27,0.777,HOU,12666666
Michael Conforto,RF,125,0.772,406,94,14,55,0.232,0.729,NYM,12250000
Pedro Severino,C,113,0.698,379,94,11,46,0.248,0.69,BAL,1825000
Alec Bohm,3B,115,0.71,380,94,7,47,0.247,0.647,PHI,575000
Ke'Bryan Hayes,3B,96,0.593,362,93,6,38,0.257,0.689,PIT,589500
Luis Robert,CF,68,0.42,275,93,13,43,0.338,0.946,CHW,3500000
Alcides Escobar,SS,75,0.463,319,92,4,28,0.288,0.744,WSH,570500
Tony Kemp,2B,131,0.809,330,92,8,37,0.279,0.8,OAK,1050000
Jacob Stallings,C,112,0.691,374,92,8,53,0.246,0.704,PIT,1300000
Corey Dickerson,LF,109,0.673,336,91,6,29,0.271,0.734,TOR,9500000
Willi Castro,SS,125,0.772,413,91,9,38,0.22,0.624,DET,578500
Philip Gosselin,2B,104,0.642,345,90,7,47,0.261,0.676,LAA,570500
Kevin Kiermaier,CF,122,0.753,348,90,4,37,0.259,0.716,TB,11666666
Max Kepler,RF,121,0.747,426,90,19,54,0.211,0.719,MIN,6500000
Brandon Belt,1B,97,0.599,325,89,29,59,0.274,0.975,SF,17200000
Harold Castro,3B,106,0.654,315,89,3,37,0.283,0.669,DET,581700
Yan Gomes,C,103,0.636,349,88,14,52,0.252,0.723,OAK,6000000
Donovan Solano,2B,101,0.624,307,86,7,31,0.28,0.748,SF,3250000
Rafael Ortega,LF,103,0.636,296,86,11,33,0.291,0.823,CHC,570500
Tucker Barnhart,C,116,0.716,348,86,7,48,0.247,0.685,CIN,4187500
Sean Murphy,C,119,0.735,393,85,17,59,0.216,0.71,OAK,575500
Yonathan Daza,RF,108,0.671,301,85,2,30,0.282,0.688,COL,572500
LaMonte Wade,CF,109,0.673,336,85,18,56,0.253,0.808,SF,570500
Ben Gamel,CF,122,0.753,340,84,8,26,0.247,0.735,PIT,1500000
