Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Whit Merrifield,1.0,74,0.303,0.811,KC,1000000
Rafael Devers,0.963,115,0.311,0.916,BOS,614500
Xander Bogaerts,0.957,117,0.309,0.939,BOS,12000000
Ozzie Albies,0.988,86,0.295,0.852,ATL,1000000
Marcus Semien,1.0,92,0.285,0.893,OAK,5900000
Ketel Marte,0.895,92,0.329,0.981,ARI,2000000
Jorge Polanco,0.944,79,0.295,0.841,MIN,3583333
Nolan Arenado,0.957,118,0.315,0.962,COL,26050000
Charlie Blackmon,0.864,86,0.314,0.94,COL,21333333
Jose Abreu,0.988,123,0.284,0.834,CHW,16015000
Nick Castellanos,0.957,73,0.289,0.863,CHC,9950000
Amed Rosario,0.969,72,0.287,0.755,NYM,575500
Freddie Freeman,0.982,121,0.295,0.938,ATL,21409375
Jonathan Villar,1.0,73,0.274,0.791,BAL,4825000
Mookie Betts,0.932,80,0.295,0.915,BOS,20100000
J.D. Martinez,0.914,105,0.304,0.939,BOS,23750000
Trey Mancini,0.951,97,0.291,0.899,BAL,575500
Ronald Acuna Jr.,0.963,101,0.28,0.883,ATL,1000000
Anthony Rendon,0.901,126,0.319,1.01,WSH,18800000
Trevor Story,0.895,85,0.294,0.917,COL,5000000
David Fletcher,0.951,49,0.29,0.734,LAA,561500
Starlin Castro,1.0,86,0.27,0.736,MIA,11857142
Eduardo Escobar,0.975,118,0.269,0.831,ARI,6166666
Cesar Hernandez,0.994,71,0.279,0.741,PHI,7750000
Cody Bellinger,0.963,115,0.305,1.035,LAD,605000
Yulieski Gurriel,0.901,104,0.298,0.884,HOU,10400000
Tim Anderson,0.783,56,0.335,0.865,CHW,1400000
Elvis Andrus,0.907,72,0.275,0.707,TEX,15250000
Eric Hosmer,0.988,99,0.265,0.735,SD,21000000
Alex Bregman,0.969,112,0.296,1.015,HOU,2307166
Jeff McNeil,0.821,75,0.318,0.916,NYM,567714
Jean Segura,0.901,60,0.28,0.743,PHI,14950000
Leury Garcia,0.888,40,0.279,0.688,CHW,1550000
Christian Yelich,0.809,97,0.329,1.1,MIL,9750000
Yoan Moncada,0.82,79,0.315,0.915,CHW,575000
Hanser Alberto,0.864,51,0.305,0.751,BAL,578000
Starling Marte,0.821,82,0.295,0.845,PIT,10333334
Adam Eaton,0.932,49,0.279,0.792,WSH,8400000
Kevin Pillar,0.994,88,0.259,0.719,SF,5800000
Jorge Soler,1.0,117,0.265,0.922,KC,4666667
Eugenio Suarez,0.982,103,0.271,0.93,CIN,7285714
Paul Goldschmidt,0.994,97,0.26,0.821,STL,15500000
Tommy Pham,0.901,68,0.273,0.818,TB,4100000
Eddie Rosario,0.846,109,0.276,0.8,MIN,4190000
Trea Turner,0.753,57,0.298,0.85,WSH,3725000
Pete Alonso,0.994,120,0.26,0.941,NYM,555000
Bryan Reynolds,0.833,68,0.314,0.88,PIT,555000
Adam Frazier,0.944,50,0.278,0.753,PIT,584000
Austin Meadows,0.858,89,0.291,0.922,TB,557400
Kris Bryant,0.914,77,0.282,0.903,CHC,12900000
Juan Soto,0.938,110,0.282,0.949,WSH,578300
Kevin Newman,0.803,64,0.308,0.8,PIT,557500
Gleyber Torres,0.889,90,0.278,0.871,NYY,605200
Anthony Rizzo,0.901,94,0.293,0.924,CHC,11285714
Shin-Soo Choo,0.932,61,0.265,0.826,TEX,21000000
Jose Altuve,0.765,74,0.298,0.903,HOU,9500000
Javier Baez,0.87,85,0.281,0.847,CHC,5200000
Alex Gordon,0.926,76,0.266,0.741,KC,20000000
