Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Whit Merrifield,2B,158,0.975,632,192,12,60,0.304,0.806,KC,569500,569500,569500,24964,0.9506249999999999,399424,36864,144,3600,0.092416,0.6496360000000001
Freddie Freeman,1B,162,1.0,618,191,23,98,0.309,0.892,ATL,21000000,21609375,21609375,26244,1.0,381924,36481,529,9604,0.095481,0.795664
Manny Machado,3B,162,0.994,632,188,37,107,0.298,0.905,LAD,16000000,16000000,6365591,26244,0.988036,399424,35344,1369,11449,0.088804,0.819025
Christian Yelich,LF,147,0.902,574,187,36,110,0.326,1.0,MIL,7000000,7000000,7000000,21609,0.813604,329476,34969,1296,12100,0.10627600000000001,1.0
Nick Markakis,RF,162,1.0,623,185,14,93,0.297,0.806,ATL,10500000,11050000,11050000,26244,1.0,388129,34225,196,8649,0.088209,0.6496360000000001
Nick Castellanos,RF,158,0.975,620,185,23,89,0.298,0.854,DET,6050000,6050000,6050000,24964,0.9506249999999999,384400,34225,529,7921,0.088804,0.729316
Charlie Blackmon,CF,157,0.963,626,182,29,70,0.291,0.86,COL,12000000,12333333,12333333,24649,0.9273689999999999,391876,33124,841,4900,0.08468099999999999,0.7395999999999999
Jose Peraza,SS,158,0.975,632,182,14,58,0.288,0.742,CIN,570000,570000,570000,24964,0.9506249999999999,399424,33124,196,3364,0.08294399999999999,0.5505639999999999
Scooter Gennett,2B,154,0.951,584,181,23,92,0.31,0.847,CIN,5700000,5700000,5700000,23716,0.9044009999999999,341056,32761,529,8464,0.0961,0.717409
Mookie Betts,RF,137,0.846,520,180,32,80,0.346,1.078,BOS,10500000,10500000,10500000,18769,0.7157159999999999,270400,32400,1024,6400,0.11971599999999999,1.1620840000000001
Trea Turner,SS,162,1.0,664,180,19,73,0.271,0.76,WSH,577200,577200,577200,26244,1.0,440896,32400,361,5329,0.073441,0.5776
Jean Segura,SS,146,0.901,586,178,10,63,0.304,0.755,SEA,9000000,9600000,9600000,21316,0.811801,343396,31684,100,3969,0.092416,0.570025
Javier Baez,2B,161,0.988,606,176,34,111,0.29,0.881,CHC,657000,657000,657000,25921,0.976144,367236,30976,1156,12321,0.0841,0.776161
Nolan Arenado,3B,156,0.957,590,175,38,110,0.297,0.935,COL,17750000,17750000,17750000,24336,0.9158489999999999,348100,30625,1444,12100,0.088209,0.8742250000000001
Trevor Story,SS,158,0.969,598,174,37,108,0.291,0.914,COL,555000,555000,555000,24964,0.9389609999999999,357604,30276,1369,11664,0.08468099999999999,0.835396
Paul Goldschmidt,1B,158,0.975,593,172,33,83,0.29,0.922,ARI,11000000,11100000,11100000,24964,0.9506249999999999,351649,29584,1089,6889,0.0841,0.8500840000000001
Alex Bregman,3B,157,0.969,594,170,31,103,0.286,0.926,HOU,599000,599000,599000,24649,0.9389609999999999,352836,28900,961,10609,0.08179599999999998,0.8574760000000001
Mitch Haniger,RF,158,0.975,596,170,26,93,0.285,0.859,SEA,560200,560200,560200,24964,0.9506249999999999,355216,28900,676,8649,0.08122499999999999,0.737881
Miguel Andujar,3B,149,0.92,573,170,27,92,0.297,0.855,NYY,545800,545800,539856,22201,0.8464,328329,28900,729,8464,0.088209,0.7310249999999999
Jose Altuve,2B,137,0.846,534,169,13,61,0.317,0.837,HOU,6000000,9000000,9000000,18769,0.7157159999999999,285156,28561,169,3721,0.10048900000000001,0.700569
