Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Yasiel Puig,0.642,42,0.319,0.925,LAD,3714285
David Freese,0.852,60,0.262,0.721,STL,3150000
Trevor Plouffe,0.796,52,0.254,0.701,MIN,520000
Jedd Gyorko,0.772,63,0.249,0.745,SD,490000
Ryan Doumit,0.833,55,0.247,0.71,MIN,3500000
Gregor Blanco,0.87,41,0.266,0.69,SF,1350000
Neil Walker,0.821,53,0.251,0.757,PIT,3300000
Jason Castro,0.741,56,0.274,0.829,HOU,496600
Leonys Martin,0.902,49,0.26,0.698,TEX,3250000
A.J. Pollock,0.846,38,0.269,0.73,ARI,491000
Carlos Gonzalez,0.679,70,0.302,0.958,COL,7978571
Alberto Callaspo,0.84,58,0.259,0.703,OAK,4100000
Mark Ellis,0.778,48,0.27,0.674,LAD,5250000
Jose Bautista,0.728,73,0.259,0.858,TOR,14000000
Dayan Viciedo,0.765,56,0.265,0.731,CHW,2800000
Jarrod Saltalamacchia,0.747,65,0.273,0.804,BOS,4500000
Bryce Harper,0.728,58,0.274,0.854,WSH,2000000
Adam Dunn,0.92,86,0.219,0.762,CHW,15000000
Colby Rasmus,0.728,66,0.276,0.84,TOR,4675000
Brandon Moss,0.895,87,0.256,0.859,OAK,1600000
Paul Konerko,0.778,54,0.244,0.669,CHW,13500000
Jose Reyes,0.574,37,0.297,0.782,TOR,10000000
Chris Carter,0.914,82,0.223,0.77,HOU,494000
D.J. LeMahieu,0.673,28,0.28,0.673,COL,490000
Nelson Cruz,0.669,77,0.266,0.833,TEX,10800000
Mike Moustakas,0.84,42,0.233,0.651,KC,524500
Dexter Fowler,0.735,42,0.263,0.776,COL,3750000
Everth Cabrera,0.586,31,0.284,0.736,SD,1275000
Juan Uribe,0.815,50,0.278,0.769,LAD,7000000
Justin Smoak,0.809,50,0.237,0.745,SEA,514000
Mitch Moreland,0.902,60,0.232,0.736,TEX,502700
Giancarlo Stanton,0.716,62,0.249,0.845,MIA,537000
Jose Iglesias,0.673,29,0.303,0.735,DET,562500
Hanley Ramirez,0.531,57,0.345,1.04,LAD,15500000
Darwin Barney,0.87,41,0.208,0.57,CHC,562000
Welington Castillo,0.698,32,0.274,0.746,CHC,503000
Emilio Bonifacio,0.84,31,0.243,0.625,KC,2600000
Brett Lawrie,0.661,46,0.254,0.712,TOR,500000
Albert Pujols,0.611,64,0.258,0.767,LAA,16000000
Lorenzo Cain,0.71,46,0.251,0.658,KC,503175
Conor Gillaspie,0.827,40,0.245,0.695,CHW,490500
Gordon Beckham,0.636,24,0.267,0.694,CHW,2925000
David DeJesus,0.753,38,0.251,0.729,TB,4250000
Eric Sogard,0.803,35,0.266,0.686,OAK,495000
Brandon Barnes,0.84,41,0.24,0.635,HOU,491700
Wil Myers,0.54,53,0.293,0.831,TB,490000
Jason Heyward,0.642,38,0.254,0.776,ATL,3650000
Matt Joyce,0.859,47,0.235,0.747,TB,2450000
David Murphy,0.871,45,0.22,0.656,TEX,5775000
Ben Revere,0.543,17,0.305,0.691,PHI,515000
Michael Saunders,0.815,46,0.238,0.723,SEA,512600
Miguel Montero,0.716,42,0.23,0.662,ARI,10000000
Aaron Hill,0.537,41,0.291,0.818,ARI,5500000
Dustin Ackley,0.698,31,0.249,0.654,SEA,2700000
Jordy Mercer,0.636,27,0.285,0.772,PIT,490000
Juan Lagares,0.747,34,0.242,0.633,NYM,490000
Justin Ruggiano,0.79,50,0.222,0.694,MIA,494500
Yonder Alonso,0.599,45,0.281,0.71,SD,1120000
Garrett Jones,0.889,51,0.234,0.71,PIT,4500000
Seth Smith,0.722,40,0.253,0.721,OAK,3675000
A.J. Ellis,0.71,52,0.239,0.682,LAD,2000000
Anthony Rendon,0.605,35,0.265,0.725,WSH,1800000
J.P. Arencibia,0.852,55,0.194,0.592,TOR,505600
Brian McCann,0.63,57,0.256,0.796,ATL,12000000
David Lough,0.593,33,0.286,0.724,KC,491625
Donovan Solano,0.63,34,0.249,0.621,MIA,491500
Didi Gregorius,0.636,28,0.252,0.704,ARI,491000
Ed Lucas,0.58,28,0.256,0.647,MIA,490000
Pedro Florimon,0.827,44,0.221,0.611,MIN,495000
Pete Kozma,0.883,35,0.217,0.548,STL,490000
Oswaldo Arcia,0.599,43,0.251,0.734,MIN,490000
John Buck,0.679,62,0.222,0.652,PIT,6500000
Nick Hundley,0.704,44,0.233,0.679,SD,3000000
Josh Reddick,0.704,56,0.226,0.686,OAK,510000
Jose Tabata,0.654,33,0.283,0.771,PIT,1166667
Alexi Amarista,0.901,32,0.236,0.619,SD,497400
Aramis Ramirez,0.568,49,0.283,0.831,MIL,10000000
Rajai Davis,0.667,24,0.26,0.687,TOR,2500000
Evan Gattis,0.648,65,0.243,0.771,ATL,490000
Skip Schumaker,0.772,30,0.263,0.665,LAD,1500000
Matt Adams,0.667,51,0.284,0.839,STL,490000
Carlos Ruiz,0.568,37,0.268,0.688,PHI,5000000
Nick Franklin,0.63,45,0.225,0.686,SEA,490000
Josh Willingham,0.685,48,0.208,0.709,MIN,7000000
Brad Miller,0.469,36,0.265,0.737,SEA,490000
Dan Uggla,0.84,55,0.179,0.671,ATL,13200000
John Mayberry Jr.,0.827,39,0.227,0.677,PHI,517000
Juan Francisco,0.765,48,0.227,0.719,MIL,496250
Eduardo Nunez,0.556,28,0.26,0.679,NYY,533300
Will Middlebrooks,0.58,49,0.228,0.698,BOS,498000
Daniel Descalso,0.759,43,0.238,0.656,STL,511000
Wilson Ramos,0.482,59,0.272,0.777,WSH,501250
Devin Mesoraco,0.636,42,0.238,0.649,CIN,497500
Carlos Quentin,0.506,44,0.275,0.855,SD,9500000
Ryan Howard,0.494,43,0.266,0.784,PHI,20000000
Charlie Blackmon,0.506,22,0.309,0.803,COL,490000
Nick Punto,0.716,21,0.255,0.655,LAD,1500000
Alex Avila,0.63,47,0.227,0.693,DET,2950000
Steve Lombardozzi,0.728,22,0.259,0.616,WSH,501250
J.D. Martinez,0.531,36,0.25,0.65,HOU,497800
Chris Iannetta,0.71,39,0.225,0.731,LAA,5050000
Rickie Weeks,0.642,24,0.209,0.663,MIL,11000000
Luis Valbuena,0.667,37,0.218,0.707,CHC,930000
Matt Kemp,0.451,33,0.27,0.723,LAD,20250000
Logan Morrison,0.525,36,0.242,0.709,MIA,491500
Lucas Duda,0.617,33,0.223,0.767,NYM,519240
Omar Quintanilla,0.586,21,0.222,0.589,NYM,490000
Craig Gentry,0.65,22,0.281,0.759,TEX,501000
Jose Lobaton,0.614,32,0.249,0.714,TB,496500
Avisail Garcia,0.444,31,0.283,0.731,CHW,490000
Robbie Grossman,0.389,21,0.269,0.702,HOU,490000
Scooter Gennett,0.426,21,0.324,0.834,MIL,490000
Kyle Blanks,0.543,35,0.243,0.684,SD,605000
Ryan Braun,0.377,38,0.298,0.869,MIL,9500000
Gaby Sanchez,0.84,36,0.254,0.762,PIT,1750000
Chris Parmelee,0.624,24,0.228,0.663,MIN,497500
Josh Rutledge,0.543,19,0.235,0.63,COL,490000
Jurickson Profar,0.522,26,0.234,0.644,TEX,491000
Junior Lake,0.395,16,0.284,0.76,CHC,490000
Brian Roberts,0.475,39,0.25,0.707,BAL,10000000
Jose Molina,0.607,18,0.233,0.594,TB,1800000
Kurt Suzuki,0.58,32,0.232,0.627,OAK,6487500
Mike Morse,0.543,26,0.213,0.64,BAL,6750000
Cliff Pennington,0.593,18,0.242,0.618,ARI,1750000
Ike Davis,0.636,33,0.205,0.661,NYM,3125000
Derek Norris,0.599,30,0.246,0.752,OAK,492500
Jesus Guzman,0.778,35,0.226,0.675,SD,503200
Clint Barmes,0.667,23,0.211,0.558,PIT,5500000
Mike Carp,0.531,43,0.296,0.885,BOS,508500
Jayson Nix,0.537,24,0.236,0.619,NYY,900000
Brendan Ryan,0.642,22,0.198,0.529,NYY,3250000
Logan Schafer,0.827,33,0.211,0.601,MIL,490000
Adam Eaton,0.407,22,0.252,0.674,ARI,491000
Chris Stewart,0.673,25,0.211,0.566,NYY,515100
Darin Ruf,0.451,30,0.247,0.806,PHI,490000
