Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Shelby Miller,0.191,2,0.076,0.26,STL,490000
Ehire Adrianza,0.056,3,0.222,0.708,SF,490000
Jonathan Schoop,0.031,1,0.286,0.833,BAL,490000
Zack Wheeler,0.111,2,0.133,0.328,NYM,490000
John Ryan Murphy,0.099,1,0.154,0.377,NYY,490000
Cameron Rupp,0.025,2,0.308,0.742,PHI,490000
Tanner Roark,0.086,1,0.286,0.643,WSH,490000
Joey Butler,0.049,1,0.333,0.967,TEX,490000
Daisuke Matsuzaka,0.043,1,0.25,0.5,NYM,490000
Clayton Richard,0.086,1,0.214,0.429,SD,5240000
Johnny Cueto,0.068,1,0.15,0.3,CIN,7400000
Francisco Liriano,0.161,1,0.064,0.201,PIT,1000000
Bud Norris,0.198,0,0.429,0.857,BAL,3000000
James McDonald,0.049,0,0.273,0.606,PIT,3025000
Jacob Turner,0.124,0,0.086,0.229,MIA,1175000
Tom Koehler,0.179,0,0.077,0.154,MIA,490000
Tim Beckham,0.031,1,0.429,0.804,TB,490000
Wilfredo Tovar,0.043,2,0.2,0.494,NYM,500000
Alfredo Figaro,0.204,2,0.25,0.5,MIL,575000
Jonathan Pettibone,0.111,0,0.103,0.325,PHI,490000
Michael Wacha,0.093,3,0.143,0.286,STL,490000
Zach Walters,0.049,1,0.375,1.069,WSH,490000
Juan Centeno,0.025,1,0.3,0.6,NYM,490000
Aaron Harang,0.161,0,0.182,0.364,NYM,5500000
Wandy Rodriguez,0.08,1,0.091,0.182,PIT,8500000
Jorge De La Rosa,0.185,0,0.039,0.113,COL,11000000
R.A. Dickey,0.21,1,0.333,0.833,TOR,5250000
Ross Detwiler,0.08,0,0.091,0.221,WSH,2337500
Jake Arrieta,0.086,2,0.133,0.267,CHC,516500
Doug Fister,0.204,1,0.4,0.8,DET,4000000
Tom Milone,0.173,1,0.25,0.5,OAK,495000
Ryan Vogelsong,0.117,2,0.069,0.225,SF,5000000
Nathan Eovaldi,0.111,1,0.065,0.158,MIA,502000
Corey Brown,0.086,1,0.167,0.833,WSH,490000
Jason Pridie,0.025,1,0.2,0.4,BAL,490000
Tyler Cloyd,0.08,1,0.111,0.367,PHI,490000
Chris Rusin,0.08,2,0.105,0.211,CHC,490000
Todd Cunningham,0.049,0,0.25,0.5,ATL,490000
Max Stassi,0.019,1,0.286,0.661,HOU,490000
Taylor Jordan,0.056,0,0.143,0.286,WSH,490000
Tyler Lyons,0.074,0,0.167,0.333,STL,490000
Nick Buss,0.049,0,0.105,0.255,LAD,490000
Brian Flynn,0.025,0,0.4,0.8,MIA,490000
Josh Beckett,0.049,0,0.125,0.347,LAD,17000000
Yusmeiro Petit,0.049,2,0.063,0.18,SF,490000
Ervin Santana,0.198,0,0.25,0.5,KC,13000000
Jake Peavy,0.142,0,0.067,0.2,BOS,14500000
James Shields,0.21,0,0.333,0.667,KC,10250000
C.J. Wilson,0.204,0,0.125,0.347,LAA,11500000
Max Scherzer,0.198,1,0.333,1.0,DET,6725000
Rick Porcello,0.198,0,0.333,0.667,DET,5100000
Bruce Chen,0.21,0,0.5,1.0,KC,4500000
Brandon Beachy,0.031,0,0.125,0.347,ATL,510000
Lucas Harrell,0.228,0,0.25,0.75,HOU,500700
Scott Sizemore,0.012,0,0.167,0.5,OAK,500000
Ryan Webb,0.407,0,0.333,0.667,MIA,975000
Vin Mazzaro,0.352,0,0.167,0.333,PIT,490000
Drew Butera,0.037,0,0.1,0.2,LAD,700000
Jeremy Hellickson,0.196,0,0.333,0.667,TB,503000
Alfredo Simon,0.389,0,0.143,0.286,CIN,890000
Dylan Axelrod,0.185,0,0.5,1.0,CHW,493000
Jemile Weeks,0.049,0,0.111,0.222,OAK,490000
Chris Gimenez,0.025,0,0.333,1.167,TB,490000
Adam Ottavino,0.315,0,0.111,0.222,COL,491000
Josh Collmenter,0.303,0,0.091,0.258,ARI,504000
Irving Falu,0.006,0,0.25,0.5,KC,492025
Raul Valdes,0.105,0,0.333,1.0,PHI,505000
Carlos Torres,0.204,1,0.063,0.18,NYM,490000
Eury Perez,0.056,0,0.125,0.25,WSH,490000
Bryan Morris,0.333,0,0.2,0.4,PIT,490000
Collin McHugh,0.043,0,0.167,0.333,COL,490000
Jeanmar Gomez,0.21,0,0.077,0.154,PIT,500000
Robbie Erlin,0.068,1,0.063,0.18,SD,490000
Seth Maness,0.407,0,0.2,0.4,STL,490000
Johnny Monell,0.049,1,0.125,0.347,SF,490000
Efren Navarro,0.025,1,0.25,0.75,LAA,490000
Mike Kickham,0.074,0,0.167,0.5,SF,490000
Burch Smith,0.062,0,0.111,0.311,SD,490000
Troy Patton,0.34,0,0.0,0.0,BAL,815000
Jon Lester,0.204,0,0.0,0.0,BOS,11625000
Carlos Marmol,0.321,0,0.0,0.0,LAD,9800000
Mark Buehrle,0.204,0,0.0,0.0,TOR,12000000
John Danks,0.136,0,0.0,0.0,CHW,15750000
Gavin Floyd,0.031,0,0.0,0.0,CHW,9500000
Matt Belisle,0.444,0,0.0,0.0,COL,4100000
Franklin Morales,0.124,0,0.0,0.0,BOS,1487500
Justin Verlander,0.21,0,0.0,0.0,DET,20000000
Josh Johnson,0.099,0,0.0,0.5,TOR,13750000
C.C. Sabathia,0.198,1,0.0,0.0,NYY,24285714
Wesley Wright,0.438,0,0.0,0.0,TB,1025000
John Lackey,0.179,0,0.0,0.0,BOS,15950000
Jered Weaver,0.148,0,0.0,0.0,LAA,16200000
Chad Billingsley,0.012,0,0.0,0.0,LAD,11000000
Matt Guerrier,0.303,0,0.0,0.0,CHC,4750000
Phil Hughes,0.185,0,0.0,0.0,NYY,7150000
Felix Hernandez,0.191,0,0.0,0.167,SEA,20607142
Jason Hammel,0.161,0,0.0,0.0,BAL,6750000
Miguel Gonzalez,0.185,0,0.0,0.0,BAL,502000
Miguel Gonzalez,0.185,0,0.0,0.0,CHW,490000
Burke Badenhop,0.389,0,0.0,0.0,MIL,1550000
Carlos Martinez,0.13,0,0.0,0.0,STL,490000
Josh Outman,0.377,0,0.0,0.0,COL,675000
Brad Ziegler,0.482,0,0.0,0.0,ARI,3150000
Jesse Chavez,0.216,0,0.0,0.0,OAK,490000
Edward Mujica,0.401,0,0.0,0.0,STL,3200000
Jaime Garcia,0.056,0,0.0,0.0,STL,5875000
Derek Holland,0.203,0,0.0,0.286,TEX,3200000
Darren O'Day,0.414,0,0.0,0.0,BAL,2200000
Aroldis Chapman,0.42,0,0.0,0.0,CIN,4733333
Tim Stauffer,0.265,0,0.0,0.0,SD,1000000
Wilton Lopez,0.463,0,0.0,0.0,COL,1762500
Chris Tillman,0.204,0,0.0,0.0,BAL,508500
Felix Doubront,0.179,0,0.0,0.0,BOS,518500
Sergio Santos,0.179,0,0.0,0.0,TOR,2750000
Esmil Rogers,0.284,0,0.0,0.0,TOR,509000
Jerry Blevins,0.414,0,0.0,0.0,OAK,1100000
Fernando Salas,0.167,0,0.0,0.0,STL,512000
Danny Worth,0.019,0,0.0,0.0,DET,490000
Jeff Manship,0.068,0,0.0,0.0,COL,490000
Jenrry Mejia,0.037,0,0.0,0.0,NYM,494925
Ivan Nova,0.142,0,0.0,0.0,NYY,575600
Vance Worley,0.062,0,0.0,0.0,MIN,525000
Brad Lincoln,0.136,0,0.0,0.0,TOR,490000
Samuel Deduno,0.111,0,0.0,0.0,MIN,490000
Wade Davis,0.191,0,0.0,0.0,KC,2800000
David Price,0.166,0,0.0,0.0,TB,15112500
Craig Stammen,0.34,0,0.0,0.167,WSH,875000
Alexi Ogando,0.141,0,0.0,0.0,TEX,506600
Kenley Jansen,0.463,0,0.0,0.0,LAD,512000
George Kontos,0.321,0,0.0,0.0,SF,494500
Chris Archer,0.141,0,0.0,0.0,TB,490000
Alex Cobb,0.135,0,0.0,0.0,TB,502200
Matt Moore,0.166,0,0.0,0.0,TB,1100000
Hector Santiago,0.21,0,0.0,0.0,CHW,505000
Anthony Swarzak,0.296,0,0.0,0.0,MIN,502500
Jerome Williams,0.228,0,0.0,0.0,LAA,2000000
Martin Perez,0.123,0,0.0,0.0,TEX,492000
Wei-Yin Chen,0.142,0,0.0,0.0,BAL,3655333
Anthony Varvaro,0.383,0,0.0,0.0,ATL,490000
Brad Hand,0.043,0,0.0,0.0,MIA,490000
Yu Darvish,0.196,0,0.0,0.0,TEX,10550000
David Carpenter,0.346,0,0.0,0.0,ATL,490000
Jordan Lyles,0.167,0,0.0,0.0,HOU,490000
Michael Fiers,0.068,0,0.0,0.0,MIL,498000
Jared Hughes,0.179,0,0.0,0.0,PIT,504500
Tony Watson,0.414,0,0.0,0.0,PIT,505500
Drew Pomeranz,0.049,0,0.0,0.0,COL,490000
Anthony Bass,0.148,1,0.0,0.0,SD,503600
Rex Brothers,0.444,0,0.0,0.0,COL,491000
Ronald Belisario,0.475,0,0.0,0.0,LAD,1450000
Erasmo Ramirez,0.086,0,0.0,0.0,SEA,490000
David Phelps,0.136,0,0.0,0.0,NYY,512425
Jose Quintana,0.204,0,0.0,0.0,CHW,500000
Sandy Leon,0.012,0,0.0,0.0,WSH,490000
Dale Thayer,0.426,0,0.0,0.0,SD,498900
Sam Dyson,0.031,0,0.0,0.0,MIA,490000
Todd Redmond,0.105,0,0.0,0.25,TOR,490000
Neftali Soto,0.08,0,0.0,0.077,CIN,490000
Justin Grimm,0.166,0,0.0,0.0,CHC,491000
Alex Colome,0.018,0,0.0,0.0,TB,490000
Trevor Rosenthal,0.457,0,0.0,0.0,STL,490000
Ryan Jackson,0.043,0,0.0,0.0,STL,490000
Jean Machi,0.315,0,0.0,0.0,SF,490500
Brad Boxberger,0.111,0,0.0,0.0,SD,492300
Justin Wilson,0.358,0,0.0,0.0,PIT,493500
Dan Straily,0.167,0,0.0,0.333,OAK,492500
Johnny Hellweg,0.049,0,0.0,0.0,MIL,490000
Tyler Thornburg,0.117,0,0.0,0.0,MIL,490000
Paco Rodriguez,0.469,0,0.0,0.0,LAD,491500
Chris Withrow,0.161,0,0.0,0.0,LAD,490000
Dallas Keuchel,0.204,0,0.0,0.0,HOU,490000
Brooks Raley,0.056,0,0.0,0.0,CHC,490000
Stolmy Pimentel,0.031,0,0.0,0.0,PIT,490000
Chad Jenkins,0.062,0,0.0,0.0,TOR,490000
Rob Scahill,0.142,0,0.0,0.0,COL,490000
Gonzalez Germen,0.179,0,0.0,0.0,NYM,490000
Eury De La Rosa,0.117,0,0.0,0.0,ARI,490000
Christian Bethancourt,0.006,0,0.0,0.0,ATL,490000
Nick Tepesch,0.117,0,0.0,0.0,TEX,490000
Brandon Cumpton,0.037,0,0.0,0.1,PIT,490000
Alex Wood,0.191,0,0.0,0.0,ATL,490000
Kevin Gausman,0.124,0,0.0,0.0,BAL,490000
Curtis Partch,0.086,0,0.0,0.0,CIN,490000
J.C. Ramirez,0.111,0,0.0,0.0,PHI,490000
Chad Bettis,0.105,0,0.0,0.0,COL,490000
Jose Alvarez,0.086,0,0.0,0.5,DET,490000
Jose Dominguez,0.056,0,0.0,0.0,LAD,490000
Rob Wooten,0.167,0,0.0,0.0,MIL,490000
A.J. Griffin,0.198,0,0.0,0.2,OAK,492500
Ethan Martin,0.093,0,0.0,0.0,PHI,490000
James Paxton,0.025,0,0.0,0.5,SEA,490000
Kevin Siegrist,0.278,0,0.0,0.0,STL,490000
Chaz Roe,0.13,0,0.0,0.0,ARI,490000
Jimmy Nelson,0.025,0,0.0,0.0,MIL,490000
Luis Garcia,0.148,0,0.0,0.0,PHI,490000
Audry Perez,0.012,0,0.0,0.0,STL,490000
