Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Michael Fiers,2019,UFA,OAK,2,14100000,7050000,SP,34,32,184.7,166,82,80,53,126,14,4,0,1.19,3.9,OAK,6000000,6000000,6000000,0.07579859231185707,0.0318835348613367,2.3773584905660377,1156,1024,34114.09,27556,6724,6400,2809,15876,196,16,0,1.4161,15.209999999999999,0.0010165597952540727,5.651833392666429,1336336
Justin Wilson,2019,UFA,CHC,2,10000000,5000000,RP,45,0,39.0,33,12,11,19,44,4,2,4,1.33,2.54,NYM,5000000,5000000,5000000,0.12535612535612536,0.05413105413105413,2.3157894736842106,2025,0,1521.0,1089,144,121,361,1936,16,4,16,1.7689000000000001,6.4516,0.0029301710213391124,5.362880886426593,4100625
Brian Dozier,2019,UFA,LAD,1,9000000,9000000,2B,135,114,1.0,2,2,2,0,0,0,0,0,2.0,18.0,WSH,9000000,9000000,9000000,0.0,0.0,,18225,12996,1.0,4,4,4,0,0,0,0,0,4.0,324.0,0.0,,332150625
Trevor Cahill,2019,UFA,OAK,1,9000000,9000000,RP,39,11,102.3,111,71,68,39,81,4,9,0,1.47,5.98,LAA,9000000,9000000,9000000,0.08797653958944282,0.042359074617139135,2.076923076923077,1521,121,10465.289999999999,12321,5041,4624,1521,6561,16,81,0,2.1609,35.760400000000004,0.001794291202420361,4.313609467455622,2313441
Ian Kinsler,2019,UFA,BOS,2,8000000,4000000,2B,87,63,1.0,1,0,0,2,0,0,0,0,3.0,0.0,SD,3750000,3750000,3750000,0.0,0.2222222222222222,0.0,7569,3969,1.0,1,0,0,4,0,0,0,0,9.0,0.0,0.04938271604938271,0.0,57289761
Jesse Chavez,2019,UFA,CHC,2,8000000,4000000,RP,48,9,78.0,82,48,42,22,72,3,5,1,1.33,4.85,TEX,4000000,4000000,4000000,0.10256410256410256,0.03133903133903134,3.272727272727273,2304,81,6084.0,6724,2304,1764,484,5184,9,25,1,1.7689000000000001,23.522499999999997,0.0009821348852687886,10.710743801652894,5308416
Derek Holland,2019,UFA,SF,1,7000000,7000000,RP,53,8,84.3,82,61,57,45,82,2,5,0,1.51,6.08,CHC,6500000,6500000,475000,0.1080796098589693,0.05931198102016608,1.8222222222222222,2809,64,7106.49,6724,3721,3249,2025,6724,4,25,0,2.2801,36.9664,0.003517911092536541,3.320493827160494,7890481
Tyson Ross,2019,UFA,STL,1,5750000,5750000,SP,7,7,35.3,41,28,24,18,25,1,5,0,1.67,6.11,DET,5750000,6000000,6000000,0.07869058860560277,0.056657223796033995,1.3888888888888888,49,49,1246.0899999999997,1681,784,576,324,625,1,25,0,2.7889,37.332100000000004,0.003210041008273881,1.9290123456790123,2401
Daniel Descalso,2019,UFA,ARI,2,5000000,2500000,2B,82,38,1.0,2,2,2,0,0,0,0,0,2.0,18.0,CHC,1500000,1500000,1500000,0.0,0.0,,6724,1444,1.0,4,4,4,0,0,0,0,0,4.0,324.0,0.0,,45212176
Wade Miley,2019,UFA,MIL,1,4500000,4500000,SP,33,33,167.3,164,83,74,61,140,14,6,0,1.35,3.98,HOU,4500000,5000000,5000000,0.09298000929800093,0.040512718336986116,2.2950819672131146,1089,1089,27989.290000000005,26896,6889,5476,3721,19600,196,36,0,1.8225000000000002,15.8404,0.001641280347051971,5.26740123622682,1185921
Martin Perez,2019,UFA,TEX,1,4000000,4000000,SP,32,29,165.3,184,104,94,67,135,10,7,0,1.52,5.12,MIN,3500000,3500000,3500000,0.09074410163339383,0.045035961551388046,2.014925373134328,1024,841,27324.090000000004,33856,10816,8836,4489,18225,100,49,0,2.3104,26.2144,0.0020282378328581024,4.059924259300511,1048576
Matt Shoemaker,2019,UFA,LAA,1,3500000,3500000,SP,5,5,28.7,16,7,5,9,24,3,0,0,0.87,1.57,TOR,3500000,3500000,3500000,0.09291521486643438,0.03484320557491289,2.6666666666666665,25,25,823.6899999999999,256,49,25,81,576,9,0,0,0.7569,2.4649,0.0012140489747356406,7.111111111111111,625
Chris Owings,2019,UFA,ARI,1,3000000,3000000,2B,67,47,1.7,6,4,4,1,0,0,0,0,4.2,21.6,BOS,555000,555000,149194,0.0,0.06535947712418301,0.0,4489,2209,2.8899999999999997,36,16,16,1,0,0,0,0,17.64,466.56000000000006,0.0042718612499466025,0.0,20151121
Clay Buchholz,2019,UFA,ARI,1,3000000,3000000,SP,12,12,59.0,72,44,43,16,39,2,5,0,1.49,6.56,TOR,3000000,3000000,3000000,0.07344632768361582,0.030131826741996232,2.4375,144,144,3481.0,5184,1936,1849,256,1521,4,25,0,2.2201,43.03359999999999,0.0009079269828096793,5.94140625,20736
Shawn Kelley,2019,UFA,OAK,1,2750000,2750000,RP,51,0,47.3,55,27,26,11,43,5,2,11,1.39,4.94,TEX,2500000,2562500,2562500,0.10101010101010101,0.02583979328165375,3.909090909090909,2601,0,2237.2899999999995,3025,729,676,121,1849,25,4,121,1.9320999999999997,24.403600000000004,0.0006676949168385982,15.28099173553719,6765201
Jake Diekman,2019,UFA,ARI,1,2750000,2750000,RP,75,0,61.0,48,34,32,39,82,1,7,0,1.43,4.72,OAK,2250000,2250000,786305,0.1493624772313297,0.07103825136612021,2.1025641025641026,5625,0,3721.0,2304,1156,1024,1521,6724,1,49,0,2.0448999999999997,22.278399999999998,0.00504643315715608,4.42077580539119,31640625
David Phelps,2019,UFA,SEA,1,2500000,2500000,RP,41,1,34.3,31,14,13,17,36,2,1,1,1.4,3.41,CHC,2500000,2500000,833342,0.11661807580174928,0.0550696469063816,2.1176470588235294,1681,1,1176.4899999999998,961,196,169,289,1296,4,1,1,1.9599999999999997,11.628100000000002,0.003032666010393545,4.484429065743945,2825761
Adam Warren,2019,UFA,SEA,1,2500000,2500000,RP,25,0,28.7,28,18,17,12,25,4,1,0,1.39,5.34,SD,2000000,2000000,2000000,0.0967866821525358,0.04645760743321719,2.0833333333333335,625,0,823.6899999999999,784,324,289,144,625,16,1,0,1.9320999999999997,28.5156,0.002158309288418917,4.340277777777779,390625
Matt Moore,2019,UFA,TEX,1,2500000,2500000,SP,2,2,10.0,3,0,0,1,9,0,0,0,0.4,0.0,DET,2500000,2500000,2500000,0.1,0.011111111111111112,9.0,4,4,100.0,9,0,0,1,81,0,0,0,0.16000000000000003,0.0,0.0001234567901234568,81.0,16
Sergio Romo,2019,UFA,TB,1,2500000,2500000,RP,65,0,60.3,50,27,23,17,60,2,1,20,1.11,3.43,MIN,2500000,2500000,873665,0.1105583195135434,0.031324857195503965,3.5294117647058822,4225,0,3636.0899999999997,2500,729,529,289,3600,4,1,400,1.2321000000000002,11.7649,0.0009812466783187166,12.45674740484429,17850625
Jordan Lyles,2019,UFA,MIL,1,2050000,2050000,SP,28,28,141.0,131,72,65,55,146,12,8,0,1.32,4.15,MIL,2050000,2050000,694386,0.11505122143420016,0.04334121355397951,2.6545454545454548,784,784,19881.0,17161,5184,4225,3025,21316,144,64,0,1.7424000000000002,17.222500000000004,0.0018784607923316573,7.046611570247935,614656
Gio Gonzalez,2019,UFA,NYY,1,2000000,2000000,SP,19,17,87.3,76,36,34,37,78,3,2,0,1.29,3.5,MIL,2000000,2000000,1709677,0.09927453226422299,0.04709176530482373,2.108108108108108,361,289,7621.289999999999,5776,1296,1156,1369,6084,9,4,0,1.6641000000000001,12.25,0.0022176343595245998,4.4441197954711456,130321
Drew Pomeranz,2019,UFA,BOS,1,1500000,1500000,RP,46,18,104.0,105,58,56,44,137,2,10,2,1.43,4.85,MIL,1500000,1500000,491965,0.14636752136752137,0.04700854700854701,3.1136363636363638,2116,324,10816.0,11025,3364,3136,1936,18769,4,100,4,2.0448999999999997,23.522499999999997,0.0022098034918547737,9.694731404958679,4477456
Daniel Hudson,2019,UFA,LAA,1,1500000,1500000,RP,69,1,73.0,56,25,20,27,71,9,3,8,1.14,2.47,WSH,1500000,1500000,491965,0.1080669710806697,0.0410958904109589,2.6296296296296298,4761,1,5329.0,3136,625,400,729,5041,81,9,64,1.2995999999999999,6.100900000000001,0.0016888722086695438,6.914951989026064,22667121
Brett Anderson,2019,UFA,OAK,1,1500000,1500000,SP,32,31,176.0,181,80,76,49,90,13,9,0,1.31,3.89,OAK,1500000,1500000,1500000,0.056818181818181816,0.030934343434343436,1.836734693877551,1024,961,30976.0,32761,6400,5776,2401,8100,169,81,0,1.7161000000000002,15.132100000000001,0.0009569336037139069,3.3735943356934612,1048576
Cory Gearrin,2019,UFA,OAK,1,1400000,1400000,RP,66,1,55.3,55,25,25,25,47,1,3,0,1.45,4.07,NYY,1400000,1400000,278499,0.09443439823186658,0.05023106288929074,1.88,4356,1,3058.0899999999997,3025,625,625,625,2209,1,9,0,2.1025,16.5649,0.002523159678987881,3.5343999999999998,18974736
Hunter Strickland,2019,UFA,SF,1,1300000,1300000,RP,28,0,24.3,22,15,15,8,18,2,1,2,1.23,5.55,WSH,1300000,1375000,419355,0.0823045267489712,0.036579789666209415,2.25,784,0,590.49,484,225,225,64,324,4,1,4,1.5129,30.8025,0.0013380810120241211,5.0625,614656
Jeremy Hellickson,2019,UFA,WSH,1,1300000,1300000,RP,9,8,39.0,47,31,27,20,30,2,3,0,1.72,6.23,WSH,1300000,1900000,1900000,0.08547008547008547,0.05698005698005698,1.5,81,64,1521.0,2209,961,729,400,900,4,9,0,2.9583999999999997,38.812900000000006,0.0032467268934505402,2.25,6561
Caleb Joseph,2019,UFA,BAL,1,1100000,1100000,C,20,11,1.3,0,0,0,0,0,0,0,0,0.0,0.0,ARI,1100000,1100000,473120,0.0,0.0,,400,121,1.6900000000000002,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,160000
Blake Parker,2019,UFA,LAA,0,0,0,RP,60,2,61.3,53,32,31,22,65,3,3,10,1.22,4.55,PHI,555000,555000,185008,0.11781765452238536,0.039876744607576585,2.9545454545454546,3600,4,3757.6899999999996,2809,1024,961,484,4225,9,9,100,1.4884,20.702499999999997,0.0015901547604978883,8.729338842975206,12960000
Brad Brach,2019,UFA,CHC,0,0,0,RP,59,0,54.3,57,33,33,31,60,5,4,0,1.62,5.47,NYM,555000,555000,158152,0.12277470841006753,0.06343359934520156,1.935483870967742,3481,0,2948.49,3249,1089,1089,961,3600,25,16,0,2.6244000000000005,29.920899999999996,0.004023821525887555,3.746097814776275,12117361
