Jugador,Y,X,Posicion,Estado,Equipos_estado
D.J. LeMahieu,325.95742679445357,0.7973722274670736,2B,New York,2.0
Dallas Keuchel,-400.16035833320166,0.7761987323164664,SP,Georgia,1.0
Dan Haren,-340.3266035841152,0.6825396825396826,SP,Washington DC,1.0
Dan Johnson,-275.658921203353,0.6869822470392353,1B,Illinois,2.0
Daniel Descalso,-87.91251869818825,-0.5569574694415405,3B,Colorado,1.0
Daniel Descalso,39.24406457521013,0.7576767609436587,3B,Arizona,1.0
Daniel Hudson,1570.7073629422434,-0.5246505481509285,RP,Arizona,1.0
Daniel Hudson,-1204.9237538405375,0.5964490067914808,RP,Pennsylvania,2.0
Daniel Hudson,1060.7687081720012,0.738095238095238,RP,Washington DC,1.0
Daniel Murphy,250.28194081664515,0.7506654835847382,2B,Washington DC,1.0
Darren O'Day,-1067.8456461132089,0.7100332503077386,RP,Maryland,1.0
David Hernandez,-360.51876278038503,-0.6111147204336758,RP,Pennsylvania,2.0
David Phelps,30.333864680709667,0.6559297999321454,RP,Pennsylvania,2.0
David Phelps,-328.665555559146,0.6494177833475624,RP,Illinois,2.0
David Robertson,-125.66140820263627,-0.6180581238982145,RP,Illinois,2.0
David Ross,-208.29003723949472,0.7333348921295317,C,Massachusetts,1.0
Delmon Young,314.89755318764287,0.7149635231997314,LF,Florida,2.0
Dexter Fowler,1265.5905038278852,0.7984359711335656,CF,Illinois,2.0
Didi Gregorius,-240.05338585849995,0.6559297999321454,SS,Pennsylvania,2.0
Dioner Navarro,426.30699116876485,-0.5102568297730847,C,Illinois,2.0
Dioner Navarro,455.0655868333282,0.7737993487324512,C,Ohio,2.0
Dioner Navarro,272.0366961326097,0.6741158547505346,C,Toronto,1.0
Don Kelly,172.28862257789103,0.7576767609436587,CF,Michigan,1.0
Doug Fister,-1581.0985015440913,0.64300361626761,SP,Texas,2.0
Drew Pomeranz,1245.4992878845999,0.7181018099703265,RP,Wisconsin,1.0
Dustin McGowan,328.36386009548846,0.6869132393447492,RP,Florida,2.0
Edinson Volquez,535.9881579080788,0.6998335013020043,SP,Pennsylvania,2.0
Edinson Volquez,226.01539697160297,0.7641013883490977,SP,Missouri,2.0
Edwin Jackson,285.56813734807565,0.7777777777777778,SP,Washington DC,1.0
Edwin Jackson,-3131.7039842277645,-0.5102568297730847,SP,Illinois,2.0
Edwin Jackson,294.4814337568388,-0.5351261274732456,SP,California,5.0
Endy Chavez,1.542871544372474,-0.5880030607499447,LF,Washington,1.0
Endy Chavez,-575.5639609802863,0.7457440977032666,LF,Maryland,1.0
Eric Chavez,410.5286696222738,0.7354404039744853,3B,New York,2.0
Eric Fryer,1.9839164624755767,-0.5159715328022141,C,Minnesota,1.0
Eric O'Flaherty,95.30843701872186,0.7012809351157462,RP,California,5.0
Eric Young Jr.,-6.707958319433828,0.7435018702437142,CF,New York,2.0
Ervin Santana,-1069.9135171599892,-0.6282596204870265,SP,Georgia,1.0
Fernando Abad,1.9839164624755767,0.6825396825396826,RP,Washington DC,1.0
Fernando Rodney,-48.632655412130134,0.6869132393447492,RP,Florida,2.0
Fernando Rodney,419.7902349756241,0.7576767609436587,RP,Arizona,1.0
Fernando Rodney,-689.1863584706807,0.7166528424781935,RP,Washington,1.0
Francisco Cervelli,680.0950067878509,0.7761987323164664,C,Georgia,1.0
Francisco Liriano,-1575.0776372047817,0.7761987323164664,RP,Pennsylvania,2.0
Francisco Rodriguez,71.67027220935711,-0.6575378065770738,RP,Wisconsin,1.0
Francisco Rodriguez,403.46311306384223,0.6815940677933081,RP,Maryland,1.0
Franklin Gutierrez,918.3049097425076,-0.6249879440216803,CF,Washington,1.0
Franklin Gutierrez,15.346302835407187,0.7166528424781935,CF,Washington,1.0
Freddy Galvis,-828.1755348111708,-0.5982984655147817,SS,Ohio,2.0
Garrett Richards,373.7404980441929,-0.5474647291778755,SP,California,5.0
Gavin Floyd,-1077.1754910679556,-0.6282596204870265,RP,Georgia,1.0
Geovany Soto,468.4153826528068,-0.6180581238982145,C,Illinois,2.0
Geovany Soto,-478.95794520957475,0.731269589289021,C,Texas,2.0
Gio Gonzalez,714.645699714933,0.7181018099703265,SP,Wisconsin,1.0
Gordon Beckham,-324.1903490804516,-0.6180581238982145,2B,Illinois,2.0
Greg Holland,1179.4447567206157,0.6507936507936508,RP,Washington DC,1.0
Greg Holland,-3024.270838713395,0.718749150033873,RP,Colorado,1.0
Heath Bell,508.92863391300125,-0.5925552556935482,RP,Florida,2.0
Hector Rondon,-459.24441285841203,0.7835779665318767,RP,Texas,2.0
Hiroki Kuroda,741.6764136479374,0.7354404039744853,SP,New York,2.0
Hiroki Kuroda,102.35889556606708,-0.6580256246087499,SP,New York,2.0
Hisashi Iwakuma,1143.7900069654593,-0.5880030607499447,SP,Washington,1.0
Howie Kendrick,247.62740376417855,0.6507936507936508,LF,Washington DC,1.0
Howie Kendrick,-1561.2265682806296,-0.669910641989637,LF,California,5.0
Ian Desmond,-31.44225482119282,0.7681550050616361,LF,Texas,2.0
Ichiro Suzuki,-836.9546318018911,-0.6580256246087499,RF,New York,2.0
Ivan Nova,-1758.887419158999,0.5964490067914808,SP,Pennsylvania,2.0
J.A. Happ,884.7372916430145,0.7191645308182011,SP,Toronto,1.0
J.A. Happ,-1402.262734214924,0.7973722274670736,SP,New York,2.0
J.P. Arencibia,-673.6426968497667,-0.5384072800259824,1B,Texas,2.0
J.P. Howell,688.2965430987713,-0.6730916042023134,RP,California,5.0
Jake Diekman,152.56361660037965,0.7730028489344021,RP,California,5.0
Jake McGee,-1979.6582412120724,0.7471828481629895,RP,Colorado,1.0
Jake McGee,653.1625552751973,0.8437205738748231,RP,California,5.0
James Loney,-990.1273583533708,-0.6049691350151573,1B,Florida,2.0
James Loney,221.81944833275156,0.7149635231997314,1B,Florida,2.0
James McCann,1241.2538083011955,-0.5855287489562031,C,Illinois,2.0
Jamey Wright,412.1960088783775,0.7149635231997314,RP,Florida,2.0
Jamey Wright,-7.449632045241856,-0.62919432566738,RP,California,5.0
Jared Hughes,736.1536863193471,0.689612821532053,RP,Wisconsin,1.0
Jared Hughes,-904.8627567596236,-0.5344799625265383,RP,Ohio,2.0
Jarrod Dyson,-216.2126346036614,0.7637626158259734,CF,Illinois,2.0
Jarrod Dyson,-564.0903866624863,0.6680590795417206,RF,Arizona,1.0
Jarrod Saltalamacchia,-1863.6644486935988,0.6612573143246843,C,Florida,2.0
Jason Castro,-387.3622175034993,0.6645087922452757,C,Minnesota,1.0
Jason Castro,-797.8900957714836,0.7892723355548015,C,California,5.0
Jason Grilli,499.033723138853,0.7475494218453228,RP,Pennsylvania,2.0
Jason Hammel,587.1456092837916,0.7012809351157462,SP,California,5.0
Jason Hammel,-856.6926360500311,0.7468016390580665,SP,Illinois,2.0
Jason Motte,107.69469490515894,0.7468016390580665,RP,Illinois,2.0
Jason Vargas,-286.6490174155433,0.7189919092234188,SP,Missouri,2.0
Jed Lowrie,-22.776959671507484,0.6583132261787437,2B,Texas,2.0
Jeff Baker,-73.46704320746699,0.731269589289021,1B,Texas,2.0
Jeff Francoeur,-7.315687168397972,-0.6059516443447046,LF,California,5.0
Jeff Mathis,185.59771549655693,0.6869132393447492,C,Florida,2.0
Jerry Blevins,89.89542075724376,0.7267939630472261,RP,New York,2.0
Jesse Chavez,787.0619166167792,0.7299546951299288,RP,Illinois,2.0
Jesse Chavez,-1418.9482910952895,-0.6329579698386723,RP,California,5.0
Jhoulys Chacin,1681.1841441879544,-0.5552856538804167,SP,California,5.0
Jhoulys Chacin,-2067.1045589025134,0.7650776573310378,SP,Wisconsin,1.0
Jhoulys Chacin,276.50230562786965,-0.5811615645428679,SP,California,5.0
Jim Johnson,61.86887146540971,0.7332355751067665,RP,Michigan,1.0
Jim Johnson,1044.8691466118453,-0.669910641989637,RP,California,5.0
Joakim Soria,-744.5975639255789,0.7730028489344021,RP/CL,California,5.0
Joakim Soria,1285.9734127104232,0.731269589289021,RP/CL,Texas,2.0
Joakim Soria,-186.47035828353728,0.6584277920880522,RP/CL,Missouri,2.0
Joaquin Benoit,258.84245719988076,-0.6059516443447046,RP,California,5.0
Joba Chamberlain,-1091.326685431073,0.7332355751067665,RP,Michigan,1.0
Joe Blanton,-624.602658256239,-0.6171340205927054,RP,California,5.0
Joe Blanton,-22.23303159986108,-0.669910641989637,RP,California,5.0
Joe Nathan,-2452.633244524283,0.7332355751067665,RP,Michigan,1.0
Joe Nathan,127.27345673573336,0.7473414483942741,RP,Texas,2.0
Joe Smith,296.4059591118976,0.780189497605494,RP,California,5.0
John Axford,529.8792853592306,-0.5569574694415405,RP,Colorado,1.0
Jon Jay,-914.8574488604131,0.7112670960473303,CF,Illinois,2.0
Jon Lester,-3360.5736094364784,0.7468016390580665,SP,Illinois,2.0
Jonathan Broxton,-15.705203328761854,0.7737993487324512,RP,Ohio,2.0
Jonathan Broxton,-99.42716767881666,0.7179581586177382,RP,Ohio,2.0
Jonathan Lucroy,-1880.839425849161,0.7730028489344021,C,California,5.0
Jonathan Schoop,-292.24931629678304,0.7895928001973276,2B,Minnesota,1.0
Jonathan Schoop,-395.2915572137081,-0.5325605756038618,2B,Michigan,1.0
Jonny Gomes,-1342.3863721466644,0.7333348921295317,LF,Massachusetts,1.0
Jonny Gomes,1325.268344515856,0.7490955443281835,LF,California,5.0
Jordan Lyles,574.6238882965256,0.7650776573310378,SP,Wisconsin,1.0
Jordan Lyles,1420.0916284282018,0.7181018099703265,SP,Wisconsin,1.0
Jose Bautista,-3694.1242303888107,-0.6172627103739834,RF,Toronto,1.0
Jose Iglesias,-858.787286702058,-0.5657101427946736,SS,Maryland,1.0
Jose Molina,84.76527771907922,0.7071067811865476,C,Florida,2.0
Jose Reyes,711.7947902445823,0.7267939630472261,3B,New York,2.0
Jose Reyes,-2678.457739209836,-0.5925552556935482,3B,Florida,2.0
Jose Veras,-710.4372760675187,0.7576767609436587,RP,Michigan,1.0
Josh Donaldson,-248.34809620476517,0.7761987323164664,3B,Georgia,1.0
Juan Nicasio,1050.8390704383946,0.6280608041514294,RP,Pennsylvania,2.0
Justin Morneau,-1277.8735767152273,-0.548644671390174,1B,Colorado,1.0
Justin Turner,2668.897698964196,-0.6846339528025961,3B,California,5.0
Justin Turner,-309.5970904897931,0.7608861612721803,3B,California,5.0
Justin Wilson,-605.4500154723144,0.7100860558507381,RP,New York,2.0
Kelly Johnson,766.7097804896125,0.7435018702437142,2B,New York,2.0
Kelly Johnson,-1025.945142722583,0.7698003589195009,2B,Maryland,1.0
Kelly Johnson,164.90462429162926,0.7149635231997314,2B,Florida,2.0
Kendrys Morales,-827.0537524004203,0.7166528424781935,DH,Washington,1.0
Kendrys Morales,445.85669145026077,0.7641013883490977,DH,Missouri,2.0
Koji Uehara,224.88672587355995,0.7333348921295317,RP,Massachusetts,1.0
Kurt Suzuki,729.066491836584,-0.5725910465198216,C,Georgia,1.0
Kurt Suzuki,-828.1755348111708,0.738095238095238,C,Washington DC,1.0
Kurt Suzuki,-613.5344429829975,-0.5472425347902269,C,Minnesota,1.0
LaTroy Hawkins,526.2722048323155,-0.6143765627745602,RP/CL,New York,2.0
LaTroy Hawkins,-803.1307126509855,0.704165741445523,RP/CL,California,5.0
Lance Lynn,-452.44737281071093,0.7741477936573529,SP,New York,2.0
Luke Gregerson,-307.72899827525043,0.6583132261787437,RP,Texas,2.0
Lyle Overbay,104.4860843353656,-0.6580256246087499,1B,New York,2.0
Manny Parra,434.49274349555344,0.7179581586177382,RP,Ohio,2.0
Marcell Ozuna,-321.2477428899797,0.7515257485572661,LF,Georgia,1.0
Mark Ellis,733.654813988054,-0.62919432566738,2B,California,5.0
Mark Lowe,1730.1619834131116,0.760026151887417,RP,Toronto,1.0
Mark Lowe,6.762601186721895,-0.6171340205927054,RP,California,5.0
Mark Melancon,-1924.1067254581592,-0.4853408919066333,RP/CL,California,5.0
Mark Reynolds,-0.8594583804506328,-0.6575378065770738,3B,Wisconsin,1.0
Mark Reynolds,758.0479938006597,-0.6580256246087499,3B,New York,2.0
Marlon Byrd,2123.668008006783,0.7475494218453228,LF,Pennsylvania,2.0
Martin Maldonado,286.4831086197919,0.8114093252900795,C,Texas,2.0
Martin Perez,516.8833995744603,0.7895928001973276,SP,Minnesota,1.0
Marwin Gonzalez,-2807.2609823769735,0.7895928001973276,3B,Minnesota,1.0
Mat Latos,-4.778684724246318,0.6766949724129284,SP,California,5.0
Matt Adams,-293.94204938912594,-0.6871121829501663,1B,Missouri,2.0
Matt Albers,-295.22871070630777,-0.5325287151187511,RP,Texas,2.0
Matt Albers,139.43801056252642,0.6343228113692201,RP,Illinois,2.0
Matt Albers,193.1033053579181,-0.6180581238982145,RP,Illinois,2.0
Matt Belisle,-812.4270254165367,0.7905694150420948,RP,Missouri,2.0
Matt Belisle,317.45478806065535,0.7506654835847382,RP,Washington DC,1.0
Matt Joyce,-1059.6027883029024,-0.5976826151554655,RF,California,5.0
Matt Joyce,1288.51947237059,0.6280608041514294,RF,Pennsylvania,2.0
Melky Cabrera,804.7350286011651,-0.601018954837826,LF,Toronto,1.0
Michael Brantley,-98.10754619221962,0.8114093252900795,LF,Texas,2.0
Michael Fiers,-22.148879366915935,0.7730028489344021,SP,California,5.0
Michael Fiers,-641.6255143437847,0.7730028489344021,SP,California,5.0
Michael Wacha,-188.73166019473638,-0.5828274960374882,RP,New York,2.0
Miguel Gonzalez,1506.5356639875035,0.6343228113692201,SP,Illinois,2.0
Mike Minor,-339.10770497999965,-0.5384072800259824,SP,Texas,2.0
Mike Morse,-790.6704225010037,0.6638581648420119,LF,California,5.0
Mike Moustakas,811.023427262744,0.7181018099703265,3B,Wisconsin,1.0
Mike Moustakas,-148.32797021193664,0.7650776573310378,3B,Wisconsin,1.0
Mike Napoli,390.78906419607574,0.7333348921295317,1B,Massachusetts,1.0
Mike Napoli,-1703.9780918380602,-0.5367709004247088,1B,Massachusetts,1.0
Mike Pelfrey,352.00864047200275,-0.5159715328022141,RP,Minnesota,1.0
Mike Pelfrey,496.28495849584897,-0.5472425347902269,RP,Minnesota,1.0
Mitch Moreland,-110.38762556821007,0.7892723355548015,1B,California,5.0
Mitch Moreland,-1029.941447437745,0.816496580927726,1B,Massachusetts,1.0
Mitch Moreland,181.99412131350027,0.7030942780210974,1B,Massachusetts,1.0
Nate McLouth,867.0251707189962,0.6815940677933081,LF,Maryland,1.0
Neil Walker,-621.1600856405207,0.7741477936573529,2B,New York,2.0
Nelson Cruz,1027.9821626760067,0.7698003589195009,DH,Maryland,1.0
Nelson Cruz,-201.91231008142677,-0.6249879440216803,DH,Washington,1.0
Nelson Cruz,-228.55615522104108,0.7895928001973276,DH,Minnesota,1.0
Nick Hundley,155.15913797312282,-0.4853408919066333,C,California,5.0
Nick Hundley,-395.6693733461168,-0.5569574694415405,C,Colorado,1.0
Nick Markakis,-1487.2790419314629,-0.5233840034595245,RF,Georgia,1.0
Oliver Perez,425.08890605048396,-0.5246505481509285,RP,Arizona,1.0
Omar Infante,802.2861362308136,0.7169414512155049,2B,Michigan,1.0
Pat Neshek,1437.7585881210464,-0.699236550944064,RP,Missouri,2.0
Pat Neshek,383.60107387955486,0.6583132261787437,RP,Texas,2.0
Pedro Alvarez,-1104.8805091843526,0.7100332503077386,1B,Maryland,1.0
Peter Moylan,32.56235207837267,-0.6730916042023134,RP,California,5.0
Rafael Furcal,-768.1867572414826,-0.6871121829501663,SS,Missouri,2.0
Rajai Davis,183.18187584616453,0.7332355751067665,CF,Michigan,1.0
Ramon Santiago,-452.2214157438309,0.7169414512155049,2B,Michigan,1.0
Raul Ibanez,-1032.0138180963163,-0.5880030607499447,DH,Washington,1.0
Raul Ibanez,649.124364272833,0.7354404039744853,DH,New York,2.0
Reed Johnson,-294.3689159271437,0.7634547286930955,LF,Georgia,1.0
Reed Johnson,199.226573905931,-0.4716010093357299,LF,Illinois,2.0
Reed Johnson,-0.6077288489641433,0.6612573143246843,LF,Florida,2.0
Rene Rivera,980.8915697849612,0.7267939630472261,C,New York,2.0
Rich Hill,5.219729642349421,-0.6502841466721764,SP,New York,2.0
Rich Hill,-1023.4238677969443,0.7598853483087152,SP,Minnesota,1.0
Rich Hill,1139.3672434999553,-0.669910641989637,SP,California,5.0
Rich Hill,1840.9660632889504,-0.593354658189714,SP,Massachusetts,1.0
Rich Hill,-1129.6094326835278,0.7608861612721803,SP,California,5.0
Robbie Grossman,900.9514539243,0.7730028489344021,DH,California,5.0
Robinson Chirinos,-15.069148350351043,0.8114093252900795,C,Texas,2.0
Ronny Cedeno,-410.03989520885557,-0.6143765627745602,SS,New York,2.0
Ross Detwiler,-2.6431698643511936,-0.5233840034595245,SP,Georgia,1.0
Ross Ohlendorf,188.64349774270113,0.7034682677932879,RP,Texas,2.0
Ross Ohlendorf,6.762601186721895,0.6825396825396826,RP,Washington DC,1.0
Russell Martin,-124.66674043197509,0.7475494218453228,C,Pennsylvania,2.0
Ryan Ludwick,-175.18410162831947,0.7737993487324512,LF,Ohio,2.0
Ryan Tepera,358.75219878902703,0.6910061143008547,RP,Illinois,2.0
Ryan Vogelsong,-230.35714318583928,-0.6409665039853908,SP,California,5.0
Ryan Vogelsong,-253.77509781281879,0.6638581648420119,SP,California,5.0
