"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","WAR","TVS","Payroll Salary2022","Cash2022","AAV2022","Earnings2022","Age","Weight","Height",""
"","Ryan Braun","LF","MIL","126","0.773","100","0.614","405","103","25","1","20","64","0.254","0.313","0.469","0.782","0.88","17.73","$0","$0","$0","$0","34","205","0'0""",""
"","Kendrys Morales","DH","TOR","130","0.803","108","0.667","413","103","15","0","21","57","0.249","0.331","0.438","0.769","0.80","26.57","$0","$0","$0","$0","35","225","6'1""",""
"","Wilmer Flores","1B","NYM","126","0.778","90","0.556","386","103","25","0","11","51","0.267","0.319","0.417","0.736","0.78","27.12","$3,500,000","$3,500,000","$3,125,000","$20,205,803","26","205","6'3""",""
"","Joey Gallo","LF","TEX","150","0.926","136","0.840","500","103","24","1","40","92","0.206","0.312","0.498","0.810","2.06","78.30","$10,275,000","$3,613,184","$10,275,000","$28,537,765","24","250","6'5""",""
"","Kyle Schwarber","LF","CHC","137","0.841","121","0.742","428","102","14","3","26","61","0.238","0.356","0.467","0.823","1.52","72.31","$19,000,000","$19,000,000","$19,750,000","$40,036,246","25","229","6'0""",""
"","Elvis Andrus","SS","TEX","97","0.599","96","0.593","395","101","20","3","6","33","0.256","0.308","0.367","0.675","1.65","0.00","$700,000","$184,608","$700,000","$127,810,764","29","200","6'0""",""
"","Brandon Belt","1B","SF","112","0.691","103","0.636","399","101","18","2","14","46","0.253","0.342","0.414","0.756","2.48","36.00","$18,400,000","$18,400,000","$18,400,000","$95,452,425","30","235","6'4""",""
"","Adam Engel","CF","CHW","144","0.889","124","0.765","429","101","17","4","6","29","0.235","0.279","0.336","0.614","1.18","16.62","$2,000,000","$2,000,000","$2,000,000","$5,123,618","26","220","6'2""",""
"","Jonathan Lucroy","C","OAK","126","0.778","119","0.735","415","100","21","1","4","51","0.241","0.291","0.325","0.617","-0.69","5.94","$0","$0","$0","$0","32","200","6'0""",""
"","Harrison Bader","RF","STL","138","0.852","96","0.593","379","100","20","2","12","37","0.264","0.334","0.422","0.756","3.35","67.04","$4,700,000","$1,652,736","$5,200,000","$9,481,583","24","210","6'0""",""
"","Hunter Renfroe","RF","SD","117","0.722","97","0.599","403","100","23","1","26","68","0.248","0.302","0.504","0.805","2.43","72.27","$7,650,000","$7,650,000","$7,650,000","$17,186,454","26","230","6'1""",""
"","Daniel Palka","LF","CHW","124","0.765","102","0.630","417","100","15","3","27","67","0.240","0.294","0.484","0.778","0.58","51.88","$0","$0","$0","$0","26","230","6'2""",""
"","Mitch Moreland","1B","BOS","125","0.772","104","0.642","404","99","23","4","15","68","0.245","0.325","0.433","0.758","0.94","39.38","$0","$0","$0","$0","32","245","6'3""",""
"","Jordy Mercer","SS","PIT","118","0.733","117","0.727","394","99","29","2","6","39","0.251","0.315","0.381","0.696","0.07","16.21","$0","$0","$0","$0","31","210","6'3""",""
"","Matt Davidson","DH","CHW","128","0.790","119","0.735","434","99","23","0","20","62","0.228","0.319","0.419","0.738","0.60","50.61","$0","$0","$0","$0","27","230","6'3""",""
"","Daniel Murphy","2B","CHC","92","0.564","82","0.503","328","98","15","0","12","42","0.299","0.336","0.454","0.790","-0.77","0.00","$0","$0","$0","$0","33","221","0'0""",""
"","Joc Pederson","LF","LAD","148","0.908","88","0.540","395","98","27","3","25","56","0.248","0.321","0.522","0.843","2.30","61.48","$6,000,000","$6,000,000","$6,000,000","$25,677,317","26","220","6'1""",""
"","Gorkys Hernandez","LF","SF","142","0.877","102","0.630","414","97","16","2","15","40","0.234","0.285","0.391","0.676","0.52","24.24","$0","$0","$0","$0","30","196","0'0""",""
"","Scott Schebler","RF","CIN","107","0.661","94","0.580","380","97","19","0","17","49","0.255","0.337","0.439","0.777","1.11","61.54","$0","$0","$0","$0","27","228","6'1""",""
"","Adam Eaton","RF","WSH","96","0.593","76","0.469","319","96","19","1","5","33","0.301","0.394","0.414","0.808","1.27","0.00","$0","$0","$0","$0","29","180","5'9""",""
"","Carlos Correa","SS","HOU","111","0.685","110","0.679","402","96","20","1","15","65","0.239","0.323","0.405","0.728","3.05","61.32","$35,100,000","$35,100,000","$35,100,000","$61,944,676","23","220","6'4""",""
"","Justin Bour","1B","PHI","141","0.870","111","0.685","423","96","13","1","20","59","0.227","0.341","0.404","0.746","0.35","39.92","$0","$0","$0","$0","30","270","6'3""",""
"","Robinson Cano","2B","SEA","80","0.494","79","0.488","310","94","22","0","10","50","0.303","0.374","0.471","0.845","3.36","0.00","$0","$0","$0","$0","35","210","6'0""",""
"","James McCann","C","DET","118","0.728","115","0.710","427","94","16","0","8","39","0.220","0.267","0.314","0.581","-0.53","7.08","$8,150,000","$8,000,000","$10,150,000","$25,711,234","28","220","6'3""",""
"","Shohei Ohtani","DH","LAA","114","0.704","92","0.568","326","93","21","2","22","61","0.285","0.361","0.564","0.925","2.74","93.20","$5,500,000","$5,500,000","$4,250,000","$12,269,259","23","210","6'4""",""
"","Evan Gattis","C","HOU","128","0.790","106","0.654","407","92","17","0","25","78","0.226","0.284","0.452","0.736","0.35","28.75","$0","$0","$0","$0","31","270","6'4""",""
"","Joe Panik","2B","SF","103","0.636","91","0.562","358","91","14","1","4","24","0.254","0.307","0.332","0.639","-0.06","12.72","$0","$0","$0","$0","27","205","6'1""",""
"","Mark Canha","LF","OAK","123","0.759","100","0.617","365","91","22","0","17","52","0.249","0.329","0.449","0.778","1.70","55.03","$12,666,666","$14,000,000","$13,250,000","$26,846,606","29","209","6'2""",""
"","Ronald Guzman","1B","TEX","123","0.759","105","0.648","387","91","18","2","16","58","0.235","0.306","0.416","0.722","0.73","37.86","$0","$0","$0","$0","23","225","6'5""",""
"","Jorge Alfaro","C","PHI","108","0.667","98","0.605","344","90","16","2","10","37","0.262","0.324","0.407","0.731","1.60","38.06","$2,725,000","$2,725,000","$2,725,000","$7,651,379","25","230","6'3""",""
"","Ian Happ","CF","CHC","142","0.871","102","0.626","387","90","19","2","15","44","0.233","0.353","0.408","0.761","0.52","47.55","$6,850,000","$6,850,000","$6,850,000","$15,500,281","23","205","6'0""",""
"","Travis Jankowski","RF","SD","118","0.728","78","0.482","347","90","12","3","4","17","0.259","0.333","0.346","0.678","1.13","37.48","$0","$0","$0","$0","27","190","6'2""",""
"","Jacoby Jones","CF","DET","129","0.796","117","0.722","429","89","22","6","11","34","0.208","0.266","0.364","0.630","1.95","34.60","$0","$0","$0","$0","26","201","6'2""",""
"","Kolten Wong","2B","STL","127","0.784","98","0.605","353","88","18","2","9","38","0.249","0.332","0.388","0.720","3.51","42.31","$8,500,000","$8,000,000","$9,000,000","$32,363,836","27","185","5'7""",""
"","Todd Frazier","3B","NYM","115","0.710","109","0.673","408","87","19","0","18","59","0.213","0.303","0.392","0.695","2.47","40.25","$0","$0","$0","$0","32","220","6'3""",""
"","Francisco Cervelli","C","PIT","106","0.658","98","0.609","332","86","15","3","12","57","0.259","0.378","0.431","0.809","2.94","56.18","$0","$0","$0","$0","32","210","0'0""",""
"","Mark Trumbo","DH","BAL","90","0.556","87","0.537","330","86","12","0","17","44","0.261","0.313","0.452","0.764","0.32","0.00","$0","$0","$0","$0","32","225","6'4""",""
"","Josh Harrison","2B","PIT","98","0.609","84","0.522","344","86","13","1","8","37","0.250","0.293","0.363","0.656","0.29","13.95","$4,000,000","$4,000,000","$5,500,000","$36,747,861","30","185","5'8""",""
"","Logan Forsythe","2B","MIN","120","0.741","97","0.599","371","86","16","0","2","27","0.232","0.313","0.291","0.604","-0.36","6.05","$0","$0","$0","$0","31","205","6'1""",""
"","Cameron Maybin","CF","SEA","129","0.796","82","0.506","342","85","14","2","4","28","0.249","0.326","0.336","0.662","1.28","19.65","$0","$0","$0","$0","31","215","6'3""",""
"","Austin Jackson","CF","NYM","116","0.716","83","0.512","347","85","17","1","3","32","0.245","0.299","0.326","0.624","-1.20","7.69","$0","$0","$0","$0","31","198","6'1""",""
"","Tim Beckham","SS","BAL","96","0.593","96","0.593","369","85","17","0","12","35","0.230","0.287","0.374","0.661","0.39","0.00","$0","$0","$0","$0","28","205","6'1""",""
"","Martin Maldonado","C","HOU","119","0.735","111","0.685","373","84","18","1","9","44","0.225","0.276","0.351","0.627","0.37","11.71","$5,000,000","$5,000,000","$5,000,000","$21,811,020","31","230","6'0""",""
"","Ehire Adrianza","SS","MIN","115","0.710","95","0.586","335","84","23","1","6","39","0.251","0.301","0.379","0.680","0.02","22.13","$1,500,000","$535,730","$1,500,000","$8,761,332","28","195","6'1""",""
"","Avisail Garcia","RF","CHW","93","0.574","91","0.562","356","84","11","2","19","49","0.236","0.281","0.438","0.719","0.31","0.00","$12,000,000","$12,000,000","$13,250,000","$45,956,356","27","250","6'4""",""
"","Jesse Winker","RF","CIN","90","0.556","75","0.463","281","84","16","0","7","43","0.299","0.405","0.431","0.836","-0.09","0.00","$6,250,000","$6,250,000","$7,250,000","$11,982,914","24","215","6'3""",""
"","Curtis Granderson","RF","MIL","123","0.755","87","0.534","343","83","22","2","13","38","0.242","0.351","0.431","0.782","0.60","39.12","$0","$0","$0","$0","37","200","6'1""",""
"","David Freese","3B","LAD","113","0.693","66","0.405","280","83","12","2","11","51","0.296","0.359","0.471","0.830","1.42","44.78","$0","$0","$0","$0","35","213","6'2""",""
"","Devon Travis","2B","TOR","104","0.642","94","0.580","357","83","14","3","11","44","0.233","0.275","0.381","0.656","0.56","23.38","$0","$0","$0","$0","27","190","5'9""",""
"","Hunter Dozier","1B","KC","104","0.642","95","0.586","362","83","19","4","11","34","0.229","0.278","0.395","0.673","-1.99","16.40","$4,750,000","$4,500,000","$6,250,000","$11,775,599","26","220","6'4""",""
"","Orlando Arcia","SS","MIL","119","0.730","92","0.564","348","82","16","0","3","30","0.236","0.269","0.307","0.576","0.37","7.60","$1,600,000","$1,600,000","$1,500,000","$5,300,995","23","187","6'0""",""
"","Mitch Garver","C","MIN","103","0.636","82","0.506","302","81","19","2","7","45","0.268","0.335","0.414","0.749","0.90","38.05","$3,335,000","$3,335,000","$3,335,000","$6,733,665","27","220","6'1""",""
"","Robinson Chirinos","C","TEX","114","0.704","105","0.648","360","80","15","1","18","65","0.222","0.338","0.419","0.757","1.71","58.04","$900,000","$900,000","$900,000","$18,168,800","34","220","6'1""",""
"","Hernan Perez","2B","MIL","132","0.810","66","0.405","316","80","11","2","9","29","0.253","0.290","0.386","0.676","0.95","18.00","$0","$0","$0","$0","27","215","6'1""",""
"","Charlie Culberson","3B","ATL","113","0.698","64","0.395","296","80","18","2","12","45","0.270","0.326","0.466","0.792","0.70","47.13","$1,750,000","$1,750,000","$1,750,000","$7,539,210","29","200","6'1""",""
"","Wil Myers","LF","SD","84","0.519","78","0.482","312","80","25","2","11","39","0.256","0.321","0.455","0.776","2.38","0.00","$22,500,000","$20,000,000","$13,833,333","$73,233,776","27","207","6'3""",""
"","Michael Taylor","CF","WSH","134","0.827","87","0.537","353","80","22","3","6","28","0.227","0.287","0.357","0.644","0.88","23.96","$4,500,000","$4,500,000","$4,500,000","$13,791,082","27","215","6'4""",""
"","Willy Adames","SS","TB","86","0.531","80","0.494","288","80","7","0","10","34","0.278","0.348","0.406","0.754","1.06","0.00","$4,600,000","$4,600,000","$4,600,000","$6,639,520","22","210","6'0""",""
"","Chris Davis","1B","BAL","129","0.796","127","0.784","470","79","12","0","16","49","0.168","0.243","0.296","0.539","-3.25","0.15","$0","$0","$0","$0","32","245","6'3""",""
"","Lucas Duda","1B","ATL","108","0.667","85","0.525","328","79","14","1","14","50","0.241","0.313","0.418","0.731","0.49","28.73","$0","$0","$0","$0","32","255","6'4""",""
"","David Fletcher","SS","LAA","80","0.494","70","0.432","284","78","18","2","1","25","0.275","0.316","0.363","0.678","1.83","0.00","$4,000,000","$4,000,000","$5,200,000","$7,513,445","24","185","5'9""",""
"","Manuel Pina","C","MIL","98","0.601","84","0.515","306","77","13","2","9","28","0.252","0.307","0.395","0.702","1.09","31.77","$3,500,000","$3,500,000","$4,000,000","$8,708,184","31","222","6'0""",""
"","Chad Pinder","LF","OAK","110","0.679","77","0.475","298","77","12","1","13","27","0.258","0.332","0.436","0.769","2.18","45.76","$2,725,000","$2,725,000","$2,725,000","$8,280,331","26","210","6'2""",""
"","Ryan Zimmerman","1B","WSH","86","0.531","72","0.444","288","76","21","2","13","51","0.264","0.338","0.486","0.824","1.30","0.00","$0","$0","$0","$0","33","215","6'3""",""
"","Neil Walker","2B","NYY","113","0.698","95","0.586","347","76","12","1","11","46","0.219","0.309","0.354","0.664","-0.14","18.33","$0","$0","$0","$0","32","210","0'0""",""
"","Adalberto Mondesi","SS","KC","75","0.463","70","0.432","275","76","13","3","14","37","0.276","0.306","0.498","0.804","3.19","0.00","$3,000,000","$3,000,000","$3,000,000","$9,292,705","22","190","6'1""",""
"","Jake Cave","RF","MIN","91","0.562","78","0.482","283","76","17","2","13","45","0.269","0.316","0.481","0.797","1.65","0.00","$800,000","$281,344","$800,000","$2,407,009","25","200","6'0""",""
"","Lewis Brinson","CF","MIA","109","0.677","100","0.621","382","76","10","5","11","42","0.199","0.240","0.338","0.577","-0.98","11.60","$700,000","$130,764","$700,000","$3,443,093","24","212","6'5""",""
"","Carlos Gomez","RF","TB","118","0.728","97","0.599","360","75","15","2","9","32","0.208","0.298","0.336","0.634","0.61","20.15","$0","$0","$0","$0","32","220","6'3""",""
"","Mike Zunino","C","SEA","114","0.704","102","0.630","373","75","18","0","20","44","0.201","0.259","0.410","0.669","1.94","30.65","$7,000,000","$7,000,000","$3,000,000","$24,385,635","27","235","6'2""",""
"","Adam Duvall","LF","ATL","138","0.852","91","0.562","384","75","20","0","15","61","0.195","0.274","0.365","0.639","1.26","26.34","$9,275,000","$9,275,000","$9,275,000","$20,372,695","29","215","6'1""",""
"","John Hicks","1B","DET","81","0.500","76","0.469","288","75","12","1","9","32","0.260","0.312","0.403","0.715","0.17","0.00","$0","$0","$0","$0","28","230","6'2""",""
"","Alen Hanson","2B","SF","110","0.679","65","0.401","294","74","17","5","8","39","0.252","0.274","0.425","0.699","0.52","23.96","$0","$0","$0","$0","25","170","6'0""",""
"","Jeff McNeil","3B","NYM","63","0.389","53","0.327","225","74","11","6","3","19","0.329","0.381","0.471","0.852","2.43","0.00","$3,000,000","$3,000,000","$3,000,000","$5,129,811","26","195","6'1""",""
"","Adeiny Hechavarria","SS","NYY","94","0.580","80","0.494","296","73","11","0","6","31","0.247","0.279","0.345","0.624","0.86","0.00","$0","$0","$0","$0","29","195","0'0""",""
"","Matt Adams","1B","STL","121","0.747","71","0.438","306","73","10","0","21","57","0.239","0.309","0.477","0.786","1.37","35.31","$0","$0","$0","$0","29","245","6'3""",""
"","Franmil Reyes","RF","SD","87","0.537","71","0.438","261","73","9","0","16","31","0.280","0.340","0.498","0.838","1.57","0.00","$4,550,000","$1,450,000","$4,550,000","$6,979,965","22","265","6'5""",""
"","Delino DeShields","CF","TEX","107","0.661","93","0.574","334","72","14","1","2","22","0.216","0.310","0.281","0.591","1.20","30.76","$0","$0","$0","$0","25","190","5'9""",""
"","Kevin Kiermaier","CF","TB","89","0.549","86","0.531","332","72","12","9","7","29","0.217","0.282","0.370","0.653","2.48","0.00","$12,166,668","$12,000,000","$8,916,667","$46,162,095","28","210","6'1""",""
"","Elias Diaz","C","PIT","82","0.509","60","0.373","252","72","12","0","10","34","0.286","0.339","0.452","0.792","1.69","0.00","$3,000,000","$3,000,000","$4,833,333","$6,543,817","27","223","6'1""",""
"","Jay Bruce","RF","NYM","95","0.586","84","0.519","319","71","18","1","9","37","0.223","0.310","0.370","0.680","-0.85","0.00","$0","$0","$0","$0","31","230","6'3""",""
"","J.T. Riddle","SS","MIA","104","0.646","75","0.466","308","71","10","4","9","36","0.231","0.277","0.377","0.653","1.33","20.86","$0","$0","$0","$0","26","180","6'1""",""
"","Leury Garcia","RF","CHW","82","0.506","63","0.389","258","70","7","4","4","32","0.271","0.303","0.376","0.679","0.81","0.00","$5,500,000","$5,500,000","$5,500,000","$14,490,659","27","190","5'8""",""
"","Cory Spangenberg","2B","SD","116","0.716","66","0.407","298","70","9","4","7","25","0.235","0.299","0.362","0.661","0.73","17.42","$0","$0","$0","$0","27","195","6'0""",""
"","Austin Hedges","C","SD","92","0.568","81","0.500","303","70","14","2","14","37","0.231","0.282","0.429","0.711","1.37","0.00","$4,000,000","$4,000,000","$4,000,000","$14,999,022","25","223","6'1""",""
"","Lourdes Gurriel Jr.","2B","TOR","65","0.401","62","0.383","249","70","8","0","11","35","0.281","0.309","0.446","0.755","0.09","0.00","$4,928,571","$4,500,000","$3,142,857","$11,425,926","24","215","6'4""",""
"","Nick Hundley","C","SF","96","0.593","71","0.438","282","68","13","2","10","31","0.241","0.298","0.408","0.706","-0.01","0.00","$0","$0","$0","$0","34","203","6'0""",""
"","David Dahl","OF","COL","77","0.472","59","0.362","249","68","11","3","16","48","0.273","0.325","0.534","0.859","0.73","0.00","$0","$0","$0","$0","24","200","6'2""",""
"","Chris Iannetta","C","COL","110","0.675","84","0.515","299","67","13","1","11","36","0.224","0.345","0.385","0.730","-0.41","23.43","$0","$0","$0","$0","35","230","0'0""",""
"","Tony Kemp","LF","HOU","97","0.599","76","0.469","255","67","15","0","6","30","0.263","0.351","0.392","0.743","0.66","0.00","$2,250,000","$2,250,000","$2,250,000","$4,923,334","26","160","5'6""",""
"","Jose Bautista","RF","PHI","122","0.753","84","0.519","325","66","18","0","13","48","0.203","0.348","0.378","0.727","-0.35","38.83","$0","$0","$0","$0","37","205","6'0""",""
"","Rosell Herrera","SS","KC","86","0.531","68","0.420","278","65","14","3","1","20","0.234","0.286","0.317","0.602","-0.10","0.00","$0","$0","$0","$0","25","195","6'3""",""
"","Jake Bauers","1B","TB","96","0.593","89","0.549","323","65","22","2","11","48","0.201","0.316","0.384","0.700","0.48","0.00","$0","$0","$0","$0","22","195","6'1""",""
"","Renato Nunez","LF","BAL","73","0.451","67","0.414","236","61","14","0","8","22","0.259","0.322","0.419","0.741","0.02","0.00","$0","$0","$0","$0","24","220","6'1""",""
"","Nicky Delmonico","LF","CHW","90","0.556","78","0.482","284","61","11","5","8","25","0.215","0.296","0.373","0.669","-0.98","0.00","$0","$0","$0","$0","25","230","6'3""",""
"","Gary Sanchez","C","NYY","89","0.549","86","0.531","323","60","17","0","18","53","0.186","0.291","0.406","0.697","1.15","0.00","$9,000,000","$9,000,000","$9,000,000","$22,280,115","25","230","6'2""",""
"","Logan Morrison","DH","MIN","95","0.586","82","0.506","318","59","13","0","15","39","0.186","0.276","0.368","0.644","-0.31","0.00","$0","$0","$0","$0","30","245","6'3""",""
"","Austin Romine","C","NYY","78","0.482","68","0.420","242","59","12","0","10","42","0.244","0.296","0.417","0.713","1.36","0.00","$700,000","$246,144","$700,000","$10,659,484","29","220","6'1""",""
"","Jorge Soler","LF","KC","61","0.377","61","0.377","223","59","18","0","9","28","0.265","0.354","0.466","0.820","0.89","0.00","$12,000,000","$12,000,000","$12,000,000","$48,953,731","26","230","6'4""",""
"","Caleb Joseph","C","BAL","84","0.519","79","0.488","265","58","14","2","3","17","0.219","0.255","0.321","0.575","0.32","0.00","$0","$0","$0","$0","32","180","6'3""",""
"","Tyler Flowers","C","ATL","82","0.506","71","0.438","251","57","9","0","8","30","0.227","0.341","0.359","0.700","0.70","0.00","$0","$0","$0","$0","32","260","6'4""",""
"","Matt Wieters","C","WSH","76","0.469","64","0.395","235","56","8","0","8","30","0.238","0.330","0.374","0.704","0.62","0.00","$0","$0","$0","$0","32","235","0'0""",""
"","Domingo Santana","RF","MIL","85","0.522","48","0.295","211","56","14","1","5","20","0.265","0.328","0.412","0.740","1.04","0.00","$0","$0","$0","$0","25","220","6'5""",""
"","Tyler Austin","1B","MIN","69","0.426","66","0.407","244","56","10","0","17","47","0.230","0.287","0.480","0.767","0.28","0.00","$0","$0","$0","$0","26","220","6'1""",""
"","Eric Thames","1B","MIL","96","0.589","58","0.356","247","54","10","3","16","37","0.219","0.306","0.478","0.783","0.60","0.00","$0","$0","$0","$0","31","210","6'0""",""
"","Devin Mesoraco","C","NYM","85","0.525","66","0.407","244","54","10","0","11","33","0.221","0.303","0.398","0.700","-0.06","0.00","$0","$0","$0","$0","30","229","6'1""",""
"","Greg Bird","1B","NYY","82","0.506","72","0.444","272","54","16","1","11","38","0.199","0.286","0.386","0.672","0.10","0.00","$0","$0","$0","$0","25","220","6'4""",""
"","Hunter Pence","RF","SF","97","0.599","49","0.303","235","53","11","1","4","24","0.226","0.258","0.332","0.590","-0.86","0.00","$0","$0","$0","$0","35","230","0'0""",""
"","Jorge Bonifacio","RF","KC","70","0.432","64","0.395","236","53","16","2","4","23","0.225","0.312","0.360","0.672","-0.32","0.00","$0","$0","$0","$0","25","220","6'1""",""
"","Steven Souza","RF","ARI","72","0.444","64","0.395","241","53","15","3","5","29","0.220","0.309","0.369","0.678","-0.26","0.00","$0","$0","$0","$0","29","225","6'4""",""
"","Miguel Sano","3B","MIN","71","0.438","70","0.432","266","53","14","0","13","41","0.199","0.281","0.398","0.679","-0.50","0.00","$9,250,000","$9,250,000","$10,000,000","$29,007,744","25","272","6'4""",""
"","Dexter Fowler","CF","STL","90","0.556","74","0.457","289","52","10","0","8","31","0.180","0.278","0.298","0.576","-1.38","0.00","$0","$0","$0","$0","32","205","6'5""",""
"","Christian Vazquez","C","BOS","80","0.494","67","0.414","251","52","10","0","3","16","0.207","0.258","0.283","0.540","-0.79","0.00","$7,000,000","$2,461,568","$4,450,000","$20,797,346","27","205","5'9""",""
"","Joey Rickard","LF","BAL","79","0.488","56","0.346","213","52","10","1","8","23","0.244","0.300","0.413","0.713","0.44","0.00","$0","$0","$0","$0","27","185","6'1""",""
"","Mark Reynolds","3B","WSH","86","0.531","43","0.265","206","51","8","0","13","40","0.248","0.328","0.476","0.803","-0.31","0.00","$0","$0","$0","$0","34","220","6'2""",""
"","Austin Meadows","CF","TB","59","0.364","40","0.247","178","51","9","2","6","17","0.287","0.325","0.461","0.785","-0.06","0.00","$4,000,000","$4,000,000","$4,000,000","$8,603,767","23","225","6'3""",""
"","Kevan Smith","C","CHW","52","0.321","46","0.284","171","50","6","0","3","21","0.292","0.348","0.380","0.728","0.49","0.00","$0","$0","$0","$0","30","230","6'4""",""
"","Ji-Man Choi","1B","TB","61","0.377","53","0.327","190","50","14","1","10","32","0.263","0.358","0.505","0.863","-0.04","0.00","$3,200,000","$3,200,000","$3,200,000","$8,804,187","27","260","6'1""",""
"","Kevin Plawecki","C","NYM","79","0.488","66","0.407","238","50","13","2","7","30","0.210","0.315","0.370","0.685","1.25","0.00","$2,250,000","$2,250,000","$2,250,000","$8,324,095","27","208","6'2""",""
"","Luke Maile","C","TOR","69","0.426","58","0.358","202","50","13","1","3","27","0.248","0.333","0.366","0.700","0.98","0.00","$900,000","$900,000","$900,000","$3,779,869","27","225","6'3""",""
"","Austin Slater","LF","SF","74","0.457","51","0.315","199","50","6","1","1","23","0.251","0.333","0.307","0.640","0.17","0.00","$1,850,000","$1,850,000","$1,850,000","$4,530,457","25","197","6'2""",""
"","Zack Cozart","SS","LAA","59","0.364","58","0.358","224","49","13","2","5","18","0.219","0.296","0.362","0.658","0.09","0.00","$0","$0","$0","$0","32","205","0'0""",""
"","Martin Prado","3B","MIA","54","0.335","50","0.311","197","48","9","0","1","18","0.244","0.287","0.305","0.592","0.34","0.00","$0","$0","$0","$0","34","215","6'0""",""
"","Erik Kratz","C","MIL","67","0.411","54","0.331","203","48","6","0","6","23","0.237","0.280","0.355","0.634","0.12","0.00","$0","$0","$0","$0","38","250","0'0""",""
"","Jim Adduci","CF","DET","59","0.364","46","0.284","176","47","8","2","3","21","0.267","0.290","0.386","0.676","-0.34","0.00","$0","$0","$0","$0","33","210","6'2""",""
"","Victor Reyes","LF","DET","100","0.617","53","0.327","212","47","5","3","1","12","0.222","0.239","0.288","0.526","-0.77","3.30","$1,400,000","$1,400,000","$1,400,000","$3,360,312","23","194","6'5""",""
"","Howie Kendrick","LF","WSH","40","0.247","37","0.228","152","46","14","0","4","12","0.303","0.331","0.474","0.805","-0.22","0.00","$0","$0","$0","$0","34","220","0'0""",""
"","Jake Lamb","3B","ARI","56","0.346","52","0.321","207","46","8","0","6","31","0.222","0.307","0.348","0.655","0.77","0.00","$1,500,000","$527,488","$1,500,000","$16,290,240","27","215","6'3""",""
"","Ryan LaMarre","CF","CHW","76","0.469","47","0.290","165","46","11","0","2","18","0.279","0.322","0.382","0.704","-0.09","0.00","$0","$0","$0","$0","29","215","6'1""",""
"","Luke Voit","1B","NYY","47","0.290","37","0.228","143","46","5","0","15","36","0.322","0.398","0.671","1.069","0.09","0.00","$5,450,000","$1,916,480","$5,450,000","$11,446,674","27","255","6'3""",""
"","Jake Marisnick","CF","HOU","103","0.636","57","0.352","213","45","8","1","10","28","0.211","0.275","0.399","0.674","1.74","24.30","$0","$0","$0","$0","27","220","6'4""",""
"","Mikie Mahtook","LF","DET","67","0.414","58","0.358","223","45","4","2","9","29","0.202","0.276","0.359","0.635","0.24","0.00","$0","$0","$0","$0","28","216","6'1""",""
"","Blake Swihart","LF","BOS","82","0.506","41","0.253","192","44","10","0","3","18","0.229","0.285","0.328","0.613","-0.34","0.00","$0","$0","$0","$0","26","200","6'1""",""
"","Aaron Altherr","RF","PHI","105","0.648","57","0.352","243","44","11","1","8","38","0.181","0.295","0.333","0.628","-0.99","13.43","$0","$0","$0","$0","27","215","6'5""",""
"","David Bote","2B","CHC","74","0.454","47","0.288","184","44","9","2","6","33","0.239","0.319","0.408","0.727","1.84","0.00","$2,510,000","$2,500,000","$3,000,000","$4,856,352","25","205","6'1""",""
"","Jose Reyes","3B","NYM","110","0.679","48","0.296","228","43","12","3","4","16","0.189","0.260","0.320","0.580","-0.80","4.53","$0","$0","$0","$0","35","195","0'0""",""
"","Matt Joyce","RF","OAK","84","0.519","46","0.284","207","43","9","0","7","15","0.208","0.322","0.353","0.675","0.05","0.00","$0","$0","$0","$0","33","194","6'2""",""
"","Dustin Fowler","CF","OAK","70","0.432","45","0.278","192","43","3","2","6","23","0.224","0.256","0.354","0.610","-0.97","0.00","$0","$0","$0","$0","23","190","6'0""",""
"","Jace Peterson","2B","BAL","96","0.593","56","0.346","210","42","13","2","3","28","0.200","0.310","0.324","0.634","-0.07","0.00","$1,825,000","$1,825,000","$1,825,000","$5,285,189","28","215","6'0""",""
"","Jefry Marte","1B","LAA","90","0.556","50","0.309","194","42","7","1","7","22","0.217","0.273","0.371","0.644","-0.25","0.00","$0","$0","$0","$0","27","220","6'1""",""
"","Victor Caratini","C","CHC","77","0.472","40","0.245","181","42","7","0","2","21","0.232","0.293","0.304","0.597","0.05","0.00","$2,000,000","$2,000,000","$2,000,000","$5,540,752","24","215","6'1""",""
"","Ryan McMahon","3B","COL","91","0.558","37","0.227","181","42","9","1","5","19","0.232","0.307","0.376","0.683","0.11","0.00","$5,000,000","$5,000,000","$11,666,667","$9,948,224","23","219","6'2""",""
"","Ronny Rodriguez","3B","DET","62","0.383","47","0.290","191","42","7","0","5","20","0.220","0.256","0.335","0.591","-0.94","0.00","$0","$0","$0","$0","26","200","6'0""",""
"","A.J. Ellis","C","SD","66","0.407","43","0.265","151","41","8","0","1","15","0.272","0.378","0.344","0.722","0.33","0.00","$0","$0","$0","$0","37","225","6'2""",""
"","Curt Casali","C","CIN","52","0.321","35","0.216","140","41","10","0","4","16","0.293","0.355","0.450","0.805","0.92","0.00","$2,600,000","$914,304","$2,600,000","$7,520,555","29","220","6'2""",""
"","Brian McCann","C","HOU","64","0.395","56","0.346","189","40","3","0","7","23","0.212","0.301","0.339","0.640","0.95","0.00","$0","$0","$0","$0","34","225","6'3""",""
