"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","WAR","TVS","Payroll Salary2022","Cash2022","AAV2022","Earnings2022","Age","Weight","Height",""
"","Corey Dickerson","LF","PIT","135","0.839","123","0.764","504","151","35","7","13","55","0.300","0.330","0.474","0.804","3.64","65.95","$5,000,000","$5,000,000","$5,000,000","$36,698,867","29","200","6'1""",""
"","Shin-Soo Choo","DH","TEX","146","0.901","144","0.889","560","148","31","1","21","62","0.264","0.377","0.436","0.812","2.72","49.43","$0","$0","$0","$0","35","210","0'0""",""
"","Xander Bogaerts","SS","BOS","136","0.840","134","0.827","513","148","45","3","23","103","0.289","0.360","0.522","0.883","4.90","88.94","$20,000,000","$20,000,000","$20,000,000","$73,190,366","25","218","6'2""",""
"","Matt Duffy","3B","TB","133","0.821","126","0.778","503","148","22","1","4","44","0.294","0.361","0.366","0.727","2.86","55.86","$1,500,000","$1,500,000","$1,500,000","$7,955,269","27","190","6'2""",""
"","Mike Trout","CF","LAA","140","0.864","139","0.858","471","147","24","4","39","79","0.312","0.460","0.628","1.088","10.15","99.92","$37,116,666","$35,450,000","$35,541,667","$196,740,125","26","235","6'2""",""
"","D.J. LeMahieu","2B","COL","129","0.791","127","0.779","533","147","32","2","15","62","0.276","0.321","0.428","0.749","3.03","56.09","$15,000,000","$15,000,000","$15,000,000","$65,531,774","29","220","6'4""",""
"","Joe Wendle","2B","TB","139","0.858","122","0.753","487","146","33","6","7","61","0.300","0.354","0.435","0.789","4.29","81.88","$4,550,000","$4,550,000","$4,625,000","$8,393,632","28","195","6'1""",""
"","Stephen Piscotty","RF","OAK","151","0.932","148","0.914","546","146","41","0","27","88","0.267","0.331","0.491","0.821","2.79","70.16","$0","$0","$0","$0","27","211","6'4""",""
"","Matt Carpenter","1B","STL","156","0.963","149","0.920","564","145","42","0","36","81","0.257","0.374","0.523","0.897","4.38","93.32","$2,000,000","$1,450,548","$2,000,000","$80,261,400","32","210","6'4""",""
"","Yolmer Sanchez","3B","CHW","155","0.957","150","0.926","600","145","34","10","8","55","0.242","0.306","0.372","0.678","2.60","47.82","$0","$0","$0","$0","26","205","5'8""",""
"","Cody Bellinger","1B","LAD","162","0.994","135","0.828","557","145","28","7","25","76","0.260","0.343","0.470","0.814","4.15","87.35","$17,000,000","$17,000,000","$17,000,000","$39,784,259","22","203","6'4""",""
"","Mike Moustakas","3B","MIL","153","0.939","147","0.902","573","144","33","1","28","95","0.251","0.315","0.459","0.774","2.12","56.33","$16,000,000","$16,000,000","$16,000,000","$76,169,194","29","225","6'0""",""
"","George Springer","CF","HOU","141","0.870","136","0.840","544","144","26","0","22","71","0.265","0.346","0.434","0.780","2.74","56.46","$29,666,666","$28,000,000","$25,000,000","$99,688,897","28","221","6'3""",""
"","Joey Votto","1B","CIN","145","0.895","140","0.864","503","143","28","2","12","67","0.284","0.417","0.419","0.837","3.45","47.38","$25,000,000","$25,000,000","$22,500,000","$218,193,759","34","220","6'2""",""
"","Asdrubal Cabrera","2B","PHI","148","0.914","132","0.815","546","143","36","1","23","75","0.262","0.316","0.458","0.774","1.74","37.65","$0","$0","$0","$0","32","235","6'0""",""
"","Matt Olson","1B","OAK","162","1.000","152","0.938","580","143","33","0","29","84","0.247","0.335","0.453","0.788","4.29","83.67","$15,000,000","$15,000,000","$21,000,000","$22,720,715","24","225","6'5""",""
"","Amed Rosario","SS","NYM","154","0.951","141","0.870","554","142","26","8","9","51","0.256","0.295","0.381","0.676","0.64","36.72","$4,950,000","$4,950,000","$4,950,000","$10,631,140","22","190","6'2""",""
"","Trey Mancini","LF","BAL","156","0.963","150","0.926","582","141","23","3","24","58","0.242","0.299","0.416","0.715","-0.08","33.55","$7,500,000","$2,678,585","$7,750,000","$15,870,754","26","230","6'3""",""
"","Ben Zobrist","2B","CHC","140","0.859","108","0.663","455","139","28","3","9","58","0.306","0.378","0.440","0.817","3.27","45.59","$0","$0","$0","$0","37","210","6'3""",""
"","Justin Upton","LF","LAA","146","0.901","144","0.889","533","137","18","1","30","85","0.257","0.344","0.463","0.808","3.80","48.29","$0","$0","$0","$0","30","215","6'1""",""
"","Joe Mauer","1B","MIN","127","0.784","117","0.722","486","137","27","1","6","48","0.282","0.351","0.379","0.729","1.20","8.07","$0","$0","$0","$0","35","225","6'5""",""
"","Bryce Harper","CF","WSH","160","0.988","155","0.957","550","137","34","0","34","100","0.249","0.393","0.496","0.889","1.30","69.32","$27,538,462","$26,000,000","$25,384,615","$144,479,629","25","220","6'3""",""
"","Rhys Hoskins","LF","PHI","153","0.944","149","0.920","558","137","38","0","34","96","0.246","0.354","0.496","0.850","0.50","80.66","$7,700,000","$7,700,000","$7,700,000","$14,356,193","25","225","6'4""",""
"","Chris Taylor","SS","LAD","155","0.951","128","0.785","536","136","35","8","17","63","0.254","0.331","0.444","0.775","4.13","79.68","$15,000,000","$15,000,000","$15,000,000","$30,515,298","27","196","6'1""",""
"","Tommy Pham","CF","TB","139","0.858","129","0.796","494","136","18","6","21","63","0.275","0.367","0.464","0.830","0.79","78.67","$6,000,000","$0","$7,500,000","$24,603,662","30","223","6'1""",""
"","Yoan Moncada","2B","CHW","149","0.920","148","0.914","578","136","32","6","17","61","0.235","0.315","0.400","0.714","1.98","60.33","$13,800,000","$14,000,000","$14,000,000","$55,615,787","23","225","6'2""",""
"","Tim Anderson","SS","CHW","153","0.944","151","0.932","567","136","28","3","20","64","0.240","0.282","0.406","0.687","3.72","50.83","$9,500,000","$9,448,925","$4,166,667","$24,101,906","25","185","6'1""",""
"","Brandon Crawford","SS","SF","151","0.932","141","0.870","531","135","28","2","14","54","0.254","0.325","0.394","0.719","1.54","26.88","$16,000,000","$16,000,000","$16,000,000","$87,090,555","31","227","6'2""",""
"","Didi Gregorius","SS","NYY","134","0.827","130","0.803","504","135","23","5","27","86","0.268","0.335","0.494","0.829","4.22","83.13","$0","$0","$0","$0","28","205","6'3""",""
"","Jesus Aguilar","1B","MIL","149","0.914","123","0.755","492","135","25","0","35","108","0.274","0.352","0.539","0.890","3.41","90.48","$700,000","$130,764","$700,000","$15,031,829","28","277","6'3""",""
"","Ketel Marte","2B","ARI","153","0.944","132","0.815","520","135","26","12","14","59","0.260","0.332","0.437","0.768","3.28","59.68","$8,500,000","$11,000,000","$15,200,000","$24,812,140","24","165","6'1""",""
"","Matt Kemp","RF","LAD","146","0.896","119","0.730","462","134","25","0","21","85","0.290","0.338","0.481","0.818","1.07","17.56","$0","$0","$0","$0","33","225","0'0""",""
"","Nelson Cruz","DH","SEA","146","0.901","140","0.864","519","133","18","1","37","97","0.256","0.342","0.509","0.850","2.94","61.51","$12,000,000","$12,000,000","$15,000,000","$130,257,784","37","230","6'2""",""
"","Jurickson Profar","SS","TEX","146","0.901","137","0.846","524","133","35","6","20","77","0.254","0.334","0.458","0.792","2.03","74.85","$7,333,333","$8,000,000","$7,000,000","$23,795,891","25","184","6'0""",""
"","Derek Dietrich","LF","MIA","149","0.926","117","0.727","499","132","26","2","16","45","0.265","0.330","0.421","0.751","-0.31","35.05","$0","$0","$0","$0","28","205","6'2""",""
"","Jose Abreu","1B","CHW","128","0.790","127","0.784","499","132","36","1","22","78","0.265","0.326","0.473","0.798","1.99","45.68","$19,666,668","$14,000,000","$16,666,667","$113,044,074","31","235","6'3""",""
"","J.T. Realmuto","C","MIA","126","0.783","120","0.745","477","132","30","3","21","74","0.277","0.340","0.484","0.825","4.28","85.68","$23,875,000","$23,875,000","$23,100,000","$48,556,244","27","210","6'1""",""
"","Michael Conforto","RF","NYM","153","0.944","141","0.870","543","132","25","1","28","82","0.243","0.350","0.448","0.797","2.70","80.28","$0","$0","$0","$0","25","215","6'1""",""
"","Ian Desmond","1B","COL","160","0.982","149","0.914","555","131","21","8","22","88","0.236","0.307","0.422","0.729","-0.10","19.43","$0","$0","$0","$0","32","220","6'3""",""
"","Josh Bell","1B","PIT","148","0.919","136","0.845","501","131","31","4","12","62","0.262","0.357","0.411","0.768","0.70","54.35","$10,000,000","$3,516,480","$10,000,000","$24,983,247","25","250","6'4""",""
"","Kyle Seager","3B","SEA","156","0.963","151","0.932","583","129","36","1","22","78","0.221","0.273","0.400","0.673","0.82","11.96","$0","$0","$0","$0","30","210","6'0""",""
"","Kevin Pillar","CF","TOR","142","0.877","132","0.815","512","129","40","2","15","59","0.252","0.282","0.426","0.708","2.45","48.09","$2,500,000","$1,785,680","$2,500,000","$19,299,563","29","210","6'0""",""
"","Carlos Gonzalez","RF","COL","133","0.816","114","0.699","463","128","32","4","16","64","0.277","0.329","0.467","0.796","0.37","38.12","$0","$0","$0","$0","32","220","0'0""",""
"","Eduardo Nunez","2B","BOS","127","0.784","121","0.747","480","127","23","3","10","44","0.265","0.289","0.388","0.677","-1.12","13.98","$0","$0","$0","$0","31","195","0'0""",""
"","Albert Almora","CF","CHC","153","0.939","94","0.577","444","127","24","1","5","41","0.286","0.323","0.378","0.701","2.18","27.57","$700,000","$592,284","$700,000","$8,227,076","24","190","6'2""",""
"","C.J. Cron","DH","TB","140","0.864","125","0.772","501","127","28","1","30","74","0.254","0.323","0.493","0.816","2.33","69.65","$7,250,000","$7,250,000","$7,250,000","$21,103,144","28","235","6'4""",""
"","Ronald Acuna Jr.","LF","ATL","111","0.685","108","0.667","433","127","26","4","26","64","0.293","0.366","0.552","0.917","3.91","97.94","$15,000,000","$15,000,000","$12,500,000","$21,936,240","20","205","6'0""",""
"","Nomar Mazara","RF","TEX","130","0.803","126","0.778","489","126","25","1","20","77","0.258","0.317","0.436","0.753","0.77","52.85","$0","$0","$0","$0","23","215","6'4""",""
"","Johan Camargo","3B","ATL","135","0.833","122","0.753","464","126","27","1","19","76","0.272","0.349","0.457","0.806","3.18","79.83","$0","$0","$0","$0","24","195","6'0""",""
"","Alex Gordon","LF","KC","142","0.877","139","0.858","506","124","24","0","13","54","0.245","0.324","0.370","0.694","2.38","17.53","$0","$0","$0","$0","34","225","6'1""",""
"","Miguel Rojas","SS","MIA","154","0.957","125","0.776","488","123","13","0","11","53","0.252","0.297","0.346","0.643","2.38","27.15","$5,500,000","$5,500,000","$5,000,000","$18,417,581","29","188","6'0""",""
"","Justin Smoak","1B","TOR","147","0.907","135","0.833","505","122","34","0","25","77","0.242","0.350","0.457","0.808","2.27","68.74","$0","$0","$0","$0","31","220","0'0""",""
"","Marwin Gonzalez","LF","HOU","145","0.895","136","0.840","489","121","25","3","16","68","0.247","0.324","0.409","0.733","2.47","48.68","$1,150,000","$1,150,000","$1,150,000","$32,871,660","29","205","6'1""",""
"","Nick Ahmed","SS","ARI","153","0.944","135","0.833","516","121","33","5","16","70","0.235","0.290","0.411","0.700","4.14","52.58","$8,125,000","$8,250,000","$8,125,000","$26,323,695","28","201","6'2""",""
"","Jonathan Villar","SS","BAL","141","0.870","118","0.728","466","121","14","1","14","46","0.260","0.325","0.384","0.709","1.36","51.04","$0","$0","$0","$0","27","215","6'1""",""
"","Jeimer Candelario","3B","DET","144","0.889","139","0.858","539","121","28","3","19","54","0.225","0.317","0.393","0.710","0.85","57.31","$5,800,000","$5,800,000","$5,800,000","$11,117,141","24","221","6'1""",""
"","Juan Soto","LF","WSH","116","0.716","112","0.691","414","121","25","1","22","70","0.292","0.406","0.517","0.923","2.95","95.81","$17,100,000","$6,013,184","$17,100,000","$28,304,031","19","185","6'1""",""
"","Salvador Perez","C","KC","129","0.796","128","0.790","510","120","23","0","27","80","0.235","0.274","0.439","0.713","2.35","38.12","$18,000,000","$18,000,000","$20,500,000","$70,043,815","28","255","6'3""",""
"","Travis Shaw","3B","MIL","152","0.933","138","0.847","498","120","23","0","32","86","0.241","0.345","0.480","0.825","4.09","87.98","$0","$0","$0","$0","28","230","6'4""",""
"","Jason Heyward","RF","CHC","128","0.785","111","0.681","440","119","23","4","8","57","0.271","0.335","0.395","0.731","1.61","8.88","$24,500,000","$22,000,000","$23,000,000","$148,889,278","28","240","6'5""",""
"","Brian Dozier","2B","LAD","151","0.926","141","0.865","553","119","30","2","21","72","0.215","0.305","0.391","0.696","0.93","43.31","$0","$0","$0","$0","31","200","0'0""",""
"","Aaron Hicks","CF","NYY","138","0.852","131","0.809","480","119","18","3","27","79","0.248","0.366","0.467","0.833","4.70","93.63","$10,785,714","$10,500,000","$10,000,000","$40,604,363","28","205","6'1""",""
"","Billy Hamilton","CF","CIN","153","0.944","138","0.852","504","119","16","9","4","29","0.236","0.299","0.327","0.626","0.29","21.99","$700,000","$130,764","$700,000","$16,899,225","27","160","6'0""",""
"","Max Kepler","CF","MIN","156","0.963","144","0.889","532","119","30","4","20","58","0.224","0.319","0.408","0.727","2.82","62.75","$6,750,000","$6,750,000","$7,000,000","$24,043,366","25","220","6'4""",""
"","Willson Contreras","C","CHC","138","0.847","123","0.755","474","118","27","5","10","54","0.249","0.340","0.390","0.730","3.07","59.09","$9,625,000","$9,625,000","$9,625,000","$21,132,167","26","225","6'1""",""
"","Victor Martinez","DH","DET","133","0.821","124","0.765","467","117","21","0","9","54","0.251","0.297","0.353","0.651","-1.19","1.73","$0","$0","$0","$0","39","210","6'2""",""
"","Evan Longoria","3B","SF","126","0.778","120","0.741","480","117","25","4","16","54","0.244","0.281","0.413","0.694","1.85","13.71","$19,500,000","$14,500,000","$16,666,667","$135,852,890","32","215","6'1""",""
"","Ian Kinsler","2B","BOS","128","0.790","124","0.765","487","117","26","0","14","48","0.240","0.302","0.380","0.681","2.53","25.32","$0","$0","$0","$0","36","200","6'0""",""
"","Wilson Ramos","C","PHI","111","0.685","96","0.593","382","117","22","1","15","70","0.306","0.358","0.487","0.845","1.90","57.65","$0","$0","$0","$0","30","245","6'1""",""
