Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Porcetnaje_juegos_t,At_bats_t,Bateos_t,Home_runs_t,RBI_t,Porcentaje_bateo_t,OPS_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Juegos_2_t,Porcetnaje_juegos_2_t,At_bats_2_t,Bateos_2_t,Home_runs_2_t,RBI_2_t,Porcentaje_bateo_2_t,OPS_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Porcetnaje_juegos_t_1,At_bats_t_1,Bateos_t_1,Home_runs_t_1,RBI_t_1,Porcentaje_bateo_t_1,OPS_t_1,Juegos_2_t_1,Porcetnaje_juegos_2_t_1,At_bats_2_t_1,Bateos_2_t_1,Home_runs_2_t_1,RBI_2_t_1,Porcentaje_bateo_2_t_1,OPS_2_t_1
Jason Castro,11,2,7000000,3500000,66,0.407,149,35,8,21,0.235,0.799,14.73180128983843,15.068273526459642,15.068273526459642,4356,0.165649,22201,1225,64,441,0.0552249999999999,0.6384010000000001,10,1,6850000,6850000,27,0.45,80,15,2,9,0.188,0.668,729,0.2025,6400,225,4,81,0.035344,0.446224
Alex Avila,11,1,1500000,1500000,34,0.21,89,17,1,9,0.191,0.694,14.22097566607244,14.22097566607244,14.22097566607244,1156,0.0440999999999999,7921,289,1,81,0.036481,0.4816359999999999,10,1,4250000,4250000,23,0.383,49,9,1,2,0.184,0.641,529,0.146689,2401,81,1,4,0.033856,0.410881
Austin Romine,11,1,1500000,1500000,28,0.173,60,13,1,5,0.217,0.542,14.22097566607244,14.508657738524219,14.508657738524219,784,0.0299289999999999,3600,169,1,25,0.047089,0.293764,10,1,4150000,4150000,37,0.638,130,31,2,17,0.239,0.582,1369,0.407044,16900,961,4,289,0.057121,0.3387239999999999
