Jugador,Juegos,Wins,Saves,WHIP,ERA,Equipo,Sueldo
Justin Verlander,34,24,0,0.92,2.4,DET,13416666
James Shields,33,16,0,1.04,2.82,TB,4250000
Dan Haren,35,16,0,1.02,3.17,LAA,12750000
C.C. Sabathia,33,19,0,1.23,3.0,NYY,25571428
Jered Weaver,33,18,0,1.01,2.41,LAA,7365000
Felix Hernandez,33,14,0,1.22,3.47,SEA,11950000
Clayton Kershaw,33,21,0,0.98,2.28,LAD,500000
Cliff Lee,35,17,0,1.03,2.4,PHI,11050000
Ervin Santana,33,11,0,1.22,3.39,LAA,8000000
David Price,34,12,0,1.14,3.49,TB,2183333
C.J. Wilson,34,16,0,1.19,2.94,TEX,7150000
Ian Kennedy,34,21,0,1.09,2.88,ARI,423000
Daniel Hudson,33,16,0,1.2,3.49,ARI,419000
Matt Cain,35,12,0,1.08,2.88,SF,7333333
Tim Lincecum,33,13,0,1.21,2.74,SF,14100000
Doug Fister,32,11,0,1.06,2.83,SEA,436500
Cole Hamels,33,14,0,0.99,2.79,PHI,9550000
Tim Hudson,33,16,0,1.14,3.22,ATL,9000000
Randy Wolf,33,13,0,1.32,3.69,MIL,9500000
Joe Saunders,33,12,0,1.31,3.69,ARI,5500000
R.A. Dickey,33,8,0,1.23,3.28,NYM,2750000
Jeremy Guthrie,35,9,0,1.34,4.33,BAL,5750000
Trevor Cahill,34,12,0,1.42,4.16,OAK,700000
Yovani Gallardo,33,17,0,1.22,3.52,MIL,3500000
Mark Buehrle,31,13,0,1.29,3.59,CHW,14025000
Madison Bumgarner,35,13,0,1.21,3.21,SF,450000
Hiroki Kuroda,32,13,0,1.21,3.07,LAD,12500000
Gio Gonzalez,32,16,0,1.32,3.12,OAK,420000
Jason Vargas,32,10,0,1.31,4.25,SEA,2450000
Shaun Marcum,33,13,0,1.16,3.54,MIL,3950000
Colby Lewis,32,14,0,1.21,4.4,TEX,3000000
Edwin Jackson,32,12,0,1.44,3.79,STL,8750000
Bronson Arroyo,36,9,0,1.37,5.07,CIN,6500000
Luke Hochevar,31,11,0,1.28,4.68,KC,1760000
Matt Garza,31,10,0,1.26,3.32,CHC,5950000
Derek Holland,32,16,0,1.35,3.96,TEX,431810
Max Scherzer,33,15,0,1.35,4.43,DET,600000
Jaime Garcia,32,13,0,1.32,3.56,STL,437000
Mat Latos,31,9,0,1.18,3.47,SD,460700
Jhoulys Chacin,33,11,0,1.31,3.62,COL,419000
Gavin Floyd,31,12,0,1.16,4.37,CHW,5000000
Mike Pelfrey,34,7,0,1.47,4.74,NYM,3925000
Josh Beckett,30,13,0,1.03,2.89,BOS,17000000
Jon Lester,31,15,0,1.26,3.48,BOS,5800000
Wandy Rodriguez,30,11,0,1.31,3.49,HOU,7500000
A.J. Burnett,34,11,0,1.43,5.15,NYY,16500000
Jeremy Hellickson,29,13,0,1.15,2.95,TB,418400
Kyle Lohse,35,14,0,1.17,3.39,STL,12187500
Chad Billingsley,32,11,0,1.45,4.21,LAD,6275000
Chris Capuano,36,11,0,1.35,4.55,NYM,1500000
Bud Norris,31,6,0,1.33,3.77,HOU,437500
Matt Harrison,31,14,0,1.28,3.39,TEX,428830
Tim Stauffer,32,9,0,1.25,3.73,SD,1075000
John Lannan,33,10,0,1.46,3.7,WSH,2750000
Wade Davis,30,11,0,1.38,4.45,TB,1000000
Jeff Francis,31,6,0,1.44,4.82,KC,2000000
Rick Porcello,31,14,0,1.41,4.75,DET,1536000
Brad Penny,31,11,0,1.56,5.3,DET,3000000
Ryan Vogelsong,31,13,0,1.25,2.71,SF,414000
Brandon Morrow,30,11,0,1.29,4.72,TOR,2300000
Zack Greinke,29,16,0,1.2,3.83,MIL,13500000
Charlie Morton,29,10,0,1.53,3.83,PIT,441000
James McDonald,31,9,0,1.49,4.21,PIT,443000
Michael Pineda,28,9,0,1.1,3.74,SEA,414000
Aaron Harang,28,14,0,1.37,3.64,SD,3500000
Brandon McCarthy,25,9,0,1.13,3.32,OAK,1000000
John Danks,27,8,0,1.34,4.33,CHW,6000000
Jason Hammel,33,7,1,1.43,4.76,COL,3000000
Alexi Ogando,31,13,0,1.14,3.52,TEX,430150
Mike Leake,38,12,0,1.17,3.87,CIN,425000
