Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Hector Velazquez,RP,34,8,56.3,58,40,34,28,49,1,4,0,1.53,5.43,BOS,568500
Oliver Drake,RP,50,0,56.0,36,20,20,19,70,5,2,2,0.98,3.21,TB,566100
T.J. McFarland,RP,51,0,56.0,71,35,30,20,35,0,0,0,1.63,4.82,ARI,1400000
Scott Oberg,RP,49,0,56.0,39,18,14,23,58,6,1,5,1.11,2.25,COL,1300000
Amir Garrett,RP,69,0,56.0,44,22,20,35,78,5,3,0,1.41,3.21,CIN,567500
Ryan Brasier,RP,62,0,55.7,51,33,30,21,61,2,4,7,1.29,4.85,BOS,577500
Chris Martin,RP,58,0,55.7,52,23,21,5,65,1,3,4,1.02,3.4,ATL,2250000
Robbie Erlin,RP,37,1,55.3,72,36,33,15,52,0,1,0,1.57,5.37,SD,1450000
Richard Bleier,RP,53,1,55.3,65,34,33,8,30,3,0,4,1.32,5.37,BAL,572500
Tyler Webb,RP,65,0,55.0,33,23,23,23,48,2,1,1,1.02,3.76,STL,555000
Adam Kolarek,RP,82,0,55.0,48,22,20,16,45,6,3,1,1.16,3.27,LAD,560800
Jace Fry,RP,68,0,55.0,44,33,29,43,68,3,4,0,1.58,4.75,CHW,569000
Colten Brewer,RP,58,0,54.7,59,26,25,34,52,1,2,0,1.7,4.12,BOS,557000
Ryan Pressly,RP/CL,55,0,54.3,37,15,14,12,72,2,3,3,0.9,2.32,HOU,2900000
Ryne Harper,RP,61,0,54.3,54,25,23,10,50,4,2,1,1.18,3.81,MIN,555000
Tony Watson,RP,60,0,54.0,56,26,25,12,41,2,2,0,1.26,4.17,SF,7500000
Tyler Alexander,P,13,8,53.7,68,30,29,7,47,1,4,0,1.4,4.86,DET,555000
Anthony Swarzak,RP,59,0,53.3,52,30,27,27,52,3,4,4,1.48,4.56,ATL,8500000
Ken Giles,RP,55,0,53.0,36,11,11,17,83,2,3,23,1.0,1.87,TOR,6300000
Yoshihisa Hirano,RP/CL,62,0,53.0,51,31,28,22,61,5,5,1,1.38,4.76,ARI,3500000
Andrew Chafin,RP,78,0,52.7,52,23,22,18,68,2,2,0,1.33,3.76,ARI,1945000
Trevor Gott,RP,50,0,52.7,41,26,26,17,57,7,0,1,1.1,4.44,SF,567500
Taylor Cole,RP,38,6,51.7,58,35,34,24,50,3,4,0,1.59,5.92,LAA,557500
Colin Poche,P,51,0,51.7,33,27,27,19,72,5,5,2,1.01,4.7,TB,555000
Matt Wisler,RP,44,8,51.3,56,34,32,16,63,3,4,0,1.4,5.61,SEA,570000
Tim Mayza,RP,68,0,51.3,45,29,28,27,55,1,3,0,1.4,4.91,TOR,568300
Chaz Roe,RP,71,0,51.0,49,27,23,31,65,1,3,1,1.57,4.06,TB,1275000
Trey Wingenter,RP,51,1,51.0,34,32,32,28,72,1,3,1,1.22,5.65,SD,557200
Manny Banuelos,RP,16,8,50.7,60,39,39,33,44,3,4,0,1.84,6.93,CHW,559000
Matt Magill,RP/CL,50,0,50.7,51,31,23,20,64,5,2,5,1.4,4.09,SEA,560000
Mike Morin,RP,52,0,50.7,46,29,26,10,26,1,3,1,1.11,4.62,PHI,555000
Evan Marshall,RP,55,0,50.7,42,16,14,24,41,4,2,0,1.3,2.49,CHW,555000
Jarlin Garcia,RP,53,0,50.7,40,17,17,16,39,4,2,0,1.11,3.02,MIA,555000
Roenis Elias,RP,48,0,50.0,46,32,22,18,47,4,2,14,1.28,3.96,WSH,910000
Clay Holmes,RP,35,0,50.0,45,36,31,36,56,1,2,0,1.62,5.58,PIT,555000
Andrew Kittredge,RP/CL,37,7,49.7,51,25,23,12,58,1,0,0,1.27,4.17,TB,555000
Tyler Kinley,RP,52,0,49.3,43,20,20,36,46,3,1,1,1.6,3.65,MIA,555000
Kyle Crick,RP,52,0,49.0,41,30,27,35,61,3,7,0,1.55,4.96,PIT,581500
Corbin Burnes,RP,32,4,49.0,70,52,48,20,70,1,5,1,1.84,8.82,MIL,562800
Devin Smeltzer,P,12,6,49.0,50,23,21,12,38,2,2,1,1.26,3.86,MIN,555000
Brendan McKay,SP,18,12,49.0,53,32,28,16,56,2,4,0,1.41,5.14,TB,555000
Luke Bard,RP,32,3,49.0,41,27,26,13,40,3,3,0,1.1,4.78,LAA,575000
Ranger Suarez,RP,37,0,48.7,52,18,17,12,42,6,1,0,1.32,3.14,PHI,555000
Daniel Poncedeleon,RP,13,8,48.7,36,21,20,26,52,1,2,0,1.27,3.7,STL,555000
Carlos Martinez,RP,48,0,48.3,39,18,17,18,53,4,2,24,1.18,3.17,STL,11700000
Tanner Rainey,P,52,0,48.3,32,22,21,38,74,2,3,0,1.45,3.91,WSH,555000
Anthony Bass,RP,45,0,48.0,30,20,19,17,43,2,4,5,0.98,3.56,SEA,555000
Mitch Keller,SP,11,11,48.0,72,41,38,16,65,1,5,0,1.83,7.13,PIT,555000
Fernando Rodney,RP,55,0,47.7,49,31,30,28,49,0,5,2,1.62,5.66,WSH,5250000
Juan Nicasio,RP,47,0,47.3,57,27,25,21,45,2,3,1,1.65,4.75,PHI,9250000
Brandon Brennan,RP,44,0,47.3,34,25,24,24,47,3,6,0,1.23,4.56,SEA,575000
Josh Taylor,RP,52,1,47.3,40,17,16,16,62,2,2,0,1.18,3.04,BOS,555000
Austin Pruitt,SP,14,2,47.0,47,23,23,12,39,3,0,0,1.25,4.4,TB,555000
Justin Anderson,RP,54,0,47.0,42,32,29,32,60,3,0,1,1.57,5.55,LAA,561500
Dylan Floro,RP/CL,50,0,46.7,46,25,22,14,42,5,3,0,1.29,4.24,LAD,565000
Casey Sadler,RP,33,1,46.3,41,14,11,13,31,4,0,1,1.16,2.14,LAD,555000
Tayron Guerrero,RP,52,0,46.0,42,34,32,36,43,1,2,0,1.7,6.26,MIA,565000
Ryan Buchter,RP,64,0,45.3,42,16,15,23,50,1,1,0,1.43,2.98,OAK,1400000
Kolby Allard,SP,9,9,45.3,52,26,25,19,33,4,2,0,1.57,4.96,TEX,555000
Nick Vincent,RP,32,1,44.7,47,23,22,12,47,1,4,0,1.32,4.43,PHI,555000
Austin Brice,RP,36,0,44.7,37,21,17,18,46,1,0,0,1.23,3.43,MIA,555000
Caleb Ferguson,RP,46,2,44.7,39,26,24,27,54,1,2,0,1.48,4.84,LAD,560000
Blaine Hardy,RP,39,0,44.3,38,24,22,13,29,1,1,0,1.15,4.47,DET,1300000
Austin Voth,SP,9,8,43.7,33,16,16,13,44,2,1,0,1.05,3.3,WSH,556000
Lucas Sims,RP/CL,24,4,43.0,31,22,22,19,57,2,1,0,1.16,4.61,CIN,555000
Wade Davis,RP,50,0,42.7,51,42,41,29,42,1,6,15,1.88,8.65,COL,18000000
Victor Alcantara,RP,47,0,42.7,45,25,23,15,24,3,2,0,1.41,4.85,DET,559100
Pedro Strop,RP,50,0,41.7,33,24,23,20,49,2,5,10,1.27,4.97,CHC,6250000
Touki Toussaint,RP,24,1,41.7,44,28,26,26,45,4,0,0,1.68,5.62,ATL,555000
Cole Irvin,P,16,3,41.7,45,28,27,13,31,2,1,1,1.39,5.83,PHI,555000
Jake McGee,RP,45,0,41.3,47,25,20,11,35,0,2,0,1.4,4.36,COL,8500000
Jonathan Holder,RP,34,1,41.3,43,32,29,11,46,5,2,0,1.31,6.32,NYY,580300
Branden Kline,RP,34,0,41.0,44,28,27,19,34,1,4,0,1.54,5.93,BAL,555000
Jose Urquidy,SP,9,7,41.0,38,18,18,7,40,2,1,0,1.1,3.95,HOU,555000
Dominic Leone,RP,40,0,40.7,39,28,25,22,46,1,0,1,1.5,5.53,STL,1260000
Ryan Weber,RP,18,3,40.7,48,25,23,8,29,2,4,0,1.38,5.09,BOS,555000
Brian Johnson,RP,22,7,40.3,53,29,27,23,31,1,3,0,1.88,6.03,BOS,575000
Anthony Gonsolin,P,11,6,40.0,26,15,13,15,37,4,2,1,1.02,2.93,LAD,555000
Jose Ruiz,RP,40,0,40.0,56,27,25,24,35,1,4,0,2.0,5.63,CHW,555000
Heath Hembree,RP,45,0,39.7,34,20,17,18,46,1,0,2,1.31,3.86,BOS,1312500
Wandy Peralta,RP,47,0,39.7,40,25,25,16,32,1,1,0,1.41,5.67,SF,570000
Tim Hill,RP,46,0,39.7,31,17,16,13,39,2,0,1,1.11,3.63,KC,573175
Justin Shafer,RP,34,0,39.7,41,19,17,25,39,2,1,1,1.66,3.86,TOR,555000
Logan Webb,SP,9,8,39.7,44,25,23,14,37,2,3,0,1.46,5.22,SF,555000
Patrick Sandoval,SP,10,9,39.3,35,22,22,19,42,0,4,0,1.37,5.03,LAA,555000
Edgar Garcia,RP,37,0,39.0,38,25,25,26,45,2,0,0,1.64,5.77,PHI,555000
Jeff Brigham,RP,32,0,38.3,36,20,19,14,39,3,1,1,1.3,4.46,MIA,555000
Jameson Taillon,SP,7,7,37.3,34,24,17,8,30,2,3,0,1.13,4.1,PIT,587500
Jimmy Cordero,RP,31,0,37.3,26,12,12,11,31,1,1,0,0.99,2.89,CHW,555000
Ryan Helsley,P,24,0,36.7,34,13,12,12,32,2,0,0,1.25,2.95,STL,555000
Jon Duplantier,P,15,3,36.7,39,18,18,18,34,1,1,1,1.55,4.42,ARI,555000
Justus Sheffield,SP,8,7,36.0,44,22,22,18,37,0,1,0,1.72,5.5,SEA,555000
Alec Mills,RP,9,4,36.0,31,11,11,11,42,1,0,1,1.17,2.75,CHC,555000
Jesus Tinoco,RP,24,0,36.0,36,23,19,22,28,0,3,1,1.61,4.75,COL,555000
Corey Kluber,SP,7,7,35.7,44,26,23,15,38,2,3,0,1.65,5.8,TEX,17700000
Alex Wood,SP,7,7,35.7,41,25,23,9,30,1,3,0,1.4,5.8,CIN,9650000
Jose Cisnero,RP,35,0,35.3,35,21,17,19,40,0,4,0,1.53,4.33,DET,555000
Geoff Hartlieb,P,29,0,35.0,52,35,35,18,38,0,1,0,2.0,9.0,PIT,555000
Carlos Rodon,SP,7,7,34.7,33,22,20,17,46,3,2,0,1.44,5.19,CHW,4200000
Dustin May,RP,14,4,34.7,33,17,14,5,32,2,3,0,1.1,3.64,LAD,555000
Brad Wieck,RP,44,0,34.7,28,23,22,13,49,2,2,0,1.18,5.71,CHC,555000
Wes Parsons,RP,32,0,34.7,32,24,21,29,26,1,2,0,1.76,5.45,COL,565000
Robert Dugger,P,8,7,34.3,33,26,22,17,25,0,5,0,1.46,5.77,MIA,555000
Yency Almonte,RP,28,0,34.0,39,22,21,14,29,0,1,0,1.56,5.56,COL,555000
Hector Santiago,RP,19,2,33.7,42,26,25,22,40,1,1,0,1.9,6.68,CHW,555000
Kyle Barraclough,RP,43,0,33.7,38,24,21,21,40,1,2,0,1.75,5.61,SF,1725000
Elvis Luciano,RP,25,0,33.7,36,20,20,24,27,1,0,0,1.78,5.35,TOR,555000
Tim Melville,SP,7,7,33.3,34,18,18,14,24,2,3,0,1.44,4.86,COL,555000
Rowan Wick,RP/CL,31,0,33.3,22,13,9,16,35,2,0,2,1.14,2.43,CHC,555000
Andrew Suarez,RP,21,2,32.7,39,23,21,14,25,0,2,0,1.62,5.79,SF,555000
Jacob Barnes,RP,33,1,32.7,36,30,27,22,32,1,5,0,1.78,7.44,KC,567600
Jerry Blevins,RP,46,0,32.3,25,15,14,16,37,1,0,1,1.27,3.9,ATL,1500000
Jeffrey Springs,RP,25,0,32.3,38,23,23,23,32,4,1,0,1.89,6.4,TEX,557000
Jacob Webb,RP,36,0,32.3,24,10,5,12,28,4,0,2,1.11,1.39,ATL,555000
Luis Avilan,RP,45,0,32.0,33,18,18,14,30,4,0,0,1.47,5.06,NYM,1600000
Austin Adams,RP,30,0,32.0,20,14,14,16,53,2,2,0,1.13,3.94,SEA,555000
Matthew Bowman,RP,27,0,32.0,27,15,13,13,25,2,0,0,1.25,3.66,CIN,555000
J.B. Wendelken,RP/CL,26,0,31.7,21,14,13,9,32,3,1,0,0.95,3.7,OAK,557500
Jonathan Loaisiga,RP,15,4,31.7,31,16,16,16,37,2,2,0,1.48,4.55,NYY,560550
Adalberto Mejia,RP,35,0,31.3,33,25,23,21,30,0,2,0,1.72,6.61,LAA,560000
Jake Newberry,RP,27,0,31.0,29,13,13,16,29,1,0,0,1.45,3.77,KC,555000
Jay Jackson,RP,28,0,30.3,22,15,15,18,47,1,0,0,1.32,4.45,MIL,1000000
Stefan Crichton,RP,28,0,30.3,23,12,12,8,33,1,0,0,1.02,3.56,ARI,555000
Darwinzon Hernandez,RP,29,1,30.3,27,18,15,26,57,0,1,0,1.75,4.45,BOS,555000
Jose Alvarado,RP,35,1,30.0,29,18,16,27,39,1,6,7,1.87,4.8,TB,555000
Adam Morgan,RP,40,0,29.7,20,14,13,10,29,3,3,0,1.01,3.94,PHI,1100000
Keone Kela,RP,32,0,29.7,19,7,7,11,33,2,0,1,1.01,2.12,PIT,3175000
Sean Manaea,SP,5,5,29.7,16,4,4,7,30,4,0,0,0.77,1.21,OAK,3150000
Michel Baez,P,24,1,29.7,25,10,10,14,28,1,1,0,1.32,3.03,SD,555000
Jose Quijada,RP,34,0,29.7,27,20,19,26,44,2,3,1,1.79,5.76,MIA,555000
A.J. Minter,RP,36,0,29.3,36,23,23,23,35,3,4,5,2.01,7.06,ATL,575000
Rafael Montero,RP,22,0,29.0,23,8,8,5,34,2,0,0,0.97,2.48,TEX,555000
Daniel Stumpf,RP,48,0,29.0,35,18,14,15,28,1,1,0,1.72,4.35,DET,566600
Chad Sobotka,RP,32,0,29.0,28,22,20,19,38,0,0,0,1.62,6.21,ATL,565000
Jordan Hicks,RP,29,0,28.7,16,10,10,11,31,2,2,14,0.94,3.14,STL,555000
Randy Dobnak,SP,9,5,28.3,27,9,5,5,23,2,1,1,1.13,1.59,MIN,555000
Jesse Biddle,RP,30,0,28.0,42,33,26,22,26,0,1,0,2.29,8.36,TEX,575000
Zac Reininger,RP,26,1,28.0,44,28,27,16,17,0,2,0,2.14,8.68,DET,555000
Evan Phillips,RP,25,0,28.0,32,20,20,20,40,0,1,0,1.86,6.43,BAL,555000
Lewis Thorpe,P,12,2,27.7,38,19,19,10,31,3,2,0,1.74,6.18,MIN,555000
Sam Coonrod,RP,33,0,27.7,19,11,11,15,20,5,1,0,1.23,3.58,SF,555000
Carson Fulmer,RP,20,2,27.3,26,22,19,20,25,1,2,0,1.68,6.26,CHW,555000
Alex McRae,P,11,2,26.7,36,30,26,16,19,0,4,0,1.95,8.78,PIT,555000
Brock Burke,SP,6,6,26.7,30,22,22,11,14,0,2,0,1.54,7.43,TEX,555000
Taylor Guerrieri,RP,20,0,26.3,25,19,17,22,27,0,0,0,1.78,5.81,TEX,555000
Tanner Scott,RP,28,0,26.3,28,17,14,19,37,1,1,0,1.78,4.79,BAL,555000
Jake Jewell,RP,18,0,26.3,28,20,20,8,23,0,0,0,1.37,6.84,LAA,555000
Gerardo Reyes,RP,27,0,26.0,24,22,22,11,38,4,0,0,1.35,7.62,SD,555000
Brock Stewart,RP,13,0,25.7,37,29,28,8,19,4,0,0,1.75,9.82,TOR,565000
Chance Adams,RP,13,0,25.3,39,25,24,11,23,1,1,1,1.97,8.53,NYY,556725
Kohl Stewart,RP,9,2,25.3,29,18,18,8,10,2,2,0,1.46,6.4,MIN,555000
Joe Smith,RP,28,0,25.0,19,6,5,5,22,1,0,0,0.96,1.8,HOU,8000000
D.J. Johnson,RP,28,0,25.0,23,14,14,19,24,0,2,0,1.68,5.04,COL,557000
Cody Stashak,P,18,1,25.0,29,9,9,1,25,0,1,0,1.2,3.24,MIN,555000
Seranthony Dominguez,RP,27,0,24.7,24,13,11,12,29,3,0,0,1.46,4.01,PHI,564000
Stephen Tarpley,RP,21,1,24.7,34,20,19,15,34,1,0,2,1.99,6.93,NYY,557250
Jandel Gustave,RP,23,0,24.3,18,11,8,9,14,0,0,1,1.11,2.96,SF,555000
Kevin Ginkel,P,25,0,24.3,15,7,4,9,28,3,0,2,0.99,1.48,ARI,555000
Yefry Ramirez,RP,14,1,24.3,30,24,20,16,27,0,2,0,1.89,7.4,PIT,555000
David McKay,P,25,0,24.3,18,15,14,17,30,0,0,0,1.44,5.18,DET,555000
Connor Sadzeck,RP,20,0,23.7,18,10,7,15,27,0,1,1,1.39,2.66,SEA,556000
Drew Gagnon,RP,18,0,23.7,34,26,22,7,17,3,1,0,1.73,8.37,NYM,555000
Matt Hall,RP,16,0,23.3,28,20,20,15,27,0,1,0,1.84,7.71,DET,555000
Emmanuel Clase,P,21,1,23.3,20,8,6,6,21,2,3,1,1.11,2.31,TEX,555000
Sam Tuivailala,RP,23,2,23.0,13,6,6,11,27,1,0,0,1.04,2.35,SEA,568600
Andres Munoz,P,22,0,23.0,16,10,10,11,30,1,1,1,1.17,3.91,SD,555000
T.J. Zeuch,SP,5,3,22.7,22,13,12,11,20,1,2,0,1.46,4.77,TOR,555000
Walker Lockett,RP,9,4,22.7,33,21,21,6,16,1,1,0,1.72,8.34,NYM,555000
Heath Fillmyer,RP,12,3,22.3,28,20,20,12,15,0,2,0,1.79,8.06,KC,555000
Jimmy Nelson,RP,10,3,22.0,25,18,17,17,26,0,2,0,1.91,6.96,MIL,3700000
Tyler Bashlor,RP,24,0,22.0,21,17,17,17,20,0,3,0,1.73,6.96,NYM,555000
Parker Markel,P,20,0,22.0,26,21,19,17,24,0,1,0,1.96,7.77,PIT,555000
Ryan Tepera,RP,23,1,21.7,20,12,12,8,14,0,2,0,1.29,4.99,TOR,1525000
Jason Adam,RP,23,0,21.7,15,8,7,10,18,3,0,0,1.15,2.91,TOR,555000
Burch Smith,RP,17,0,21.3,26,14,13,14,20,0,1,0,1.88,5.48,SF,555000
Cy Sneed,P,8,0,21.3,26,13,13,5,23,0,1,0,1.45,5.48,HOU,555000
Dillon Tate,RP,16,0,21.0,18,15,15,9,20,0,2,0,1.29,6.43,BAL,555000
Eric Skoglund,RP,6,4,21.0,30,21,21,9,4,0,3,0,1.86,9.0,KC,568175
Pete Fairbanks,P,21,0,21.0,25,20,16,10,28,2,3,2,1.67,6.86,TB,555000
Reggie McClain,P,14,2,21.0,22,14,14,13,11,1,1,0,1.67,6.0,SEA,555000
Tyler Anderson,SP,5,5,20.7,33,27,27,11,23,0,3,0,2.13,11.76,COL,2625000
Austin Davis,RP,14,0,20.7,22,15,15,14,24,0,0,0,1.74,6.53,PHI,555000
Michael Shawaryn,P,14,0,20.3,26,22,22,13,29,0,0,0,1.92,9.74,BOS,555000
Genesis Cabrera,RP,13,2,20.3,23,16,11,11,19,0,2,1,1.67,4.87,STL,555000
Buddy Boshers,RP,28,1,20.0,20,10,9,10,26,0,3,0,1.5,4.05,TOR,555000
Bryse Wilson,SP,6,4,20.0,26,18,16,10,16,1,1,0,1.8,7.2,ATL,565000
Ryan Burr,RP,16,1,19.7,17,13,10,8,20,1,1,0,1.27,4.58,CHW,556000
Ronald Bolanos,SP,5,3,19.7,17,13,13,12,19,0,2,0,1.48,5.95,SD,555000
Paul Sewald,RP/CL,17,0,19.7,18,10,10,3,22,1,1,1,1.07,4.58,NYM,555000
Kyle Wright,SP,7,4,19.7,24,19,19,13,18,0,3,0,1.88,8.7,ATL,565000
Jose Rodriguez,P,9,1,19.7,17,6,6,11,13,0,1,0,1.42,2.75,LAA,555000
Josh Staumont,RP,16,0,19.3,21,13,8,10,15,0,0,0,1.6,3.72,KC,555000
Mike Mayers,RP,16,0,19.0,21,14,14,11,16,0,1,0,1.68,6.63,STL,563700
Sam Howard,RP,20,0,19.0,21,16,14,10,23,2,0,0,1.63,6.63,COL,555000
JD Hammer,P,20,0,19.0,15,8,8,12,13,1,0,0,1.42,3.79,PHI,555000
Jacob Faria,RP,16,0,18.7,28,15,14,12,19,0,1,0,2.14,6.75,MIL,555000
Kyle Zimmer,RP,15,0,18.3,28,22,22,19,18,0,1,0,2.56,10.8,KC,555000
Brent Suter,RP,9,0,18.3,10,1,1,1,15,4,0,0,0.6,0.49,MIL,568300
Jimmie Sherfy,RP,17,0,18.3,23,12,12,5,22,1,0,1,1.53,5.89,ARI,555000
Pat Neshek,RP,20,0,18.0,23,11,10,2,9,0,1,3,1.39,5.0,PHI,7750000
Joe Harvey,RP,18,1,18.0,18,11,10,13,17,1,0,0,1.72,5.0,COL,555000
Tyler Rogers,P,17,0,17.7,12,3,2,3,16,2,0,0,0.85,1.02,SF,555000
Scott Alexander,RP,28,0,17.3,17,7,7,7,9,3,2,0,1.38,3.64,LAD,575000
Zac Grotz,P,14,0,17.3,14,9,8,8,18,1,0,0,1.27,4.15,SEA,555000
Montana DuRapau,P,14,2,17.3,27,24,18,9,22,0,1,0,2.08,9.35,PIT,555000
James Marvel,SP,4,4,17.3,25,16,16,6,9,0,3,0,1.79,8.31,PIT,555000
C.J. Edwards,RP,22,0,17.0,12,17,16,13,19,1,1,0,1.47,8.47,SD,1500000
Conner Menez,P,9,3,17.0,13,10,10,12,22,0,1,0,1.47,5.29,SF,555000
Chasen Bradford,RP,12,0,16.7,17,9,9,4,11,0,0,1,1.26,4.86,SEA,562300
Jonathan Hernandez,P,9,2,16.7,14,10,8,13,19,2,1,0,1.62,4.32,TEX,555000
Joe Palumbo,RP,7,4,16.7,21,17,17,8,21,0,3,0,1.74,9.18,TEX,555000
Sal Romano,RP,12,0,16.3,22,14,14,8,16,1,0,2,1.84,7.71,CIN,555000
Trevor Hildenberger,RP,22,0,16.3,30,19,19,7,15,2,2,1,2.27,10.47,MIN,572500
Chris Mazza,RP,9,0,16.3,21,10,10,5,11,1,1,0,1.59,5.51,NYM,555000
Tayler Scott,SP,13,2,16.3,31,28,26,11,14,0,0,0,2.57,14.33,BAL,555000
Edinson Volquez,RP,11,4,16.0,20,12,12,12,10,0,1,0,2.0,6.75,TEX,2000000
Johnny Cueto,SP,4,4,16.0,11,9,9,9,13,1,2,0,1.25,5.06,SF,21000000
Ray Black,RP,17,0,16.0,14,9,9,9,18,0,1,0,1.44,5.06,MIL,555000
Kyle McGowin,SP,7,1,16.0,22,19,18,4,18,0,0,1,1.63,10.13,WSH,555000
Phillips Valdez,P,11,0,16.0,17,7,7,9,18,0,0,0,1.63,3.94,TEX,555000
Ruben Alaniz,RP,12,0,15.7,19,17,16,7,13,1,0,0,1.66,9.19,CIN,555000
Jordan Romano,P,17,0,15.3,17,14,13,9,21,0,2,0,1.7,7.63,TOR,555000
Edubray Ramos,RP,20,0,15.0,19,10,9,7,11,1,0,0,1.73,5.4,PHI,573500
Dan Altavilla,RP,17,0,14.7,9,9,9,12,18,2,1,0,1.43,5.52,SEA,555000
Taylor Williams,RP,12,0,14.7,22,17,16,7,15,1,1,0,1.98,9.82,MIL,563800
Randy Rosario,RP,19,0,14.3,15,9,7,5,13,2,0,0,1.39,4.4,KC,564000
Drew Steckenrider,RP/CL,15,0,14.3,9,10,10,5,14,0,2,0,0.98,6.28,MIA,575000
Josh Rogers,SP,5,0,14.3,18,14,14,6,5,0,1,0,1.67,8.79,BAL,555000
Ian Gibaut,RP,10,0,14.3,12,9,9,10,16,1,1,0,1.53,5.65,TEX,555000
Anthony Kay,SP,4,2,14.0,15,9,9,5,13,2,0,0,1.43,5.79,TOR,555000
Fernando Romero,RP,15,0,14.0,19,12,11,11,18,0,1,0,2.14,7.07,MIN,555000
Chris Flexen,SP,9,1,13.7,15,12,10,13,10,0,3,0,2.05,6.59,NYM,555000
Devin Williams,P,13,0,13.7,18,9,6,6,14,0,0,0,1.76,3.95,MIL,555000
Luke Farrell,RP,9,1,13.3,6,4,4,3,12,1,0,0,0.68,2.7,TEX,555000
Fernando Abad,RP,21,0,13.0,9,6,6,3,9,0,2,0,0.92,4.15,SF,800000
Yacksel Rios,RP,14,0,13.0,16,13,10,8,12,1,0,0,1.85,6.92,PIT,555000
John Schreiber,P,13,0,13.0,16,9,9,4,19,2,0,0,1.54,6.23,DET,555000
Tyler Lyons,RP,14,0,12.7,13,9,9,5,17,1,2,0,1.42,6.4,NYY,555000
Ryan Dull,RP,12,0,12.7,25,19,18,7,15,0,0,0,2.53,12.79,TOR,860000
Alex Cobb,SP,3,3,12.3,21,16,15,2,8,0,2,0,1.87,10.95,BAL,14000000
Taylor Guilbeau,P,17,0,12.3,10,6,5,3,7,0,0,0,1.05,3.65,SEA,555000
Grant Dayton,RP,14,0,12.0,12,5,4,4,14,0,1,0,1.33,3.0,ATL,585000
Luis Severino,SP,3,3,12.0,6,2,2,6,17,1,1,0,1.0,1.5,NYY,4500000
Jesus Luzardo,P,6,0,12.0,5,2,2,3,16,0,0,2,0.67,1.5,OAK,555000
Duane Underwood,RP,12,0,11.7,13,7,7,3,13,0,0,0,1.37,5.4,CHC,555000
Dillon Maples,RP,14,0,11.7,6,7,7,10,18,1,0,0,1.37,5.4,CHC,555000
Bobby Poyner,RP,13,1,11.7,10,9,9,5,11,0,1,0,1.29,6.94,BOS,555000
Junior Fernandez,P,13,0,11.7,9,7,7,6,16,0,1,0,1.29,5.4,STL,555000
Eric Yardley,P,10,0,11.7,12,5,3,3,7,0,1,0,1.29,2.31,SD,555000
A.J. Puk,P,10,0,11.3,10,4,4,5,13,2,0,0,1.32,3.18,OAK,555000
Ryan Eades,P,8,0,11.3,11,3,3,6,10,0,1,0,1.5,2.38,BAL,555000
Allen Webster,SP,12,0,11.0,14,7,6,5,9,0,0,1,1.73,4.91,CHC,650000
Paul Blackburn,RP,5,2,11.0,19,14,13,4,8,0,2,0,2.09,10.64,OAK,555000
Enyel De Los Santos,SP,5,1,11.0,13,9,9,5,9,0,1,0,1.64,7.36,PHI,555000
David Bednar,P,13,0,11.0,10,8,8,5,14,0,2,0,1.36,6.55,SD,555000
Eduardo Jimenez,RP,8,0,10.7,12,7,7,5,8,0,0,0,1.59,5.91,DET,555000
Robert Stock,RP,10,0,10.7,14,14,12,8,15,1,0,0,2.06,10.13,SD,559900
Kyle Keller,P,10,0,10.7,5,4,4,8,11,0,0,0,1.22,3.38,MIA,555000
Nate Jones,RP,13,0,10.3,10,4,4,7,10,0,1,1,1.64,3.48,TEX,4650000
James Pazos,RP,12,0,10.3,7,2,2,4,10,0,0,0,1.07,1.74,COL,555000
Williams Jerez,RP,12,0,10.3,12,5,5,9,9,1,0,0,2.03,4.36,PIT,555000
Sam Selman,P,10,0,10.3,6,5,5,6,10,0,0,0,1.16,4.36,SF,555000
Joel Kuhnel,P,12,0,9.7,8,5,5,5,9,1,0,0,1.35,4.66,CIN,555000
Brusdar Graterol,P,10,0,9.7,10,5,5,2,10,1,1,0,1.24,4.66,MIN,555000
Jeremy Walker,P,6,0,9.3,9,2,2,4,6,0,0,0,1.39,1.93,ATL,555000
Dovydas Neverauskas,RP,10,0,9.3,15,11,11,7,10,0,0,0,2.36,10.61,PIT,569000
Miguel Del Pozo,RP,17,0,9.3,10,11,11,8,11,1,1,0,1.93,10.61,LAA,555000
James Norwood,RP,9,0,9.3,9,4,3,8,11,0,1,0,1.82,2.89,CHC,555000
Josh Sborz,RP,7,0,9.0,10,8,8,4,7,0,1,0,1.56,8.0,LAD,555000
Cionel Perez,RP,5,0,9.0,11,10,10,2,7,1,1,0,1.44,10.0,HOU,555000
Nick Burdi,RP,11,0,8.7,11,9,9,3,17,2,1,0,1.62,9.35,PIT,559000
Javier Guerra,SS,8,0,8.7,7,5,5,3,6,0,0,0,1.15,5.19,SD,555000
Daniel Zamora,RP,17,0,8.7,10,5,5,5,8,0,1,0,1.73,5.19,NYM,555000
Bryan Abreu,RP,7,0,8.7,4,1,1,3,13,0,0,0,0.81,1.04,HOU,555000
Trevor Kelley,P,10,0,8.3,9,8,8,5,6,0,3,0,1.68,8.64,BOS,555000
