Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Kenta Maeda,RP,41,26,153.7,114,70,69,51,169,10,8,3,1.07,4.04,LAD,8525000
Caleb Smith,SP,30,28,153.3,128,82,77,60,168,10,11,0,1.23,4.52,MIA,556500
James Paxton,SP,29,29,150.7,138,71,64,55,186,15,6,0,1.28,3.82,NYY,8575000
Andrew Cashner,RP,42,22,150.0,144,84,78,58,108,11,8,1,1.35,4.68,BOS,12500000
Jon Gray,SP,27,25,150.0,147,70,64,56,150,11,8,0,1.35,3.84,COL,2925000
Jason Vargas,SP,30,29,149.7,141,84,75,63,124,7,9,0,1.36,4.51,PHI,8000000
Eric Lauer,SP,30,29,149.7,158,82,74,51,138,8,10,0,1.4,4.45,SD,562500
Spencer Turnbull,SP,30,29,148.3,154,86,76,59,146,3,17,0,1.44,4.61,DET,556100
Chris Sale,SP,25,25,147.3,123,80,72,37,218,6,11,0,1.09,4.4,BOS,15000000
Michael Pineda,SP,26,26,146.0,141,68,65,28,140,11,5,0,1.16,4.01,MIN,8000000
Trevor Williams,SP,26,26,145.7,162,93,87,44,113,7,9,0,1.41,5.38,PIT,584000
Daniel Norris,SP,33,29,144.3,154,75,72,38,125,3,13,0,1.33,4.49,DET,1275000
Chris Bassitt,SP,28,25,144.0,125,66,61,47,141,10,5,0,1.19,3.81,OAK,565000
Domingo German,SP,27,24,143.0,125,69,64,39,153,18,4,0,1.15,4.03,NYY,577500
Cole Hamels,SP,27,27,141.7,141,64,60,56,143,7,7,0,1.39,3.81,CHC,20000000
Ryan Yarbrough,SP,28,14,141.7,121,69,65,20,117,11,6,0,1.0,4.13,TB,563400
Chris Paddack,SP,26,26,140.7,107,58,52,31,153,9,7,0,0.98,3.33,SD,555000
Chase Anderson,RP,34,27,139.0,126,67,65,50,124,8,4,0,1.27,4.21,MIL,6500000
Glenn Sparkman,SP,31,23,136.0,164,96,91,41,81,4,11,0,1.51,6.02,KC,555000
Jake Arrieta,SP,24,24,135.7,149,76,70,51,110,8,8,0,1.47,4.64,PHI,25000000
Trevor Richards,SP,31,23,135.3,127,63,61,56,127,6,12,0,1.35,4.06,TB,570000
Yonny Chirinos,SP,26,18,133.3,112,61,57,28,114,9,5,0,1.05,3.85,TB,561800
Aaron Sanchez,SP,30,27,131.3,145,92,86,68,115,5,14,0,1.62,5.89,HOU,3900000
Danny Duffy,SP,23,23,130.7,125,69,63,46,115,7,6,0,1.31,4.34,KC,15250000
Tyler Mahle,SP,27,25,129.7,136,82,74,34,129,3,12,0,1.31,5.14,CIN,570000
Michael Wacha,SP,29,24,126.7,143,71,67,55,104,6,7,0,1.56,4.76,STL,6350000
Adrian Sampson,RP,35,15,125.3,156,86,82,36,101,6,8,0,1.53,5.89,TEX,555000
Antonio Senzatela,SP,25,25,124.7,161,99,93,57,76,11,11,0,1.75,6.71,COL,560000
