Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Jacob deGrom,SP,15,15,92.0,40,14,11,11,146,7,2,0,0.55,1.08,NYM,36000000
Huascar Ynoa,RP,18,17,91.0,76,42,41,25,100,4,6,0,1.11,4.06,ATL,580500
Dylan Bundy,SP,24,19,90.7,89,64,61,34,84,2,9,0,1.36,6.06,LAA,8325000
Craig Stammen,RP,67,4,88.3,79,31,30,13,83,6,3,1,1.04,3.06,SD,4500000
Tyler Glasnow,SP,14,14,88.0,55,26,26,27,123,5,2,0,0.93,2.66,TB,4000000
Patrick Sandoval,SP,17,14,87.0,69,38,35,36,94,3,6,1,1.21,3.62,LAA,570500
Carlos Hernandez,SP,24,11,85.7,69,36,35,41,74,6,2,0,1.28,3.68,KC,570500
Matt Manning,SP,18,18,85.3,96,59,55,33,57,4,7,0,1.51,5.8,DET,570500
Chad Green,RP,67,0,83.7,57,32,29,17,99,10,7,6,0.88,3.12,NYY,2150000
Carlos Martinez,SP,16,16,82.3,77,58,57,36,57,4,9,0,1.37,6.23,STL,11700000
Griffin Jax,SP,18,14,82.0,82,62,58,29,65,4,5,0,1.35,6.37,MIN,570500
Nabil Crismatt,RP,45,0,81.3,87,40,34,24,71,3,2,0,1.37,3.76,SD,585000
Tyler Rogers,RP,80,0,81.0,74,23,20,13,55,7,1,13,1.07,2.22,SF,583000
Chad Kuhl,RP,28,14,80.3,73,50,43,42,75,5,7,0,1.43,4.82,PIT,2130000
Giovanny Gallegos,RP/CL,73,0,80.3,51,28,27,20,95,6,5,14,0.88,3.03,STL,594500
Chris Stratton,RP/CL,68,0,79.3,70,34,32,33,86,7,1,8,1.3,3.63,PIT,1100000
Matt Boyd,SP,15,15,78.7,77,37,34,23,67,3,8,0,1.27,3.89,DET,6500000
Jack Flaherty,SP,17,15,78.3,57,35,28,26,85,9,2,0,1.06,3.22,STL,3900000
Luis Patino,SP,19,15,77.3,69,40,37,29,74,5,3,0,1.27,4.31,TB,570500
Drew Rasmussen,RP,35,10,76.0,57,27,24,25,73,4,1,1,1.08,2.84,TB,573000
Mike Mayers,RP,72,2,75.0,71,32,32,26,90,5,5,2,1.29,3.84,LAA,1200000
Zach Thompson,SP,27,14,75.0,63,35,27,28,66,3,7,0,1.21,3.24,MIA,570500
Hector Neris,RP,74,0,74.3,55,34,30,32,98,4,7,12,1.17,3.63,PHI,5020000
Scott Barlow,RP/CL,71,0,74.3,61,20,20,28,91,5,3,16,1.2,2.42,KC,650000
Bryse Wilson,SP,16,16,74.0,85,45,44,22,46,3,7,0,1.45,5.35,PIT,570500
David Price,SP,39,11,73.7,79,35,33,26,58,5,2,1,1.42,4.03,LAD,32000000
Lou Trivino,RP/CL,71,0,73.7,58,32,26,34,67,7,8,22,1.25,3.18,OAK,912500
Brent Suter,RP,61,1,73.3,72,34,25,24,69,12,5,1,1.31,3.07,MIL,1550000
Garrett Whitlock,RP/CL,46,0,73.3,64,22,16,17,81,8,4,2,1.11,1.96,BOS,570500
Matt Moore,RP,24,13,73.0,78,54,51,38,63,2,4,0,1.59,6.29,PHI,3000000
Jeff Hoffman,SP,32,11,73.0,70,41,37,45,79,3,5,0,1.58,4.56,CIN,585500
Duane Underwood,RP,43,0,72.7,77,40,35,27,65,2,3,0,1.43,4.34,PIT,584500
Lucas Luetge,RP,57,1,72.3,67,30,22,15,78,4,2,1,1.13,2.74,NYY,600000
Alexander Reyes,RP,70,0,72.3,46,32,26,52,95,10,8,29,1.36,3.24,STL,900000
Andrew Kittredge,RP/CL,57,4,71.7,55,21,15,15,77,9,3,8,0.98,1.88,TB,750000
Adam Cimber,RP,72,0,71.7,61,24,18,16,51,3,4,1,1.07,2.26,TOR,925000
Jonathan Loaisiga,RP,57,0,70.7,56,19,17,16,69,9,4,5,1.02,2.17,NYY,595800
Josiah Gray,SP,14,13,70.7,63,44,43,33,76,2,2,0,1.36,5.48,WSH,570500
Miguel Castro,RP,69,2,70.3,48,30,27,43,77,3,4,0,1.29,3.46,NYM,1687500
Tyler Kinley,RP,70,0,70.3,59,37,37,26,68,3,2,0,1.21,4.74,COL,580500
Taylor Widener,SP,23,13,70.3,65,38,34,37,73,2,1,0,1.45,4.35,ARI,583400
Raisel Iglesias,RP/CL,65,0,70.0,53,25,20,12,103,7,5,34,0.93,2.57,LAA,9125000
Clay Holmes,RP,69,0,70.0,53,32,28,29,78,8,4,0,1.17,3.6,NYY,650000
Genesis Cabrera,RP,71,0,70.0,52,31,29,36,77,4,5,0,1.26,3.73,STL,580900
Michael Fulmer,RP,52,4,69.7,69,27,23,20,73,5,6,14,1.28,2.97,DET,3100000
Michael Kopech,RP,44,4,69.3,54,27,27,24,103,4,3,0,1.13,3.51,CHW,570500
Kenley Jansen,RP/CL,69,0,69.0,36,21,17,36,86,4,4,38,1.04,2.22,LAD,20000000
Tanner Houck,SP,18,13,69.0,57,32,27,21,87,1,5,1,1.13,3.52,BOS,577000
Jarlin Garcia,RP,58,0,68.7,48,26,20,18,68,6,3,1,0.96,2.62,SF,950000
Kyle Funkhouser,RP,57,2,68.3,58,32,26,38,63,7,4,1,1.4,3.42,DET,570500
Will Smith,RP,71,0,68.0,49,27,26,28,87,3,7,37,1.13,3.44,ATL,13000000
Will Smith,RP,71,0,68.0,49,27,26,28,87,3,7,37,1.13,3.44,LAD,590500
Daniel Lynch,SP,15,15,68.0,80,46,43,31,55,4,6,0,1.63,5.69,KC,570500
Dillon Tate,RP,62,0,67.7,61,35,33,23,49,0,6,3,1.24,4.39,BAL,574500
Jake Woodford,RP,26,8,67.7,66,32,30,25,50,3,4,0,1.35,3.99,STL,578300
Drew Steckenrider,RP/CL,62,0,67.7,52,16,15,17,58,5,2,14,1.02,2.0,SEA,800000
Codi Heuer,RP,65,0,67.3,65,34,32,23,56,7,4,2,1.31,4.28,CHC,585000
Phil Maton,RP,65,1,66.7,64,36,35,32,85,6,0,0,1.44,4.73,HOU,975000
David Peterson,SP,16,15,66.7,64,44,41,29,69,2,6,0,1.39,5.54,NYM,585750
Kyle Finnegan,RP/CL,68,0,66.0,64,39,26,34,68,5,9,11,1.49,3.55,WSH,582400
Daniel Bard,RP,67,0,65.7,69,41,38,36,80,7,8,20,1.6,5.21,COL,2925000
Deolis Guerra,RP,53,0,65.7,53,34,30,20,62,4,1,0,1.11,4.11,OAK,570500
Josh Staumont,RP,64,0,65.7,43,24,21,27,72,4,3,5,1.07,2.88,KC,588700
Luke Weaver,SP,13,13,65.7,58,34,31,20,62,3,6,0,1.19,4.25,ARI,1950000
Ervin Santana,RP,38,2,65.3,65,35,34,22,52,2,2,0,1.33,4.68,KC,1500000
Junior Guerra,RP,41,1,65.3,67,45,44,46,61,5,2,0,1.73,6.06,LAA,750000
Jose Ruiz,RP,59,0,65.0,51,26,22,25,63,1,3,0,1.17,3.05,CHW,575000
Brad Boxberger,RP,71,0,64.7,44,26,24,25,83,5,4,4,1.07,3.34,MIL,1000000
Jose Alvarez,RP,67,1,64.7,53,23,18,19,42,5,2,0,1.11,2.51,SF,1050000
Luis Cessa,RP,53,0,64.7,55,24,18,19,54,5,2,0,1.14,2.51,CIN,1050000
Paul Sewald,RP/CL,62,0,64.7,42,24,22,24,104,10,3,11,1.02,3.06,SEA,570500
Trevor Richards,RP,53,0,64.3,40,26,25,22,78,7,2,1,0.96,3.5,TOR,580900
Bruce Zimmermann,SP,14,13,64.3,75,37,36,22,56,4,5,0,1.51,5.04,BAL,571500
Richard Rodriguez,RP/CL,64,0,64.3,50,21,21,10,42,5,4,14,0.93,2.94,ATL,1700000
Ryan Pressly,RP/CL,64,0,64.0,49,19,16,13,81,5,3,26,0.97,2.25,HOU,8750000
Caleb Thielbar,RP,59,0,64.0,55,24,23,20,77,7,0,0,1.17,3.23,MIN,700000
Dylan Floro,RP/CL,68,0,64.0,53,25,20,25,62,6,6,15,1.22,2.81,MIA,975000
Jake Brentz,RP,72,0,64.0,45,32,26,37,76,5,2,2,1.28,3.66,KC,570500
Luke Jackson,RP,71,0,63.7,45,15,14,29,70,2,2,0,1.16,1.98,ATL,1900000
Gregory Soto,RP/CL,62,0,63.7,46,30,24,40,76,6,3,18,1.35,3.39,DET,579600
Emilio Pagan,RP,67,0,63.3,56,35,34,18,69,4,3,0,1.17,4.83,SD,1570000
Michael King,RP,22,6,63.3,57,29,25,24,62,2,4,0,1.28,3.55,NYY,586500
Cole Sulser,RP/CL,60,0,63.3,48,20,19,23,73,5,4,8,1.12,2.7,BAL,574500
Tyler Matzek,RP,69,0,63.0,40,19,18,37,77,0,4,0,1.22,2.57,ATL,600500
Jordan Romano,RP/CL,62,0,63.0,41,17,15,25,85,7,1,23,1.05,2.14,TOR,584000
Edwin Diaz,RP/CL,63,0,62.7,43,27,24,23,89,5,6,32,1.05,3.45,NYM,7000000
Tyler Duffey,RP,64,0,62.3,48,25,22,28,61,3,3,3,1.22,3.18,MIN,2200000
Brett Martin,RP,66,0,62.3,67,31,22,14,42,4,4,0,1.3,3.18,TEX,589500
Adam Ottavino,RP,69,0,62.0,55,31,29,35,71,7,3,11,1.45,4.21,BOS,7225044
Jose Cisnero,RP,67,0,61.7,51,34,25,31,62,4,4,4,1.33,3.65,DET,970000
Carlos Estevez,RP/CL,64,0,61.7,71,32,30,21,60,3,5,11,1.49,4.38,COL,1450000
Zack Littell,RP,63,2,61.7,46,24,20,24,63,4,0,2,1.13,2.92,SF,570500
Anthony Bender,RP,61,1,61.3,45,22,19,20,71,3,2,3,1.06,2.79,MIA,570500
Danny Duffy,SP,13,12,61.0,52,19,17,22,65,4,3,0,1.21,2.51,LAD,15500000
Jake Diekman,RP,67,0,60.7,47,29,26,34,83,3,3,7,1.34,3.86,OAK,4000000
David Bednar,RP/CL,61,0,60.7,40,15,15,19,77,3,1,3,0.97,2.23,PIT,579000
Craig Kimbrel,RP,63,0,59.7,31,19,15,23,100,4,5,24,0.9,2.26,CHW,16000000
Tim Hill,RP,78,0,59.7,51,34,24,23,56,6,6,1,1.24,3.62,SD,596000
Jorge Alcala,RP,59,0,59.7,45,29,26,13,61,3,6,1,0.97,3.92,MIN,575500
Jeurys Familia,RP,65,0,59.3,57,31,26,27,72,9,4,1,1.42,3.94,NYM,11666668
Josh Sborz,RP,63,0,59.0,52,29,26,32,69,4,3,1,1.42,3.97,TEX,573500
Hunter Strickland,RP,57,0,58.7,46,21,17,22,58,3,2,0,1.16,2.61,MIL,1000000
Pierce Johnson,RP,63,2,58.7,47,21,21,27,77,3,4,0,1.26,3.22,SD,2000000
Josh Hader,RP/CL,60,0,58.7,25,8,8,24,102,4,2,34,0.83,1.23,MIL,6675000
Diego Castillo,RP,61,0,58.3,40,23,18,17,75,5,5,16,0.98,2.78,SEA,582300
Heath Hembree,RP,60,0,58.0,45,39,36,24,83,2,7,9,1.19,5.59,NYM,1250000
Richard Bleier,RP,68,0,58.0,51,20,19,6,44,3,2,0,0.98,2.95,MIA,1425000
Yimi Garcia,RP,62,0,57.7,49,33,27,18,60,4,9,15,1.16,4.21,HOU,1900000
Reynaldo Lopez,RP,20,9,57.7,42,27,22,13,55,4,4,0,0.95,3.43,CHW,2100000
Connor Brogdon,RP,56,1,57.7,47,27,22,18,50,5,4,1,1.13,3.43,PHI,571500
Austin Voth,RP,49,1,57.3,57,35,34,28,59,4,1,0,1.48,5.34,WSH,587700
Daniel Norris,RP,56,0,57.0,55,41,39,30,58,2,3,1,1.49,6.16,MIL,3475000
Justin Steele,SP,20,9,57.0,50,29,27,27,59,4,4,0,1.35,4.26,CHC,570500
Tyler Wells,RP,44,0,57.0,40,27,26,12,65,2,3,4,0.91,4.11,BAL,570500
Jaime Barria,SP,13,11,56.7,70,29,29,19,35,2,4,0,1.57,4.61,LAA,590500
Ian Kennedy,RP,55,0,56.3,45,21,20,17,62,3,1,27,1.1,3.2,PHI,2150000
Aroldis Chapman,RP/CL,61,0,56.3,36,23,21,38,97,6,4,30,1.31,3.36,NYY,17200000
Chasen Shreve,RP,57,0,56.3,43,20,20,28,45,3,3,0,1.26,3.2,PIT,1500000
Aaron Bummer,RP,62,0,56.3,42,28,22,29,75,5,5,2,1.26,3.52,CHW,2000000
Kendall Graveman,RP,53,0,56.0,35,15,11,20,61,5,1,10,0.98,1.77,HOU,1750000
J.P. Feyereisen,RP,55,0,56.0,36,23,17,33,53,4,4,3,1.23,2.73,TB,572400
Anthony Gonsolin,RP,17,13,55.7,41,20,20,34,65,4,1,0,1.35,3.23,LAD,580500
Jose Alvarado,RP,64,0,55.7,42,30,26,47,68,7,1,5,1.6,4.2,PHI,1000000
Matt Barnes,RP,60,0,54.7,41,25,23,20,84,6,5,24,1.12,3.79,BOS,4500000
Zach Pop,RP,50,0,54.7,54,29,25,24,51,1,0,0,1.43,4.12,MIA,570500
Dennis Santana,RP,55,0,54.7,48,31,26,32,46,2,4,0,1.46,4.28,TEX,575000
Anthony Misiewicz,RP,66,0,54.7,61,30,28,15,53,5,5,0,1.39,4.61,SEA,578700
Spenser Watkins,SP,16,10,54.7,74,50,49,19,35,2,7,0,1.7,8.07,BAL,570500
Garrett Crochet,RP,54,0,54.3,42,22,17,27,65,3,5,0,1.27,2.82,CHW,572000
Kyle Zimmer,RP,52,2,54.0,46,32,30,30,46,4,1,2,1.41,5.0,KC,588700
Tanner Scott,RP,62,0,54.0,48,34,31,37,70,5,4,0,1.57,5.17,BAL,580000
Devin Williams,RP,58,0,54.0,36,17,15,28,87,8,2,3,1.18,2.5,MIL,681100
Carlos Carrasco,SP,12,12,53.7,59,39,36,18,50,1,5,0,1.43,6.04,NYM,12000000
Dominic Leone,RP,57,4,53.7,38,15,9,22,50,4,5,2,1.12,1.51,SF,570500
J.T. Chargois,RP,56,0,53.7,38,16,15,20,53,6,1,0,1.08,2.52,TB,570500
Keegan Thompson,RP,32,6,53.3,48,22,20,31,55,3,3,1,1.48,3.38,CHC,570500
Rex Brothers,RP,57,0,53.0,41,31,31,35,75,3,2,1,1.43,5.26,CHC,850000
Tim Mayza,RP,61,0,53.0,40,21,20,12,57,5,2,1,0.98,3.4,TOR,600000
Hirokazu Sawamura,RP,55,0,53.0,45,24,18,32,61,5,1,0,1.45,3.06,BOS,1600000
Austin Adams,RP,65,0,52.7,28,28,24,35,76,3,2,0,1.2,4.1,SD,580200
A.J. Minter,RP,61,0,52.3,44,27,22,20,57,3,6,0,1.22,3.78,ATL,1300000
Daniel Hudson,RP,54,0,51.7,40,22,19,16,75,5,3,0,1.08,3.31,SD,6000000
Elieser Hernandez,SP,11,10,51.7,54,26,24,14,53,1,3,0,1.32,4.18,MIA,579000
Phil Bickford,RP,57,0,51.3,36,18,16,19,59,4,2,1,1.07,2.81,LAD,570500
Mychal Givens,RP,54,0,51.0,43,22,19,27,54,4,3,8,1.37,3.35,CIN,4050000
Wandy Peralta,RP,56,1,51.0,49,24,19,21,43,5,4,5,1.37,3.35,NYY,925000
Randy Dobnak,RP,14,6,50.7,66,44,43,12,27,1,7,1,1.54,7.64,MIN,700000
Justin Dunn,SP,11,11,50.3,37,21,21,29,49,1,3,0,1.31,3.76,SEA,584900
Joel Payamps,RP,37,1,50.3,44,22,19,14,38,1,3,0,1.15,3.4,KC,580000
Spencer Turnbull,SP,9,9,50.0,37,18,16,12,44,4,2,0,0.98,2.88,DET,586900
Brett de Geus,RP,47,0,50.0,62,47,42,25,41,3,2,0,1.74,7.56,ARI,570500
Derek Holland,RP,39,1,49.7,58,29,28,20,51,3,2,0,1.57,5.07,DET,925000
Spencer Howard,SP,19,15,49.7,53,45,41,27,52,0,6,0,1.61,7.43,TEX,570500
Rafael Montero,RP,44,0,49.3,59,40,35,17,42,5,4,7,1.54,6.39,HOU,2250000
Wade LeBlanc,SP,18,9,49.0,56,24,24,17,29,0,2,0,1.49,4.41,STL,570500
Brooks Raley,RP,58,0,49.0,43,30,26,16,65,2,3,2,1.2,4.78,HOU,2000000
Yency Almonte,RP,48,0,48.0,47,42,40,29,47,1,3,0,1.58,7.5,COL,575500
Amir Garrett,RP,63,0,47.7,46,34,32,29,61,0,4,7,1.57,6.04,CIN,1500000
Josh Taylor,RP,61,0,47.7,45,18,18,23,60,1,0,1,1.43,3.4,BOS,580500
Ryan Helsley,RP,51,0,47.3,40,24,24,27,47,6,4,1,1.41,4.56,STL,582300
Lucas Sims,RP/CL,47,0,47.0,34,26,23,18,76,5,3,7,1.11,4.4,CIN,598500
Dinelson Lamet,SP,22,9,47.0,48,24,23,22,57,2,4,0,1.49,4.4,SD,4200000
Joely Rodriguez,RP,52,0,46.3,53,27,24,18,47,2,3,1,1.53,4.66,NYY,2500000
Seth Lugo,RP,46,0,46.3,41,18,18,19,55,4,3,1,1.29,3.5,NYM,2925000
Robert Stephenson,RP,49,0,46.0,42,20,16,18,52,2,1,1,1.3,3.13,COL,805000
John King,RP,27,0,46.0,41,24,18,12,40,7,5,0,1.15,3.52,TEX,572500
Humberto Castellanos,RP,14,7,45.7,48,26,25,15,29,2,2,0,1.38,4.93,ARI,570500
Joe Jimenez,RP,52,0,45.3,34,33,30,35,57,6,1,1,1.52,5.96,DET,1500000
Sam Howard,RP,54,1,45.0,34,29,28,32,60,3,4,0,1.47,5.6,PIT,575000
Miles Mikolas,SP,9,9,44.7,43,24,21,11,31,2,3,0,1.21,4.23,STL,16750000
Jeffrey Springs,RP,43,0,44.7,35,21,17,14,63,5,1,2,1.1,3.43,TB,585000
John Curtiss,RP,44,3,44.3,42,21,17,12,44,3,1,0,1.22,3.45,MIL,615000
Joe Kelly,RP,48,0,44.0,28,16,14,15,50,2,0,2,0.98,2.86,LAD,8500000
J.B. Wendelken,RP/CL,46,0,43.7,44,24,21,22,39,4,3,2,1.51,4.33,ARI,580500
Chase De Jong,SP,10,9,43.7,49,28,28,19,39,1,4,0,1.56,5.77,PIT,570500
Chris Martin,RP,46,0,43.3,49,20,19,6,33,2,4,1,1.27,3.95,ATL,7000000
Tony Santillan,SP,27,4,43.3,34,15,14,21,56,1,3,0,1.27,2.91,CIN,570500
Chris Sale,SP,9,9,42.7,45,19,15,12,52,5,1,0,1.34,3.16,BOS,30000000
Wade Davis,RP,40,0,42.7,44,33,32,19,38,0,3,2,1.48,6.75,KC,1250000
Edgar Santana,RP,41,0,42.7,37,20,17,12,33,3,0,0,1.15,3.59,ATL,570500
Lucas Gilbreath,SP,47,1,42.7,33,18,16,23,44,3,2,1,1.31,3.38,COL,570500
Pete Fairbanks,RP,47,0,42.7,40,22,17,21,56,3,6,5,1.43,3.59,TB,583800
Blake Taylor,RP,51,0,42.7,38,19,15,22,41,4,4,0,1.41,3.16,HOU,599100
Spencer Patton,RP,42,0,42.3,36,20,18,15,48,2,2,2,1.21,3.83,TEX,570500
Sam Coonrod,RP,42,2,42.3,41,21,19,15,48,2,2,2,1.32,4.04,PHI,573000
Drew Smith,RP,31,1,41.3,28,13,11,16,41,3,1,0,1.07,2.4,NYM,574500
Casey Sadler,RP,42,0,40.3,19,4,3,10,37,0,1,0,0.72,0.67,SEA,591800
Taylor Rogers,RP/CL,40,0,40.3,38,18,15,8,59,2,4,9,1.14,3.35,MIN,6000000
Juan Minaya,RP,29,0,40.0,27,12,11,20,43,2,1,0,1.17,2.48,MIN,570500
Alex Vesia,RP,41,0,40.0,17,17,10,22,54,3,1,1,0.98,2.25,LAD,570500
Darwinzon Hernandez,RP,48,0,40.0,29,17,15,31,54,2,2,0,1.5,3.38,BOS,578500
Tyler Gilbert,RP,9,6,40.0,28,17,14,13,25,2,2,0,1.02,3.15,ARI,570500
Phillips Valdez,RP,28,0,40.0,35,29,26,19,35,2,0,1,1.35,5.85,BOS,578500
Joe Smith,RP,50,0,39.7,47,23,22,8,34,4,4,0,1.39,4.99,SEA,4000000
Joe Mantiply,RP,57,0,39.7,45,24,15,17,38,0,3,0,1.56,3.4,ARI,570500
Bryan Garcia,RP,39,0,39.3,48,38,33,25,32,3,2,2,1.86,7.55,DET,576600
Jake Junis,RP,16,6,39.3,43,24,23,12,41,2,4,0,1.4,5.26,KC,1700000
Matt Foster,RP,37,0,39.0,43,27,26,13,40,2,1,1,1.44,6.0,CHW,585000
T.J. McFarland,RP,38,0,38.7,32,11,11,9,21,4,1,0,1.06,2.56,STL,1000000
Max Kranick,SP,9,9,38.7,47,28,27,19,32,2,3,0,1.71,6.28,PIT,570500
Cody Ponce,RP,15,2,38.3,56,34,30,11,36,0,6,0,1.75,7.04,PIT,580500
Joey Lucchesi,SP,11,8,38.3,34,20,19,11,41,1,4,0,1.17,4.46,NYM,607100
Paul Blackburn,RP,9,9,38.3,52,26,25,10,26,1,4,0,1.62,5.87,OAK,570500
Charlie Barnes,SP,9,8,38.0,46,27,25,16,20,0,3,0,1.63,5.92,MIN,570500
Ryan Burr,RP,34,1,36.7,28,11,10,21,33,2,1,0,1.34,2.46,CHW,570500
Andrew Miller,RP,40,0,36.0,41,19,19,16,40,0,0,0,1.58,4.75,STL,12000000
Noe Ramirez,RP,38,0,36.0,23,14,12,12,29,0,2,1,0.97,3.0,ARI,570500
Steven Okert,RP,34,0,36.0,22,12,11,15,40,3,1,0,1.03,2.75,MIA,570500
Ryne Harper,RP,34,0,35.7,28,16,16,14,31,0,2,0,1.18,4.04,WSH,570500
Alex Lange,RP,36,0,35.7,37,18,16,16,39,1,3,1,1.49,4.04,DET,570500
Andres Machado,RP,40,0,35.7,30,17,14,15,30,1,2,0,1.26,3.53,WSH,570500
Josh Rogers,SP,6,6,35.7,32,13,13,14,22,2,2,0,1.29,3.28,WSH,570500
Adrian Sampson,RP,11,5,35.3,30,15,11,8,28,1,2,0,1.08,2.8,CHC,570500
Enyel De Los Santos,RP,33,0,35.3,43,32,25,18,48,2,1,0,1.73,6.37,PIT,570500
Erik Swanson,RP,33,2,35.3,28,18,13,10,35,0,3,1,1.08,3.31,SEA,570500
Daniel Coulombe,RP,29,1,34.3,35,17,14,7,33,3,2,0,1.22,3.67,MIN,570500
Jacob Webb,RP,34,0,34.3,38,22,16,14,33,5,4,1,1.51,4.19,ATL,570500
Ashton Goudeau,SP,16,1,34.0,24,16,16,17,22,2,1,0,1.21,4.24,COL,570500
Ryan Thompson,RP,36,0,34.0,26,11,9,9,37,3,2,0,1.03,2.38,TB,577200
Jesse Chavez,RP,30,4,33.7,22,9,8,11,36,3,2,0,0.98,2.14,ATL,570500
Bailey Falter,RP,22,1,33.7,34,21,21,6,34,2,1,0,1.19,5.61,PHI,570500
Anthony Banda,RP,30,0,33.7,39,18,16,13,32,2,2,0,1.54,4.28,PIT,570500
Domingo Tapia,RP,34,0,33.7,25,10,10,15,26,4,1,0,1.19,2.67,KC,570500
Tejay Antone,RP,23,0,33.7,17,8,8,13,42,2,0,3,0.89,2.14,CIN,580500
Kyle Keller,RP,32,0,33.3,30,27,24,22,36,1,1,0,1.56,6.48,PIT,570500
Brusdar Graterol,RP,34,1,33.3,34,18,17,13,27,3,0,0,1.41,4.59,LAD,590500
Tanner Rainey,RP,38,0,31.7,29,27,26,25,42,1,3,3,1.71,7.39,WSH,589000
Aaron Ashby,P,14,4,31.7,25,20,16,12,39,3,2,1,1.17,4.55,MIL,570500
Cody Poteet,SP,8,7,30.7,25,17,17,16,32,2,3,0,1.34,4.99,MIA,570500
Jharel Cotton,SP,23,0,30.7,28,12,12,15,30,2,0,0,1.4,3.52,TEX,570500
Jackson Kowar,SP,9,8,30.3,43,38,38,20,29,0,6,0,2.08,11.28,KC,570500
Ralph Garza,RP,27,0,30.3,24,15,12,14,29,1,4,1,1.25,3.56,MIN,570500
Kyle McGowin,RP,27,0,30.0,21,14,14,14,35,0,0,0,1.17,4.2,WSH,570500
Marcos Diplan,RP,23,0,30.0,22,16,15,15,24,2,0,0,1.23,4.5,BAL,570500
Jake Cousins,RP,30,0,30.0,16,9,9,19,44,1,0,0,1.17,2.7,MIL,570500
Zac Lowther,SP,10,6,29.7,36,23,22,13,30,1,3,0,1.65,6.67,BAL,570500
Luis Oviedo,RP,22,1,29.7,33,32,29,26,31,1,2,0,1.99,8.8,PIT,570500
Jordan Sheffield,RP,30,0,29.3,19,11,11,13,20,0,0,0,1.09,3.38,COL,570500
Chris Ellis,SP,8,6,29.3,21,7,7,14,23,1,0,0,1.19,2.15,BAL,570500
Luis Gil,SP,6,6,29.3,20,11,10,19,38,1,1,0,1.33,3.07,NYY,570500
Michael Lorenzen,SP,27,0,29.0,26,18,18,14,21,1,2,4,1.38,5.59,CIN,4437500
Jimmy Nelson,RP,28,1,29.0,14,8,6,13,44,1,2,0,0.93,1.86,LAD,1250000
Joe Barlow,RP/CL,31,0,29.0,12,9,5,12,27,0,2,11,0.83,1.55,TEX,570500
Reiss Knehr,P,12,5,29.0,23,16,16,20,20,1,2,0,1.48,4.97,SD,570500
Robert Gsellman,RP,18,1,28.7,27,14,12,7,17,0,1,0,1.19,3.77,NYM,1300000
Jacob Barnes,RP,29,0,28.7,31,20,20,11,33,1,2,2,1.47,6.28,TOR,750000
Tommy Nance,RP,27,0,28.7,25,23,23,13,30,1,1,0,1.33,7.22,CHC,570500
Michael Rucker,RP,20,0,28.3,32,25,22,11,30,0,0,1,1.52,6.99,CHC,570500
Kevin Ginkel,RP,32,0,28.3,30,24,20,14,31,0,1,0,1.55,6.35,ARI,585900
Patrick Murphy,SP,25,0,28.0,31,18,16,10,29,0,3,0,1.46,5.14,WSH,575000
Thomas Eshelman,SP,9,6,27.7,34,22,22,10,11,0,3,0,1.59,7.16,BAL,570500
Steven Brault,SP,7,7,27.7,33,18,18,12,19,0,3,0,1.63,5.86,PIT,2050000
Yohan Ramirez,RP,25,0,27.7,18,14,12,12,35,1,3,2,1.08,3.9,SEA,570500
Evan Marshall,RP,27,0,27.3,28,17,17,9,26,0,2,0,1.35,5.6,CHW,2000000
Andrew Wantz,RP,21,0,27.3,23,17,15,11,38,1,0,0,1.24,4.94,LAA,570500
Chris Mazza,RP,14,0,27.3,26,14,14,7,21,0,0,1,1.21,4.61,TB,570500
Camilo Doval,RP/CL,29,0,27.0,19,10,9,9,37,5,1,3,1.04,3.0,SF,570500
Sean Nolin,RP,10,5,26.7,32,13,13,13,20,0,2,0,1.69,4.39,WSH,570500
Paul Campbell,RP,16,1,26.7,32,24,19,10,26,2,3,0,1.58,6.41,MIA,570500
Dillon Peters,SP,6,6,26.7,26,12,11,10,23,1,2,0,1.35,3.71,PIT,570500
Joe Ryan,P,5,5,26.7,16,12,12,5,30,2,1,0,0.79,4.05,MIN,570500
Hector Santiago,RP,13,1,26.3,27,10,10,11,30,1,1,0,1.44,3.42,SEA,570500
Austin Davis,RP,29,0,26.3,24,17,15,12,28,1,2,0,1.37,5.13,BOS,588000
Edward Cabrera,P,7,7,26.3,24,20,17,19,28,0,3,0,1.63,5.81,MIA,570500
Drew Pomeranz,RP,27,0,25.7,19,6,5,10,30,1,0,0,1.13,1.75,SD,8000000
Corey Knebel,RP/CL,27,4,25.7,16,8,7,9,30,4,0,3,0.97,2.46,LAD,5250000
Jose Quijada,RP,26,0,25.7,20,14,13,15,38,1,2,0,1.36,4.56,LAA,570500
Adam Morgan,RP,34,0,25.3,22,15,12,12,28,2,1,2,1.34,4.26,CHC,900000
Conner Greene,RP,24,1,25.3,32,20,20,12,26,1,3,0,1.74,7.11,BAL,570500
Kodi Whitley,RP,25,0,25.3,15,8,7,12,27,0,0,0,1.07,2.49,STL,570500
Cam Bedrosian,RP,26,1,25.0,27,14,14,17,23,0,0,0,1.76,5.04,PHI,570500
Sam Selman,RP,25,0,25.0,20,17,17,12,19,0,1,0,1.28,6.12,LAA,583000
Mason Thompson,RP,31,0,24.7,32,15,11,15,23,1,3,0,1.9,4.01,WSH,570500
