Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Adonis Medina,SP,4,1,7.7,9,3,3,4,6,0,0,0,1.7,3.52,PHI,570500
Gabe Speier,P,7,0,7.7,10,3,1,0,5,0,0,0,1.3,1.17,KC,570500
Hans Crouse,P,2,2,7.0,4,4,4,7,2,0,2,0,1.57,5.14,PHI,570500
Matthew Strahm,RP,6,1,6.7,15,6,6,1,4,0,1,0,2.4,8.1,SD,2050000
Julian Fernández,RP,6,0,6.7,9,8,8,4,4,0,0,0,1.95,10.8,COL,570500
Dylan Coleman,RP,5,0,6.3,5,1,1,1,7,0,0,0,0.95,1.42,KC,570500
Sandy Leon,C,84,49,6.0,7,5,5,1,2,0,0,0,1.33,7.5,MIA,1250000
Will Harris,RP,8,0,6.0,7,6,6,3,9,0,1,0,1.67,9.0,WSH,8000000
Luis Severino,SP,4,0,6.0,2,0,0,1,8,1,0,0,0.5,0.0,NYY,10750000
Colin Rea,SP,1,0,6.0,7,5,5,0,5,0,0,0,1.17,7.5,MIL,570500
Nick Anderson,RP,6,0,6.0,4,3,3,2,1,0,1,1,1.0,4.5,TB,587800
Joan Adon,P,1,1,5.3,6,2,2,3,9,0,0,0,1.69,3.38,WSH,570500
Miguel Del Pozo,RP,5,0,5.3,8,2,2,2,4,0,0,0,1.88,3.38,DET,570500
Julio Teheran,SP,1,1,5.0,4,1,1,3,3,2,0,0,1.4,1.8,DET,3000000
Luis Avilan,RP,4,0,5.0,7,7,7,3,4,0,1,0,2.0,12.6,WSH,950000
Hunter Wood,RP,5,0,5.0,2,2,2,2,5,0,0,0,0.8,3.6,TEX,570500
Tanner Anderson,RP,1,0,5.0,5,2,2,0,1,0,0,0,1.0,3.6,PIT,570500
James Norwood,RP,5,0,5.0,6,0,0,3,3,0,0,0,1.8,0.0,SD,570500
Angel Zerpa,P,1,1,5.0,3,2,0,1,4,0,1,0,0.8,0.0,KC,570500
A.J. Ramos,RP,4,0,4.7,0,0,0,2,3,0,0,0,0.43,0.0,LAA,57500
Devin Smeltzer,RP,1,0,4.7,1,1,0,1,3,0,0,0,0.43,0.0,MIN,570500
Adrian Morejon,SP,2,2,4.7,5,2,2,2,3,0,0,0,1.5,3.86,SD,572900
Tyler Ivey,P,1,1,4.7,6,4,4,1,3,0,0,0,1.5,7.71,HOU,570500
D.J. Johnson,RP,4,0,4.3,2,1,1,0,5,0,0,0,0.46,2.08,TB,570500
Isaac Mattson,RP,4,0,4.3,5,3,3,5,3,0,0,0,2.31,6.23,BAL,570500
Matt Bush,RP,4,0,4.0,4,3,3,1,5,0,0,0,1.25,6.75,TEX,680000
Willians Astudillo,C,73,51,4.0,1,1,1,2,0,0,0,0,0.75,2.25,MIN,573500
Jhon Romero,SP,5,0,4.0,5,2,2,0,3,0,0,0,1.25,4.5,WSH,570500
Thomas Szapucki,RP,1,0,3.7,7,6,6,3,4,0,0,0,2.73,14.73,NYM,570500
Javier Guerra,RP,5,0,3.7,4,2,2,2,3,0,0,0,1.64,4.91,SD,573100
Rony Garcia,RP,2,0,3.7,1,1,1,2,2,0,0,0,0.82,2.46,DET,575000
Nick Snyder,P,4,0,3.7,3,2,2,3,1,0,0,0,1.64,4.91,TEX,570500
Dauri Moreta,RP,4,0,3.7,2,1,1,1,4,0,0,0,0.82,2.46,CIN,570500
Jesse Hahn,RP,5,0,3.3,5,5,5,4,3,0,0,1,2.7,13.5,KC,1350000
Andrew Bellatti,RP,3,0,3.3,6,5,5,2,4,0,0,0,2.4,13.5,MIA,570500
Justin Topa,RP,4,0,3.3,12,11,11,1,1,0,0,0,3.9,29.7,MIL,573000
Luis Frias,SP,3,0,3.3,2,1,1,5,3,0,0,0,2.1,2.7,ARI,570500
Joseph Biagini,RP,1,0,3.0,2,0,0,1,2,1,0,0,1.0,0.0,CHC,570500
Ronald Torreyes,2B,112,82,2.7,6,4,4,0,1,0,0,0,2.25,13.5,PHI,800000
Harold Castro,3B,106,80,2.7,0,0,0,3,0,0,0,0,1.13,0.0,DET,581700
Spencer Strider,P,2,0,2.3,2,1,1,1,0,1,0,0,1.29,3.86,ATL,570500
Charlie Culberson,2B,91,75,2.0,2,0,0,0,0,0,0,0,1.0,0.0,TEX,1500000
Preston Guilmet,RP,2,0,2.0,2,1,1,0,1,0,0,0,1.0,4.5,MIA,570500
Jace Peterson,2B,94,66,2.0,4,2,2,1,2,0,0,0,2.5,9.0,MIL,575000
Wilmer Difo,SS,116,39,2.0,9,8,8,3,1,0,0,0,6.0,36.0,PIT,1000000
Noah Syndergaard,SP,2,2,2.0,3,2,2,0,2,0,1,0,1.5,9.0,NYM,9700000
Dylan Lee,P,2,0,2.0,3,2,2,0,3,0,0,0,1.5,9.0,ATL,570500
Francisco Mejia,C,84,68,2.0,6,6,6,0,0,0,0,0,3.0,27.0,TB,586300
Jorge Guzman,P,2,0,1.7,4,6,6,6,3,0,0,0,6.0,32.4,MIA,570500
Max Schrock,SS,53,28,1.7,0,0,0,0,1,0,0,0,0.0,0.0,CIN,570500
Matt Carpenter,3B,130,44,1.3,2,0,0,0,0,0,0,0,1.5,0.0,STL,18500000
Dan Altavilla,RP,2,0,1.3,1,1,1,0,2,0,0,0,0.75,6.75,SD,850000
Pat Valaika,SS,91,72,1.3,0,0,0,0,0,0,0,0,0.0,0.0,BAL,875000
Dellin Betances,RP,1,0,1.0,0,1,1,1,1,0,0,0,1.0,9.0,NYM,6000000
Brock Holt,2B,77,62,1.0,1,0,0,0,0,0,0,0,1.0,0.0,TEX,1750000
Darin Ruf,1B,117,62,1.0,3,2,2,0,0,0,0,0,3.0,18.0,SF,1275000
David Peralta,LF,150,124,1.0,4,3,3,0,1,0,0,0,4.0,27.0,ARI,7500000
