Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio,Anio_t,Anio_t_1,Anios_contrato,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Edad_t,Edad_t_1,Equipo_anterior,Equipo_t,Equipo_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,OPS_2_t,OPS_2_t_1,OPS_t,OPS_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_bateo_2_t,Porcentaje_bateo_2_t_1,Porcentaje_bateo_t,Porcentaje_bateo_t_1,Porcetnaje_juegos_2_t,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_t,Porcetnaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,RBI_2_t,RBI_2_t_1,RBI_t,RBI_t_1,Status,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,Sueldo_t,Sueldo_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_base_t,ln_Sueldo_regular_t,ln_Sueldo_t
TEX,CHW,6.3,6.3,2013,3,2,1,253009,229441,503,479,18769,17689,137,133,12,1,36,35,CHW,Texas Rangers,Chicago White Sox,289,729,17,27,17956,18225,134,135,162,162,A.J. Pierzynski,0.521284,0.6839289999999999,0.722,0.827,2,6,250,250,6,9,0.07398400000000001,0.07728400000000002,0.272,0.278,0.675684,0.693889,0.822,0.833,C,C,0.5617283950617284,0.5246913580246914,4900,5929,70,77,UFA,7500000,6000000,7500000,6000000,7500000,6000000,802.0224000000001,4891.6035999999995,28.32,69.94,7500000,33750000,900000,7500000,91,85,3.3856,10.6276,1.84,3.26,0,3,15.830413578506539,15.830413578506539,15.830413578506539
NYM,LAD,6.7,6.7,2012,3,2,2,121,3136,11,56,4,16,2,4,10,9,35,34,SD,New York Mets,Los Angeles Dodgers,0,0,0,0,676,961,26,31,162,162,Aaron Harang,0.132496,0.025921000000000003,0.364,0.161,5,25,260,260,8,26,0.033124,0.0050409999999999995,0.182,0.071,0.025921000000000003,0.036481,0.161,0.191,SP,SP,0.4567901234567901,0.5308641975308642,0,4,0,2,UFA,5500000,3000000,5500000,3000000,5500000,3000000,64.32039999999999,2350.3104,8.02,48.48,12000000,7150000,44651311,6000000,74,86,0.0576,3.3856,0.24,1.84,2,6,15.520258650202699,15.520258650202699,15.520258650202699
WSH,WSH,6.2,6.2,2013,3,2,2,261121,326041,511,571,14641,24025,121,155,11,6,33,32,WSH,Washington Nationals,Washington Nationals,400,1089,20,33,23104,23716,152,154,162,162,Adam LaRoche,0.540225,0.727609,0.735,0.853,1,1,205,205,2,2,0.056169,0.07398400000000001,0.237,0.272,0.8798439999999998,0.9044009999999999,0.938,0.951,DH,DH,0.5308641975308642,0.6049382716049383,3844,10000,62,100,UFA,10000000,8000000,10000000,8000000,10000000,8000000,523.9521,6320.25,22.89,79.5,24000000,67000000,18650000,12000000,86,98,0.6889,17.3889,0.83,4.17,0,0,16.11809565095832,16.11809565095832,16.11809565095832
LAA,LAA,6.3,6.3,2012,3,2,10,152881,368449,391,607,10201,29929,101,173,8,4,33,32,STL,Los Angeles Angels,Los Angeles Angels,289,900,17,30,9801,23716,99,154,162,162,Albert Pujols,0.5882890000000001,0.737881,0.767,0.859,1,1,235,235,10,10,0.066564,0.08122499999999999,0.258,0.285,0.37332099999999996,0.9044009999999999,0.611,0.951,DH,DH,0.4814814814814814,0.5493827160493827,4096,11025,64,105,UFA,16000000,12000000,16000000,12000000,16000000,12000000,187.68999999999997,2335.7889,13.7,48.33,240000000,153500000,321150000,24000000,78,89,2.1315999999999997,23.136099999999995,1.46,4.81,1,1,16.588099280204055,16.588099280204055,16.588099280204055
SF,SF,6.2,6.2,2013,3,2,4,78400,366025,280,605,6241,30276,79,174,6,3,31,30,SF,San Francisco Giants,San Francisco Giants,25,64,5,8,5041,23716,71,154,162,162,Angel Pagan,0.561001,0.605284,0.749,0.778,23,23,202,202,23,23,0.07952399999999998,0.08294399999999999,0.282,0.288,0.191844,0.9044009999999999,0.438,0.951,LF,LF,0.4691358024691358,0.5802469135802469,900,3136,30,56,UFA,7000000,4850000,8250000,5000000,8250000,5000000,0.0,6090.241600000001,0.0,78.04,40000000,80750000,4800000,10000000,76,94,0.7395999999999999,17.3889,0.86,4.17,7,7,15.761420707019587,15.925723758310864,15.925723758310864
DET,DET,6.0,6.0,2013,3,2,5,16,900,4,30,0,9,0,3,4,3,29,28,DET,Detroit Tigers,Detroit Tigers,0,0,0,0,841,961,29,31,162,162,Anibal Sanchez,0.04000000000000001,0.08761599999999999,0.2,0.296,11,11,205,205,15,14,0.0,0.010000000000000002,0.0,0.1,0.032041,0.036481,0.179,0.191,RP,RP,0.5740740740740741,0.5432098765432098,0,0,0,0,UFA,8000000,8000000,8800000,3147540,8800000,8000000,6528.639999999999,2546.2116,80.8,50.46,80000000,107775000,221000000,16000000,93,88,36.240399999999994,1.6900000000000002,6.02,1.3,4,4,15.89495209964411,15.990262279448435,15.990262279448435
MIL,MIL,6.1,6.1,2012,3,2,3,92416,324900,304,570,7396,29241,86,171,7,3,35,34,CHC,Milwaukee Brewers,Milwaukee Brewers,144,729,12,27,8464,22201,92,149,162,162,Aramis Ramirez,0.690561,0.811801,0.831,0.901,1,1,215,215,4,4,0.08008899999999998,0.09,0.283,0.3,0.32262399999999997,0.8464,0.568,0.92,3B,3B,0.4567901234567901,0.5123456790123457,2401,11025,49,105,UFA,10000000,6000000,10000000,6000000,10000000,6000000,0.0,8067.632399999999,0.0,89.82,36000000,43300000,40250000,12000000,74,83,0.39690000000000003,31.136400000000002,0.63,5.58,0,0,16.11809565095832,16.11809565095832,16.11809565095832
BOS,TEX,6.2,6.2,2013,3,2,1,2500,4225,50,65,81,324,9,18,10,4,26,25,TEX,Boston Red Sox,Texas Rangers,4,9,2,3,729,1600,27,40,162,162,Brandon Snyder,0.3271839999999999,0.570025,0.572,0.755,13,2,225,225,21,6,0.0324,0.07672900000000002,0.18,0.277,0.027889000000000004,0.061009,0.167,0.247,3B,3B,0.5987654320987654,0.5740740740740741,49,81,7,9,UFA,490000,481000,259726,481000,490000,481000,0.0,0.0,0.0,0.0,0,130700000,19000000,0,97,93,0.16000000000000003,0.04409999999999999,-0.4,0.21,8,0,13.102160670086809,12.46738250815752,13.102160670086809
DET,KC,5.9,5.9,2013,3,2,1,52441,44944,229,212,4624,2500,68,50,4,2,31,30,KC,Detroit Tigers,Kansas City Royals,16,4,4,2,5041,4624,71,68,162,162,Brayan Pena,0.508369,0.33988899999999994,0.713,0.583,11,2,242,242,15,7,0.088209,0.055695999999999996,0.297,0.236,0.191844,0.17639999999999997,0.438,0.42,C,C,0.5740740740740741,0.4444444444444444,484,625,22,25,UFA,875000,875000,875000,875000,875000,875000,0.0,0.0,0.0,0.0,875000,107775000,5000000,875000,93,72,0.1296,0.3844,0.36,-0.62,4,1,13.681979165339751,13.681979165339751,13.681979165339751
CHC,HOU,6.3,6.3,2013,3,2,1,20449,126025,143,355,1521,5184,39,72,10,1,29,28,HOU,Chicago Cubs,Houston Astros,36,49,6,7,2209,21316,47,146,162,162,Brian Bogusevic,0.6146560000000001,0.355216,0.784,0.596,17,1,216,216,16,9,0.07452900000000001,0.041209,0.273,0.203,0.0841,0.811801,0.29,0.901,RF,RF,0.4074074074074074,0.3395061728395062,256,784,16,28,UFA,490000,483000,265081,483000,490000,483000,0.0,81.3604,0.0,9.02,0,73850000,750000,0,66,55,0.1296,0.0256,0.36,-0.16,2,0,13.102160670086809,12.4877907186411,13.102160670086809
CHW,STL,6.1,6.1,2013,3,2,1,324,144,18,12,1,9,1,3,5,5,26,25,STL,Chicago White Sox,St. Louis Cardinals,0,0,0,0,100,100,10,10,162,162,Bryan Anderson,0.046655999999999996,0.4760999999999999,0.216,0.69,6,23,200,200,9,26,0.0031360000000000003,0.0625,0.056,0.25,0.0038439999999999998,0.0038439999999999998,0.062,0.062,C,C,0.3888888888888889,0.5432098765432098,4,0,2,0,UFA,490000,480000,80327,480000,490000,480000,0.0,0.0,0.0,0.0,0,14800000,40850000,0,63,88,,,,,3,11,13.102160670086809,11.293861082522517,13.102160670086809
LAA,LAA,6.1,6.1,2012,3,2,5,64,25,8,5,1,0,1,0,8,4,32,31,TEX,Los Angeles Angels,Los Angeles Angels,0,0,0,0,1089,1156,33,34,162,162,C.J. Wilson,0.12040899999999999,0.027889000000000004,0.347,0.167,1,1,210,210,10,10,0.015625,0.0,0.125,0.0,0.04161599999999999,0.04409999999999999,0.204,0.21,SP,SP,0.4814814814814814,0.5493827160493827,0,0,0,0,UFA,11000000,10000000,11500000,10550000,11500000,10550000,2417.6889,249.00839999999997,49.17,15.78,77500000,153500000,321150000,15500000,78,89,11.7649,0.9603999999999999,3.43,0.98,1,1,16.213405830762646,16.25785759333348,16.25785759333348
STL,STL,6.1,6.1,2012,3,2,2,306916,299209,554,547,26896,21609,164,147,6,5,36,35,SF,St. Louis Cardinals,St. Louis Cardinals,576,1024,24,32,21025,22801,145,151,162,162,Carlos Beltran,0.6889,0.7089639999999999,0.83,0.842,23,23,213,213,27,26,0.08761599999999999,0.07236100000000001,0.296,0.269,0.801025,0.8686240000000001,0.895,0.932,DH,DH,0.5987654320987654,0.5432098765432098,7056,9409,84,97,UFA,13000000,13000000,13050000,13050000,13050000,13050000,2299.2025000000003,4795.5625,47.95,69.25,26000000,13650000,40850000,13000000,97,88,5.4289000000000005,15.288100000000002,2.33,3.91,11,11,16.38045991542581,16.384298691732976,16.384298691732976
KC,TB,0.0,0.0,2013,3,2,1,78400,247009,280,497,3364,9604,58,98,5,4,35,34,TB,Kansas City Royals,Tampa Bay Rays,64,361,8,19,7921,25600,89,160,162,162,Carlos Pena,0.44622400000000007,0.46785600000000005,0.668,0.684,2,1,0,0,7,3,0.042849,0.038809,0.207,0.197,0.30140100000000003,0.976144,0.549,0.988,1B,1B,0.5308641975308642,0.5555555555555556,625,3721,25,61,UFA,490000,7250000,74972,7250000,490000,7250000,0.0,353.81609999999995,0.0,18.81,2900000,26100000,15950000,2900000,86,90,0.0961,0.3844,-0.31,0.62,1,0,13.102160670086809,11.224869989478876,13.102160670086809
