Acronimo,Altura,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Victorias,WAR,WAR_2,WS ganadas
WSH,6.2,17,289,6,36,1,10,26,Washington Nationals,Washington DC,0,0,7,62,49,Jake Noll,0.765,0.585225,1,215,6,0.353,0.12460899999999998,0.117,0.013689000000000002,2B,0.4193548387096774,0,0,563500,563500,43610,0.0,0.0,316750000,26,-0.12,0.0144,1
WSH,5.9,26,676,5,25,1,10,32,Washington Nationals,Washington DC,1,1,12,62,144,Yadiel Hernandez,0.637,0.405769,1,185,6,0.192,0.036864,0.2,0.04000000000000001,OF,0.4193548387096774,6,36,563500,563500,49840,0.0,0.0,316750000,26,-0.17,0.028900000000000006,1
LAA,5.9,207,42849,66,4356,5,3,26,Los Angeles Angels,California,3,9,49,60,2401,David Fletcher,0.801,0.6416010000000001,1,185,10,0.319,0.101761,0.817,0.6674889999999999,2B,0.4333333333333333,18,324,593500,593500,219815,82.24,6763.417599999999,260850000,26,2.0,4.0,1
LAA,6.2,199,39601,56,3136,5,3,28,Los Angeles Angels,California,17,289,53,60,2809,Mike Trout,0.993,0.986049,1,235,10,0.281,0.07896100000000002,0.883,0.779689,CF,0.4333333333333333,46,2116,37766667,36000000,15000000,71.33,5087.9689,260850000,26,1.59,2.5281000000000002,1
LAA,6.1,189,35721,54,2916,5,3,30,Los Angeles Angels,California,9,81,52,60,2704,Anthony Rendon,0.915,0.8372250000000001,1,200,10,0.286,0.08179599999999998,0.867,0.7516889999999999,3B,0.4333333333333333,31,961,26071428,25500000,10015872,52.96,2804.7616000000003,260850000,26,1.84,3.3856,1
LAA,6.2,118,13924,35,1225,5,3,30,Los Angeles Angels,California,0,0,30,60,900,Andrelton Simmons,0.702,0.49280399999999996,1,195,10,0.297,0.088209,0.5,0.25,SS,0.4333333333333333,10,100,15000000,15000000,4757308,0.0,0.0,260850000,26,0.34,0.11560000000000002,1
LAA,6.4,153,23409,29,841,5,3,25,Los Angeles Angels,California,7,49,46,60,2116,Shohei Ohtani,0.657,0.43164900000000006,1,210,10,0.19,0.0361,0.767,0.5882890000000001,DH,0.4333333333333333,24,576,700000,700000,259259,43.16,1862.7855999999997,260850000,26,-0.13,0.016900000000000002,1
LAA,6.0,99,9801,29,841,5,3,26,Los Angeles Angels,California,9,81,32,60,1024,Jared Walsh,0.971,0.9428409999999999,1,210,10,0.293,0.085849,0.533,0.28408900000000004,1B,0.4333333333333333,26,676,563500,563500,133945,0.0,0.0,260850000,26,0.59,0.34809999999999997,1
LAA,6.1,94,8836,26,676,5,3,26,Los Angeles Angels,California,0,0,34,60,1156,Taylor Ward,0.716,0.512656,1,200,10,0.277,0.07672900000000002,0.567,0.32148899999999997,3B,0.4333333333333333,5,25,566500,566500,159732,0.0,0.0,260850000,26,-0.1,0.010000000000000002,1
LAA,6.3,124,15376,20,400,5,3,21,Los Angeles Angels,California,3,9,38,60,1444,Jordon Adell,0.478,0.228484,1,215,10,0.161,0.025921000000000003,0.633,0.400689,OF,0.4333333333333333,7,49,563500,563500,174440,2.13,4.536899999999999,260850000,26,-1.45,2.1025,1
