Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,At-bats,At-bats_2,Bateos,Bateos_2,Bateos_promedio,Bateos_promedio_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Dobles,Dobles_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_iniciados,Juegos_iniciados_2,Jugador,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_On-base-plus-slugging,Porcentaje_On-base-plus-slugging_2,Porcentaje_juegos,Porcentaje_juegos_iniciados,Porcentaje_juegos_iniciados_2,Porcentaje_on-base,Porcentaje_on-base_2,Porcentaje_slugging,Porcentaje_slugging_2,Posicion,Promedio_victorias,Runs-batted-in,Runs-batted-in_2,Status_agente_libre,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Triples,Triples_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
TEX,6.4,2022,2032,10,1,593,351649,145,21025,0.245,0.060024999999999995,500000,2,8,24,576,28,27,Texas Rangers,LAD,Texas,62190784,33,1089,151,162,151,22801,Corey Seager,37500000,2,215,8,0.772,0.5959840000000001,0.932,0.932,0.8686240000000001,0.317,0.10048900000000001,0.455,0.20702500000000001,SS,0.419753086419753,83,6889,UFA,33000000,32500000,0.22,33000000,36.41,1325.6880999999998,1,1,325000000,32500000,580700000,325000000,32500000,68,4.04,16.3216,0,17.312018119430753,17.296750647299966,17.312018119430753
COL,6.5,2022,2029,7,1,160,25600,49,2401,0.306,0.093636,1000000,1,5,12,144,30,29,Colorado Rockies,SF,Colorado,83020737,5,25,42,162,42,1764,Kris Bryant,24000000,1,230,5,0.851,0.724201,0.259,0.259,0.067081,0.376,0.141376,0.475,0.225625,LF,0.419753086419753,14,196,UFA,18000000,17000000,0.129,18000000,0.0,0.0,0,0,182000000,26000000,195350000,182000000,26000000,68,0.52,0.27040000000000003,0,16.70588231586044,16.64872390202049,16.70588231586044
TEX,6.0,2022,2029,7,0,657,431649,164,26896,0.25,0.0625,0,2,8,32,1024,31,31,Texas Rangers,TOR,Texas,58863653,26,676,161,162,161,25921,Marcus Semien,25000000,2,195,8,0.738,0.544644,0.994,0.994,0.988036,0.305,0.093025,0.432,0.18662399999999998,2B,0.419753086419753,83,6889,UFA,25000000,25000000,0.167,25000000,69.08,4772.0464,5,25,175000000,25000000,580700000,175000000,25000000,68,5.63,31.6969,0,17.034386382832476,17.034386382832476,17.034386382832476
LAD,6.5,2022,2028,6,0,612,374544,199,39601,0.325,0.10562500000000001,0,5,9,47,2209,32,32,Los Angeles Dodgers,ATL,California,143739279,21,441,159,162,159,25281,Freddie Freeman,20000000,25,220,36,0.918,0.842724,0.982,0.982,0.964324,0.407,0.165649,0.511,0.261121,1B,0.6851851851851852,100,10000,UFA,27000000,27000000,0.1,27000000,93.55,8751.602499999999,2,4,162000000,27000000,267800000,162000000,27000000,111,5.77,33.292899999999996,7,17.111347423968603,17.111347423968603,17.111347423968603
DET,6.0,2022,2028,6,0,555,308025,132,17424,0.238,0.05664399999999999,0,1,4,27,729,29,29,Detroit Tigers,NYM,Michigan,45207493,17,289,144,162,142,20164,Javier Baez,20000000,11,190,16,0.671,0.45024100000000006,0.889,0.877,0.769129,0.278,0.07728400000000002,0.393,0.154449,SS,0.4074074074074074,67,4489,UFA,20000000,20000000,0.147,20000000,17.02,289.68039999999996,4,16,140000000,23333333,235500000,140000000,23333333,66,2.65,7.0225,4,16.811242831518264,16.811242831518264,16.811242831518264
BOS,6.2,2022,2028,6,0,357,127449,85,7225,0.238,0.05664399999999999,0,1,6,22,484,29,29,Boston Red Sox,COL,Massachusetts,49980463,16,256,94,162,92,8464,Trevor Story,20000000,14,213,25,0.737,0.543169,0.58,0.568,0.32262399999999997,0.303,0.091809,0.434,0.188356,2B,0.4814814814814814,66,4356,UFA,20000000,20000000,0.094,20000000,0.0,0.0,0,0,140000000,23333333,173000000,140000000,23333333,78,2.53,6.400899999999999,9,16.811242831518264,16.811242831518264,16.811242831518264
MIN,6.4,2022,2025,3,0,522,272484,152,23104,0.291,0.08468099999999999,0,1,4,24,576,27,27,Minnesota Twins,HOU,Minnesota,61944676,22,484,136,162,133,17689,Carlos Correa,35100000,6,220,17,0.834,0.695556,0.84,0.821,0.6740409999999999,0.366,0.133956,0.467,0.21808900000000003,SS,0.4814814814814814,64,4096,UFA,35100000,35100000,0.236,35100000,46.35,2148.3225,1,1,105300000,35100000,116550000,105300000,35100000,78,5.55,30.8025,3,17.373711688436096,17.373711688436096,17.373711688436096
PHI,6.4,2022,2027,5,1,524,274576,138,19044,0.263,0.06916900000000001,0,2,7,27,729,30,29,Philadelphia Phillies,CIN,Pennsylvania,63942249,13,169,136,162,134,17956,Nick Castellanos,20000000,8,203,15,0.694,0.48163599999999995,0.84,0.827,0.6839289999999999,0.305,0.093025,0.389,0.151321,RF,0.5370370370370371,62,3844,UFA,20000000,20000000,0.082,20000000,10.3,106.09000000000002,0,0,100000000,20000000,204150000,100000000,20000000,87,-0.01,0.0001,2,16.811242831518264,16.811242831518264,16.811242831518264
PHI,6.0,2022,2026,4,1,577,332929,126,15876,0.218,0.047524,0,2,7,21,441,29,28,Philadelphia Phillies,BOS,Pennsylvania,39989866,46,2116,155,162,153,23409,Kyle Schwarber,19000000,8,229,15,0.827,0.6839289999999999,0.957,0.944,0.8911359999999999,0.323,0.104329,0.504,0.254016,LF,0.5370370370370371,94,8836,UFA,19000000,19000000,0.078,19000000,63.46,4027.1716,3,9,79000000,19750000,204150000,79000000,19750000,87,2.21,4.8841,2,16.759949537130716,16.759949537130716,16.759949537130716
NYM,6.1,2022,2026,4,0,466,217156,136,18496,0.292,0.08526399999999999,1250000,2,6,24,576,33,33,New York Mets,OAK,New York,61342076,16,256,118,162,116,13456,Starling Marte,17000000,5,195,10,0.814,0.662596,0.728,0.716,0.512656,0.347,0.12040899999999999,0.468,0.21902400000000002,RF,0.6234567901234568,63,3969,UFA,15750000,14500000,0.059,15750000,72.18,5209.952400000001,5,25,78000000,19500000,259270000,78000000,19500000,101,3.75,14.0625,2,16.572350923235916,16.489659207390805,16.572350923235916
