Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
ARI,6.2,2014,2009,2012,5,325,105625,75,5625,200000,4,28,25,Arizona Diamondbacks,NYM,18586000,14,196,101,162,10201,Chris Young,0.745,0.555025,1,200,5,0.231,0.053361000000000006,0.624,0.389376,RF,0.5,41,1681,UFA,7200000,7000000,7200000,38.78,1503.8884,900000,17750000,28000000,900000,81,1.92,3.6864,1,15.789591583986283,15.761420707019587,15.789591583986283
LAA,0.0,2013,2010,2012,2,438,191844,106,11236,0,4,38,35,Los Angeles Angels,LAA,401311,6,36,200,162,40000,Bobby Abreu,0.693,0.4802489999999999,1,0,10,0.242,0.058564,0.617,0.380689,LF,0.5493827160493827,48,2304,UFA,8598689,8598689,8598689,31.92,1018.8864000000001,401311,321150000,19000000,401311,89,-0.48,0.2304,1,15.96712030774283,15.96712030774283,15.96712030774283
